{' Yes': -0.0062188194, 'Yes': -5.4882436, ' Generally': -6.715779, ' No': -8.289528, ' A': -8.50017}
{' No': -0.06611303, 'No': -3.2509046, '\n': -4.6415467, ' ': -4.717591, ' It': -5.9705005}
{' No': -0.06381111, 'No': -3.0429196, '\n': -5.0225987, ' ': -5.5458837, ' Frog': -6.5625954}
{' Yes': -0.017012697, ' Generally': -5.0912256, ' No': -5.1769342, 'Yes': -5.7743707, ' A': -7.041194}
{' Yes': -0.01817177, ' Generally': -5.204396, ' No': -5.2953987, 'Yes': -5.735899, ' A': -6.297867}
{' No': -0.47405592, ' Yes': -1.5519196, ' Generally': -2.7401328, ' Bears': -3.1547961, ' It': -3.766155}
{' Yes': -0.1365669, ' No': -2.4661052, ' Generally': -4.0790353, ' Bears': -4.284907, 'Yes': -5.3210363}
{' Yes': -0.14086233, ' No': -2.557368, ' Generally': -3.8002195, 'Yes': -4.1478224, 'No': -4.9538317}
{' Yes': -0.08400144, ' No': -3.2191007, 'Yes': -4.122091, ' Generally': -4.246549, 'No': -5.595655}
{' No': -0.65149164, ' Yes': -1.6985288, ' Generally': -2.4353073, 'No': -2.6506581, ' It': -2.97547}
{' Yes': -0.36639813, ' No': -1.6500952, ' Generally': -3.1367056, 'No': -3.5977366, 'Yes': -4.206795}
{' Yes': -0.094660245, ' No': -2.956944, 'Yes': -3.8507006, '\n': -5.213551, 'No': -5.3777466}
{' Yes': -0.19393119, ' No': -1.9612956, 'Yes': -4.092714, 'No': -4.6586986, '\n': -5.7745504}
{' No': -0.68173003, ' Yes': -1.137838, 'No': -2.9222903, ' Bears': -3.1462057, '\n': -3.8562543}
{' Yes': -0.18764575, ' No': -2.1242416, 'Yes': -4.369138, ' Generally': -4.701228, ' Bears': -4.7428727}
{' Yes': -0.307649, ' No': -1.4774964, 'No': -4.340089, 'Yes': -4.6049757, ' Generally': -4.874917}
{' Yes': -0.06285369, ' No': -3.1248922, 'Yes': -4.8735514, ' Generally': -5.487815, ' A': -5.9098725}
{' No': -0.24418217, 'No': -2.5716052, ' Bears': -2.9430459, ' Generally': -3.3470547, ' Yes': -3.571996}
{' No': -0.69483024, ' Yes': -0.9491446, 'No': -3.0639708, ' Generally': -3.4270365, ' Bears': -3.9059355}
{' No': -0.8697696, ' Yes': -0.95910597, 'No': -2.5868716, ' Generally': -3.2086883, 'Yes': -4.1566234}
{' No': -0.86522204, ' Yes': -0.8713829, 'No': -2.6340687, ' Generally': -3.7465677, 'Yes': -4.1179476}
{' Yes': -0.552109, ' No': -1.4013101, ' Bears': -3.0786078, 'No': -3.3842165, '\n': -3.7100487}
{' Yes': -0.33334628, ' No': -1.8197335, ' Bears': -3.5066803, ' Generally': -3.7043636, 'No': -4.0274854}
{' Yes': -0.19512051, ' No': -2.422831, ' Generally': -3.2244976, 'Yes': -4.046084, 'No': -4.643616}
{' Yes': -0.1940517, ' No': -2.6009004, ' Generally': -3.144638, ' A': -4.0003376, 'Yes': -4.0290127}
{' Yes': -0.36758816, ' No': -1.9956304, ' Bears': -2.8352318, ' Generally': -2.9300632, 'No': -4.1329994}
{' Yes': -0.15788345, ' No': -2.7823608, ' Generally': -3.4755883, 'Yes': -4.032162, ' Bears': -4.0806584}
{' Yes': -0.021819184, ' No': -4.016326, 'Yes': -6.0896173, '\n': -8.010511, ' yes': -8.072251}
{' Yes': -0.007511184, ' No': -5.4453845, 'Yes': -6.0800033, ' yes': -8.232673, '\n': -8.60515}
{' No': -0.32211667, ' Yes': -1.3478047, 'No': -5.027687, '\n': -5.522739, ' Generally': -6.360393}
{' Yes': -0.14293934, ' No': -2.0528836, 'Yes': -6.02662, 'No': -7.0502896, '\n': -7.1299043}
{' No': -0.2733087, ' Yes': -1.9126309, 'No': -2.9023597, '\n': -4.417002, ' A': -4.8260655}
{' No': -0.23737358, ' Yes': -2.1105385, 'No': -2.8806078, '\n': -4.6317844, ' A': -4.7310944}
{' No': -0.08557067, 'No': -2.950946, ' Yes': -4.3628817, ' Bears': -5.4605207, '\n': -5.4808803}
{' No': -0.184493, ' Yes': -2.333665, 'No': -2.8167064, ' Generally': -5.629491, 'Yes': -6.0784307}
{' Yes': -0.78179264, ' No': -1.356309, '\n': -1.5384226, ' ': -3.6689575, 'No': -4.14111}
{' Yes': -0.5688319, ' No': -1.6684813, '\n': -1.7715524, ' ': -3.8062472, 'Yes': -3.874124}
{' No': -0.4126083, '\n': -1.3862773, 'No': -3.1795094, ' Yes': -3.871371, ' ': -3.971717}
{' No': -0.8948903, '\n': -1.2843213, ' Yes': -1.4283338, 'No': -3.4344428, ' ': -4.0109677}
{' Yes': -0.31258112, ' No': -1.3506709, 'Yes': -5.6919146, 'No': -5.7207837, ' It': -6.96441}
{' No': -0.08053828, ' Yes': -2.8601253, 'No': -4.0415535, ' It': -7.133406, 'Yes': -7.5010495}
{' No': -0.045464277, 'No': -3.6386323, ' Yes': -4.2041, ' Bears': -6.936108, '\n': -7.490004}
{' No': -0.16239488, ' Yes': -2.087558, 'No': -3.8076184, 'Yes': -6.647907, ' It': -7.360252}
{' No': -0.3520966, 'No': -1.7628632, ' Yes': -2.991104, '\n': -3.0501099, ' ': -4.2670164}
{' No': -0.36500522, 'No': -1.9201715, ' Yes': -2.6322095, '\n': -2.9335687, ' ': -4.3513713}
{' No': -0.2754094, 'No': -1.7620751, '\n': -3.0301776, ' ': -4.4408946, ' Yes': -5.4841866}
{' No': -0.30002147, 'No': -1.5955212, ' Yes': -3.89384, '\n': -3.9107845, ' Bears': -5.108143}
{' Yes': -0.0868149, ' No': -3.0105705, 'Yes': -4.610523, ' A': -5.1187344, ' yes': -5.370472}
{' No': -0.6099225, ' Yes': -0.9777091, ' A': -3.6908226, 'No': -3.8255901, ' It': -4.638336}
{' No': -0.15863685, 'No': -2.645375, ' Yes': -3.2538552, ' Bears': -4.91155, '\n': -4.913469}
{' No': -0.63235897, ' Yes': -1.015675, 'No': -3.2036936, ' Bears': -4.091315, ' Generally': -4.425572}
{' Yes': -0.04409305, 'Yes': -4.027568, ' No': -4.2802076, ' Generally': -5.479325, ' A': -5.7278795}
{' Yes': -0.059683476, 'Yes': -3.644444, ' No': -4.1813474, ' A': -5.0889707, ' Generally': -5.791731}
{' Yes': -0.84384096, ' No': -1.3868804, ' It': -2.6229148, ' Bears': -2.8624527, ' Generally': -2.8910656}
{' No': -0.9524023, ' Yes': -1.0133593, 'No': -2.1754818, ' Bears': -3.4485953, ' It': -3.6410255}
{' No': -0.20798601, 'No': -2.0449038, ' Yes': -2.8968933, 'Yes': -5.9129076, ' ': -8.836953}
{' No': -0.17236184, 'No': -1.8683342, ' Yes': -5.723287, 'Yes': -8.410866, ' It': -8.9524765}
{' No': -0.40274477, 'No': -1.6870483, ' Yes': -2.2201884, ' Generally': -4.541493, ' Bears': -4.8252664}
{' No': -0.33924386, 'No': -1.545434, ' Yes': -2.8656852, ' Generally': -5.19587, 'Yes': -5.564272}
{' Yes': -0.119327806, ' No': -2.7362502, 'Yes': -3.3630257, 'No': -4.6212735, ' yes': -6.2114143}
{' Yes': -0.31394526, ' No': -1.5414023, 'Yes': -3.6134179, 'No': -3.640802, ' yes': -7.0688353}
{' No': -0.5298418, 'No': -1.5039552, ' Yes': -1.897033, 'Yes': -4.3981752, ' It': -4.7573195}
{' Yes': -0.5162739, ' No': -1.4340652, 'No': -2.3115926, 'Yes': -2.9262967, ' It': -5.306948}
{' No': -0.2392571, ' Yes': -1.6418145, 'No': -4.0989084, 'Yes': -6.2633886, ' ': -8.218226}
{' Yes': -0.15236184, ' No': -2.0733194, 'Yes': -4.536507, 'No': -5.522692, ' yes': -8.166005}
{' No': -0.21329713, ' Yes': -2.4041293, 'No': -2.4986327, ' Bears': -4.7744713, ' Generally': -5.3526344}
{' Yes': -0.5365179, ' No': -1.0258272, 'No': -3.3268907, 'Yes': -4.24068, ' Generally': -5.4685473}
{' No': -0.56209946, 'No': -1.3007888, ' Yes': -2.1828117, ' Bears': -3.7960775, 'Yes': -4.443493}
{' No': -0.5141766, 'No': -1.0161604, ' Yes': -3.7223504, 'Yes': -5.518054, '\n': -6.0339823}
{'No': -1.00573, ' No': -1.0891442, ' Bears': -1.9213547, ' Yes': -2.4501822, 'Yes': -4.01371}
{'No': -0.8463391, ' No': -1.1608189, ' Yes': -2.4016578, ' Bears': -2.5809813, ' It': -3.6473758}
{' No': -0.22464894, 'No': -1.6604685, ' Yes': -5.639072, '\n': -6.107741, ' Bear': -6.5365725}
{' No': -0.2700889, 'No': -1.7006348, ' Yes': -3.1718793, '\n': -5.507052, 'Yes': -5.861249}
{' No': -0.4659094, 'No': -1.1756262, ' Bears': -3.2242746, ' Yes': -4.074197, ' Generally': -5.973506}
{' No': -0.5813332, 'No': -0.97112274, ' Yes': -3.4192562, ' Bears': -4.28706, ' Generally': -4.9507103}
{' Yes': -0.016124966, ' yes': -4.4603615, 'Yes': -6.153251, ' No': -6.5103035, ' ': -7.5720634}
{' Yes': -0.010703985, ' yes': -4.852478, 'Yes': -6.2169485, ' No': -7.9763427, ' ': -8.101011}
{' Yes': -0.060909085, ' No': -3.0826201, ' yes': -4.631067, 'Yes': -6.277192, '\n': -7.370826}
{' Yes': -0.07353724, ' No': -2.7384846, ' yes': -5.7078905, 'Yes': -6.3635173, '\n': -7.7442045}
{' Yes': -0.15914613, ' No': -2.3948505, 'Yes': -4.055096, 'No': -4.889291, ' yes': -4.934443}
{' Yes': -0.4757584, ' No': -1.1968718, 'No': -3.7239463, 'Yes': -4.152724, '\n': -4.4673166}
{' No': -0.16879554, 'No': -2.2294548, ' Yes': -3.4628189, ' It': -5.217776, '\n': -5.451535}
{' No': -0.49240488, ' Yes': -1.1704617, 'No': -2.8644063, 'Yes': -4.7690997, ' It': -5.4924927}
{' Yes': -0.25752968, '\n': -2.1565337, ' No': -2.849189, 'Yes': -3.5881512, ' ': -4.712747}
{' Yes': -0.23209856, '\n': -2.247506, ' No': -3.0913475, 'Yes': -3.3810167, ' ': -4.808541}
{' No': -0.3288458, 'No': -2.214687, '\n': -2.5345457, ' Yes': -2.5624673, ' ': -5.190536}
{' Yes': -0.43555453, ' No': -1.8083515, '\n': -2.2032166, 'Yes': -3.332859, 'No': -3.4763029}
{' Yes': -0.024428323, ' No': -4.3458433, 'Yes': -5.0297365, ' yes': -6.1164713, '\n': -7.110293}
{' Yes': -0.10843259, ' No': -2.4232364, 'Yes': -5.107094, 'No': -6.3429623, ' A': -6.5568004}
{' No': -0.1420435, 'No': -2.8731928, ' Yes': -2.9399254, ' It': -5.1753535, ' Bears': -5.2533903}
{' Yes': -0.03111093, ' No': -4.0368176, 'Yes': -4.7894154, ' Generally': -6.488376, 'No': -7.1053596}
{' No': -0.50018674, 'No': -1.5737475, '\n': -2.2639961, ' Yes': -3.0290182, ' ': -4.4995675}
{' No': -0.63695145, 'No': -1.6248571, '\n': -2.1036186, ' Yes': -2.1494772, 'Yes': -3.833149}
{' No': -0.33829272, 'No': -1.6953789, '\n': -2.704908, ' Yes': -4.5805707, ' ': -4.6869245}
{' No': -0.3719259, 'No': -1.5543752, '\n': -2.986296, ' Yes': -3.3267176, 'Yes': -5.4371395}
{' Yes': -0.12917578, ' yes': -2.3179631, 'Yes': -4.578882, ' No': -5.483779, '\n': -5.8158374}
{' Yes': -0.19115932, ' No': -2.5522642, ' yes': -2.857356, 'Yes': -4.671364, '\n': -4.693925}
{' No': -0.30899668, ' Yes': -2.206244, 'No': -2.7035868, ' no': -3.8246262, '\n': -4.205961}
{' Yes': -0.5314935, ' No': -1.2028, ' yes': -3.4496813, ' It': -3.5398893, 'No': -4.176589}
{' Yes': -0.01566361, ' No': -4.7342453, 'Yes': -5.968928, '\n': -5.9850636, ' ': -7.076679}
{' Yes': -0.025551694, ' No': -4.1082177, 'Yes': -5.7751374, '\n': -5.8825064, ' ': -6.8558044}
{' No': -0.52570397, ' Yes': -1.05119, '\n': -3.374409, 'No': -4.864531, ' Generally': -5.156079}
{' Yes': -0.2118367, ' No': -1.7991607, '\n': -4.1591496, 'Yes': -5.9773507, ' Generally': -6.0991297}
{' Yes': -0.68185085, ' No': -0.99896663, '\n': -2.7530942, 'No': -3.8111324, ' ': -4.3126626}
{' No': -0.39399165, ' Yes': -1.8045769, '\n': -2.5206585, 'No': -3.1968594, ' ': -4.230053}
{' No': -0.27144918, '\n': -2.4367554, 'No': -2.8016179, ' Yes': -2.9015114, ' ': -4.5701838}
{' No': -0.31756467, '\n': -2.149842, ' Yes': -2.6715188, 'No': -2.860886, ' ': -4.60352}
{' No': -0.685268, ' Yes': -0.99229956, '\n': -2.9586484, ' A': -3.67008, 'No': -3.8070328}
{' No': -0.25495926, '\n': -2.6005936, ' Yes': -2.6184464, 'No': -3.144762, ' A': -4.0744286}
{' No': -0.21749839, ' Yes': -2.796703, '\n': -2.8119369, 'No': -3.3340945, ' Bears': -4.025884}
{' No': -0.2593523, ' Yes': -2.5191388, '\n': -2.529944, 'No': -3.2845805, ' Bears': -4.2425256}
{' Yes': -0.24026363, ' No': -1.7806498, '\n': -3.750096, ' ': -4.4902887, 'Yes': -5.7591457}
{' No': -0.5765745, ' Yes': -0.927784, '\n': -4.3347244, ' ': -4.7955227, ' A': -4.7978783}
{' Yes': -0.1344443, ' No': -2.6519842, '\n': -3.4790413, ' ': -4.8556013, 'Yes': -5.111554}
{' Yes': -0.10671035, ' No': -2.7204607, '\n': -4.013527, 'Yes': -5.2295413, ' ': -5.4808383}
{' No': -0.20710029, ' Yes': -2.17565, 'No': -2.9949915, '\n': -4.744232, ' ': -5.362499}
{' No': -0.114500105, 'No': -2.6507587, ' Yes': -3.8623238, '\n': -4.8118134, ' ': -5.618278}
{' No': -0.10896171, 'No': -3.014798, ' Yes': -3.6030507, '\n': -4.2033315, ' ': -5.1855683}
{' No': -0.11125668, 'No': -2.9151545, ' Yes': -3.7005894, '\n': -4.2160234, ' Bears': -5.325053}
{' Yes': -0.13591707, ' No': -2.8250551, '\n': -3.7277367, ' ': -4.1371264, 'Yes': -4.855891}
{' Yes': -0.48413318, ' No': -1.1884885, '\n': -3.7841914, ' A': -4.126349, ' ': -4.300434}
{' Yes': -0.64238244, ' No': -1.0113114, '\n': -3.6339006, ' Bears': -4.1051354, 'No': -4.171471}
{' Yes': -0.58258665, ' No': -0.9892506, 'No': -4.061293, ' Bears': -4.33337, '\n': -4.37372}
{' Yes': -0.01123809, ' Generally': -5.173456, 'Yes': -5.6276603, ' A': -7.221252, ' No': -7.5640917}
{' Yes': -0.0070180837, 'Yes': -5.555178, ' A': -6.58968, ' Generally': -6.682614, ' No': -8.677855}
{' Yes': -0.25313735, ' Bears': -1.936693, ' Generally': -2.9454188, ' It': -4.9413505, ' In': -5.4353523}
{' Yes': -0.3356614, ' Bears': -1.6437191, ' Generally': -3.1639102, ' No': -3.4449391, 'Yes': -5.4704957}
{' Yes': -0.0407633, 'Yes': -4.055888, ' Generally': -4.378732, ' No': -5.166038, ' A': -6.852618}
{' Yes': -0.033826306, 'Yes': -4.125915, ' Generally': -4.489696, ' No': -6.1109324, ' A': -6.541749}
{' Yes': -0.3070378, ' Bears': -2.3959813, ' Generally': -2.4147096, ' It': -3.5755866, ' No': -4.2871537}
{' Yes': -0.34301105, ' No': -2.2372904, ' Generally': -2.537492, ' Bears': -3.0186799, 'Yes': -4.190526}
{' Yes': -0.035386108, 'Yes': -3.8822353, ' No': -5.1745615, '\n': -5.7807603, ' Generally': -6.2366357}
{' Yes': -0.02376817, 'Yes': -4.019276, ' No': -6.4336643, '\n': -6.6517186, ' Generally': -6.982422}
{' Yes': -0.38133764, ' Bears': -1.6255622, ' Generally': -3.4199975, ' No': -3.9599547, 'Yes': -3.9897168}
{' Yes': -0.11947013, ' Bears': -3.2632594, ' No': -3.452878, 'Yes': -3.979087, ' Generally': -4.5671573}
{' Yes': -0.021504099, 'Yes': -4.576777, ' Generally': -5.4412084, ' No': -5.743557, ' A': -6.0396976}
{' Yes': -0.026664387, ' A': -4.560535, 'Yes': -4.895244, ' Generally': -5.264486, ' No': -5.9869094}
{' Bears': -0.72234243, ' Yes': -0.82527435, ' Generally': -3.156096, ' No': -4.112523, 'Yes': -5.260173}
{' Yes': -0.2735003, ' Bears': -2.1742036, ' No': -2.5703182, ' Generally': -3.5957546, 'Yes': -4.496189}
{' Yes': -0.13078259, 'Yes': -3.2402356, ' No': -3.4682438, ' Generally': -3.8333352, ' Bears': -5.004895}
{' Yes': -0.06256055, 'Yes': -3.2399132, ' Generally': -5.1707664, ' No': -5.19094, '\n': -5.7222075}
{' Yes': -0.27654913, ' Bears': -1.9990299, ' Generally': -3.5838437, 'Yes': -3.658347, '\n': -4.312815}
{' Yes': -0.8286771, ' No': -1.2887315, ' Bears': -2.0671263, ' Generally': -3.029416, 'No': -3.3182306}
{' Yes': -0.041745033, 'Yes': -4.0080457, ' Generally': -4.2034903, ' A': -6.43195, ' ': -6.6534767}
{' Yes': -0.034660477, 'Yes': -3.7704375, ' Generally': -4.9680767, ' A': -6.61882, ' ': -7.292544}
{' Yes': -0.18869884, ' Bears': -2.3748827, ' Generally': -3.169753, 'Yes': -4.1252947, ' No': -5.662811}
{' Yes': -0.067438625, 'Yes': -3.782576, ' Bears': -4.051314, ' Generally': -4.1909356, ' No': -5.42574}
{' Yes': -0.0042810496, 'Yes': -6.0145617, ' No': -6.890813, ' yes': -8.24871, '\n': -8.641925}
{' Yes': -0.003272065, 'Yes': -5.937864, ' yes': -8.461254, '\n': -9.071821, ' ': -9.093216}
{' Yes': -0.020840323, ' Bears': -5.0923467, ' No': -5.2185483, 'Yes': -5.5202203, '\n': -6.1696477}
{' Yes': -0.054628696, ' No': -3.1534727, 'Yes': -5.5589066, ' Bears': -5.908424, '\n': -6.5544295}
{' Yes': -0.12584044, ' No': -3.1806672, 'Yes': -3.655164, '\n': -3.8464844, ' A': -4.192271}
{' Yes': -0.10091836, 'Yes': -3.754582, ' No': -3.8036199, ' A': -3.865414, '\n': -4.0497894}
{' Yes': -0.12004754, ' Bears': -3.0756636, ' Generally': -3.93377, ' No': -4.163707, 'Yes': -4.3380613}
{' Yes': -0.2258599, ' No': -1.9973041, 'Yes': -3.8836222, ' Bears': -4.0656576, 'No': -4.3392973}
{' Yes': -0.36124083, '\n': -1.5547948, ' No': -3.4832938, 'Yes': -3.766144, ' ': -3.8379729}
{' Yes': -0.35421002, '\n': -1.466219, 'Yes': -3.5723, ' ': -3.8288991, ' A': -4.372383}
{' Yes': -0.69699824, '\n': -1.0797497, ' Bears': -2.6277862, ' No': -3.464212, ' ': -3.5754828}
{' Yes': -0.54440624, '\n': -1.2909195, ' Bears': -3.0201807, ' No': -3.0426857, 'Yes': -3.8749094}
{' Yes': -0.049220335, ' No': -3.2661064, 'Yes': -5.3689775, ' A': -5.9257555, ' ': -6.6891737}
{' Yes': -0.07301089, ' No': -3.0109932, ' A': -4.418752, 'Yes': -5.1011133, ' ': -6.6957355}
{' Yes': -0.14978144, ' Bears': -2.3893101, ' No': -3.8107805, ' It': -4.7820463, 'Yes': -4.8510313}
{' Yes': -0.29859635, ' No': -1.5757227, ' Bears': -3.528136, 'Yes': -4.7642603, 'No': -4.8844514}
{' Yes': -0.52191824, ' No': -1.9030236, '\n': -2.425416, 'Yes': -2.51299, 'No': -3.2672794}
{' Yes': -0.21587843, 'Yes': -2.1726103, '\n': -3.1261299, ' ': -4.4661436, ' A': -4.559371}
{' Yes': -0.32270357, ' Bears': -2.3830273, 'Yes': -2.6100228, ' No': -3.202287, '\n': -3.2536058}
{' No': -0.46643326, 'No': -1.7956053, ' Yes': -2.134135, ' Bears': -3.4456067, '\n': -3.4909902}
{' Yes': -0.03266134, 'Yes': -4.2502055, ' yes': -5.3734145, ' A': -5.5638576, ' ': -5.636423}
{' Yes': -0.026217192, 'Yes': -4.1676965, ' yes': -5.737875, ' A': -6.027657, '\n': -6.117401}
{' Yes': -0.1684363, ' Bears': -2.5139334, 'Yes': -3.9735434, ' No': -4.1657505, ' Generally': -4.477089}
{' Yes': -0.111645475, ' Bears': -3.1849144, ' No': -3.8193767, 'Yes': -3.9635358, ' Generally': -5.0244794}
{' Yes': -0.03904034, 'Yes': -3.660136, ' Generally': -5.5979905, ' A': -5.6418843, ' No': -6.1100087}
{' Yes': -0.047663283, 'Yes': -3.3415053, ' A': -5.3984284, ' yes': -6.3430004, ' Generally': -6.414295}
{' Yes': -0.6131015, ' Bears': -1.2832313, ' No': -3.052251, ' Generally': -3.190309, ' It': -3.5806687}
{' Yes': -0.5049579, ' No': -1.965968, ' Bears': -2.4023042, 'No': -3.2489152, 'Yes': -3.3649929}
{' Yes': -0.24491656, ' No': -1.8928906, 'Yes': -3.2238972, 'No': -3.7091193, ' yes': -6.609574}
{' Yes': -0.11245034, ' No': -2.8671536, 'Yes': -3.2160459, 'No': -4.887465, ' yes': -6.7737494}
{' Yes': -0.44750386, ' No': -1.7373141, 'No': -3.0266397, ' Bears': -3.0917068, ' Generally': -3.340715}
{' No': -0.4248062, 'No': -1.448955, ' Yes': -2.575935, ' Generally': -4.687267, ' Bears': -4.805368}
{' Yes': -0.10823804, ' No': -2.9261909, 'Yes': -3.2957454, 'No': -4.877464, ' yes': -6.13298}
{' Yes': -0.35096976, ' No': -1.4537911, 'Yes': -3.427319, 'No': -3.614321, ' ': -7.141485}
{' Yes': -0.3494677, ' No': -2.066232, ' Bears': -2.9439003, 'Yes': -2.9857056, 'No': -3.136657}
{' No': -0.80548006, ' Yes': -1.0046474, 'No': -1.9893122, 'Yes': -3.47853, ' It': -5.134425}
{' Yes': -0.67227924, ' No': -0.7604311, 'No': -4.3242035, 'Yes': -5.0212727, ' A': -7.4164996}
{' Yes': -0.08299426, ' No': -2.7510908, 'Yes': -4.458307, 'No': -6.2204237, ' A': -6.742044}
{' No': -0.90156204, ' Yes': -0.9026435, ' Bears': -2.405991, 'No': -2.922676, ' Generally': -3.7079358}
{' No': -0.31103736, ' Yes': -1.9431728, 'No': -2.3239062, ' Bears': -4.465082, ' Generally': -4.967114}
{' No': -0.8810763, 'No': -1.3200239, ' Yes': -1.4908289, ' Bears': -3.05693, 'Yes': -3.3736358}
{' Yes': -0.32657227, 'Yes': -1.7704123, ' No': -2.963529, 'No': -3.1171167, '\n': -5.611316}
{' Yes': -0.60419255, ' Bears': -1.1899887, 'Yes': -2.4014623, ' Generally': -3.7568204, 'No': -4.4982014}
{'No': -0.86163336, ' No': -1.2461567, ' Bears': -1.8749008, ' Yes': -3.0526464, ' It': -3.6586492}
{' Yes': -0.24396132, ' No': -2.2137527, 'Yes': -3.199789, 'No': -3.763868, '\n': -4.2184734}
{' Yes': -0.28577402, ' No': -2.108059, 'Yes': -2.9154623, 'No': -3.4573934, '\n': -4.3100505}
{' Yes': -0.51088893, ' Bears': -1.3928223, 'Yes': -2.9092805, ' No': -2.9417877, 'No': -3.43827}
{' Yes': -1.0935975, ' No': -1.253958, 'No': -1.4290143, ' Bears': -2.619036, 'Yes': -2.9549983}
{' Yes': -0.010808816, ' yes': -4.960666, 'Yes': -5.937284, ' ': -7.739059, ' No': -7.866762}
{' Yes': -0.0071348986, ' yes': -5.6103168, 'Yes': -5.89924, ' ': -7.7946463, '\n': -8.766587}
{' Yes': -0.010200573, ' yes': -5.3282013, 'Yes': -5.769026, ' No': -6.63587, ' Bears': -8.097792}
{' Yes': -0.22433415, ' No': -1.6426654, 'Yes': -5.78849, ' yes': -6.2542257, 'No': -6.7610426}
{' Yes': -0.070868954, 'Yes': -3.4433832, '\n': -4.5364122, ' No': -4.7024527, ' yes': -4.9706855}
{' Yes': -0.051360916, 'Yes': -3.365902, '\n': -4.837734, ' yes': -5.554654, ' ': -6.3729396}
{' Yes': -0.055570632, 'Yes': -3.476219, ' No': -5.372131, '\n': -5.406448, ' yes': -5.6252265}
{' Yes': -0.057375133, 'Yes': -3.2035446, ' No': -4.9970226, '\n': -5.884065, ' yes': -6.1478896}
{' Yes': -0.26240373, '\n': -1.8267311, 'Yes': -3.119204, ' ': -4.688051, ' No': -5.0924554}
{' Yes': -0.19661577, '\n': -2.1417623, 'Yes': -3.0315595, ' ': -5.0216713, ' yes': -5.803889}
{' Yes': -0.324315, '\n': -1.9120626, ' Bears': -2.9728687, 'Yes': -3.2674015, ' No': -4.0100565}
{' Yes': -0.27836132, '\n': -1.904376, 'Yes': -2.913369, ' No': -4.0369477, ' Bears': -4.782279}
{' Yes': -0.013453426, 'Yes': -4.7252183, ' yes': -6.4297376, '\n': -6.92385, ' No': -7.2873087}
{' Yes': -0.012164879, 'Yes': -4.7549624, ' yes': -6.98698, '\n': -7.2461424, ' A': -7.3092184}
{' Yes': -0.031015381, 'Yes': -4.3813515, ' Bears': -5.267166, ' No': -5.295908, ' Generally': -5.7151446}
{' Yes': -0.087408766, ' No': -2.8578556, 'Yes': -4.3066335, 'No': -5.5214257, ' Bears': -5.575539}
{' No': -1.0592246, ' Yes': -1.2698302, '\n': -1.8830619, 'No': -2.122087, 'Yes': -2.748756}
{' Yes': -0.32677165, 'Yes': -1.7658796, '\n': -2.4730597, ' No': -4.9600015, ' ': -5.0206017}
{' Yes': -0.8935383, ' No': -1.1986989, 'No': -2.2667758, '\n': -2.4515142, 'Yes': -2.9048355}
{' No': -0.44958344, 'No': -1.6506256, ' Yes': -2.5835748, '\n': -2.5983012, 'Yes': -4.427799}
{' Yes': -0.08827618, ' yes': -2.8434374, 'Yes': -3.9856608, '\n': -5.762433, ' ': -6.5125628}
{' Yes': -0.06967629, ' yes': -3.3337595, 'Yes': -3.8138168, '\n': -5.0959616, ' ': -6.224486}
{' Yes': -0.10633918, ' yes': -3.058169, 'Yes': -3.625918, ' Bears': -4.7016225, '\n': -4.8085237}
{' Yes': -0.069269285, ' yes': -3.6305447, 'Yes': -3.7362497, '\n': -5.3828297, ' No': -5.7289753}
{' Yes': -0.01215595, '\n': -5.6270275, ' No': -5.8677044, 'Yes': -5.9279733, ' ': -6.6193943}
{' Yes': -0.008644364, 'Yes': -5.5979843, '\n': -6.4388294, ' A': -6.7178926, ' No': -7.2677}
{' Yes': -0.15906031, ' Bears': -2.645127, '\n': -3.471362, ' No': -3.9308212, ' Generally': -4.497908}
{' Yes': -0.16670492, ' No': -2.757939, ' Bears': -3.1621082, '\n': -3.4799526, ' Generally': -5.113618}
{' Yes': -0.44072402, ' No': -1.66557, '\n': -2.3493774, ' ': -4.060948, ' A': -4.061793}
{' Yes': -0.18460757, '\n': -2.4959803, ' No': -3.6048114, 'Yes': -4.0714235, ' ': -4.1452265}
{' Yes': -0.37463662, '\n': -1.959937, ' Bears': -2.7860782, ' No': -3.0170906, ' ': -4.044614}
{' No': -0.94561857, '\n': -1.418355, ' Yes': -1.5104818, ' Bears': -2.7650497, 'No': -3.4375887}
{' Yes': -0.113815464, '\n': -3.2721157, ' A': -3.801941, ' No': -3.9138238, 'Yes': -4.234064}
{' Yes': -0.16953132, '\n': -2.5688193, ' A': -3.4642298, 'Yes': -4.0857663, ' ': -4.2492714}
{' Yes': -0.56784874, ' Bears': -1.2208352, '\n': -2.8164485, ' No': -3.1261218, ' ': -4.4401307}
{' Yes': -0.5435357, ' Bears': -1.7687439, '\n': -1.9558512, ' No': -2.664309, ' ': -3.943087}
{' Yes': -0.09592609, '\n': -3.4586046, ' No': -3.557964, ' ': -4.0972075, ' A': -4.7435203}
{' Yes': -0.02900272, '\n': -4.7558303, ' A': -5.1346774, 'Yes': -5.222732, ' ': -5.2583823}
{' Bears': -0.6815617, ' Yes': -1.0414308, '\n': -2.636064, ' No': -3.59262, ' ': -4.00925}
{' Yes': -0.29226163, ' Bears': -2.1045442, ' No': -2.6582625, '\n': -3.3935342, ' Generally': -4.562067}
