{' Yes': -0.0025378054, 'Yes': -6.061555, ' yes': -9.673789, '\n': -9.904489, ' Spider': -10.603524}
{' Yes': -0.0010615359, 'Yes': -7.0315156, ' Super': -9.571811, ' YES': -10.693604, ' yes': -10.884203}
{' Yes': -0.016183725, ' No': -4.2719874, 'Yes': -6.3466506, ' Nope': -9.755966, 'No': -10.017878}
{' Yes': -0.056979362, ' No': -2.935401, ' Nope': -7.109747, 'Yes': -7.1472406, ' Yeah': -8.7595}
{' Yes': -0.60978246, ' Stars': -1.5247719, ' St': -1.5643667, 'Yes': -4.6021175, ' No': -5.0190096}
{' Yes': -0.15993944, ' Stars': -2.5513139, ' St': -3.094014, 'Yes': -4.4026666, ' No': -4.8693447}
{' Yes': -0.0012091087, 'Yes': -6.810228, ' Doctor': -9.950811, ' yes': -10.125956, ' YES': -11.855515}
{' Yes': -0.0099635925, ' Doctor': -4.9203677, 'Yes': -6.1235685, ' No': -8.304589, ' yes': -9.63852}
{' Yes': -0.652865, ' No': -0.8182397, ' Rot': -4.1582828, ' R': -5.096043, ' Not': -5.3697047}
{' Yes': -0.5127629, ' No': -0.97427833, ' Rot': -5.038549, ' Not': -5.472792, 'Yes': -5.692825}
{' Yes': -0.123952754, ' Tennis': -2.7838778, ' No': -3.0653534, 'Yes': -5.541588, ' Ten': -6.169763}
{' Yes': -0.64316887, ' Tennis': -0.93924475, ' Tenn': -3.0466015, ' Ten': -4.1952167, ' No': -4.6502585}
{' Yes': -0.060116403, ' Bucket': -3.491097, ' No': -3.9401193, 'Yes': -5.236878, ' Buck': -6.403697}
{' Yes': -0.28718877, ' Bucket': -1.570245, ' Buck': -3.7111273, ' No': -4.869916, 'Yes': -5.4402514}
{' Yes': -0.06645358, ' States': -3.2539952, 'Yes': -4.5849147, ' St': -4.906694, ' No': -5.081433}
{' Yes': -0.099508636, ' States': -2.9212935, ' No': -3.5990584, 'Yes': -4.8474197, ' St': -5.5343175}
{' Yes': -0.0014877791, 'Yes': -6.783771, ' No': -8.735943, ' Sure': -9.454505, ' YES': -10.908475}
{' Yes': -0.0022575266, 'Yes': -6.513589, ' No': -7.4410543, ' Sure': -9.210961, ' Yep': -10.98402}
{' Yes': -0.0958265, ' No': -3.1607141, ' In': -3.1738923, 'Yes': -5.650289, ' Breat': -6.8960047}
{' No': -0.09892638, ' Yes': -2.608339, ' Nope': -4.8850307, 'No': -5.0197353, ' In': -6.122179}
{' Yes': -0.0020166228, 'Yes': -6.4490395, ' Loving': -8.118418, ' yes': -9.951553, ' YES': -9.978275}
{' Yes': -0.001365056, 'Yes': -6.7348075, ' Sure': -9.978636, ' YES': -10.26794, ' yes': -10.508157}
{' Yes': -0.020431977, ' No': -4.5488973, ' Turtle': -4.973498, 'Yes': -6.0987053, ' Absolutely': -9.417833}
{' Yes': -0.19814241, ' No': -1.7305062, 'Yes': -6.7765055, ' Turtle': -7.1168833, 'No': -8.1355505}
{' Yes': -0.004740167, 'Yes': -6.122747, ' No': -6.164251, ' Butter': -8.474619, ' yes': -10.088327}
{' Yes': -0.07805812, ' Butter': -2.764572, ' No': -4.982891, 'Yes': -5.7583556, ' But': -7.0400205}
{' Yes': -0.0015825169, 'Yes': -7.041269, ' No': -7.3651786, ' yes': -10.318309, ' YES': -11.6286}
{' Yes': -0.004037323, ' No': -5.822297, 'Yes': -6.942275, ' yes': -10.025592, 'No': -11.593211}
{' Yes': -0.01624521, ' No': -4.278517, 'Yes': -6.320541, ' Twelve': -9.476001, ' Eleven': -9.563248}
{' Yes': -0.11604855, ' No': -2.2391717, 'Yes': -6.3855486, ' Eleven': -8.043423, ' Twelve': -8.216938}
{' Yes': -0.0075938823, 'Yes': -5.112574, ' She': -7.093699, ' No': -8.332086, ' yes': -9.2462}
{' Yes': -0.007169115, 'Yes': -5.0579977, ' She': -8.233279, ' No': -8.978841, ' yes': -9.290526}
{' Yes': -0.003097463, 'Yes': -5.96363, ' YES': -8.991946, ' No': -9.003263, ' yes': -9.348893}
{' Yes': -0.0054295384, 'Yes': -5.5286283, ' No': -7.4511228, ' YES': -8.507513, ' Stress': -8.697724}
{' Yes': -0.04332062, ' No': -3.439223, 'Yes': -5.2310147, ' Sunset': -5.769418, ' Sure': -7.003463}
{' Yes': -0.045494474, ' No': -4.389193, ' Sunset': -4.5309143, 'Yes': -4.786429, ' Sun': -5.0914764}
{' Yes': -0.0058873217, ' No': -5.3222094, 'Yes': -7.09538, ' Sure': -9.402154, ' Minute': -10.746107}
{' Yes': -0.024987465, ' No': -4.2391634, ' Minute': -4.83228, 'Yes': -6.3820543, ' Sure': -8.917011}
{' Yes': -0.001945616, ' No': -6.916591, 'Yes': -6.9960804, ' yes': -11.326017, ' Sure': -12.06196}
{' Yes': -0.0021819596, ' No': -6.725118, 'Yes': -7.160554, ' Sure': -8.814438, ' Yep': -11.40984}
{' Yes': -0.054747805, ' No': -3.3755388, ' Wa': -4.6263475, 'Yes': -5.707248, ' Water': -6.218416}
{' Yes': -0.014785487, ' Wa': -5.346741, ' No': -5.6497364, 'Yes': -5.885614, ' Water': -6.565759}
{' Yes': -0.18531151, ' No': -1.7957641, 'Yes': -6.4049344, 'No': -7.315844, ' Fr': -8.014647}
{' Yes': -0.1768008, ' No': -1.8369266, 'Yes': -6.624644, 'No': -7.6391115, ' Nope': -8.220702}
{' Yes': -0.026199754, ' No': -4.023136, ' Length': -4.9629273, 'Yes': -7.084322, ' Nope': -10.458473}
{' Yes': -0.14507194, ' No': -2.1029234, ' Length': -4.526299, 'Yes': -6.726157, ' Nope': -7.7847695}
{' Yes': -0.001064641, 'Yes': -7.0588036, ' No': -9.200619, ' yes': -10.0846615, ' Sure': -10.418694}
{' Yes': -0.0013750235, 'Yes': -6.7643332, ' Sure': -9.365931, ' yes': -9.940048, ' No': -10.345893}
{' Yes': -0.0019571378, 'Yes': -6.5837703, ' No': -8.165888, ' Sure': -8.845245, ' yes': -9.780873}
{' Yes': -0.00758133, 'Yes': -5.671714, ' No': -5.961383, ' Sure': -7.339112, ' Absolutely': -8.401899}
{' Yes': -0.034339715, ' No': -3.862392, ' Mus': -5.180446, 'Yes': -5.8804145, ' Muscle': -5.9241214}
{' Yes': -0.124367364, ' No': -2.7889123, ' Mus': -3.5299916, ' Muscle': -4.003308, 'Yes': -5.6023874}
{' Empire': -0.5859668, ' Yes': -0.92423505, ' Em': -3.7610688, ' Emperor': -4.0012994, 'Yes': -6.3225837}
{' Empire': -0.4468329, ' Yes': -1.51207, ' Em': -2.0963786, ' Emperor': -4.497351, ' No': -6.566878}
{' No': -0.087379165, ' Yes': -3.2988067, ' Nope': -3.529842, 'No': -5.145366, ' Kn': -5.469155}
{' No': -0.085817166, ' Nope': -3.2512298, ' Yes': -3.4110959, 'No': -5.2422557, ' Kn': -6.048404}
{' Yes': -0.0010034231, 'Yes': -7.1192613, ' No': -9.67699, ' Sure': -10.487165, ' YES': -10.779984}
{' Yes': -0.0008298151, 'Yes': -7.305753, ' No': -9.489455, ' Sure': -10.705898, ' yes': -10.97271}
{' Yes': -0.00080738415, 'Yes': -7.3020635, ' No': -9.136511, ' yes': -11.3944845, ' YES': -12.0171995}
{' Yes': -0.009327704, ' No': -5.3399777, 'Yes': -5.7445374, ' St': -7.959754, ' YES': -8.322279}
{' Yes': -0.013297574, ' No': -4.992637, 'Yes': -5.7178526, ' Dagger': -6.1742067, ' yes': -7.583859}
{' Yes': -0.010729289, ' No': -4.838446, 'Yes': -6.0660825, ' yes': -9.091891, ' Dagger': -9.18467}
{' Yes': -0.031650927, ' No': -3.5318604, 'Yes': -6.37422, 'No': -9.398136, ' YES': -10.307788}
{' Yes': -0.0068199043, ' No': -5.308517, 'Yes': -6.4245844, ' Direct': -9.98045, ' yes': -10.023831}
{' Yes': -0.06599314, ' No': -2.7929924, 'Yes': -6.383108, ' Maybe': -7.659872, 'No': -8.868882}
{' Yes': -0.016569793, ' No': -4.2994103, 'Yes': -6.1412525, ' yes': -8.821288, ' YES': -8.840095}
{' No': -0.68087775, ' Yes': -0.81789404, ' Office': -4.0100718, ' Off': -4.2017, ' Nope': -4.6344776}
{' Yes': -0.02966745, ' No': -4.047253, ' Office': -5.359511, 'Yes': -5.395207, ' Off': -6.9806848}
{' No': -0.38792816, ' Yes': -1.3165017, ' Behind': -3.1430779, 'No': -5.826245, ' Bind': -6.3516665}
{' Yes': -0.01364525, ' No': -4.5464706, 'Yes': -6.052126, ' Possibly': -9.365432, ' Maybe': -9.36635}
{' Yes': -0.10100111, ' Thread': -2.4107068, ' No': -6.10871, 'Yes': -6.466667, 'Thread': -7.527096}
{' Yes': -0.58312047, ' Thread': -0.86126155, ' No': -4.809663, ' Dread': -6.042675, 'Thread': -6.231237}
{' Yes': -0.10318782, ' No': -3.1122696, ' Sure': -4.2172527, 'Yes': -4.7079234, ' Issue': -4.960164}
{' Yes': -0.051121946, ' No': -3.7710278, ' Sure': -4.4685354, 'Yes': -5.0757685, ' Issue': -6.194441}
{' Yes': -0.028903812, ' Sure': -3.994495, ' No': -4.8633823, 'Yes': -6.292759, ' yes': -9.628378}
{' Yes': -0.043008763, ' Sure': -3.3982716, 'Yes': -5.6142397, ' No': -5.845155, ' S': -8.056087}
{' Yes': -0.15001513, ' No': -2.0846255, ' Fl': -4.9760647, 'Yes': -5.152025, ' Nope': -7.8682413}
{' Yes': -0.12860526, ' No': -2.187956, 'Yes': -4.97542, 'No': -7.938411, ' Fl': -8.234044}
{' Yes': -0.01582451, ' No': -4.503072, 'Yes': -5.6192293, ' Sne': -7.6497107, ' yes': -8.862272}
{' Yes': -0.03663687, ' No': -3.4504154, 'Yes': -5.6787896, ' Sne': -8.357349, ' Nope': -9.060863}
{' Yes': -0.070077114, ' Better': -2.746354, 'Yes': -5.9746847, 'Better': -8.295135, ' Bet': -9.084669}
{' Yes': -0.0037210884, 'Yes': -6.0062275, ' Better': -7.250816, ' No': -8.194958, ' yes': -9.698958}
{' Yes': -0.014180385, ' No': -4.3587255, 'Yes': -6.7604012, 'No': -10.564919, ' yes': -10.610364}
{' Yes': -0.043499332, ' No': -3.2689, ' Purple': -6.19433, 'Yes': -6.2982826, ' Nope': -8.965385}
{' Yes': -0.010197742, ' No': -5.4590306, 'Yes': -5.856662, ' Animal': -5.8747835, ' yes': -9.630419}
{' Yes': -0.13188702, ' Animal': -2.4163525, ' No': -3.6595452, 'Yes': -5.0748243, 'No': -7.890711}
{' Hel': -0.077940136, ' Yes': -2.7946756, ' Help': -5.2771225, 'Helper': -5.6237087, ' Helic': -6.289384}
{' Hel': -0.12588501, ' Yes': -2.2338543, ' Help': -5.322099, 'Helper': -5.940992, 'Hel': -7.1152024}
{' Yes': -0.035530493, ' No': -3.3903677, 'Yes': -6.958544, 'No': -9.290744, ' Nope': -10.343021}
{' Yes': -0.0023590894, 'Yes': -6.3008013, ' No': -7.9786677, ' yes': -10.181391, ' Sure': -10.526597}
{' Yes': -0.008149566, ' No': -5.68748, 'Yes': -5.7398715, ' Branch': -6.690717, ' yes': -9.29699}
{' Yes': -0.031158766, ' Branch': -3.9265099, 'Yes': -4.819046, ' No': -6.5373497, ' Br': -7.7127295}
{' Yes': -0.0046726735, 'Yes': -5.8417788, ' No': -6.617881, ' Possibly': -8.85502, ' Maybe': -9.933591}
{' Yes': -0.022704242, ' No': -4.4422045, ' Pretty': -5.323352, 'Yes': -5.577304, ' Possibly': -7.3188796}
{' Yes': -0.14132349, ' No': -2.2494607, ' Ign': -4.540461, ' Ignore': -4.6005783, ' Sure': -6.1202674}
{' No': -0.104210675, ' Yes': -2.3381984, 'No': -7.1988897, ' Nope': -7.4110627, ' Ignore': -7.496601}
{' Yes': -0.71345025, ' Divide': -0.7681397, ' No': -3.143681, ' Div': -6.55919, 'Yes': -7.010289}
{' Yes': -0.41359, ' Divide': -1.1054769, ' No': -5.3485494, 'Yes': -6.747433, ' Div': -6.915188}
{' Yes': -0.15564242, ' Hammer': -1.957507, 'Yes': -6.368573, ' Ham': -7.525217, 'hammer': -8.853272}
{' Yes': -0.06669306, ' Hammer': -2.7860227, 'Yes': -6.4642525, ' No': -7.4463577, ' Ham': -8.102646}
{' Yes': -0.002037768, 'Yes': -6.3553486, ' No': -8.668558, ' Second': -10.588474, ' yes': -10.696764}
{' Yes': -0.0031407508, 'Yes': -6.0076475, ' No': -7.809833, ' yes': -9.794726, ' Sure': -10.186908}
{' No': -0.13839598, ' Yes': -2.226384, 'No': -4.6090846, ' Mount': -5.705931, 'Yes': -6.844559}
{' No': -0.49031204, ' Yes': -0.96775, 'No': -5.451846, 'Yes': -6.1702895, ' Nope': -7.700969}
{' Yes': -0.046853002, ' Ex': -3.176644, 'Yes': -5.837975, ' No': -7.8865323, 'Ex': -8.538509}
{' Yes': -0.41014838, ' No': -1.152149, ' Ex': -4.4482436, ' Nope': -5.403936, 'Yes': -6.5061336}
{' Yes': -0.0012473016, 'Yes': -7.503689, ' No': -7.612896, ' Dollar': -8.906516, ' yes': -10.708311}
{' Yes': -0.00079927134, 'Yes': -7.4682198, ' No': -8.764355, ' yes': -10.901015, ' Sure': -11.011257}
{' Yes': -0.04851738, ' Planet': -3.4471512, ' No': -4.358799, 'Yes': -6.1010704, ' Plane': -8.935341}
{' Yes': -0.41498226, ' Planet': -1.1301216, ' No': -4.368754, 'Yes': -6.0979137, 'Planet': -7.141051}
{' Yes': -0.018258452, ' No': -4.403581, 'Yes': -5.7043023, ' Car': -6.216462, ' yes': -9.178163}
{' Yes': -0.019434476, ' No': -4.2179265, 'Yes': -5.767733, ' Car': -7.0621943, ' yes': -9.317676}
{' Yes': -0.005241677, 'Yes': -6.1255856, ' Ass': -6.29031, ' No': -6.9466724, ' Absolutely': -9.4076185}
{' Yes': -0.05828738, ' No': -3.0052915, 'Yes': -5.512648, ' Ass': -6.3090706, 'No': -8.324936}
{' Circ': -0.7185724, ' Circus': -1.4005677, ' Cir': -1.9506282, ' Yes': -2.5409353, ' No': -3.3303354}
{' Circ': -0.6415697, ' Circus': -1.191401, ' Cir': -2.0784404, ' Yes': -3.4942117, ' No': -5.088553}
{' Yes': -0.011489362, ' No': -4.972253, 'Yes': -5.7068796, ' Balloon': -7.847003, ' yes': -8.76213}
{' Yes': -0.030105686, ' No': -4.294569, 'Yes': -5.296789, ' Bullet': -6.0160522, ' Balloon': -6.3335366}
{' Yes': -0.0048752245, ' No': -5.59238, 'Yes': -7.066429, ' Finger': -9.07412, ' Sure': -9.752354}
{' Yes': -0.0105187455, ' No': -4.8127117, 'Yes': -6.7830367, ' Finger': -6.935495, ' yes': -9.846742}
{' Law': -0.94607747, ' Yes': -1.1504881, ' No': -1.428242, ' L': -4.3965397, 'Law': -4.932662}
{' Yes': -0.12611988, ' No': -2.450213, ' Law': -4.4874516, 'Yes': -5.4291363, ' L': -6.171864}
{' Yes': -0.024942733, ' Smooth': -4.1514645, ' No': -5.4648952, 'Yes': -5.6289024, ' Sm': -7.6133094}
{' Yes': -0.06600128, ' Smooth': -3.139707, ' No': -4.5661345, 'Yes': -5.30697, ' Sm': -5.5747137}
{' Yes': -0.025232067, ' No': -4.3615456, ' Cancer': -4.591364, 'Yes': -6.377424, ' yes': -9.531548}
{' Yes': -0.1498173, ' No': -2.0709121, ' Cancer': -4.642674, 'Yes': -6.1364465, 'No': -7.799058}
{' Yes': -0.09503615, ' Sc': -2.5611005, 'Yes': -5.0565367, ' Scar': -6.09296, ' Scare': -6.2766633}
{' Yes': -0.0038235774, 'Yes': -5.9043016, ' Sc': -7.2912626, ' No': -8.94064, ' yes': -9.384339}
{' Yes': -0.38497832, ' No': -1.1537199, 'Yes': -6.150653, 'No': -6.681124, ' Nope': -7.712519}
{' Yes': -0.026432106, ' No': -3.8743763, 'Yes': -5.386183, ' Nope': -8.5670395, 'No': -8.889625}
{' Yes': -0.09972916, ' No': -2.4129443, 'Yes': -5.9247694, ' Ex': -6.558942, 'No': -8.28927}
{' Yes': -0.08634161, ' No': -2.6237886, ' Ex': -5.1366935, 'Yes': -5.866977, '\n': -7.542152}
{' Yes': -0.10944563, ' No': -2.2810345, 'Yes': -7.0831122, ' Nope': -8.26584, ' Maybe': -8.724397}
{' Yes': -0.24475402, ' No': -1.5342075, 'Yes': -7.0158896, 'No': -8.064406, ' Nope': -8.955039}
{' No': -0.043386724, ' Yes': -3.2647822, 'No': -5.824838, ' Nope': -7.1878033, ' Not': -8.641958}
{' No': -0.40642592, ' Yes': -1.1219907, 'No': -5.6780744, ' Cow': -6.039761, 'Yes': -6.709608}
{' Finish': -0.6817629, ' Yes': -0.9325773, ' No': -2.4801254, ' Fish': -5.6726017, 'Yes': -5.7994366}
{' Yes': -0.33232412, ' Finish': -1.4336444, ' No': -3.534724, 'Yes': -5.24471, ' Fish': -5.5977807}
{' Yes': -0.106080465, ' No': -2.3819954, 'Yes': -5.6313033, ' Puzzle': -6.2510495, ' Possibly': -7.709262}
{' Yes': -0.013184506, ' No': -5.056447, 'Yes': -5.470792, ' Puzzle': -6.9215226, ' Possibly': -7.825216}
{' Yes': -0.0017846196, 'Yes': -6.793967, ' Repeat': -7.6781816, ' No': -9.436822, ' yes': -10.6234865}
{' Yes': -0.010041736, ' Repeat': -4.8121257, 'Yes': -6.7812433, ' No': -7.8854284, ' Repe': -8.339799}
{' Yes': -0.0017804388, 'Yes': -6.5991883, ' Spider': -8.220845, ' yes': -9.838574, ' YES': -9.91108}
{' Yes': -0.002991938, 'Yes': -6.433923, ' Spider': -6.995776, ' No': -8.312329, ' yes': -9.511199}
{' Yes': -0.009867633, ' Candle': -5.0953245, 'Yes': -6.4257836, ' No': -6.8067975, ' Cand': -7.397536}
{' Yes': -0.029331531, ' Candle': -3.780087, ' Cand': -6.020708, 'Yes': -6.1357403, ' No': -7.1469784}
{' Yes': -0.0036232146, 'Yes': -6.4125853, ' No': -6.7325506, ' Thr': -8.349767, '\n': -8.714089}
{' Yes': -0.004577882, ' No': -6.098509, 'Yes': -6.3797717, '\n': -8.73118, ' Thr': -8.999904}
{' Yes': -0.006761033, ' No': -5.7337174, 'Yes': -6.1793523, ' Beach': -6.88456, ' yes': -9.225778}
{' Yes': -0.0034621272, 'Yes': -6.3048058, ' No': -6.667509, ' Beach': -8.803686, ' yes': -9.383181}
{' Yes': -0.00089448155, 'Yes': -7.1205864, ' No': -9.831669, ' yes': -11.137403, ' YES': -11.657058}
{' Yes': -0.006102052, ' No': -5.510914, 'Yes': -6.4597816, ' Flower': -8.138788, ' yes': -9.53317}
{' Yes': -0.27853957, ' No': -1.4215926, 'Yes': -6.7426844, 'No': -7.664219, '\n': -9.920335}
{' Yes': -0.6717697, ' No': -0.72230864, 'Yes': -6.4012747, 'No': -6.5171194, '\n': -9.392822}
{' Yes': -0.365284, ' No': -1.4137231, ' Indian': -2.8763978, 'Yes': -5.9392104, 'No': -6.5263305}
{' No': -0.2786785, ' Yes': -1.4838786, ' Indian': -4.527351, 'No': -5.7566957, 'Yes': -7.0200076}
{' Yes': -0.48469502, ' Orange': -0.9686409, ' No': -5.769098, 'Yes': -7.2371683, ' Or': -8.644139}
{' Yes': -0.11296025, ' Orange': -2.2655003, ' No': -6.453458, 'Yes': -6.81479, ' yes': -9.3967905}
{' Yes': -0.0046560867, 'Yes': -5.9666247, ' Hungry': -6.405782, ' No': -8.209785, ' YES': -9.972259}
{' Yes': -0.010106639, ' No': -5.125957, ' Hungry': -6.1297092, 'Yes': -6.3644347, ' YES': -10.16056}
{' Yes': -0.5972264, ' No': -0.92986226, ' Number': -2.9788108, 'No': -6.371472, 'Yes': -6.532298}
{' Yes': -0.89846057, ' No': -0.9272215, ' Number': -1.6466982, 'No': -6.329075, 'Yes': -6.7631536}
{' No': -0.5324447, ' Yes': -1.1228969, ' Mirror': -2.520886, ' Mir': -5.608025, 'No': -6.4306235}
{' No': -0.22693649, ' Yes': -1.6373081, ' Mirror': -5.162876, 'No': -6.7974815, ' Mir': -6.8141327}
{' Yes': -0.0004924058, 'Yes': -7.670671, ' yes': -11.396905, ' YES': -11.499358, '\n': -13.527899}
{' Yes': -0.0010504994, 'Yes': -6.8871546, ' yes': -11.581501, ' YES': -11.586149, '\n': -11.9792}
{' Yes': -0.09793753, ' No': -2.768834, ' Pepper': -4.038394, ' Pe': -4.983474, 'Yes': -5.5060735}
{' Yes': -0.08620036, ' No': -2.6881764, ' Pepper': -5.1096454, 'Yes': -5.6679626, ' Pe': -5.766305}
{' Yes': -0.0046132114, 'Yes': -5.7658143, ' No': -6.8931203, ' Cheese': -8.256976, ' Che': -9.648782}
{' Yes': -0.0022817822, 'Yes': -6.287636, ' No': -8.50275, ' Cheese': -8.936983, ' YES': -10.726043}
{' Yes': -0.023826338, ' No': -3.9125247, 'Yes': -6.1578035, ' Nope': -7.390443, ' Neph': -8.293895}
{' Yes': -0.10070344, ' No': -2.4910328, ' Nope': -5.481721, 'Yes': -5.548037, ' Neph': -6.114096}
{' Yes': -0.1886858, ' No': -1.9073976, ' Squ': -4.7073283, ' Square': -4.96689, ' Sure': -5.6020384}
{' Yes': -0.09826647, ' No': -2.589155, ' Sure': -4.9054065, ' Squ': -5.249307, 'Yes': -5.71406}
{' Yes': -0.0010190536, 'Yes': -7.1464252, ' No': -9.300684, ' Change': -9.616543, '\n': -10.410889}
{' Yes': -0.0049868147, ' No': -5.664873, 'Yes': -6.8974786, ' Change': -7.845619, '\n': -10.336619}
{' Yes': -0.006703487, 'Yes': -5.669714, ' No': -6.076222, ' Leaves': -7.663508, ' YES': -8.523564}
{' Yes': -0.031668093, ' No': -3.7392619, 'Yes': -5.2974358, ' Leaves': -6.347818, ' YES': -8.663717}
{' Yes': -0.22923455, ' Ending': -1.765102, ' No': -3.519796, 'Yes': -5.842882, ' End': -7.9209146}
{' Yes': -0.32620102, ' Ending': -1.598862, ' No': -2.6398911, 'Yes': -5.832964, ' End': -7.29346}
{' Yes': -0.15214336, ' Energy': -1.9857327, 'Yes': -6.38289, ' No': -6.730594, 'Energy': -7.9751635}
{' Yes': -0.10856553, ' Energy': -2.320001, 'Yes': -6.2165403, ' No': -6.5202203, 'Energy': -8.047833}
{' Yes': -0.0035931852, ' Father': -6.244069, 'Yes': -6.9544806, ' No': -7.5280905, ' yes': -9.841618}
{' Yes': -0.0011352313, 'Yes': -6.9308906, ' No': -9.294296, ' Father': -10.670546, ' YES': -11.144088}
{' No': -0.18623473, ' Yes': -1.851657, ' Pen': -4.8760767, 'No': -5.546889, 'Yes': -7.321167}
{' Yes': -0.039495364, ' No': -3.3570156, 'Yes': -6.216369, ' Pen': -6.6300364, ' yes': -8.652173}
{' Yes': -0.036834434, ' Street': -3.3814883, 'Yes': -6.3642464, ' YES': -9.040371, ' yes': -9.076747}
{' Yes': -0.029063283, ' Street': -3.6610575, 'Yes': -6.1421556, ' YES': -8.372119, ' No': -8.404691}
{' Yes': -0.0011290851, 'Yes': -7.241585, ' Strong': -7.9973373, ' yes': -10.405647, '\n': -10.910739}
{' Yes': -0.00093481154, 'Yes': -7.12818, ' Strong': -9.582422, ' yes': -10.701876, '\n': -10.84547}
{' Yes': -0.012964931, ' Seller': -4.4595175, 'Yes': -7.003775, ' No': -8.5144415, ' yes': -9.402699}
{' Yes': -0.0042441147, ' Seller': -5.7889977, 'Yes': -7.0913196, ' yes': -9.008654, ' No': -9.032831}
{' Yes': -0.025661822, ' No': -3.988207, ' Bl': -5.2456055, 'Yes': -6.678091, ' yes': -9.060837}
{' Yes': -0.10142493, ' No': -2.4369524, ' Bl': -5.008661, 'Yes': -6.4890614, ' yes': -8.069223}
{' Yes': -0.0008937663, 'Yes': -7.240289, ' No': -9.100764, ' yes': -10.529033, ' YES': -11.195918}
{' Yes': -0.0030431743, ' No': -6.7065873, 'Yes': -6.730904, ' B': -8.044659, '\n': -9.550287}
{' Yes': -0.0008562409, 'Yes': -7.257074, ' No': -9.077074, ' yes': -10.829158, ' YES': -11.329799}
{' Yes': -0.037757166, ' No': -3.4533951, ' Prince': -6.0615244, 'Yes': -6.27828, ' Princess': -8.218888}
{' Yes': -0.0027124882, 'Yes': -6.2479057, ' No': -7.727945, ' Parent': -8.824806, ' yes': -9.67641}
{' Yes': -0.0106138615, ' Parent': -5.134275, 'Yes': -5.655408, ' No': -7.616207, ' Parents': -8.690677}
{' Yes': -0.0010145209, 'Yes': -6.9672327, ' No': -10.532931, ' YES': -11.029996, ' yes': -11.067746}
{' Yes': -0.0006771106, 'Yes': -7.3650875, ' No': -11.154219, ' yes': -11.545524, '\n': -11.558461}
{' Yes': -0.047118504, ' Weight': -3.7264566, ' No': -3.9852743, 'Yes': -6.112195, ' We': -7.6507344}
{' Yes': -0.21829683, ' No': -1.7568177, ' Weight': -3.8919551, 'Yes': -6.9946504, ' Nope': -7.240415}
{' Yes': -0.07885774, ' St': -3.0834544, ' Stars': -4.3615055, 'Yes': -4.535372, ' No': -5.8611345}
{' Yes': -0.152138, ' Stars': -2.65708, ' St': -3.0250912, 'Yes': -4.5042706, ' No': -5.1515408}
{' Yes': -0.0010297364, 'Yes': -7.10715, ' Doctor': -8.913888, ' yes': -9.930011, ' YES': -11.46092}
{' Yes': -0.008154613, ' Doctor': -5.1438127, 'Yes': -6.2594647, ' No': -8.837152, ' yes': -9.189176}
{' No': -0.3149778, ' Yes': -1.5361729, ' Rot': -3.40551, ' R': -4.49928, 'No': -5.557216}
{' No': -0.31515574, ' Yes': -1.4208056, ' Rot': -4.2849545, ' R': -5.436007, 'No': -5.8664126}
{' Yes': -0.049139194, ' No': -3.3045044, ' Tennis': -4.799759, 'Yes': -5.995954, '\n': -9.288253}
{' Yes': -0.020105952, ' Tennis': -4.775393, ' No': -4.853588, 'Yes': -5.766083, ' Tenn': -8.928753}
{' Yes': -0.118124224, ' Bucket': -2.8101177, ' No': -3.153322, 'Yes': -5.5474873, ' Buck': -5.7899}
{' Yes': -0.28609785, ' Bucket': -1.6758455, ' No': -3.3280082, ' Buck': -4.0181913, 'Yes': -5.547608}
{' Yes': -0.025142092, ' States': -4.3703737, ' No': -4.9367895, 'Yes': -5.466886, ' YES': -8.283081}
{' Yes': -0.11661482, ' States': -2.5265613, ' No': -3.9403262, 'Yes': -5.0432544, ' St': -6.236217}
{' Yes': -0.0024301903, 'Yes': -6.45072, ' No': -7.540167, ' Coffee': -9.517567, ' YES': -9.984369}
{' Yes': -0.003075817, 'Yes': -6.256393, ' No': -7.3638887, ' Coffee': -8.6350565, ' Yep': -9.842009}
{' In': -0.23388776, ' Yes': -2.156848, ' No': -2.686635, ' inh': -4.1298285, ' inhal': -5.3541613}
{' No': -0.40438592, ' Yes': -1.2076772, ' In': -3.9558444, ' Nope': -5.3110747, 'No': -5.6299853}
{' Yes': -0.009850179, ' Loving': -4.976887, 'Yes': -6.2280164, ' Lov': -8.037256, ' YES': -8.476829}
{' Yes': -0.0039721546, 'Yes': -6.0607495, ' Loving': -7.375495, ' No': -7.8201475, ' YES': -8.593389}
{' Yes': -0.008295538, ' No': -5.4228597, ' Turtle': -6.071627, 'Yes': -6.7257175, ' yes': -9.350069}
{' Yes': -0.28312287, ' No': -1.4816626, ' Turtle': -4.04528, 'Yes': -6.9053164, 'No': -7.9380183}
{' Yes': -0.0051837387, 'Yes': -6.2050023, ' Butter': -6.2837286, ' No': -7.0366373, ' But': -8.976253}
{' Yes': -0.020336105, ' No': -4.7295356, ' Butter': -4.826473, 'Yes': -6.0990825, ' But': -7.7462406}
{' Yes': -0.012810062, ' No': -4.5123596, 'Yes': -6.650591, ' B': -8.321932, ' yes': -9.273972}
{' Yes': -0.027807375, ' No': -3.6496718, 'Yes': -6.8213634, ' B': -9.053442, ' yes': -9.499258}
{' Yes': -0.0140184965, ' No': -4.450341, 'Yes': -6.2865896, '\n': -9.141044, ' Twelve': -9.241076}
