{' Yes': -0.0031022474, 'Yes': -5.9189844, ' No': -8.122923, ' yes': -9.982982, '\n': -10.223577}
{' Yes': -0.015691582, ' Star': -4.9468074, 'Yes': -5.26247, ' Sure': -6.203605, ' Start': -7.5423927}
{' Yes': -0.006330442, 'Yes': -5.7010098, ' Star': -6.7748575, ' Sure': -6.8270507, ' Start': -8.202287}
{' Yes': -0.005470649, 'Yes': -5.63508, ' Card': -6.4916053, ' yes': -8.954475, ' No': -9.843971}
{' Yes': -0.0021497027, 'Yes': -6.2337284, ' yes': -9.466871, ' Card': -10.037496, ' No': -10.887019}
{' Yes': -0.42779917, ' Deer': -1.0720061, ' Dear': -6.4241214, 'Yes': -6.507717, ' De': -7.086418}
{' Deer': -0.49351177, ' Yes': -0.97612244, ' De': -5.286011, ' Dear': -5.685375, ' deer': -6.756923}
{' Yes': -0.020680396, ' Look': -4.5624948, ' No': -4.9336286, 'Yes': -6.1559663, ' YES': -8.860239}
{' Yes': -0.005653459, ' No': -5.649534, 'Yes': -6.452064, ' Look': -8.092091, ' yes': -9.749328}
{' Yes': -0.30011874, ' No': -1.377992, ' Gl': -5.6284456, ' Nope': -6.421241, 'Yes': -6.854707}
{' No': -0.54401094, ' Yes': -0.8866032, ' Gl': -5.454907, ' Nope': -6.2433248, 'No': -7.4018197}
{' Yes': -0.015054047, ' No': -4.3187113, 'Yes': -6.6892157, ' Less': -8.33282, ' yes': -10.44923}
{' Yes': -0.00773623, ' No': -5.3862205, 'Yes': -6.455801, ' Less': -6.686344, ' YES': -9.365823}
{' Yes': -0.0083384495, ' No': -5.2987967, 'Yes': -6.216335, ' Sure': -6.924379, ' Maybe': -9.144746}
{' Yes': -0.02234304, ' No': -3.9479334, 'Yes': -6.374842, ' Sure': -7.7406197, ' Nope': -8.368173}
{' Yes': -0.0022976727, ' Sure': -6.7862935, 'Yes': -6.8266406, ' No': -10.162343, ' yes': -11.787651}
{' Yes': -0.007952183, ' Sure': -5.7725925, 'Yes': -5.987182, ' Shoes': -6.351721, ' Sh': -8.251285}
{' Exit': -0.09030143, ' Yes': -2.501503, 'Exit': -6.0299487, ' No': -6.929227, ' Ex': -7.8359556}
{' Yes': -0.487314, ' Exit': -1.1202638, ' No': -2.8732696, 'Yes': -6.7414966, 'Exit': -6.9875574}
{' Yes': -0.020756887, ' No': -4.1895742, ' Lion': -5.893571, 'Yes': -6.083897, 'No': -9.139638}
{' Yes': -0.09574549, ' No': -2.429707, 'Yes': -6.373249, ' Lion': -7.067872, 'No': -7.9956846}
{' Yes': -0.03554754, ' Roof': -3.4728227, 'Yes': -5.8749866, ' No': -7.3653564, ' yes': -9.11269}
{' Roof': -0.2808382, ' Yes': -1.4359534, ' No': -5.369055, 'Yes': -7.05313, ' roof': -7.165026}
{' Want': -0.65142393, ' Yes': -0.76133496, ' W': -5.930222, ' Wanted': -6.014955, 'Want': -6.048341}
{' Yes': -0.38990408, ' Want': -1.1777211, ' No': -5.7142277, ' W': -5.725109, ' Wanted': -5.8724456}
{' Yes': -0.002825754, ' Wind': -6.4654183, 'Yes': -6.816117, ' yes': -10.186914, ' No': -10.250197}
{' Yes': -0.007107642, ' Wind': -5.8795094, ' No': -5.991347, 'Yes': -6.491381, ' Window': -9.503407}
{' Yes': -0.0012296953, 'Yes': -7.0215425, ' Foot': -8.791808, ' No': -9.452653, ' yes': -10.156127}
{' Yes': -0.0031601244, 'Yes': -6.3934145, ' Foot': -7.203141, ' No': -7.8017035, ' YES': -9.165032}
{' Yes': -0.710696, ' Hate': -0.71363336, ' No': -4.287488, ' Hat': -6.5793686, 'Yes': -6.7465463}
{' Yes': -0.6215828, ' Hate': -0.8756494, ' No': -3.3377063, ' Hat': -5.6395116, ' Nope': -6.07947}
{' Yes': -0.28513086, ' No': -1.4022763, 'Yes': -6.7028556, 'No': -7.5767493, ' Nope': -9.087585}
{' Yes': -0.0020838173, 'Yes': -6.3146467, ' YES': -9.221, ' yes': -9.57377, ' Slow': -10.782385}
{' Yes': -0.015231958, ' No': -4.700933, ' Ring': -5.576923, 'Yes': -6.4594846, ' yes': -9.110647}
{' Yes': -0.00514623, ' No': -5.664137, 'Yes': -6.865309, ' Ring': -7.8722706, ' yes': -9.701159}
{' Yes': -0.0030450874, ' Bear': -6.608271, 'Yes': -6.6979394, ' No': -9.006949, ' yes': -9.151748}
{' Yes': -0.018332632, ' Bear': -4.237216, 'Yes': -6.061885, ' Bears': -7.780381, ' yes': -8.220339}
{' Yes': -0.0008743174, 'Yes': -7.213579, ' YES': -9.546033, ' ': -11.125466, ' No': -11.146767}
{' Yes': -0.0012098259, 'Yes': -7.35268, ' No': -7.587506, ' YES': -10.63245, ' yes': -11.536645}
{' Yes': -0.002096183, 'Yes': -6.458723, ' No': -7.9865227, ' yes': -9.6196, ' Sure': -10.377499}
{' Yes': -0.0034081815, 'Yes': -5.8827147, ' No': -8.236745, ' yes': -8.627801, ' Fish': -9.599622}
{' Yes': -0.1521276, ' Skin': -2.1940854, ' No': -4.08657, 'Yes': -5.3240633, ' Ski': -5.916975}
{' Yes': -0.4407342, ' No': -1.0638307, ' Skin': -5.367273, 'Yes': -5.7442307, ' Nope': -6.481485}
{' Yes': -0.026421396, ' So': -4.181189, ' No': -5.1098523, 'Yes': -5.6745415, ' Soup': -7.911898}
{' Yes': -0.035871904, ' So': -3.9154475, ' No': -5.161274, 'Yes': -5.222262, ' Nope': -6.534834}
{' Yes': -0.0012112573, 'Yes': -7.0480766, ' Sure': -8.245569, ' Yep': -10.530563, ' No': -10.841406}
{' Yes': -0.002254659, 'Yes': -6.4558406, ' Che': -7.8026843, ' Yep': -10.138913, ' Sure': -10.139505}
{' Yes': -0.008264467, ' No': -5.103241, 'Yes': -6.4876075, ' Male': -8.763538, ' Sure': -9.064582}
{' Yes': -0.005204107, 'Yes': -6.102743, ' No': -6.3649735, ' Male': -8.264312, ' Maybe': -8.641637}
{' Yes': -0.013711176, ' No': -4.445737, 'Yes': -6.590424, ' Nope': -8.642406, ' Sure': -8.670519}
{' Yes': -0.044113543, ' No': -3.1886272, 'Yes': -6.7265778, ' Nope': -7.73682, ' Done': -9.53265}
{' Yes': -0.043521058, ' Bike': -3.3578844, ' Bicycle': -5.7050123, 'Yes': -6.094748, ' B': -7.1132894}
{' Yes': -0.024751049, ' Bike': -4.093417, ' No': -5.5743127, 'Yes': -6.3596945, ' Bicycle': -6.58064}
{' Yes': -0.07769699, ' No': -2.6948903, ' Dead': -5.6982584, 'Yes': -6.455537, ' Nope': -6.90759}
{' Yes': -0.029477624, ' No': -3.607328, 'Yes': -6.8855853, ' Dead': -7.723346, ' yes': -8.780836}
{' Yes': -0.0011185806, 'Yes': -6.878819, ' yes': -10.560749, ' Sure': -10.623145, ' YES': -11.3194275}
{' Yes': -0.36568284, ' Cave': -1.201403, 'Yes': -5.908328, ' No': -7.8301625, ' YES': -8.004783}
{' Yes': -0.0076308176, ' Moon': -5.6102076, 'Yes': -5.9143553, ' No': -6.969256, ' yes': -9.230907}
{' Yes': -0.013728338, ' No': -4.657489, 'Yes': -5.838162, ' Moon': -7.4328012, ' yes': -9.154271}
{' Yes': -0.10608498, ' No': -2.844801, ' Pain': -3.697298, ' Paint': -4.669569, 'Yes': -6.0959587}
{' Yes': -0.04709732, ' No': -3.1881418, 'Yes': -5.9974623, ' Pain': -7.6069946, ' Nope': -7.7542953}
{' Yes': -0.06325262, ' Plus': -3.4964952, ' No': -3.6548417, 'Yes': -5.8044024, ' Pl': -6.4327693}
{' Yes': -0.16839722, ' Plus': -2.4418077, ' No': -2.7908585, ' Pl': -5.9094133, 'Yes': -6.2024164}
{' Yes': -0.02363805, ' Area': -4.729845, ' No': -5.119833, 'Yes': -5.878088, ' Sure': -6.0743036}
{' Yes': -0.024170363, ' Area': -4.6993065, ' No': -4.9094276, ' Sure': -5.8429, 'Yes': -6.0165772}
{' Yes': -0.11774349, ' Dive': -2.238406, 'Yes': -5.9256597, ' No': -7.5108, ' Sure': -8.453183}
{' Yes': -0.61564887, ' Dive': -0.8200232, ' Divide': -5.2656794, ' No': -5.6882663, 'Yes': -6.081294}
{' Yes': -0.0018670856, ' Hear': -6.9770727, 'Yes': -7.221975, ' Yeah': -9.656464, ' Sure': -10.529324}
{' Yes': -0.0035205667, 'Yes': -6.431731, ' Hear': -6.5277796, ' Yeah': -8.800695, ' yes': -10.022426}
{' Yes': -0.11890157, ' Bush': -2.238311, ' Brush': -6.121333, 'Yes': -6.139417, 'Bush': -8.059783}
{' Yes': -0.603258, ' Bush': -0.8143253, ' Brush': -5.678362, 'Yes': -6.03043, 'Bush': -6.444916}
{' No': -1.0455185, ' Yes': -1.0566499, ' Near': -1.2389543, ' Ne': -5.2643504, ' Nearly': -6.2416997}
{' Yes': -0.3751968, ' No': -1.5106739, ' Near': -2.4408097, ' Ne': -6.502857, ' Nope': -7.0178676}
{' Yes': -0.61167234, ' Mile': -0.95019054, ' No': -2.7932425, ' Miles': -5.7294183, ' M': -6.2607565}
{' Yes': -0.061395217, ' Mile': -3.1688151, ' No': -4.517841, 'Yes': -6.0105367, ' Miles': -6.7062526}
{' Yes': -0.077759154, ' Navy': -2.7061808, 'Yes': -5.4149075, ' No': -6.967794, ' Naval': -7.5668106}
{' Yes': -0.055805057, ' Navy': -3.5032158, ' No': -4.3638988, 'Yes': -5.088313, ' N': -7.2671804}
{' No': -0.013046028, ' Nope': -5.124559, 'No': -5.3951526, ' Okay': -6.7759414, ' Yes': -7.9387045}
{' No': -0.004553991, 'No': -6.225911, ' Nope': -6.6696486, ' Yes': -7.056617, ' Not': -8.752976}
{' Yes': -0.0042808093, ' No': -5.84778, 'Yes': -6.815233, ' Maybe': -9.325529, ' Sure': -9.758731}
{' Yes': -0.008052941, ' No': -5.045681, 'Yes': -6.8884997, ' Maybe': -8.519424, ' Nope': -9.709617}
{' No': -0.14977624, ' Yes': -2.0103376, ' Bee': -6.453225, 'No': -6.4643226, ' Nope': -6.6071053}
{' No': -0.04076398, ' Yes': -3.2645054, 'No': -6.895967, ' Nope': -7.7186904, ' Maybe': -9.603602}
{' Yes': -0.0061204014, ' No': -6.140561, 'Yes': -6.2560816, ' Milk': -6.2847342, ' yes': -10.049243}
{' Yes': -0.6440454, ' No': -0.761828, ' Milk': -5.5163274, 'No': -6.2597623, 'Yes': -6.368012}
{' Yes': -0.007480316, ' No': -5.538709, 'Yes': -5.7480087, ' yes': -9.476685, '\n': -10.101666}
{' Yes': -0.006686924, 'Yes': -5.6818748, ' No': -5.869437, ' Bass': -9.038388, ' yes': -9.704009}
{' Yes': -0.0020029468, 'Yes': -6.452, ' Bird': -8.461887, ' No': -9.280779, ' yes': -9.736742}
{' Yes': -0.015860781, ' Bird': -4.48726, 'Yes': -5.90503, ' No': -6.8060884, ' yes': -8.493015}
{' Yes': -0.00438623, 'Yes': -6.03741, ' No': -6.87683, ' YES': -8.246002, ' yes': -8.499601}
{' Yes': -0.008217771, 'Yes': -5.7687836, ' No': -6.1763186, ' YES': -7.3977776, ' Believe': -7.600083}
{' Yes': -0.05153098, ' Need': -3.5614946, ' No': -4.9780903, ' Indeed': -5.22605, 'Yes': -5.947641}
{' Yes': -0.011121036, ' Need': -5.3367815, ' No': -5.8025007, 'Yes': -6.361401, ' Indeed': -7.703878}
{' Yes': -0.002329693, 'Yes': -6.5970807, ' Too': -7.721247, ' No': -8.499221, ' Tool': -8.815267}
{' Yes': -0.06756744, ' Too': -3.0397694, ' Tool': -4.8613906, ' No': -5.053539, 'Yes': -6.112642}
{' Yes': -0.076263696, ' Po': -2.9299145, ' No': -4.269108, 'Yes': -5.5923214, ' Nope': -6.8033595}
{' Yes': -0.056258027, ' No': -3.5392063, ' Po': -3.8798378, 'Yes': -5.9862747, ' Nope': -6.4807076}
{' Yes': -0.0027249807, ' No': -6.672307, 'Yes': -6.856578, ' yes': -8.934328, ' Cro': -9.438642}
{' Yes': -0.0036670663, 'Yes': -6.3394055, ' No': -7.479398, ' Cro': -7.550502, ' yes': -8.187556}
{' Yes': -0.0049112802, ' No': -5.7530875, 'Yes': -6.3916507, ' yes': -11.037788, 'No': -11.671953}
{' Yes': -0.0074955695, 'Yes': -5.6610923, ' No': -6.478724, ' Last': -6.5131307, ' Blast': -7.416878}
{' Yes': -0.022054052, ' Door': -4.119519, 'Yes': -5.716109, ' No': -6.52695, ' yes': -8.229548}
{' Yes': -0.049701758, ' Door': -3.3174343, ' No': -4.796917, 'Yes': -5.8577, ' yes': -7.8879027}
{' Yes': -0.062074937, ' No': -3.0514147, 'Yes': -4.963908, ' To': -5.803612, ' St': -7.424125}
{' Yes': -0.38414812, ' No': -1.1753451, 'Yes': -5.150353, ' Nope': -6.4489202, 'No': -6.5861363}
{' Yes': -0.025996633, ' Maze': -4.099101, ' No': -5.366035, 'Yes': -5.904798, ' Maybe': -6.809779}
{' Yes': -0.0054642363, ' No': -6.087474, 'Yes': -6.0958686, ' Maze': -7.727697, ' Maybe': -7.983253}
{' Yes': -0.15143552, ' No': -2.5354726, ' Monk': -3.0039136, ' Nope': -5.718389, 'Yes': -5.7199616}
{' Yes': -0.09643787, ' No': -2.6482623, ' Mon': -4.6531124, 'Yes': -5.5174465, ' Monkey': -5.8847823}
{' Yes': -0.0015371453, 'Yes': -6.7402086, ' Camp': -8.450016, ' yes': -9.951917, ' Yep': -10.305874}
{' Yes': -0.0043432447, 'Yes': -6.186598, ' Camp': -6.421171, ' No': -8.338528, ' yes': -8.964218}
{' Yes': -0.02765957, ' Most': -3.708209, 'Yes': -6.428141, ' No': -7.42821, ' Mostly': -8.642099}
{' Yes': -0.015883675, ' Most': -4.3552756, 'Yes': -6.7039, ' No': -6.813899, ' Mostly': -8.433817}
{' Yes': -0.055189498, ' Trip': -3.384392, ' Tri': -4.458639, ' Triple': -5.707321, 'Yes': -6.1554155}
{' Yes': -0.0051202304, 'Yes': -6.0852227, ' No': -7.2416883, ' Tri': -7.424466, ' Trip': -7.514471}
{' Yes': -0.21023358, ' Dusk': -2.173664, ' No': -2.7784443, 'Yes': -4.8558064, ' D': -5.85344}
{' Yes': -0.050600905, ' No': -3.2808502, 'Yes': -4.807307, ' Dusk': -6.1186123, 'No': -8.308973}
{' Yes': -0.0016985802, 'Yes': -7.4896593, ' No': -7.8370385, ' Hell': -7.948609, ' Hello': -8.435206}
{' Yes': -0.00087706116, 'Yes': -7.5048094, ' No': -8.525079, ' Hell': -10.636624, ' yes': -10.971222}
{' Yes': -0.5884775, ' No': -0.8162416, 'No': -6.513265, 'Yes': -6.8930464, ' Nope': -9.257077}
{' Yes': -0.60756624, ' No': -0.819219, ' Lawn': -5.42729, ' Nope': -5.8391733, 'No': -6.354715}
{' Yes': -0.026390735, ' Hill': -3.9394612, ' No': -5.2721143, 'Yes': -6.945351, ' yes': -9.207045}
{' Yes': -0.10788099, ' Hill': -2.4097607, ' No': -4.622108, 'Yes': -6.8138075, ' Hills': -8.293067}
{' Yes': -0.008010582, ' No': -5.2901454, 'Yes': -6.3165793, ' Take': -8.001776, ' Sure': -8.21664}
{' Yes': -0.00839465, ' Take': -5.868924, 'Yes': -5.9944134, ' No': -6.1684113, ' yes': -8.832726}
{' Yes': -0.0031109157, 'Yes': -6.455717, ' No': -6.7539577, ' Part': -9.123507, ' yes': -9.770551}
{' Yes': -0.0041455943, 'Yes': -5.781232, ' No': -8.524343, ' Part': -8.59086, ' yes': -8.950885}
{' Yes': -0.051418774, ' No': -3.0242524, 'Yes': -7.001286, ' Sure': -8.491684, ' Maybe': -9.006342}
{' Yes': -0.014018132, ' No': -4.479516, 'Yes': -6.2058744, ' Pick': -8.728656, ' Nope': -9.002078}
{' Yes': -0.0015869362, 'Yes': -6.507259, ' Sure': -10.425099, ' No': -10.840043, ' yes': -10.974369}
{' Yes': -0.001006287, 'Yes': -7.2207937, ' No': -8.322169, ' Sure': -11.382233, ' yes': -11.613176}
{' No': -0.15413073, ' Yes': -1.964336, 'No': -6.3417068, ' Nope': -7.772712, 'Yes': -8.303588}
{' Yes': -0.39298964, ' No': -1.1440998, 'Yes': -6.5665603, ' Nope': -6.658357, ' Def': -7.0631795}
{' Yes': -0.039273467, ' No': -3.3464115, 'Yes': -5.9013257, ' Kiss': -8.495896, ' yes': -9.098389}
{' Yes': -0.07383154, ' No': -2.7905269, 'Yes': -5.2019844, ' Kiss': -5.804567, 'No': -8.136658}
{' Yes': -0.08117327, ' No': -3.035683, ' Soda': -3.627592, 'Yes': -6.238325, ' Nope': -7.8784003}
{' Yes': -0.03470892, ' No': -3.5105138, ' Soda': -6.24033, 'Yes': -6.3900933, ' Sure': -8.862073}
{' Yes': -0.12602642, ' No': -2.1435091, 'Yes': -7.463707, ' Nope': -8.051207, ' Gone': -9.25305}
{' No': -0.1548722, ' Yes': -1.9631073, ' Nope': -6.268317, 'No': -7.332917, ' Gone': -8.317006}
{' Yes': -0.008805205, ' Fire': -5.8849154, ' Sure': -6.109401, 'Yes': -6.112433, ' No': -8.006896}
{' Yes': -0.0077499263, ' Sure': -6.1751785, 'Yes': -6.2452393, ' No': -6.3162727, ' Fire': -6.746168}
{' Yes': -0.0020667966, 'Yes': -6.5384583, ' yes': -8.689887, ' No': -9.254065, ' Sure': -9.399908}
{' Yes': -0.0019087074, 'Yes': -6.6638556, ' yes': -8.319113, ' Dread': -9.354293, ' Sure': -9.656132}
{' Yes': -0.0036725076, ' No': -6.2200875, 'Yes': -6.5469785, ' yes': -9.589214, ' Push': -9.99467}
{' Yes': -0.0036767551, ' No': -6.3400297, 'Yes': -6.4135623, '\n': -9.412681, ' yes': -9.6979685}
{' Yes': -0.4903067, ' Stop': -0.964054, 'Yes': -6.1724596, ' No': -6.598245, 'Stop': -6.7144866}
{' Yes': -0.07102118, ' Stop': -2.8509605, ' No': -5.0014524, 'Yes': -5.977673, ' Nope': -8.168396}
{' Yes': -0.0442858, ' Late': -3.2094543, 'Yes': -6.282532, ' No': -7.7115464, ' YES': -8.831206}
{' Yes': -0.051752664, ' Late': -3.3350263, ' No': -4.3858113, 'Yes': -6.4162984, ' Plate': -8.970404}
{' Yes': -0.011824592, ' No': -4.641322, 'Yes': -6.2848334, ' yes': -9.196622, ' YES': -10.158958}
{' Yes': -0.0036680838, ' No': -6.342201, 'Yes': -6.351898, ' yes': -9.609456, ' YES': -10.234855}
{' Yes': -0.051352076, ' Wife': -3.0425515, 'Yes': -6.4222665, ' No': -8.428418, ' YES': -8.792665}
{' Yes': -0.19384415, ' Wife': -1.9565737, ' No': -3.5391006, ' W': -5.973352, 'Yes': -6.4031715}
{' Yes': -0.0047920314, ' No': -6.063917, 'Yes': -6.627381, ' Frog': -7.1198773, ' yes': -8.771432}
{' Yes': -0.001975235, 'Yes': -6.9448633, ' No': -7.8346357, ' Frog': -8.176095, ' yes': -8.681087}
{' Yes': -0.004104295, 'Yes': -6.0873175, ' No': -6.650132, ' Duck': -8.074033, ' yes': -8.862777}
{' Yes': -0.011607666, ' Duck': -4.964412, 'Yes': -6.15589, ' No': -6.3316298, ' yes': -8.222211}
{' Yes': -0.039781004, ' Bank': -3.3217576, 'Yes': -6.0365853, ' yes': -8.612159, ' YES': -8.961993}
{' Yes': -0.0025296176, 'Yes': -6.236131, ' No': -8.599726, ' Bank': -8.6904335, ' yes': -9.119244}
{' Yes': -0.006259364, ' Test': -5.8171325, 'Yes': -6.088517, ' No': -7.73377, ' YES': -8.611215}
{' Yes': -0.0076026483, ' No': -5.5432205, 'Yes': -6.1317344, ' Test': -6.75441, ' YES': -9.454235}
{' Yes': -0.002970416, 'Yes': -6.1889405, ' Stay': -7.468239, ' No': -8.305937, ' yes': -10.464129}
{' Yes': -0.004007522, 'Yes': -6.2631583, ' Stay': -6.405544, ' No': -8.232454, '\n': -9.901455}
{' Yes': -0.075953625, ' No': -2.6787004, 'Yes': -5.5863442, 'No': -8.132937, ' yes': -8.804078}
{' Yes': -0.03149695, ' East': -4.8110213, 'Yes': -4.921876, ' No': -4.9632134, ' Ye': -5.476966}
{' No': -0.02496296, ' Yes': -3.789138, 'No': -6.333976, ' Nope': -8.709487, '\n': -9.821494}
{' No': -0.12192608, ' Yes': -2.1998012, 'No': -6.330197, ' Nope': -6.874134, ' High': -7.2447762}
{' Yes': -0.3940155, ' No': -1.1412231, ' Draw': -5.3919783, 'Yes': -6.9730053, 'No': -7.6090465}
{' Yes': -0.2649155, ' Draw': -1.4934826, ' No': -6.028231, 'Yes': -6.149053, 'Draw': -7.2884398}
{' King': -0.47766212, ' Yes': -1.0054712, 'King': -4.7928724, ' Kings': -5.963507, 'Yes': -6.9840856}
{' Yes': -0.18860722, ' King': -1.9746274, ' No': -3.5743759, 'Yes': -6.4343386, 'King': -6.499887}
{' Yes': -0.14841385, ' No': -1.9991715, ' Lose': -6.6394544, 'Yes': -7.2186613, ' Nope': -8.851436}
{' Yes': -0.13549565, ' No': -2.1064124, ' Lose': -5.8627157, 'Yes': -6.770673, ' Lo': -7.5262866}
{' Yes': -0.012221413, ' Here': -5.0237417, ' No': -5.8035173, 'Yes': -6.4196424, ' Nope': -8.073002}
{' Yes': -0.0015792946, 'Yes': -6.7127604, ' Here': -8.985901, ' No': -9.340319, '\n': -9.883862}
{' Yes': -0.0019793566, 'Yes': -6.3758025, ' Sick': -8.867507, ' YES': -9.743949, ' yes': -9.916432}
{' Yes': -0.0023168502, 'Yes': -6.622647, ' No': -7.0494623, ' yes': -10.013215, ' YES': -10.4260435}
{' Yes': -0.031924408, ' Dirt': -3.6012793, 'Yes': -6.114976, ' No': -6.6518183, ' Dirty': -8.420865}
{' Yes': -0.28021106, ' No': -1.4681364, ' Dirt': -4.487271, 'Yes': -6.4684415, 'No': -7.239083}
{' Yes': -0.023069778, ' Te': -4.2616963, ' No': -5.743847, 'Yes': -5.9350934, ' T': -7.3609905}
{' Yes': -0.0095047215, ' Te': -5.3356214, 'Yes': -6.00021, ' yes': -7.7376065, ' T': -7.81771}
{' No': -0.0036558795, 'No': -5.6247935, '\n': -10.920638, ' Yes': -11.284972, ' Nope': -11.66788}
{' Yes': -0.0639019, ' No': -2.9314518, ' True': -5.2242146, 'Yes': -6.573001, ' Sure': -8.058151}
{' Rain': -0.50296426, ' Yes': -1.070473, 'Rain': -3.9294071, ' Train': -4.308555, ' No': -5.0900245}
{' Rain': -0.12209207, ' Yes': -3.0865636, 'Rain': -3.4594584, ' Train': -4.462546, ' No': -4.5312104}
{' Yes': -0.008114771, ' No': -4.949212, 'Yes': -7.041615, ' yes': -10.262333, ' Verb': -10.543512}
{' Yes': -0.0804229, ' No': -2.6620135, ' Verb': -5.374374, 'Yes': -6.459294, ' Nope': -8.031308}
{' Yes': -0.005933551, ' No': -6.211542, 'Yes': -6.689169, ' Absolutely': -6.9383235, ' Sure': -6.9959216}
{' Yes': -0.014232438, ' No': -4.5058327, 'Yes': -6.5294986, ' Sure': -7.776748, ' Nope': -8.118118}
{' Yes': -0.19599715, ' No': -1.7331828, 'Yes': -7.289186, 'No': -8.580491, ' Kill': -8.779828}
{' No': -0.093935296, ' Yes': -2.4229853, 'No': -7.060267, 'Yes': -9.33567, '\n': -10.585482}
{' Yes': -0.0026198546, ' No': -6.270537, 'Yes': -7.6397824, ' Thin': -8.478198, ' YES': -11.627313}
{' Yes': -0.011823927, ' No': -4.527403, 'Yes': -7.1033287, ' Thin': -10.629136, ' Nope': -10.823117}
{' Yes': -0.54311365, ' No': -0.873163, 'No': -7.3640914, 'Yes': -7.454136, ' Tail': -9.157823}
{' Yes': -0.05828706, ' No': -2.9405959, 'Yes': -6.4216366, ' Tail': -6.4487305, 'No': -8.78012}
{' Yes': -0.0014607384, 'Yes': -6.7169943, ' yes': -9.241935, ' Land': -9.249749, ' YES': -10.34254}
{' Yes': -0.0059309113, 'Yes': -6.0197706, ' Land': -6.022361, ' No': -7.864115, ' yes': -7.9528456}
{' Yes': -0.0015191787, 'Yes': -7.091796, ' No': -7.780137, ' Feel': -9.01897, ' yes': -9.755279}
{' Yes': -0.005513082, ' No': -5.4775586, 'Yes': -7.047974, ' Feel': -8.514131, ' yes': -9.399086}
{' Yes': -0.01789503, ' No': -4.708679, ' Loud': -5.001049, 'Yes': -6.5084076, ' YES': -8.544681}
{' Yes': -0.028531292, ' Loud': -4.2382116, ' No': -4.44036, 'Yes': -6.700309, ' YES': -8.392066}
{' Yes': -0.013642652, ' Star': -5.2533407, 'Yes': -5.5115843, ' Start': -6.078275, ' Sure': -6.623145}
{' Yes': -0.0032316411, 'Yes': -5.9853873, ' Sure': -8.253782, ' Start': -8.933186, ' Star': -9.215097}
{' Yes': -0.02061243, ' Card': -4.1620593, 'Yes': -5.477332, ' yes': -8.712955, ' YES': -8.980299}
{' Yes': -0.0032677592, 'Yes': -6.0854917, ' Card': -7.323984, ' yes': -8.853647, ' YES': -9.771672}
{' Yes': -0.24611992, ' Deer': -1.5422109, 'Yes': -6.520446, ' De': -7.319133, ' No': -7.4840693}
{' Yes': -0.44570604, ' Deer': -1.0447338, ' De': -5.899006, ' Dear': -6.576879, 'Yes': -6.671511}
{' Yes': -0.01682689, ' Look': -4.567547, ' No': -5.5552254, 'Yes': -6.3629856, ' YES': -7.946988}
{' Yes': -0.0091758035, ' No': -5.61606, ' Look': -5.678294, 'Yes': -6.400838, ' YES': -8.478523}
{' Yes': -0.70431554, ' No': -0.72101444, ' Gl': -4.1713734, ' Nope': -6.141159, 'Yes': -7.315567}
{' No': -0.14681576, ' Yes': -2.002748, 'No': -7.266349, ' Nope': -7.7648897, ' Gl': -8.652595}
{' Yes': -0.00919343, ' No': -4.826935, 'Yes': -6.875133, ' YES': -10.336357, ' yes': -10.398158}
{' Yes': -0.010370454, ' No': -4.692034, 'Yes': -6.911108, ' YES': -9.858755, ' yes': -10.120472}
{' Yes': -0.48508084, ' No': -0.9785368, ' Code': -5.9141445, ' Nope': -6.122095, 'Yes': -6.2434425}
{' Yes': -0.10055262, ' No': -3.0250502, ' Code': -3.1282928, 'Yes': -6.287247, ' Nope': -8.022159}
{' Yes': -0.001283586, 'Yes': -6.9664283, ' Sure': -8.378846, ' No': -9.52546, ' YES': -11.416365}
{' Yes': -0.0013531193, 'Yes': -6.8095613, ' Sure': -8.5735, ' YES': -10.985631, '\n': -11.406668}
{' Exit': -0.7645951, ' Yes': -0.7894592, ' No': -2.5625076, 'Exit': -6.754514, 'Yes': -6.871967}
{' No': -0.6090737, ' Yes': -0.94324124, ' Exit': -2.7412434, 'No': -7.118018, 'Yes': -7.3419833}
{' Yes': -0.008393929, ' No': -5.363151, ' Lion': -6.106891, 'Yes': -6.680381, ' yes': -9.522782}
{' Yes': -0.12887311, ' No': -2.1542618, ' Lion': -5.9633856, 'Yes': -6.477102, 'No': -7.5953465}
{' Yes': -0.1308993, ' Roof': -2.1295948, ' No': -6.3347125, 'Yes': -6.459581, ' yes': -8.765976}
{' Yes': -0.4130552, ' Roof': -1.1007802, ' No': -5.6848993, 'Yes': -6.6287284, ' roof': -7.954136}
{' Yes': -0.16088268, ' Want': -1.9412761, 'Yes': -6.033357, 'Want': -7.087779, ' Wanted': -7.6071076}
{' Yes': -0.11630476, ' Want': -2.3026814, ' No': -5.4751897, 'Yes': -6.0674586, ' Wanted': -7.032902}
{' Yes': -0.0033263648, ' Wind': -5.986194, 'Yes': -7.3749704, ' yes': -9.777538, ' No': -9.8337345}
{' Yes': -0.014894076, ' No': -4.6628604, ' Wind': -5.4801726, 'Yes': -6.990649, ' yes': -9.512583}
{' Yes': -0.012670127, ' Foot': -4.540466, 'Yes': -6.7121387, ' No': -7.833957, ' YES': -8.768298}
{' Yes': -0.3843167, ' Foot': -1.1659482, ' No': -5.9769483, 'Yes': -6.0599256, 'Foot': -7.4207883}
