{' No': -0.065186426, ' Yes': -2.8289306, 'No': -5.7845254, ' The': -7.627158, 'Yes': -8.79785}
{' No': -0.010109348, 'No': -4.8661313, ' Yes': -6.1301103, ' The': -9.8270855, ' Not': -10.103225}
{' No': -0.098091304, ' Yes': -2.5430605, 'No': -4.298918, 'Yes': -7.38537, ' The': -7.9907303}
{' No': -0.09213458, ' Yes': -2.4903815, 'No': -5.451656, ' The': -7.9377804, 'Yes': -8.465008}
{' No': -0.13740154, ' Yes': -2.1259575, 'No': -4.920622, ' The': -7.17941, 'Yes': -7.640987}
{' No': -0.30594704, ' Yes': -1.360398, 'No': -5.2553926, 'Yes': -6.765324, ' The': -8.144204}
{' No': -0.41499588, ' Yes': -1.1042945, ' The': -5.6433816, 'No': -5.673968, 'Yes': -7.010645}
{' Yes': -0.0049851392, 'Yes': -5.6335, ' No': -6.8165236, ' The': -9.146354, '\n': -9.521636}
{' Yes': -0.3559896, ' No': -1.2293321, 'No': -5.7823024, 'Yes': -5.8413734, ' The': -7.3687534}
{' No': -0.23790118, ' Yes': -1.6080089, 'No': -4.629001, 'Yes': -6.803466, '\n': -8.614324}
{' No': -0.6419941, ' Yes': -0.7617718, 'No': -5.3951774, 'Yes': -6.3883986, ' The': -8.192033}
{' Yes': -0.070096485, ' No': -2.7464364, 'Yes': -6.1615744, ' The': -7.0807967, 'No': -7.914579}
{' No': -0.32648197, ' Yes': -1.3110553, 'No': -5.0608797, 'Yes': -6.681624, ' The': -7.077397}
{' No': -0.16642132, ' Yes': -1.9864801, 'No': -4.2544436, 'Yes': -6.619497, '\n': -8.270118}
{' No': -0.16330187, ' Yes': -1.984772, 'No': -4.453015, 'Yes': -6.813675, ' The': -8.162815}
{' No': -0.0911378, ' Yes': -2.5208254, 'No': -5.1912146, ' The': -7.7654996, 'Yes': -8.228116}
{' No': -0.021677556, 'No': -4.2141175, ' Yes': -5.0814095, ' The': -8.489993, ' Not': -9.361315}
{' No': -0.025775451, ' Yes': -3.9460826, 'No': -5.221887, ' The': -7.656499, ' Not': -9.675071}
{' No': -0.10225732, ' Yes': -2.5352676, 'No': -4.165398, ' The': -6.6306934, 'Yes': -7.4394665}
{' No': -0.063473366, ' Yes': -3.0303712, 'No': -4.4193997, ' The': -7.5815144, 'Yes': -8.102103}
{' Yes': -0.062131513, ' No': -2.9172149, 'Yes': -5.306665, 'No': -7.307464, ' The': -7.858741}
{' No': -0.29010427, ' Yes': -1.4040893, 'No': -5.294066, 'Yes': -7.192774, ' The': -8.330486}
{' Yes': -0.2095576, ' No': -1.7010623, 'Yes': -5.6085215, 'No': -6.1322694, ' The': -8.005708}
{' No': -0.09263815, ' Yes': -2.730379, 'No': -3.8405645, 'Yes': -7.17456, ' "': -7.876299}
{' No': -0.030441064, ' Yes': -4.15558, 'No': -4.281641, ' The': -8.3917265, 'Yes': -9.09463}
{' No': -0.038060516, ' Yes': -3.533958, 'No': -4.8558264, 'Yes': -8.915103, ' The': -9.163047}
{' No': -0.07906531, ' Yes': -2.7187958, 'No': -4.674776, 'Yes': -7.8925033, ' Not': -8.883001}
{' No': -0.053409, ' Yes': -3.1325295, 'No': -4.932769, ' The': -7.501479, ' Not': -8.276898}
{' No': -0.022276362, 'No': -4.2986627, ' Yes': -4.844868, ' The': -8.200716, ' Not': -9.122833}
{' Yes': -0.11043075, ' No': -2.294328, 'Yes': -6.037768, 'No': -7.8732758, ' The': -7.892104}
{' No': -0.28447947, ' Yes': -1.4213831, 'No': -5.355894, 'Yes': -6.9755344, ' The': -7.914997}
{' No': -0.24043128, ' Yes': -1.605677, 'No': -4.5598416, 'Yes': -6.834934, ' The': -7.185219}
{' No': -0.08304193, ' Yes': -2.7452466, 'No': -4.2968497, ' The': -6.997516, 'Yes': -7.6344256}
{' No': -0.22371328, ' Yes': -1.6406788, 'No': -5.282097, 'Yes': -7.469457, ' The': -7.615399}
{' No': -0.020910252, 'No': -4.4866486, ' Yes': -4.7303314, ' The': -8.256137, ' Not': -8.715812}
{' No': -0.033258937, ' Yes': -3.985329, 'No': -4.35845, '\n': -7.7586827, ' The': -7.9498634}
{' No': -0.009311762, 'No': -4.780739, ' Yes': -7.256267, ' The': -9.715374, ' Not': -10.17305}
{' No': -0.07661576, ' Yes': -2.7725174, 'No': -4.597974, ' The': -7.739543, 'Yes': -8.046369}
{' No': -0.042292316, ' Yes': -3.4428124, 'No': -4.7943063, ' The': -7.47295, ' Not': -8.405329}
{' No': -0.06825711, ' Yes': -2.9814575, 'No': -4.267281, 'Yes': -7.700083, ' The': -7.7642155}
{' No': -0.058940068, ' Yes': -3.0470114, 'No': -4.7240114, ' The': -7.77098, 'Yes': -8.33265}
{' Yes': -0.010380392, ' No': -4.9143376, 'Yes': -5.9777646, ' The': -8.586243, ' yes': -9.371461}
{' Yes': -0.16327134, ' No': -1.9347862, 'Yes': -5.6011567, 'No': -6.6060886, ' The': -7.278586}
{' Yes': -0.052098095, ' No': -3.056151, 'Yes': -5.795588, 'No': -8.131584, ' The': -8.545773}
{' Yes': -0.03235926, ' No': -3.5778227, 'Yes': -5.717469, ' The': -8.248675, 'No': -8.825553}
{' No': -0.014063651, 'No': -4.9096518, ' Yes': -5.0576406, ' The': -9.655139, '\n': -10.142395}
{' Yes': -0.4154354, ' No': -1.0953575, 'No': -5.9625235, 'Yes': -6.1881056, ' The': -7.8041415}
{' No': -0.19133663, ' Yes': -1.8108244, 'No': -4.6932325, 'Yes': -6.959721, ' The': -8.118407}
{' No': -0.03723729, ' Yes': -3.8872662, 'No': -4.230505, ' The': -7.383095, ' "': -8.402447}
{' Yes': -0.3656533, ' No': -1.2013887, 'No': -5.953801, 'Yes': -6.0254693, ' The': -8.491698}
{' No': -0.21388915, ' Yes': -1.7034825, 'No': -4.7027426, 'Yes': -6.9008512, ' The': -8.774602}
{' No': -0.016104799, 'No': -4.1563826, ' The': -8.904126, '\n': -10.025599, ' Yes': -10.028596}
{' No': -0.018211836, 'No': -4.0277753, ' The': -9.050213, '\n': -10.390544, ' ': -10.428291}
{' Yes': -0.46814078, ' No': -1.0192292, 'No': -5.000657, 'Yes': -5.2313604, ' Not': -8.3509}
{' No': -0.03607475, ' Yes': -3.5898752, 'No': -4.929517, ' The': -8.402453, ' Not': -8.871039}
{' No': -0.010980373, 'No': -4.580766, ' Yes': -7.7402205, ' The': -8.9468565, ' Not': -10.255496}
{' No': -0.009878048, 'No': -4.6426272, ' The': -9.792564, ' Yes': -10.085913, '\n': -10.170792}
{' Yes': -0.22686882, ' No': -1.6193802, 'Yes': -5.9922266, 'No': -6.5856447, ' The': -7.411845}
{' No': -0.0130743515, 'No': -4.3968954, ' Yes': -7.666623, ' The': -9.213355, ' ': -10.318572}
{' No': -0.041034833, ' Yes': -3.6762733, 'No': -4.28603, ' Not': -7.6288624, ' The': -8.041231}
{' No': -0.04679491, ' Yes': -3.5697477, 'No': -4.0907435, 'Yes': -8.188774, ' The': -8.58779}
{' No': -0.1949754, ' Yes': -1.8226094, 'No': -4.364241, 'Yes': -6.8127728, '\n': -7.371775}
{' No': -0.034113906, ' Yes': -3.8404932, 'No': -4.4878416, '\n': -8.321119, ' The': -8.528742}
{' No': -0.02742693, ' Yes': -3.9210863, 'No': -4.9777727, 'Yes': -9.2873335, ' The': -9.392984}
{' Yes': -0.059545998, ' No': -2.9293103, 'Yes': -5.6509724, 'No': -8.007668, ' The': -8.109928}
{' No': -0.52646637, ' Yes': -0.9027215, 'No': -6.244278, 'Yes': -6.889112, ' The': -7.8499827}
{' Yes': -0.0053328755, 'Yes': -5.7374663, ' No': -6.3424697, ' The': -8.725643, ' yes': -9.397407}
{' No': -0.11708478, ' Yes': -2.3253882, 'No': -4.5311856, ' The': -7.192473, 'Yes': -7.4804873}
{' No': -0.020719403, 'No': -4.522506, ' Yes': -4.7654567, ' The': -7.280444, ' "': -8.959434}
{' No': -0.024913643, 'No': -4.179237, ' Yes': -4.7916656, ' The': -7.7405562, ' Not': -8.08727}
{' No': -0.028101709, ' Yes': -4.2333627, 'No': -4.426495, ' The': -7.296013, ' Not': -8.297091}
{' Yes': -0.010130844, 'Yes': -5.082185, ' No': -5.630638, ' yes': -9.39488, ' The': -9.431804}
{' Yes': -0.008352273, ' No': -5.4227715, 'Yes': -5.6322894, ' The': -9.139881, ' yes': -9.202021}
{' No': -0.057439268, ' Yes': -3.1636117, 'No': -4.3816123, 'Yes': -8.154971, ' The': -8.670491}
{' Yes': -0.3231581, ' No': -1.3124845, 'Yes': -5.7466044, 'No': -6.1999865, ' The': -6.730394}
{' No': -0.028439794, ' Yes': -3.9198601, 'No': -4.936372, ' The': -7.383981, ' "': -9.207488}
{' No': -0.0303924, ' Yes': -3.9957643, 'No': -4.5774713, ' The': -7.271757, ' Not': -8.703951}
{' No': -0.1599591, ' Yes': -1.9824783, 'No': -4.815999, 'Yes': -6.6375804, ' The': -8.398593}
{' No': -0.033123072, ' Yes': -3.7231674, 'No': -4.92449, ' The': -7.66773, ' Not': -7.894325}
{' Yes': -0.68866456, ' No': -0.7154495, 'No': -5.453933, 'Yes': -5.8349886, ' The': -6.945523}
{' No': -0.13262238, ' Yes': -2.2345319, 'No': -4.2236414, 'Yes': -6.763628, ' The': -7.172497}
{' No': -0.012233542, 'No': -4.920437, ' Yes': -5.5119185, ' Not': -8.025908, ' The': -8.162366}
{' No': -0.12627812, ' Yes': -2.2199633, 'No': -4.7908993, 'Yes': -7.371195, ' The': -7.4011707}
{' Yes': -0.34497687, ' No': -1.2489877, 'Yes': -6.1292286, 'No': -6.3440404, ' The': -7.606109}
{' No': -0.028692663, ' Yes': -4.282849, 'No': -4.298357, ' The': -7.810747, ' Not': -8.320045}
{' No': -0.02209159, 'No': -4.4868493, ' Yes': -4.5925164, '\n': -8.918955, ' The': -9.076214}
{' Yes': -0.7028639, ' No': -0.7082787, 'No': -4.955513, 'Yes': -5.667351, ' The': -7.0039406}
{' Yes': -0.23762774, ' No': -1.5860124, 'Yes': -5.6371784, 'No': -6.0114236, ' The': -7.693674}
{' No': -0.16972941, ' Yes': -1.9109116, 'No': -4.9733467, 'Yes': -7.45932, ' The': -8.034645}
{' No': -0.016273806, 'No': -4.6515675, ' Yes': -5.116791, '\n': -8.364414, ' The': -8.708355}
{' No': -0.026448324, 'No': -3.7308834, ' Yes': -6.379889, '\n': -8.672418, ' ': -9.194011}
{' Yes': -0.02425427, ' No': -3.9820654, 'Yes': -5.444582, ' The': -7.792052, 'No': -8.455673}
{' Yes': -0.03517216, ' No': -3.5216682, 'Yes': -5.4496255, 'No': -8.085054, ' The': -8.481678}
{' No': -0.022590658, ' Yes': -4.446291, 'No': -4.611326, ' The': -8.058605, '\n': -9.201547}
{' No': -0.014842532, 'No': -4.803382, ' Yes': -5.138389, ' The': -8.040984, ' Not': -9.273189}
{' No': -0.01739551, 'No': -4.2691975, ' Yes': -5.825001, ' The': -9.122416, ' Not': -9.755665}
{' Yes': -0.40864465, ' No': -1.1212703, 'No': -5.515364, 'Yes': -5.5290976, ' The': -7.075709}
{' Yes': -0.6436494, ' No': -0.7809232, 'No': -4.729926, 'Yes': -5.210185, '\n': -6.625424}
{' Yes': -0.038786013, ' No': -3.482611, 'Yes': -5.042345, 'No': -7.8068333, ' The': -8.502823}
{' Yes': -0.16037261, ' No': -1.9535912, 'Yes': -5.45588, 'No': -6.3848705, ' The': -8.869904}
{' Yes': -0.03882685, ' No': -3.3920276, 'Yes': -5.630467, ' The': -8.037275, 'No': -8.187666}
{' No': -0.01888152, ' Yes': -4.3446927, 'No': -5.2362847, ' The': -8.217649, 'Yes': -10.109457}
{' No': -0.15163362, ' Yes': -2.0135813, 'No': -5.1549826, ' The': -7.2667317, 'Yes': -7.758822}
{' Yes': -0.03164742, ' No': -3.6899037, 'Yes': -5.188521, 'No': -8.0651455, ' The': -8.812897}
{' Yes': -0.64334726, ' No': -0.7627722, 'No': -5.2928987, 'Yes': -5.9982343, ' The': -8.219531}
{' No': -0.020999607, 'No': -4.1562324, ' Yes': -5.4435897, ' The': -7.5716734, ' Not': -9.556785}
{' No': -0.04121091, ' Yes': -3.4486816, 'No': -4.859854, ' The': -7.5925083, 'Yes': -8.851301}
{' No': -0.030422999, ' Yes': -3.8477619, 'No': -4.8231306, ' The': -8.606482, ' Not': -9.014806}
{' No': -0.4568994, ' Yes': -1.0319097, 'No': -4.8835387, 'Yes': -6.125425, ' Not': -8.226434}
{' No': -0.023243325, 'No': -4.2595654, ' Yes': -4.8344574, ' The': -7.978014, ' Not': -8.523578}
{' No': -0.023646899, 'No': -3.8384433, ' Yes': -6.605256, ' The': -8.41747, ' Not': -8.794137}
{' No': -0.024989543, ' Yes': -4.348594, 'No': -4.5297995, '\n': -7.8893404, ' "': -8.736072}
{' No': -0.012939269, 'No': -4.754705, ' Yes': -5.536285, ' The': -8.7972145, ' Not': -10.3159275}
{' Yes': -0.012900684, ' No': -4.9608984, 'Yes': -5.186187, 'No': -9.469729, ' The': -9.973369}
{' Yes': -0.6122373, ' No': -0.81025064, 'No': -4.903976, 'Yes': -5.405235, ' The': -7.6884985}
{' Yes': -0.07986992, ' No': -2.6278665, 'Yes': -5.6203413, 'No': -7.355146, ' The': -9.003958}
{' No': -0.4261569, ' Yes': -1.0865496, 'No': -4.929085, 'Yes': -6.2675796, ' The': -8.284297}
{' No': -0.08812351, ' Yes': -2.4909973, 'No': -6.868578, '\n': -8.953914, ' The': -8.978706}
{' No': -0.34380352, ' Yes': -1.2408621, 'No': -7.2768974, '\n': -7.667051, 'Yes': -8.368832}
{' Yes': -0.053801604, ' No': -2.9693687, 'Yes': -7.3614945, '\n': -8.839655, ' yes': -9.381548}
{' No': -0.01562117, ' Yes': -4.271875, 'No': -6.703838, '\n': -9.07304, ' ': -9.281433}
{' No': -0.14848238, ' Yes': -1.999423, 'No': -6.9094224, '\n': -7.386798, ' The': -7.7722445}
{' No': -0.6699101, ' Yes': -0.7195012, 'No': -7.581748, 'Yes': -7.803478, ' ': -9.29893}
{' No': -0.0036253687, ' Yes': -6.311488, 'No': -6.451295, '\n': -9.213754, ' ': -9.496078}
{' Yes': -0.112568274, ' No': -2.2587302, 'Yes': -7.0246925, '\n': -7.744554, ' The': -8.489143}
{' Yes': -0.022481777, ' No': -3.8428512, 'Yes': -7.4870467, ' yes': -8.960786, ' The': -10.68217}
{' No': -0.002428278, ' Yes': -6.7498837, 'No': -6.7945347, ' ': -9.855825, '\n': -10.07226}
{' No': -0.59780926, ' Yes': -0.8008981, 'No': -7.7955933, 'Yes': -8.139112, ' ': -9.21541}
{' No': -0.17136969, ' Yes': -1.8558006, 'No': -7.132065, 'Yes': -9.138553, '\n': -9.232397}
{' No': -0.06041382, ' Yes': -2.8571935, 'No': -7.0915027, ' ': -9.060965, '\n': -9.084642}
{' No': -0.29086208, ' Yes': -1.3866777, 'No': -6.576504, '\n': -7.7602715, 'Yes': -8.2257395}
{' Yes': -0.08886536, ' No': -2.4979436, '\n': -6.673469, 'Yes': -7.2081637, ' ': -8.205566}
{' Yes': -0.31485724, ' No': -1.3130757, 'Yes': -7.744556, 'No': -8.265751, ' The': -8.559722}
{' Yes': -0.03884401, ' No': -3.2930534, 'Yes': -7.405255, ' yes': -8.525815, ' ': -10.158855}
{' No': -0.07120127, ' Yes': -2.7048604, 'No': -6.763442, '\n': -8.153265, ' ': -8.847167}
{' No': -0.11991354, ' Yes': -2.1944888, 'No': -7.0090046, '\n': -7.9966583, ' ': -9.249971}
{' No': -0.41325414, ' Yes': -1.0886388, 'No': -6.870838, 'Yes': -7.867555, '\n': -8.7441635}
{' No': -0.009807081, ' Yes': -4.751331, 'No': -6.9496226, '\n': -9.807771, ' ': -9.892331}
{' Yes': -0.03391127, ' No': -3.4480348, ' yes': -7.2455196, 'Yes': -7.528273, '\n': -9.259031}
{' No': -0.0042547113, 'No': -5.4936514, ' ': -9.986859, '\n': -10.097665, ' no': -10.940438}
{' No': -0.0018805205, 'No': -6.337909, ' Yes': -10.208634, '\n': -10.671935, ' ': -10.787032}
{' No': -0.09581351, ' Yes': -2.4047105, 'No': -7.218835, ' The': -9.441121, '\n': -9.524766}
{' No': -0.0023973873, 'No': -6.3779674, ' Yes': -7.5259356, '\n': -9.830115, ' ': -10.037805}
{' Yes': -0.14080188, ' No': -2.037847, 'Yes': -7.5970087, ' yes': -8.904908, 'No': -9.018193}
{' No': -0.18449093, ' Yes': -1.7882888, 'No': -7.0978546, 'Yes': -8.956276, '\n': -9.287702}
{' No': -0.36721736, ' Yes': -1.1829715, 'No': -7.582347, 'Yes': -8.581855, ' ': -9.084113}
{' No': -0.008470145, ' Yes': -4.927545, 'No': -6.8225183, ' ': -10.191637, '\n': -10.793967}
{' Yes': -0.4817868, ' No': -0.9657841, 'Yes': -7.7567616, '\n': -7.7954483, 'No': -7.915428}
{' Yes': -0.44872344, ' No': -1.0228411, 'Yes': -7.2177544, 'No': -7.577364, '\n': -8.057997}
{' Yes': -0.0021563927, ' No': -6.550885, 'Yes': -7.6911325, ' yes': -8.549073, '\n': -10.566527}
{' No': -0.01847707, ' Yes': -4.043389, 'No': -7.4394417, '\n': -9.459024, ' ': -9.682215}
{' Yes': -0.0047219, ' No': -5.695106, 'Yes': -7.043184, ' yes': -8.636939, '\n': -8.985702}
{' No': -0.0027074674, 'No': -6.140179, ' Yes': -8.022976, ' ': -9.289199, '\n': -9.742509}
{' Yes': -0.20908289, ' No': -1.6812719, 'Yes': -7.313302, '\n': -7.416959, ' ': -7.919522}
{' No': -0.33192158, ' Yes': -1.2720995, 'No': -6.864247, ' ': -8.101862, 'Yes': -8.143152}
{' No': -0.0010620138, 'No': -7.211868, ' Yes': -8.3178, ' ': -9.741221, '\n': -11.577873}
{' No': -0.0020600476, 'No': -6.426941, ' Yes': -8.122441, ' ': -9.7029, '\n': -9.984402}
{' Yes': -0.16826808, ' No': -1.8723257, 'Yes': -7.6462073, ' yes': -8.265607, 'No': -8.712822}
{' No': -0.08828809, ' Yes': -2.512387, 'No': -5.855078, ' The': -8.783955, 'Yes': -8.903703}
{' No': -0.008581361, ' Yes': -5.0393925, 'No': -6.416761, ' Not': -8.227095, ' The': -9.622456}
{' No': -0.0029630633, 'No': -6.3674645, ' Yes': -6.8341303, ' ': -9.661892, '\n': -9.727931}
{' No': -0.009987068, ' Yes': -4.752142, 'No': -6.718985, ' ': -10.597031, ' no': -10.744432}
{' No': -0.0071569304, ' Yes': -5.037323, 'No': -7.561434, '\n': -9.977547, ' ': -10.139055}
{' No': -0.15103684, ' Yes': -1.9825245, 'No': -6.76827, '\n': -7.69299, ' The': -8.053106}
{' No': -0.026977735, ' Yes': -3.725086, 'No': -6.2186923, ' The': -8.453001, '\n': -9.400612}
{' No': -0.017873732, ' Yes': -4.1490493, 'No': -6.4636703, ' ': -8.785549, '\n': -9.203314}
{' No': -0.04621739, ' Yes': -3.1246552, 'No': -6.987692, ' ': -9.320295, '\n': -9.499418}
{' No': -0.025660785, ' Yes': -3.733213, 'No': -6.8433433, ' ': -9.233283, ' The': -9.282607}
{' No': -0.1892007, ' Yes': -1.7669634, 'No': -7.0051913, 'Yes': -8.777654, ' The': -8.840438}
{' Yes': -0.038086705, ' No': -3.3160636, 'Yes': -7.2251935, ' yes': -8.768866, '\n': -9.463266}
{' No': -0.054493487, ' Yes': -2.9599497, 'No': -6.90906, '\n': -9.73448, ' ': -9.883591}
{' Yes': -0.03801655, ' No': -3.3183968, 'Yes': -7.531039, ' yes': -8.260113, '\n': -9.168012}
{' Yes': -0.5807931, ' No': -0.8247717, '\n': -7.4388347, 'Yes': -7.616121, 'No': -7.661927}
{' No': -0.004257165, 'No': -6.035389, ' Yes': -6.455101, ' ': -9.251238, '\n': -9.571517}
{' No': -0.0031288534, ' Yes': -6.478659, 'No': -6.578805, '\n': -9.331076, ' ': -9.977115}
{' Yes': -0.0012092289, ' No': -7.3232055, 'Yes': -8.087679, ' yes': -8.877223, ' The': -9.50656}
{' Yes': -0.45968166, ' No': -1.0026982, 'No': -7.7810273, 'Yes': -7.855764, '\n': -8.24417}
{' Yes': -0.003398911, ' No': -6.0114207, 'Yes': -7.2684894, ' yes': -9.153577, '\n': -9.381526}
{' No': -0.08041787, ' Yes': -2.5769026, 'No': -7.1600647, '\n': -8.353275, ' ': -9.191092}
{' Yes': -0.038551576, ' No': -3.307373, ' yes': -7.7693763, 'Yes': -7.870645, ' The': -8.554336}
{' Yes': -0.04319228, ' No': -3.206446, ' yes': -7.2876854, 'Yes': -7.5673866, ' The': -7.9112897}
{' No': -0.17847025, ' Yes': -1.8217733, 'No': -7.463952, '\n': -7.5714293, ' ': -8.743472}
{' No': -0.2540228, ' Yes': -1.5019056, 'No': -6.9027386, 'Yes': -8.308353, '\n': -9.1416}
{' No': -0.030854622, ' Yes': -3.5437424, 'No': -6.7974677, '\n': -9.396396, ' ': -9.583569}
{' No': -0.0042398646, ' Yes': -6.021699, 'No': -6.5588446, '\n': -8.824535, ' ': -9.023236}
{' Yes': -0.48737395, ' No': -0.95758694, 'Yes': -7.2596836, 'No': -7.4672456, '\n': -8.44146}
{' Yes': -0.5353334, ' No': -0.8854406, ' yes': -7.2313914, 'Yes': -7.455972, 'No': -7.9541793}
{' No': -0.0028132598, 'No': -6.486591, ' Yes': -6.8905325, ' The': -9.058099, ' ': -9.782887}
{' No': -0.0022081216, 'No': -6.7648435, ' Yes': -7.0334177, ' ': -9.718961, ' The': -10.089515}
{' Yes': -0.049537018, ' No': -3.0530577, 'Yes': -7.2567434, '\n': -8.6690035, ' yes': -9.448722}
{' No': -0.52516943, ' Yes': -0.9018555, 'No': -6.9979033, '\n': -7.347341, 'Yes': -7.5361724}
{' No': -0.0059921923, ' Yes': -5.3934374, 'No': -6.7137685, ' ': -9.465127, '\n': -9.736394}
{' No': -0.0022376345, 'No': -6.453491, ' Yes': -7.50083, ' ': -9.879291, ' The': -10.792576}
{' Yes': -0.48185953, ' No': -0.9646019, 'Yes': -7.917568, 'No': -8.0752735, ' yes': -8.450781}
{' No': -0.024708407, ' Yes': -3.7982183, 'No': -6.3792367, '\n': -8.956516, ' ': -9.436263}
{' Yes': -0.2450052, ' No': -1.5391068, 'Yes': -6.899643, ' The': -7.4301987, 'No': -7.7257423}
{' No': -0.107597865, ' Yes': -2.3035357, 'No': -6.491858, '\n': -8.774609, 'Yes': -8.843718}
{' Yes': -0.00087944814, 'Yes': -7.825681, ' No': -8.296143, ' yes': -8.768602, '\n': -10.682562}
{' No': -0.037585348, ' Yes': -3.3404646, 'No': -6.9282193, '\n': -8.591937, ' ': -8.834441}
{' No': -0.31723458, ' Yes': -1.3109366, 'No': -6.8906097, '\n': -7.83585, ' ': -8.103718}
{' Yes': -0.087102816, ' No': -2.4999235, 'Yes': -6.993889, 'No': -8.8626995, ' yes': -8.990347}
{' No': -0.0027639496, 'No': -6.496796, ' Yes': -6.771101, ' ': -9.917446, '\n': -11.095026}
{' No': -0.06430106, ' Yes': -2.8028073, 'No': -6.741179, '\n': -8.900965, ' ': -9.163837}
{' No': -0.06550534, ' Yes': -2.7788365, 'No': -7.158019, '\n': -8.316237, ' The': -9.289009}
{' No': -0.034109775, ' Yes': -3.4332945, 'No': -6.9202085, ' ': -9.40876, '\n': -9.598753}
{' Yes': -0.5872221, ' No': -0.81515604, 'No': -7.5822663, 'Yes': -7.5947294, '\n': -8.473706}
{' No': -0.073098995, ' Yes': -2.6708887, 'No': -7.3839297, ' The': -8.220143, '\n': -8.67595}
{' Yes': -0.0058129807, ' No': -5.343923, 'Yes': -7.3798914, ' yes': -8.753017, '\n': -9.060966}
{' No': -0.096780635, ' Yes': -2.3964899, 'No': -6.9734263, 'Yes': -9.624876, ' ': -9.696058}
{' No': -0.25573963, ' Yes': -1.4940952, 'No': -7.3211727, '\n': -8.753599, 'Yes': -8.870865}
{' Yes': -0.3952401, ' No': -1.1224588, 'Yes': -7.883504, 'No': -8.134496, ' yes': -8.942792}
{' Yes': -0.17525722, ' No': -1.8403058, 'Yes': -7.2816434, ' The': -7.714552, 'No': -8.223951}
{' No': -0.17582606, ' Yes': -1.840665, 'No': -6.882991, '\n': -7.0199556, ' ': -8.334163}
{' No': -0.1005175, ' Yes': -2.3684464, 'No': -6.6152096, '\n': -8.135269, ' ': -9.017992}
{' No': -0.11288859, ' Yes': -2.2479765, 'No': -7.1700077, '\n': -8.932581, 'Yes': -9.338869}
{' No': -0.0061980076, ' Yes': -5.357318, 'No': -6.768224, '\n': -8.950402, ' ': -9.439923}
{' No': -0.0047607087, ' Yes': -5.921935, 'No': -6.3065867, '\n': -9.352147, ' ': -9.6300535}
{' No': -0.0040756874, ' Yes': -5.774793, 'No': -7.162652, '\n': -9.497888, ' The': -10.207509}
{' No': -0.023561213, ' Yes': -3.902362, 'No': -5.9592543, ' The': -8.736403, '\n': -8.995147}
{' No': -0.27778617, ' Yes': -1.4233971, 'No': -6.9816775, '\n': -8.421931, 'Yes': -8.509296}
{' Yes': -0.026877929, ' No': -3.6888592, 'Yes': -6.8511024, '\n': -8.621079, ' yes': -9.248466}
{' Yes': -0.4163815, ' No': -1.0799576, 'Yes': -7.871154, 'No': -8.092681, ' yes': -9.164245}
{' Yes': -0.4245541, ' No': -1.0658829, 'Yes': -7.478734, 'No': -7.6905317, '\n': -8.40698}
{' No': -0.21995924, ' Yes': -1.6377466, 'No': -6.198819, 'Yes': -7.919129, '\n': -7.980893}
{' No': -0.009501892, ' Yes': -4.8692164, 'No': -6.417711, ' ': -9.992562, '\n': -10.374791}
{' No': -0.019259093, ' Yes': -4.0115457, 'No': -7.1398716, ' ': -9.861118, '\n': -10.146482}
{' No': -0.11461225, ' Yes': -2.2359366, 'No': -6.8274393, 'Yes': -9.005029, ' ': -9.636111}
{' No': -0.031626627, ' Yes': -3.5293415, 'No': -6.5041513, ' The': -9.466315, '\n': -9.56175}
{' No': -0.0034550095, ' Yes': -6.313429, 'No': -6.5020375, '\n': -10.158905, ' no': -10.3256}
{' Yes': -0.072710805, ' No': -2.6750286, 'Yes': -7.556223, ' yes': -7.7657843, ' ': -9.516803}
{' Yes': -0.44101962, ' No': -1.0343957, 'Yes': -7.6874924, 'No': -8.24391, '\n': -8.59618}
{' No': -0.114083596, ' Yes': -2.250911, 'No': -6.3990293, '\n': -8.132939, ' The': -8.759485}
{' No': -0.008743151, ' Yes': -5.014133, 'No': -6.3165665, '\n': -9.361567, ' The': -9.664493}
{' No': -0.056403123, ' Yes': -2.9269419, 'No': -6.9849477, '\n': -9.0694475, ' The': -9.450398}
{' No': -0.0065209065, ' Yes': -5.2822127, 'No': -6.707462, '\n': -9.504334, ' ': -10.040088}
{' No': -0.26161417, ' Yes': -1.4820673, 'No': -6.4528313, '\n': -7.480398, 'Yes': -7.8066387}
{' No': -0.0013429143, 'No': -6.9125366, ' Yes': -8.368097, '\n': -9.897091, ' ': -10.264097}
{' No': -0.11751098, ' Yes': -2.219518, 'No': -6.4931397, ' The': -8.592931, '\n': -8.887651}
{' No': -0.015645206, ' Yes': -4.246854, 'No': -7.0264974, '\n': -9.109162, ' ': -9.308793}
{' No': -0.10580587, ' Yes': -2.3080516, 'No': -7.5416155, ' ': -9.494885, ' The': -9.575379}
{' No': -0.08612298, ' Yes': -2.507769, 'No': -7.43976, ' The': -9.03495, '\n': -9.146032}
{' Yes': -0.0030843087, ' No': -6.0334888, 'Yes': -7.849968, ' yes': -8.478323, ' The': -10.475242}
{' Yes': -0.5797276, ' No': -0.82583284, 'No': -7.450256, 'Yes': -7.541221, '\n': -8.000786}
{' Yes': -0.05996798, ' No': -2.8545196, 'Yes': -7.934243, ' yes': -8.886567, '\n': -10.2720175}
{' No': -0.56725615, ' Yes': -0.84068793, '\n': -7.6651716, 'No': -7.8569617, 'Yes': -8.077609}
