{' Yes': -0.4832697, ' No': -0.96698284, 'Yes': -6.763613, 'No': -6.8934584, ' Nope': -7.4044847}
{' No': -0.00164168, 'No': -6.423461, ' Not': -11.826792, '\n': -12.619344, ' ': -12.985806}
{' No': -0.0028660435, 'No': -5.8697405, ' Nope': -11.406599, '\n': -11.520975, ' Not': -11.542942}
{' Yes': -0.13645466, ' No': -2.1368132, 'Yes': -5.253522, ' Parts': -6.201265, 'No': -7.4011326}
{' No': -0.4097712, ' Yes': -1.0980437, 'No': -6.595842, 'Yes': -6.943599, ' Nope': -8.553483}
{' No': -0.0021221668, 'No': -6.191886, ' Not': -10.761357, ' Nope': -10.821052, ' Yes': -10.88165}
{' No': -0.001983896, 'No': -6.2312903, ' Nope': -12.482369, '\n': -12.580828, ' Not': -12.653707}
{' Yes': -0.022237418, ' Sh': -5.2868724, 'Yes': -5.309379, ' No': -5.3518577, ' Sure': -5.8262687}
{' Yes': -0.048416458, ' No': -3.7189295, ' Nope': -4.9697266, 'Yes': -5.358366, ' Sh': -5.4077377}
{' No': -0.0022300475, 'No': -6.1222763, '\n': -11.302471, ' Nope': -11.82421, ' Not': -12.11534}
{' No': -0.0024039005, 'No': -6.180725, ' Yes': -8.773113, ' Nope': -9.123861, ' Not': -10.063389}
{' Yes': -0.013745742, ' No': -4.720607, 'Yes': -5.6049895, ' Sy': -7.865325, ' Nope': -7.946502}
{' Yes': -0.0153735215, ' No': -4.566181, 'Yes': -5.515438, ' Nope': -7.733059, ' Yep': -9.354885}
{' No': -0.0020015135, 'No': -6.2199306, ' Nope': -12.393497, ' Not': -13.072395, '\n': -13.170472}
{' No': -0.002744943, 'No': -5.9035645, ' Not': -12.538678, '\n': -12.627515, ' Nope': -13.086401}
{' Yes': -0.0013418386, 'Yes': -6.902872, ' Learn': -8.834165, ' No': -9.245603, ' yes': -10.022997}
{' Yes': -0.0053670336, ' No': -5.4431434, 'Yes': -7.007238, ' yes': -10.257944, ' Learn': -10.681887}
{' No': -0.0016748764, 'No': -6.4058948, ' Nope': -11.846778, '\n': -11.9761305, ' ': -12.613803}
{' No': -0.00236136, 'No': -6.059784, ' Nope': -11.497952, '\n': -12.036016, ' ': -12.484768}
{' No': -0.1525937, ' Yes': -1.9726697, 'No': -6.1385946, 'Yes': -8.598822, ' Minor': -10.045534}
{' Yes': -0.06643543, ' No': -2.7643914, 'Yes': -6.980524, 'No': -8.612678, ' Minor': -9.932169}
{' No': -0.0014024209, 'No': -6.5861053, ' Yes': -11.805431, '\n': -11.867259, ' ': -12.834658}
{' No': -0.0014920771, 'No': -6.526219, '\n': -11.569629, ' Yes': -11.866557, ' ': -12.433527}
{' Yes': -0.00093875016, 'Yes': -7.0989666, ' No': -9.37133, ' Sure': -11.3851795, ' yes': -12.233447}
{' Yes': -0.004083288, 'Yes': -6.304422, ' No': -6.7752895, ' Where': -7.4984813, ' Sure': -7.8868957}
{' No': -0.0012586423, 'No': -6.706268, ' Yes': -11.083561, ' Nope': -11.478208, ' Not': -12.8067}
{' No': -0.0019284762, 'No': -6.4046097, ' Nope': -8.300779, '\n': -11.726449, ' Not': -12.093326}
{' Yes': -0.037270945, ' No': -3.548793, ' Arrow': -5.603713, 'Yes': -5.6114964, 'No': -8.104989}
{' Yes': -0.09781546, ' No': -2.479924, ' Arrow': -5.212964, 'Yes': -5.8057694, 'No': -7.193945}
{' No': -0.0014756601, 'No': -6.5319777, ' Yes': -11.98294, ' Nope': -12.467829, ' Not': -12.666918}
{' No': -0.0020094581, 'No': -6.22518, ' Nope': -11.73109, ' Yes': -11.904101, ' Not': -12.095203}
{' Yes': -0.42921543, ' No': -1.1038619, ' Chain': -5.0209, ' Nope': -5.4402723, 'No': -5.912033}
{' Yes': -0.22510809, ' No': -2.1723547, ' Chain': -2.8359, ' China': -4.239232, 'Yes': -5.9180436}
{' No': -0.001594038, 'No': -6.4759345, ' Nope': -10.3115015, ' Not': -11.708305, ' Yes': -12.232243}
{' No': -0.0025804718, 'No': -6.020667, ' Nope': -9.400789, ' Yes': -10.34225, ' Not': -10.75476}
{' Yes': -0.017954985, ' No': -4.077384, 'Yes': -7.1701074, ' yes': -10.7475815, 'No': -10.852242}
{' No': -0.5510422, ' Yes': -0.86176836, 'No': -7.2993813, 'Yes': -7.6797028, ' Nope': -10.499896}
{' No': -0.001702223, 'No': -6.3848753, ' Not': -12.565987, '\n': -12.636478, ' Yes': -12.843581}
{' No': -0.0016597718, 'No': -6.4156985, '\n': -11.526516, ' ': -12.133377, ' Not': -12.650192}
{' Yes': -0.016887147, ' Heart': -4.2907844, 'Yes': -6.011697, ' No': -8.290307, ' YES': -9.944478}
{' Yes': -0.05533494, ' Heart': -3.0085702, 'Yes': -5.7985086, ' No': -7.1760917, ' Hearts': -8.822555}
{' No': -0.0014620535, 'No': -6.5583253, ' Yes': -10.729729, ' Not': -11.7986555, '\n': -11.926785}
{' No': -0.0017672452, 'No': -6.375455, ' Yes': -10.2698765, ' Not': -11.426793, '\n': -11.763269}
{' Yes': -0.0069260704, ' Sure': -5.5925446, 'Yes': -6.330904, ' Horse': -6.676426, ' No': -9.925261}
{' Yes': -0.0031652083, 'Yes': -6.158292, ' Sure': -7.522656, ' Horse': -8.179563, ' No': -8.689441}
{' No': -0.0023390746, 'No': -6.081267, ' Yes': -10.684795, ' Nope': -11.579148, '\n': -11.579422}
{' No': -0.0040241587, 'No': -5.5438895, ' Yes': -9.83796, '\n': -10.857867, ' Nope': -10.859958}
{' Yes': -0.6309479, ' No': -0.7630681, 'No': -7.1983647, 'Yes': -7.303317, ' Nope': -9.457403}
{' Yes': -0.62625265, ' No': -0.7709384, 'No': -6.7014284, 'Yes': -7.00151, '\n': -8.167533}
{' No': -0.002244086, 'No': -6.1220627, ' Yes': -10.379006, '\n': -11.452364, ' Not': -12.962921}
{' No': -0.0026324636, 'No': -5.9979672, ' Yes': -9.120266, '\n': -10.796253, ' Nope': -12.076165}
{' Yes': -0.07824709, ' No': -2.6087801, 'Yes': -6.684551, 'No': -8.788372, ' Pizza': -9.4154625}
{' No': -0.12066322, ' Yes': -2.1947331, 'No': -6.3202705, 'Yes': -8.500141, ' Nope': -8.568228}
{' No': -0.0018576494, 'No': -6.3237815, ' Yes': -10.196395, '\n': -11.086809, ' Nope': -12.1861725}
{' No': -0.0018059964, 'No': -6.334062, ' Yes': -11.144648, '\n': -11.456639, ' Nope': -13.185783}
{' Yes': -0.007966478, 'Yes': -5.32101, ' Snake': -6.0437784, ' No': -7.952485, ' Sn': -9.51168}
{' Yes': -0.0049787303, 'Yes': -5.8676357, ' No': -6.708053, ' Snake': -7.2885776, ' YES': -9.470959}
{' No': -0.0043610265, 'No': -5.4579453, '\n': -9.793213, ' Yes': -10.56419, ' ': -12.959101}
{' No': -0.0023300522, 'No': -6.100011, ' Yes': -10.014928, '\n': -10.303076, ' Nope': -13.129198}
{' Yes': -0.40819988, ' No': -1.2315584, ' Laugh': -3.4625802, ' Nope': -4.8963704, 'Yes': -6.598751}
{' Yes': -0.4423594, ' No': -1.1363214, ' Laugh': -3.6102748, ' Nope': -5.527887, 'Yes': -6.2568817}
{' No': -0.005443381, ' Yes': -5.549354, 'No': -6.584226, ' Nope': -9.239648, '\n': -10.002322}
{' No': -0.027274769, ' Yes': -3.7385192, 'No': -6.2224855, ' Nope': -6.9678392, '\n': -9.035871}
{' No': -0.053479236, ' Yes': -3.0477455, 'No': -5.459891, 'Yes': -8.9559, ' Nope': -9.02617}
{' No': -0.06909529, ' Yes': -2.7479205, 'No': -6.0095096, 'Yes': -9.048514, ' Nope': -9.557086}
{' No': -0.0032566956, 'No': -5.7643223, ' Yes': -9.388071, '\n': -10.586321, ' ': -13.112038}
{' No': -0.0023473196, 'No': -6.108217, ' Yes': -9.17494, '\n': -11.281758, ' Not': -13.646067}
{' No': -0.007648296, ' Yes': -5.067268, 'No': -6.680414, '\n': -10.465469, ' Nope': -10.781596}
{' Yes': -0.030492986, ' No': -3.538952, 'Yes': -7.064739, '\n': -9.933138, 'No': -10.128807}
{' No': -0.0026203315, 'No': -5.957186, '\n': -10.828154, ' Yes': -12.058577, ' ': -13.091453}
{' No': -0.0020010348, 'No': -6.242123, '\n': -10.297974, ' Yes': -11.144991, ' ': -12.851377}
{' Yes': -0.26076183, ' No': -1.5427672, ' Plane': -4.776877, 'Yes': -5.362025, 'No': -6.534493}
{' Yes': -0.090926535, ' No': -2.8507686, ' Plane': -3.6892595, 'Yes': -5.9133344, ' Nope': -8.051557}
{' No': -0.0024658607, 'No': -6.022239, ' Yes': -10.937129, '\n': -10.9985485, ' ': -13.284211}
{' No': -0.0014549479, 'No': -6.551477, ' Yes': -11.36234, '\n': -11.389502, ' ': -13.921871}
{' Yes': -0.04322302, ' No': -3.7888227, ' Found': -4.0898843, 'Yes': -6.4620094, ' Fund': -8.604566}
{' Yes': -0.026071085, ' No': -3.7290394, 'Yes': -6.8178134, ' Found': -8.15154, ' yes': -9.5254755}
{' No': -0.0017154749, 'No': -6.4098516, ' Yes': -10.168031, '\n': -10.646628, ' Nope': -12.565285}
{' No': -0.0020479213, 'No': -6.2938147, ' Yes': -8.796916, '\n': -10.134997, ' Not': -12.965707}
{' No': -0.25124848, ' Yes': -1.5411426, ' Uncle': -5.273692, 'No': -6.7204843, ' Nope': -6.954482}
{' No': -0.0336953, ' Yes': -3.5006673, 'No': -6.6113853, ' Nope': -7.010818, ' Un': -8.63056}
{' No': -0.0016383366, 'No': -6.635301, ' Yes': -8.174702, '\n': -10.408698, ' Nope': -11.919129}
{' No': -0.002336207, 'No': -6.621677, ' Yes': -6.994785, '\n': -9.665365, ' Nope': -11.1606655}
{' Yes': -0.02295164, ' No': -3.959328, 'Yes': -5.7710056, ' Stamp': -8.749144, 'No': -9.030571}
{' Yes': -0.034736566, ' No': -3.4461954, 'Yes': -6.2080874, 'No': -9.102562, '\n': -10.471008}
{' No': -0.0029741235, 'No': -5.8421216, '\n': -10.199074, ' Yes': -10.749372, ' Not': -12.525701}
{' No': -0.0019686655, 'No': -6.2471943, '\n': -10.825846, ' Yes': -12.000614, ' ': -13.274319}
{' Yes': -0.002526033, 'Yes': -6.862181, ' Sleep': -7.312247, ' No': -7.5447507, '\n': -9.339942}
{' Yes': -0.002127361, 'Yes': -6.8669934, ' No': -7.0466633, ' yes': -9.735342, '\n': -9.769572}
{' No': -0.0019712918, 'No': -6.2501154, '\n': -10.812949, ' Yes': -11.108272, ' Nope': -13.462921}
{' No': -0.0025206555, 'No': -6.001115, '\n': -10.723632, ' Yes': -11.226633, ' ': -13.085196}
{' No': -0.038019896, ' Yes': -3.323399, 'No': -6.757382, 'Yes': -9.694271, ' Nope': -10.381611}
{' No': -0.5501232, ' Yes': -0.87751204, ' Close': -5.3185806, 'No': -7.1161165, ' Nope': -7.1798453}
{' No': -0.0018494673, 'No': -6.3157887, ' Yes': -10.614776, '\n': -11.325622, ' Nope': -13.557459}
{' No': -0.0021118904, 'No': -6.2017455, ' Yes': -9.747852, '\n': -11.012124, ' Nope': -12.592154}
{' Yes': -0.04417353, ' No': -3.278226, 'Yes': -5.9613223, ' Te': -6.4683437, ' Nope': -8.142369}
{' Yes': -0.09346071, ' No': -2.5655427, ' Te': -5.297382, 'Yes': -5.7250147, '\n': -6.8128705}
{' No': -0.0018488711, 'No': -6.392146, ' Yes': -8.752394, '\n': -11.520533, ' Not': -13.519083}
{' No': -0.0020600476, 'No': -6.2693667, ' Yes': -8.860566, '\n': -10.963793, ' ': -12.855949}
{' Yes': -0.0008185982, 'Yes': -7.6811147, ' No': -8.096962, '\n': -10.602699, ' Sure': -11.028889}
{' Yes': -0.0027575535, ' No': -6.1468387, 'Yes': -7.5311174, '\n': -10.043021, ' Sure': -11.109767}
{' No': -0.0034709205, ' Yes': -6.1507983, 'No': -6.6665983, '\n': -9.894813, 'Yes': -12.6883335}
{' No': -0.0064231795, ' Yes': -5.36905, 'No': -6.415602, '\n': -9.350589, 'Yes': -11.753769}
{' Yes': -0.0070125028, ' No': -5.7617593, 'Yes': -5.8148527, ' Drunk': -7.663558, ' yes': -8.90726}
{' Yes': -0.015619172, ' No': -4.3878837, 'Yes': -5.960603, ' Drunk': -9.170885, ' yes': -9.43996}
{' No': -0.0017496287, 'No': -6.524235, ' Yes': -8.275845, '\n': -10.880589, ' Not': -12.632351}
{' No': -0.002202685, 'No': -6.25378, ' Yes': -8.283943, '\n': -11.083482, ' Not': -12.49611}
{' No': -0.0058098035, ' Yes': -5.5063987, 'No': -6.4123454, '\n': -10.0792055, ' Nope': -10.376856}
{' No': -0.3903474, ' Yes': -1.1391916, 'No': -6.594434, 'Yes': -7.039618, ' Min': -7.821887}
{' No': -0.0025982207, 'No': -5.966507, '\n': -10.828676, ' Yes': -12.029603, ' ': -13.061775}
{' No': -0.001826598, 'No': -6.356532, '\n': -9.967711, ' Yes': -10.372819, ' ': -12.233929}
{' Yes': -0.00075727707, 'Yes': -7.2796664, ' yes': -10.4050255, ' No': -11.416614, ' YES': -11.52124}
{' Yes': -0.0006149016, 'Yes': -7.5810513, ' No': -9.876477, ' yes': -10.315142, ' YES': -11.507692}
{' No': -0.0026857143, 'No': -5.9405994, '\n': -10.614914, ' Yes': -10.879307, ' ': -12.656108}
{' No': -0.0018122065, 'No': -6.370832, '\n': -10.005213, ' Yes': -10.012915, ' ': -12.623607}
{' No': -0.20487678, ' Yes': -1.70699, 'No': -6.2167764, ' Nope': -6.861822, 'Yes': -7.8985295}
{' No': -0.21745099, ' Yes': -1.6498086, 'No': -6.326362, ' Nope': -7.009961, 'Yes': -7.875673}
{' No': -0.0030574014, 'No': -5.835651, ' Yes': -9.274012, '\n': -10.3724785, ' ': -12.875218}
{' No': -0.002791265, 'No': -5.8998837, ' Yes': -10.732458, '\n': -10.754993, ' Not': -13.398191}
{' Yes': -0.12611778, ' Woman': -2.650547, ' No': -3.0840323, 'Yes': -6.8151755, 'Woman': -8.006184}
{' Yes': -0.63015705, ' Woman': -0.77804327, 'Woman': -5.808318, ' No': -6.005723, 'Yes': -6.6906943}
{' No': -0.0017016853, 'No': -6.4159527, ' Yes': -10.1931, '\n': -10.731344, ' Nope': -13.060113}
{' No': -0.0037102595, 'No': -5.6138287, ' Yes': -10.227491, '\n': -11.01062, ' Not': -13.647614}
{' Yes': -0.0051976973, ' Party': -5.7227063, 'Yes': -6.480848, ' No': -8.928453, ' yes': -9.559893}
{' Yes': -0.02552332, ' No': -3.7975476, 'Yes': -6.563373, ' Party': -6.7927294, ' yes': -9.937656}
{' No': -0.0023224643, 'No': -6.1307592, ' Yes': -9.070285, '\n': -10.670909, ' Not': -12.699499}
{' No': -0.0018681595, 'No': -6.4853086, ' Yes': -8.093421, '\n': -10.474513, ' Not': -12.609732}
{' Yes': -0.07119934, ' No': -2.6921477, 'Yes': -7.1040835, 'No': -9.211131, ' yes': -10.409406}
{' Yes': -0.52187383, ' No': -0.9032901, 'Yes': -7.3583074, 'No': -7.3720527, ' yes': -10.719724}
{' No': -0.002555196, 'No': -5.992669, ' Yes': -10.20617, '\n': -11.166213, ' Not': -13.453423}
{' No': -0.002567204, 'No': -5.986652, ' Yes': -10.211188, '\n': -11.506706, ' Not': -12.754788}
{' Yes': -0.002462633, 'Yes': -6.178526, ' Shoes': -8.690332, ' No': -9.224737, ' YES': -9.974703}
{' Yes': -0.0023897393, 'Yes': -6.2256618, ' Shoes': -8.62638, ' No': -9.019476, ' YES': -9.920031}
{' No': -0.0024794242, 'No': -6.1059275, ' Yes': -8.510652, '\n': -10.152604, ' Nope': -13.036991}
{' No': -0.0027472745, 'No': -6.567511, ' Yes': -6.7108693, '\n': -9.180769, ' Nope': -11.601253}
{' Yes': -0.0063192844, ' No': -5.331642, 'Yes': -6.751703, ' Ghost': -8.561306, '\n': -10.434685}
{' Yes': -0.2737398, ' No': -1.4369326, 'Yes': -7.223485, 'No': -7.649897, ' Ghost': -7.740656}
{' No': -0.00402392, 'No': -5.5401416, '\n': -9.54733, ' Yes': -11.915966, ' ': -12.067455}
{' No': -0.0029912218, 'No': -5.8268723, '\n': -10.5116825, ' Yes': -12.089102, ' ': -12.790477}
{' Yes': -0.0019282378, ' Shirt': -6.826106, 'Yes': -7.2934647, ' No': -9.714571, '\n': -10.227875}
{' Yes': -0.023589713, ' Shirt': -3.8652413, 'Yes': -6.4528513, ' No': -7.7988143, ' Sh': -8.862249}
{' No': -0.0024689678, 'No': -6.187049, ' Yes': -7.8741727, '\n': -11.046786, ' Nope': -11.703935}
{' No': -0.002026, 'No': -6.329537, ' Yes': -8.442868, ' Nope': -11.361467, '\n': -11.530309}
{' Yes': -0.042341005, ' No': -3.275636, 'Yes': -5.8075633, ' Pants': -7.6807933, 'No': -9.632255}
{' Yes': -0.1635391, ' No': -1.9241517, 'Yes': -5.7325754, ' Pants': -6.7764964, 'No': -8.387736}
{' No': -0.0018906139, 'No': -6.346524, ' Yes': -9.188062, '\n': -10.466017, ' Not': -13.030289}
{' No': -0.0021894858, 'No': -6.1679688, ' Yes': -9.771401, '\n': -10.4854965, ' ': -12.717032}
{' Yes': -0.14640103, ' No': -2.0616233, ' Board': -5.4999986, 'Yes': -5.8083177, 'No': -7.0773473}
{' Yes': -0.03295273, ' No': -3.6272767, 'Yes': -5.6937876, ' Board': -6.4485946, ' yes': -8.18874}
{' No': -0.004006443, 'No': -5.5558157, ' Yes': -9.477322, '\n': -9.978177, ' Not': -12.489473}
{' No': -0.0034827043, 'No': -5.6839824, '\n': -10.117335, ' Yes': -10.442785, ' ': -12.818497}
{' Yes': -0.0083441585, ' No': -5.0885363, 'Yes': -6.3887296, ' Leave': -8.329371, ' yes': -9.339117}
{' Yes': -0.0436477, ' No': -3.2125125, 'Yes': -6.378994, ' Leave': -7.8341327, '\n': -9.09676}
{' No': -0.004455138, 'No': -5.736867, ' Yes': -6.7604876, '\n': -9.942395, ' Not': -12.216163}
{' No': -0.0025332645, 'No': -6.165148, ' Yes': -7.8896103, '\n': -9.98934, ' ': -12.800373}
{' Yes': -0.16075268, ' No': -2.1456828, ' There': -4.36674, ' Nope': -4.599606, 'Yes': -5.695471}
{' Yes': -0.036601506, ' No': -3.5586083, ' There': -5.315778, 'Yes': -6.2161613, ' Nope': -8.68163}
{' No': -0.0048421007, 'No': -6.0581236, ' Nope': -6.707341, ' Yes': -6.82124, ' Possibly': -10.039901}
{' No': -0.0026291164, 'No': -6.4617352, ' Yes': -7.210078, ' Unfortunately': -9.41407, ' Nope': -9.441164}
{' No': -0.18611646, ' Yes': -1.7929927, 'No': -5.9810133, 'Yes': -7.702781, ' Nope': -9.078513}
{' No': -0.17798786, ' Yes': -1.9248807, ' Sn': -4.619226, 'No': -5.4268956, 'Yes': -7.1632338}
{' No': -0.0022304035, 'No': -6.126509, '\n': -10.766739, ' Yes': -11.003797, ' Not': -12.990297}
{' No': -0.0020556257, 'No': -6.2081347, '\n': -10.49998, ' Yes': -11.89476, ' ': -12.903771}
{' Yes': -0.14561737, ' No': -2.09537, ' Bride': -4.840132, ' Bridge': -6.0643525, 'Yes': -6.675959}
{' Yes': -0.1301612, ' Bridge': -2.9330173, ' Bride': -3.005142, ' No': -4.596729, ' Brid': -5.9700236}
{' No': -0.0012951661, 'No': -6.682848, '\n': -10.549905, ' Yes': -11.38541, ' ': -12.9617}
{' No': -0.00151685, 'No': -6.535551, ' Yes': -10.348583, '\n': -10.516153, ' ': -12.915482}
{' Yes': -0.026155762, ' No': -3.744898, ' Throw': -6.657844, 'Yes': -7.401535, '\n': -8.686839}
{' Yes': -0.19923781, ' No': -1.8750497, ' Throw': -3.7076893, '\n': -6.824928, 'Yes': -7.121598}
{' No': -0.0018161489, 'No': -6.33445, ' Yes': -10.915836, '\n': -10.919781, ' Nope': -13.304266}
{' No': -0.0020484, 'No': -6.26348, ' Yes': -9.2465515, '\n': -10.286151, ' Nope': -11.991181}
{' Yes': -0.03560677, ' No': -3.7617114, ' Women': -4.669022, 'Yes': -6.5526986, ' Wo': -8.744892}
{' Yes': -0.0021098591, 'Yes': -6.749309, ' No': -7.4065986, ' Women': -9.362992, ' YES': -9.50774}
{' No': -0.0023249132, 'No': -6.085399, ' Yes': -10.685608, '\n': -10.826651, ' Nope': -13.5640135}
{' No': -0.0024506229, 'No': -6.0686655, ' Yes': -9.454785, '\n': -9.937076, ' ': -12.955037}
{' No': -0.5998269, ' Yes': -0.87826365, ' Ank': -4.095176, 'Yes': -5.652563, 'No': -5.918782}
{' No': -0.101539515, ' Yes': -2.400562, 'No': -5.888395, ' Nope': -6.6792083, 'Yes': -7.7162848}
{' No': -0.031653203, ' Yes': -3.531323, 'No': -6.6596665, ' Nope': -8.246216, ' Not': -8.70799}
{' No': -0.0030709761, ' Yes': -6.274679, 'No': -6.8243675, ' Nope': -9.858097, ' Not': -10.927079}
{' No': -0.4678868, ' Yes': -0.99655217, ' Nope': -6.279021, 'No': -6.8212934, 'Yes': -7.35935}
{' Yes': -0.19097236, ' No': -1.767457, 'Yes': -6.9198627, ' Los': -7.205035, ' Nope': -7.2450094}
{' No': -0.0027186456, 'No': -5.9339046, ' Yes': -10.222475, '\n': -10.738764, ' Not': -12.509192}
{' No': -0.0021016777, 'No': -6.200443, ' Yes': -10.097838, '\n': -10.679776, ' ': -12.8731985}
{' Yes': -0.024934912, ' No': -3.7466009, 'Yes': -6.9946833, 'No': -9.978448, ' YES': -11.055399}
{' No': -0.20997992, ' Yes': -1.6735495, 'No': -6.6755877, 'Yes': -8.330893, ' Nope': -8.49454}
{' No': -0.0030930974, 'No': -5.7944517, ' Yes': -10.490554, '\n': -11.407102, ' Not': -13.0903015}
{' No': -0.0027709424, 'No': -5.935872, ' Yes': -9.241467, '\n': -10.692742, ' Not': -13.000986}
{' Yes': -0.00082361064, 'Yes': -7.3331785, ' Shark': -9.37008, '\n': -10.294045, ' No': -10.941323}
{' Yes': -0.0011491937, 'Yes': -7.1272225, ' Shark': -9.0777855, '\n': -9.220134, ' No': -9.240409}
{' No': -0.0083652, ' Yes': -5.0715365, 'No': -6.329469, '\n': -8.9575815, ' Nope': -9.213769}
{' No': -0.017280098, ' Yes': -4.2885985, 'No': -5.959342, ' Nope': -7.7250185, '\n': -8.415704}
{' Yes': -0.011647527, ' No': -4.5644164, 'Yes': -6.9272814, ' Lemon': -9.193355, ' yes': -10.549262}
{' Yes': -0.031571694, ' No': -3.5620337, 'Yes': -6.3844666, ' Lemon': -7.1716814, 'No': -9.0215845}
{' No': -0.0022670247, 'No': -6.127295, '\n': -10.116694, ' Yes': -10.312835, ' Not': -12.783607}
{' No': -0.0031516943, 'No': -5.799301, ' Yes': -9.7666645, '\n': -9.976643, ' Not': -12.012934}
{' No': -0.0109268585, ' Yes': -4.7811594, 'No': -6.12407, ' Nope': -8.981885, '\n': -9.281579}
{' No': -0.022272523, ' Yes': -4.123358, 'No': -5.5614758, ' Nope': -6.408627, '\n': -8.946754}
{' No': -0.0022921166, 'No': -6.147123, ' Yes': -8.99896, '\n': -10.725596, ' Not': -13.292388}
{' No': -0.0022645157, 'No': -6.1964626, ' Yes': -8.565403, '\n': -10.897808, ' Nope': -11.258348}
{' Yes': -0.074917585, ' No': -2.925164, ' Below': -4.1603937, 'Yes': -6.215279, 'No': -8.301141}
{' Yes': -0.14046858, ' No': -2.0505867, 'Yes': -6.5146213, 'No': -7.731855, ' Below': -8.501104}
{' No': -0.0031354895, 'No': -5.7790694, ' Yes': -10.976619, '\n': -10.983904, ' Not': -13.1704855}
{' No': -0.003159765, 'No': -5.7663584, '\n': -11.302913, ' Yes': -11.867213, ' Not': -13.214578}
{' Yes': -0.020322785, ' Sm': -4.2324843, ' Spell': -6.03832, ' No': -6.5133066, 'Yes': -6.8298144}
{' Yes': -0.049227536, ' No': -3.0756938, 'Yes': -6.8964734, ' Spell': -8.158279, ' Sm': -8.453633}
{' No': -0.0021738939, 'No': -6.1492815, '\n': -10.701592, ' Yes': -11.641677, ' ': -12.771962}
{' No': -0.0026336594, 'No': -5.953693, '\n': -10.804841, ' Yes': -11.700379, ' ': -12.793923}
{' Yes': -1.0423381, ' Your': -1.1389205, ' No': -1.1833695, ' Y': -5.4702296, 'Yes': -6.0416102}
{' No': -0.7509218, ' Yes': -0.9027144, ' Your': -2.2713513, 'No': -5.616814, 'Yes': -5.774643}
{' No': -0.0029170332, 'No': -5.8513412, ' Yes': -10.901827, '\n': -11.365772, ' Nope': -12.475298}
{' No': -0.003874139, 'No': -5.5796432, ' Yes': -9.534534, '\n': -11.070595, ' ': -13.3225155}
{' No': -0.0128091555, ' Yes': -4.701318, 'No': -5.6671877, ' Nope': -9.045985, 'Yes': -10.566266}
{' No': -0.14599195, ' Yes': -2.0017257, 'No': -7.6390033, 'Yes': -9.569475, ' Wrong': -9.599131}
{' No': -0.0042632106, 'No': -5.6961, ' Yes': -7.1024494, ' Nope': -10.197029, '\n': -10.527918}
{' No': -0.0022167242, 'No': -6.4828873, ' Yes': -7.358038, '\n': -10.287592, ' Not': -12.29619}
{' Yes': -0.3315083, ' No': -1.579929, ' Devil': -2.6588874, 'Yes': -6.190215, ' Dev': -6.9194846}
{' Yes': -0.57867455, ' No': -0.98092675, ' Devil': -2.8765125, 'Yes': -6.140711, 'No': -6.595894}
{' No': -0.0032363646, 'No': -5.795928, ' Yes': -8.874745, '\n': -10.129294, ' ': -12.314583}
{' No': -0.003061109, 'No': -5.9591002, ' Yes': -7.7847037, '\n': -10.021949, ' Not': -12.278766}
{' Yes': -0.00097424805, 'Yes': -7.3927717, ' No': -8.072188, ' yes': -10.577987, ' YES': -11.837696}
{' Yes': -0.02465318, ' No': -3.7513795, 'Yes': -7.275084, ' yes': -9.485115, 'No': -10.293263}
{' No': -0.0036440936, 'No': -5.6307263, '\n': -10.575049, ' Yes': -10.855355, ' ': -12.670028}
{' No': -0.0025284246, 'No': -6.0179086, ' Yes': -9.907094, '\n': -10.283255, ' Not': -12.767896}
{' No': -0.051980615, ' Yes': -3.0803354, 'No': -5.479554, ' Major': -7.9219832, 'Yes': -9.151555}
{' No': -0.029766917, ' Yes': -3.6131732, 'No': -6.1401315, ' Major': -9.478319, 'Yes': -10.06297}
{' No': -0.0036592295, 'No': -5.6254754, ' Yes': -10.457764, '\n': -11.160413, ' Not': -13.108551}
{' No': -0.0027059128, 'No': -5.951518, ' Yes': -9.509707, '\n': -10.857263, ' Not': -12.601248}
{' Yes': -0.2604908, ' No': -1.7850822, ' Worst': -2.8737755, 'Yes': -6.506951, ' Nope': -6.768371}
{' Yes': -0.039188974, ' No': -3.429869, ' Worst': -5.4963307, 'Yes': -6.7218866, ' Nope': -8.918992}
{' No': -0.0036414019, 'No': -5.6292415, ' Yes': -10.79674, '\n': -10.899067, ' Nope': -13.439733}
{' No': -0.0021429511, 'No': -6.172045, ' Yes': -10.580152, '\n': -10.701384, ' Not': -12.91613}
{' No': -0.045409888, ' Yes': -3.1619697, 'No': -6.601341, ' Pound': -7.9983835, ' Nope': -8.368185}
{' Yes': -0.5998829, ' No': -0.8039882, ' Pound': -6.9787817, 'No': -6.9914656, 'Yes': -7.23029}
{' No': -0.0019445402, 'No': -6.263169, '\n': -10.964136, ' Yes': -11.0089855, ' ': -13.686562}
{' No': -0.0017484357, 'No': -6.393165, ' Yes': -10.096881, '\n': -10.540608, ' Not': -12.779033}
{' Yes': -0.03829013, ' No': -3.54158, ' Dirty': -5.2789035, 'Yes': -5.9604454, ' Dirt': -8.036945}
{' Yes': -0.060205784, ' Dirty': -3.2752688, ' No': -4.619276, ' Dirt': -5.268997, 'Yes': -5.4717293}
{' No': -0.006348198, ' Yes': -5.542166, 'No': -6.0678196, '\n': -9.55031, 'Yes': -11.565835}
