{' Yes': -0.13539301, ' No': -2.1033745, 'Yes': -5.6440215, 'No': -7.5718822, ' The': -8.168239}
{' No': -0.031199351, ' Yes': -3.7354743, 'No': -5.028735, 'Yes': -9.1096945, ' Unfortunately': -9.665394}
{' No': -0.10761566, ' Yes': -2.4372418, 'No': -4.4766226, ' The': -7.094735, 'Yes': -7.14692}
{' Yes': -0.22276033, ' No': -1.6291801, 'Yes': -6.1273203, 'No': -7.2749643, ' The': -7.7447042}
{' Yes': -0.006228176, 'Yes': -5.2858624, ' No': -7.0116634, ' The': -8.512001, ' yes': -10.90942}
{' Yes': -0.3940634, ' No': -1.1458067, 'Yes': -5.775708, 'No': -5.9068365, ' The': -6.620843}
{' No': -0.38106406, ' Yes': -1.184632, 'No': -4.817385, 'Yes': -6.262989, ' The': -7.802294}
{' No': -0.053236924, ' Yes': -3.201396, 'No': -4.5397115, 'Yes': -8.066604, ' Not': -9.740309}
{' Yes': -0.4047284, ' No': -1.1211191, 'Yes': -5.7412286, 'No': -5.777355, ' The': -7.829769}
{' Yes': -0.0037771484, 'Yes': -6.280831, ' No': -6.3398733, ' The': -9.726937, ' yes': -10.280077}
{' No': -0.02917018, 'No': -3.92047, ' Yes': -4.7623506, 'Yes': -8.570706, ' Not': -9.804425}
{' No': -0.18057449, ' Yes': -1.841648, 'No': -5.250763, 'Yes': -7.340631, ' The': -8.181151}
{' No': -0.012474381, 'No': -4.6201215, ' Yes': -6.067707, ' The': -9.304096, ' Unfortunately': -9.867296}
{' No': -0.32589877, ' Yes': -1.2974069, 'No': -5.6208906, 'Yes': -6.8223658, ' The': -9.358642}
{' Yes': -0.015764438, ' No': -4.307696, 'Yes': -6.25301, ' The': -9.050377, 'No': -9.5106125}
{' No': -0.25026393, ' Yes': -1.5324732, 'No': -5.4044175, 'Yes': -7.1723604, ' Not': -9.325472}
{' No': -0.35498652, ' Yes': -1.2366395, 'No': -5.053526, 'Yes': -6.4957747, ' Not': -8.489347}
{' No': -0.5934087, ' Yes': -0.81674594, 'No': -5.5259113, 'Yes': -6.4797044, ' ': -9.804356}
{' Yes': -0.011283603, ' No': -4.832292, 'Yes': -5.8009543, ' The': -9.032863, 'No': -10.025392}
{' No': -0.040604748, ' Yes': -3.3175726, 'No': -5.739566, 'Yes': -9.351909, ' The': -9.404809}
{' No': -0.09111873, ' Yes': -2.5815954, 'No': -4.6100206, 'Yes': -7.361378, ' The': -8.0829}
{' Yes': -0.3222366, ' No': -1.3164649, 'Yes': -5.4657702, 'No': -6.0251284, ' The': -7.5944147}
{' No': -0.1980893, ' Yes': -1.738674, 'No': -5.792102, 'Yes': -7.630382, ' The': -8.524798}
{' No': -0.13933475, ' Yes': -2.1162062, 'No': -4.7825956, 'Yes': -6.944072, ' Not': -8.927585}
{' No': -0.07641282, ' Yes': -2.722382, 'No': -4.974156, ' The': -8.043543, 'Yes': -8.051861}
{' No': -0.13044026, ' Yes': -2.2248502, 'No': -4.382881, 'Yes': -6.673643, ' Not': -8.226328}
{' No': -0.024981905, 'No': -4.172334, ' Yes': -4.7414985, ' Not': -8.212756, 'Yes': -9.251956}
{' Yes': -0.6273373, ' No': -0.78553474, 'No': -5.2002497, 'Yes': -5.484345, ' The': -8.486318}
{' No': -0.016034536, 'No': -4.4418387, ' Yes': -5.506103, 'Yes': -10.0442705, ' Not': -11.455436}
{' No': -0.31395513, ' Yes': -1.3672428, 'No': -4.495781, 'Yes': -5.890289, ' Not': -7.8745146}
{' No': -0.016857142, ' Yes': -4.678642, 'No': -4.923572, 'Yes': -9.844883, ' The': -10.074884}
{' Yes': -0.065460026, ' No': -2.8372037, 'Yes': -5.6064463, ' The': -7.1767707, 'No': -8.385715}
{' No': -0.035591822, ' Yes': -3.5165508, 'No': -5.304322, 'Yes': -8.954819, ' The': -9.764995}
{' Yes': -0.58122236, ' No': -0.8289736, 'Yes': -6.254325, 'No': -6.265363, ' Not': -8.455404}
{' No': -0.011355039, 'No': -5.0563207, ' Yes': -5.385905, ' Unfortunately': -8.561218, ' The': -9.7845}
{' No': -0.013518911, 'No': -5.006902, ' Yes': -5.060003, ' Unfortunately': -8.565352, ' The': -9.68308}
{' Yes': -0.020184532, ' No': -4.0114717, 'Yes': -6.3499603, 'No': -9.965997, ' The': -10.0986805}
{' No': -0.24773744, ' Yes': -1.5344766, 'No': -5.9362597, 'Yes': -7.3081393, ' The': -7.7885394}
{' Yes': -0.018404271, ' No': -4.141709, 'Yes': -6.1500664, ' The': -9.30122, 'No': -9.832277}
{' Yes': -0.12542893, ' No': -2.2034872, 'Yes': -5.148277, 'No': -6.5768995, ' The': -8.918687}
{' No': -0.2878687, ' Yes': -1.405058, 'No': -5.5778637, 'Yes': -7.119398, ' The': -9.226202}
{' No': -0.018908063, ' Yes': -4.225941, 'No': -5.5377393, ' Not': -9.7414055, 'Yes': -9.917135}
{' No': -0.007697668, 'No': -5.387735, ' Yes': -5.8420935, ' Unfortunately': -9.432319, ' Not': -10.364303}
{' No': -0.046504334, 'No': -3.0920267, ' Not': -11.005433, ' ': -11.724317, ' Nope': -12.932907}
{' No': -0.11870858, ' Yes': -2.2499533, 'No': -5.3023615, ' The': -7.247462, 'Yes': -7.751439}
{' No': -0.078195274, ' Yes': -2.6907747, 'No': -5.018188, 'Yes': -7.755642, ' Not': -8.660691}
{' Yes': -0.120475546, ' No': -2.2388723, 'Yes': -5.590795, ' Dive': -6.1952853, 'No': -7.63351}
{' No': -0.03292125, 'No': -3.7718663, ' Yes': -4.706343, 'Yes': -8.380817, ' Not': -9.516571}
{' Yes': -0.010409544, 'Yes': -4.6895266, ' No': -6.8696218, ' The': -9.908885, ' yes': -10.575465}
{' Yes': -0.010926376, ' No': -4.972224, 'Yes': -5.5684977, 'No': -10.104423, ' yes': -10.335456}
{' Yes': -0.013060402, 'Yes': -4.6565747, ' No': -5.7035313, ' The': -10.020116, 'No': -10.043741}
{' Yes': -0.21565817, ' No': -1.6682528, 'Yes': -5.519911, 'No': -7.0699344, ' The': -7.7504997}
{' No': -0.1261123, ' Yes': -2.1976473, 'No': -5.0552926, 'Yes': -7.5736504, ' Not': -8.116322}
{' Yes': -0.5782573, ' No': -0.8360985, 'No': -5.93912, 'Yes': -6.2605915, ' Not': -7.2233453}
{' No': -0.01657955, 'No': -4.5345883, ' Yes': -5.208522, ' The': -9.349746, ' Unfortunately': -9.940762}
{' Yes': -0.6898626, ' No': -0.7121901, 'Yes': -5.4774733, 'No': -5.6624575, ' Not': -9.520307}
{' Yes': -0.08958213, ' No': -2.4989772, 'Yes': -5.8543653, 'No': -7.6829977, ' The': -9.097211}
{' Yes': -0.4027575, ' No': -1.1244162, 'Yes': -5.5879245, 'No': -5.9785795, ' The': -8.531869}
{' No': -0.11976235, 'No': -2.2277622, ' Not': -5.6681533, ' Unfortunately': -6.861944, ' Yes': -7.8037353}
{' No': -0.0071422216, 'No': -5.487431, ' Yes': -6.1034594, ' Unfortunately': -7.8002176, ' Not': -8.92965}
{' No': -0.016649788, ' Yes': -4.7946415, 'No': -4.825772, ' The': -9.80743, 'Yes': -9.909784}
{' No': -0.03566094, ' Yes': -3.5067644, 'No': -5.3367205, 'Yes': -8.9960165, '\n': -10.40392}
{' No': -0.0051756483, 'No': -5.288165, ' Unfortunately': -9.768379, ' Yes': -10.7513895, ' Not': -11.002075}
{' No': -0.009101878, 'No': -4.756571, ' Yes': -8.252039, ' Unfortunately': -9.442717, ' The': -9.941004}
{' Yes': -0.6334105, ' No': -0.76944643, 'No': -5.768836, 'Yes': -5.9867654, ' Not': -8.906365}
{' No': -0.048965786, ' Yes': -3.1607783, 'No': -5.3546085, ' The': -8.330662, 'Yes': -8.779943}
{' No': -0.10932395, ' Yes': -2.3857331, 'No': -4.558132, 'Yes': -7.328037, ' The': -8.904526}
{' No': -0.058520097, ' Yes': -3.0104089, 'No': -5.0445485, ' Unfortunately': -7.656285, 'Yes': -8.387308}
{' Yes': -0.05056316, ' No': -3.076501, 'Yes': -5.9342046, 'No': -8.30449, ' The': -8.69337}
{' Yes': -0.11129293, ' No': -2.2796717, 'Yes': -6.1265783, 'No': -7.687094, ' The': -8.401483}
{' Yes': -0.008274984, 'Yes': -5.3722177, ' No': -5.642476, 'No': -10.987649, ' yes': -11.022588}
{' Yes': -0.0075816903, 'Yes': -4.9058685, ' No': -9.298075, ' yes': -10.308375, ' ': -11.665143}
{' No': -0.015145539, ' Yes': -4.495887, 'No': -5.5848227, 'Yes': -10.052577, ' Not': -10.389905}
{' No': -0.5996616, ' Yes': -0.8088386, 'No': -5.647322, 'Yes': -6.450537, ' The': -8.537415}
{' No': -0.6841639, ' Yes': -0.71537775, 'No': -5.7580523, 'Yes': -5.9028454, ' The': -7.987325}
{' Yes': -0.562116, ' No': -0.8598283, 'Yes': -6.1093245, ' The': -6.1734133, 'No': -6.216268}
{' No': -0.6870487, ' Yes': -0.7149875, ' The': -5.798882, 'No': -5.9568577, 'Yes': -6.594052}
{' Yes': -0.22693141, ' No': -1.6250008, 'Yes': -5.556355, 'No': -6.6401772, ' The': -8.180633}
{' No': -0.3713435, ' Yes': -1.1862143, 'No': -5.821525, 'Yes': -7.0558414, ' Not': -7.870075}
{' Yes': -0.0071862256, 'Yes': -5.439998, ' No': -5.91031, ' yes': -10.108174, 'No': -10.738605}
{' No': -0.14946632, ' Yes': -2.1055267, 'No': -4.2080426, 'Yes': -6.6371717, ' Not': -7.9701204}
{' Yes': -0.57698643, ' No': -0.8467104, 'No': -5.3996296, 'Yes': -5.458515, ' The': -7.656024}
{' No': -0.65132415, ' Yes': -0.7485761, 'No': -6.099162, 'Yes': -6.6343293, ' Not': -6.7228017}
{' No': -0.25541732, ' Yes': -1.576405, ' Door': -4.3557115, 'No': -5.4751916, 'Yes': -7.277928}
{' No': -0.008838997, 'No': -5.111473, ' Yes': -5.941141, ' The': -9.921616, 'Yes': -10.442091}
{' No': -0.027151108, ' Yes': -3.832489, 'No': -5.331911, 'Yes': -8.717115, ' The': -10.066372}
{' No': -0.44692916, ' Yes': -1.0340778, 'No': -5.8831034, 'Yes': -6.557727, ' The': -8.208068}
{' No': -0.047993843, ' Yes': -3.3657103, 'No': -4.611392, ' Not': -7.120152, ' Unfortunately': -7.175877}
{' Yes': -0.04694039, ' No': -3.1598687, 'Yes': -5.899367, ' The': -8.201256, 'No': -8.529259}
{' No': -0.37918624, ' Yes': -1.1793228, 'No': -5.154714, 'Yes': -6.442256, ' The': -7.934116}
{' Yes': -0.48023593, ' No': -0.9785823, 'No': -5.956163, 'Yes': -5.9859824, ' Not': -8.230944}
{' Yes': -0.5019455, ' No': -0.9420243, 'No': -6.158426, 'Yes': -6.2543483, ' Not': -7.6988335}
{' No': -0.12111806, ' Yes': -2.2972367, 'No': -4.479003, 'Yes': -7.1109705, ' Most': -7.399158}
{' Yes': -0.57604843, ' No': -0.844939, 'No': -5.8330555, 'Yes': -5.850289, ' Most': -6.286017}
{' No': -0.08742139, ' Yes': -2.5732975, 'No': -5.0079093, 'Yes': -8.019756, ' The': -8.751545}
{' Yes': -0.057889283, ' No': -2.9320843, 'Yes': -5.969104, 'No': -8.428838, ' Not': -9.837682}
{' No': -0.0506263, ' Yes': -3.2251103, 'No': -4.8480735, ' The': -7.485057, ' Unfortunately': -7.6508417}
{' No': -0.2478942, ' Yes': -1.5694695, 'No': -4.7004256, 'Yes': -6.354852, ' Not': -8.369919}
{' Yes': -0.02759229, ' No': -3.7192576, 'Yes': -6.027637, ' The': -8.623737, ' Not': -8.74721}
{' Yes': -0.06730085, ' No': -2.7873456, 'Yes': -5.8720818, 'No': -7.948391, ' The': -8.7212925}
{' No': -0.01317424, 'No': -4.4679756, ' Yes': -6.537765, ' Not': -9.160435, ' ': -10.727693}
{' No': -0.020081386, ' Yes': -4.57722, 'No': -4.672513, 'Yes': -9.604965, ' Not': -9.909344}
{' No': -0.019435752, 'No': -4.345354, ' Yes': -5.1197066, ' Not': -8.713104, 'Yes': -9.863894}
{' No': -0.021337245, 'No': -4.3753047, ' Yes': -4.8013663, ' Not': -8.68695, 'Yes': -9.525294}
{' Yes': -0.6529165, ' No': -0.74972785, 'Yes': -5.672234, 'No': -5.709421, ' Not': -9.457005}
{' Yes': -0.08627995, ' No': -2.545085, 'Yes': -5.7629724, ' The': -7.762294, 'No': -7.836772}
{' No': -0.08927943, ' Yes': -2.5738547, 'No': -4.826603, 'Yes': -7.8266544, ' Not': -8.488695}
{' Yes': -0.3242983, ' No': -1.3019805, 'Yes': -5.856229, 'No': -6.3800173, ' Not': -8.569501}
{' No': -0.062521145, ' Yes': -2.8509483, 'No': -5.9633102, 'Yes': -8.790628, ' Not': -10.632093}
{' Yes': -0.6117403, ' No': -0.8007032, 'No': -5.5260735, 'Yes': -5.589628, ' The': -7.5895247}
{' Yes': -0.010890886, 'Yes': -4.779884, ' No': -6.047622, 'No': -10.233797, ' yes': -11.201685}
{' Yes': -0.335513, ' No': -1.2657975, 'Yes': -6.2846565, 'No': -6.91528, ' The': -9.435383}
{' No': -0.014917248, 'No': -4.750528, ' Yes': -5.1630034, ' Unfortunately': -8.402536, ' The': -9.332963}
{' No': -0.014214907, 'No': -4.267667, ' Yes': -9.703894, ' Not': -10.6963, ' ': -11.758582}
{' No': -0.04121687, ' Yes': -3.4532592, 'No': -4.782494, 'Yes': -8.511506, ' Not': -9.783883}
{' No': -0.009641084, 'No': -4.738055, ' Yes': -7.1408606, ' Not': -11.004979, ' ': -11.554435}
{' No': -0.016639002, ' Yes': -4.614425, 'No': -5.0792513, ' The': -9.1359, ' Not': -9.390809}
{' No': -0.105810836, ' Yes': -2.3733888, 'No': -5.1681466, ' Not': -7.784653, 'Yes': -7.900059}
{' Yes': -0.58922267, ' No': -0.8243378, 'No': -5.7496147, 'Yes': -5.788264, ' The': -8.096575}
{' No': -0.31803578, ' Yes': -1.3662059, 'No': -4.430018, 'Yes': -5.9055696, ' Unfortunately': -6.8574834}
{' Yes': -0.06205686, ' No': -2.8675585, 'Yes': -5.880145, 'No': -8.299998, ' The': -8.639472}
{' Yes': -0.017414797, ' No': -4.166302, 'Yes': -6.444279, ' The': -9.354193, 'No': -10.096909}
{' Yes': -0.023508124, ' No': -3.8694458, 'Yes': -6.2185073, ' The': -8.4101305, 'No': -9.609294}
{' No': -0.62997395, ' Yes': -0.7807575, 'No': -5.166639, 'Yes': -5.6949797, ' Not': -9.329352}
{' No': -0.44900164, ' Yes': -1.0219883, 'No': -7.420297, 'Yes': -7.5397854, ' The': -8.349016}
{' Yes': -0.020135755, ' No': -4.0085826, 'Yes': -6.8776793, ' The': -8.390932, ' YES': -8.512769}
{' No': -0.0073908432, ' Yes': -5.1024857, 'No': -6.8964605, ' ': -9.056024, '\n': -10.196319}
{' No': -0.21841693, ' Yes': -1.6330764, 'No': -7.9417806, ' Stop': -9.013025, '\n': -9.221617}
{' Yes': -0.6818189, ' No': -0.7133131, 'No': -6.545378, 'Yes': -6.556682, ' T': -7.5622826}
{' No': -0.31517717, ' Yes': -1.3137238, 'No': -7.443803, '\n': -8.441876, 'Yes': -8.447526}
{' No': -0.0055995123, ' Yes': -5.6899176, 'No': -6.247174, '\n': -9.478077, ' The': -9.63231}
{' Yes': -0.011240802, ' No': -4.5788884, 'Yes': -7.1411343, ' yes': -9.86945, '\n': -10.682138}
{' No': -0.59501874, ' Yes': -0.8245816, ' Wife': -4.8535957, 'No': -7.3702407, 'Yes': -7.4300117}
{' No': -0.037494995, ' Yes': -3.3289073, 'No': -7.1511, ' ': -9.873577, ' The': -10.026304}
{' No': -0.19363378, ' Yes': -1.7446742, 'No': -7.483619, '\n': -8.174258, ' ': -8.430059}
{' Yes': -0.5334291, ' No': -0.88762945, 'Yes': -7.654822, 'No': -7.978169, ' The': -8.088704}
{' No': -0.22503874, ' Yes': -1.610838, 'No': -6.7766347, 'Yes': -8.16267, ' Qu': -8.889454}
{' Yes': -0.32886484, ' No': -1.278406, 'Yes': -6.953733, 'No': -7.595468, ' yes': -9.53192}
{' Yes': -0.016766155, ' No': -4.1581116, 'Yes': -7.389313, ' The': -9.025206, ' yes': -9.160381}
{' No': -0.022627357, 'No': -4.1135907, ' Yes': -5.216273, ' no': -8.643722, 'Yes': -9.349421}
{' Yes': -0.37421772, ' No': -1.1675832, 'Yes': -7.846738, ' yes': -8.294835, ' ': -8.818145}
{' No': -0.0032148974, ' Yes': -6.291985, 'No': -6.8255696, '\n': -9.463492, ' ': -9.584356}
{' No': -0.5793159, ' Yes': -0.8284595, 'Yes': -7.0560694, 'No': -7.0707207, ' The': -7.378026}
{' Yes': -0.084865056, ' No': -2.529426, 'Yes': -7.2549257, ' yes': -7.87045, ' The': -8.0286}
{' No': -0.24464583, ' Yes': -1.5365751, 'No': -6.8650203, 'Yes': -7.8826327, ' The': -8.321268}
{' Yes': -0.5619944, ' No': -0.85169, 'Yes': -6.497616, 'No': -7.09061, ' The': -7.9471965}
{' No': -0.0037626687, 'No': -5.635953, ' Yes': -9.031407, ' ': -10.292792, '\n': -11.282477}
{' No': -0.01554592, ' Yes': -4.2566805, 'No': -6.771727, '\n': -10.184004, ' ': -10.393569}
{' No': -0.30425572, ' Yes': -1.3540318, '\n': -6.3635373, ' The': -7.1875825, 'No': -7.3127503}
{' No': -0.03132148, ' Yes': -3.5138938, 'No': -7.020125, ' ': -9.673566, ' The': -10.352759}
{' Yes': -0.12780307, ' No': -2.1261551, 'Yes': -7.890628, ' yes': -9.316485, 'No': -9.554933}
{' No': -0.05246456, ' Yes': -2.9951277, 'No': -7.236796, ' The': -8.840049, '\n': -9.3414545}
{' No': -0.22707066, ' Yes': -1.6028278, ' The': -7.1042676, 'No': -7.900879, 'Yes': -8.519203}
{' No': -0.65346813, ' Yes': -0.73744303, 'Yes': -7.7672734, ' The': -7.7698298, 'No': -8.193322}
{' Yes': -0.008506816, ' No': -5.1813183, 'Yes': -5.891704, ' yes': -10.028095, 'No': -10.954426}
{' Yes': -0.41207248, ' No': -1.0911916, 'Yes': -7.270301, ' The': -7.6212974, 'No': -8.219407}
{' Yes': -0.0015545781, 'Yes': -6.9920154, ' No': -8.436624, ' The': -8.733063, ' yes': -9.045336}
{' Yes': -0.15457363, ' No': -1.9521809, 'Yes': -7.019289, 'No': -8.983681, ' yes': -9.037706}
{' No': -0.14363098, ' Yes': -2.0324514, 'No': -6.4315715, ' Dirt': -7.3534446, 'Yes': -8.6089525}
{' No': -0.026956735, ' Yes': -3.718832, 'No': -6.428798, ' The': -8.349197, '\n': -8.757484}
{' Yes': -0.487441, ' No': -0.96609205, ' The': -5.751211, 'Yes': -7.5400505, 'No': -7.710421}
{' No': -0.5253442, ' Yes': -0.95345056, ' Te': -5.4441595, 'No': -5.5093946, ' ': -5.8635287}
{' False': -0.00059641484, 'False': -7.641858, ' No': -9.108285, ' ': -12.723603, ' false': -13.114943}
{' No': -0.0029524812, ' Yes': -6.381202, 'No': -6.7864375, ' ': -9.615524, '\n': -10.827857}
{' Yes': -0.5627838, ' No': -0.9724632, ' Rain': -3.0228477, 'No': -6.983169, ' The': -7.0460024}
{' No': -0.024310453, ' Yes': -3.7918425, 'No': -6.5839763, 'Yes': -10.695243, ' Rain': -10.995492}
{' No': -0.0076349624, ' Yes': -5.0151043, 'No': -7.119542, ' ': -9.652134, '\n': -10.07789}
{' No': -0.0013151594, 'No': -6.909861, ' Yes': -8.190931, ' ': -10.727818, '\n': -11.625518}
{' No': -0.033649743, ' Yes': -3.44623, 'No': -6.9631057, ' Not': -9.2928295, ' Nope': -9.535479}
{' No': -0.015075406, ' Yes': -4.264774, 'No': -7.599878, ' The': -8.658309, '\n': -9.741345}
{' No': -0.005649322, ' Yes': -5.3153796, 'No': -7.3598948, ' ': -10.462811, ' The': -10.899443}
{' No': -0.20028922, ' Yes': -1.720919, 'No': -6.872993, ' The': -7.5823174, '\n': -8.157699}
{' No': -0.689748, ' Yes': -0.7007247, 'No': -7.3815527, 'Yes': -7.492869, ' The': -7.8146963}
{' Yes': -0.19752215, ' No': -1.7280148, ' The': -7.140412, 'Yes': -7.880902, ' yes': -9.046347}
{' No': -0.020169752, ' Yes': -3.990205, 'No': -6.9065905, ' The': -8.499156, ' ': -9.063766}
{' No': -0.006968806, ' Yes': -5.169847, 'No': -6.8843756, ' ': -9.202817, ' The': -10.019446}
{' Yes': -0.07880595, ' No': -2.5952623, 'Yes': -7.4316916, ' The': -8.896079, ' ': -9.12835}
{' No': -0.1974995, ' Yes': -1.7262107, 'No': -7.202651, 'Yes': -8.46087, ' The': -9.163325}
{' No': -0.2152542, ' Yes': -1.6651157, ' The': -5.697239, 'No': -7.937399, ' yes': -8.802262}
{' Yes': -0.61762744, ' No': -0.7792239, ' The': -7.1617208, 'Yes': -7.9439096, 'No': -8.231118}
{' No': -0.004424065, ' Yes': -5.612309, 'No': -7.267721, ' ': -10.083229, '\n': -12.091779}
{' No': -0.23740554, ' Yes': -1.5697343, ' The': -6.593424, 'No': -7.0592475, 'Yes': -7.991918}
{' Yes': -0.5029989, ' No': -0.9555364, ' The': -6.0035725, 'Yes': -6.6529427, 'No': -6.6656866}
{' Yes': -0.003446099, ' No': -6.0846133, 'Yes': -7.0806704, ' yes': -9.143571, ' ': -9.467563}
{' Yes': -0.071300924, ' No': -2.7062113, 'Yes': -6.7621956, ' The': -8.12715, '\n': -8.810577}
{' Yes': -0.14912301, ' No': -1.9863881, 'Yes': -7.2661977, '\n': -8.418074, ' yes': -8.705741}
{' Yes': -0.059261043, ' No': -3.0040774, ' Deer': -5.044643, 'Yes': -7.224067, ' yes': -8.468155}
{' Yes': -0.011729059, ' No': -4.591342, 'Yes': -7.102736, ' The': -8.059616, ' yes': -8.370642}
{' Yes': -0.19043018, ' No': -1.7586676, 'Yes': -7.5686283, ' yes': -8.404952, ' The': -8.783916}
{' No': -0.2868081, ' Yes': -1.3939533, 'No': -7.507759, 'Yes': -8.218819, ' ': -8.839615}
{' No': -0.22096281, ' Yes': -1.6221792, 'No': -7.996884, 'Yes': -8.966631, '\n': -9.185421}
{' No': -0.033929214, ' Yes': -3.422122, 'No': -7.682407, '\n': -9.24373, ' ': -9.9724245}
{' Yes': -0.3340101, ' No': -1.2659675, 'Yes': -6.8399515, 'No': -7.8635626, '\n': -8.757506}
{' Yes': -0.21124776, ' No': -1.6659616, 'Yes': -7.3356104, '\n': -8.744986, ' yes': -8.79329}
{' No': -0.06599237, ' Yes': -2.766382, 'No': -7.4125133, '\n': -9.432937, ' ': -9.524583}
{' No': -0.017341714, ' Yes': -4.116394, 'No': -7.345249, ' The': -9.67923, ' ': -9.801765}
{' No': -0.29864192, ' Yes': -1.3584735, ' The': -7.7563677, 'No': -8.085964, 'Yes': -8.483005}
{' Yes': -0.34885937, ' No': -1.2291503, 'Yes': -6.650826, 'No': -8.087506, ' The': -8.734809}
{' Yes': -0.4746417, ' No': -0.9774474, 'Yes': -7.626058, ' Exit': -7.784742, 'No': -8.490208}
{' No': -0.007309784, ' Yes': -5.025294, 'No': -7.7200212, ' ': -9.132787, '\n': -9.782174}
{' No': -0.04107613, ' Yes': -3.2301593, 'No': -7.6378894, ' Lion': -8.799338, 'Yes': -10.86113}
{' No': -0.29056323, ' Yes': -1.3816448, 'No': -7.570142, 'Yes': -8.559185, ' The': -9.050598}
{' No': -0.009966421, ' Yes': -4.694979, 'No': -7.791554, ' ': -8.523651, ' The': -9.7988615}
{' No': -0.52104384, ' Yes': -0.91272736, ' Roof': -5.9557686, ' ': -7.6034565, 'No': -7.609846}
{' Yes': -0.009922655, ' No': -4.968329, ' Want': -6.5780315, 'Yes': -6.8717923, ' The': -8.151049}
{' No': -0.19536033, ' Yes': -1.749302, ' Want': -6.1117916, 'No': -7.3455787, ' The': -8.454693}
{' Yes': -0.31403804, ' No': -1.31725, 'Yes': -7.3488874, 'No': -8.0210085, ' The': -8.263199}
{' No': -0.28912652, ' Yes': -1.4294635, ' Wind': -4.5919523, 'No': -6.880378, 'Yes': -8.471889}
{' Yes': -0.2973075, ' No': -1.3632064, 'Yes': -7.6012506, ' yes': -8.555358, 'No': -8.582398}
{' Yes': -0.023799786, ' No': -3.8068216, 'Yes': -7.371854, ' yes': -8.5378275, ' The': -8.64866}
{' No': -0.009333841, ' Yes': -5.2775526, 'No': -5.6798697, ' Dis': -8.224004, ' ': -8.609422}
{' No': -0.08145928, ' Yes': -2.5660825, 'No': -7.068693, ' The': -8.585871, ' ': -9.205223}
{' No': -0.019983599, ' Yes': -3.9641669, 'No': -7.39076, '\n': -9.663193, ' ': -10.052709}
{' No': -0.38882193, ' Yes': -1.1356864, 'No': -7.6683817, 'Yes': -8.588574, '\n': -9.273551}
{' Yes': -0.0494194, ' No': -3.0490112, 'Yes': -7.9493594, ' The': -8.486889, ' yes': -9.392066}
{' No': -0.083257034, ' Yes': -2.5349705, 'No': -7.604924, ' ': -10.022363, 'Yes': -10.370189}
{' No': -0.30315787, ' Yes': -1.3469753, 'No': -7.066398, 'Yes': -8.28085, ' The': -8.992975}
{' Yes': -0.03750279, ' No': -3.3163989, 'Yes': -8.181147, ' yes': -9.012442, ' ': -9.503523}
{' Yes': -0.04354933, ' No': -3.209639, 'Yes': -6.621218, '\n': -8.102177, ' ': -8.364857}
{' No': -0.022767045, ' Yes': -3.8341472, 'No': -7.5345387, '\n': -9.047837, ' The': -9.054482}
{' Yes': -0.43474436, ' No': -1.050095, 'Yes': -6.9253674, ' The': -7.526222, 'No': -7.607813}
{' Yes': -0.48018575, ' No': -0.971986, 'Yes': -7.07413, ' The': -7.266658, 'No': -7.351699}
{' No': -0.018472575, ' Yes': -4.069496, ' Skin': -7.316472, 'No': -7.718721, '\n': -10.487562}
{' No': -0.6145769, ' Yes': -0.78163016, ' Skin': -7.3392334, 'Yes': -8.003305, 'No': -8.178675}
{' No': -0.03444015, ' Yes': -3.4216566, 'No': -7.1824746, ' The': -8.85488, '\n': -9.152007}
{' No': -0.014336433, ' Yes': -4.769524, 'No': -6.0248647, ' So': -6.280758, ' Nope': -6.7458763}
{' Yes': -0.5446614, ' No': -0.871188, 'Yes': -7.463719, 'No': -7.644301, ' ': -8.818057}
{' Yes': -0.02956885, ' No': -3.588382, 'Yes': -6.92756, ' The': -8.779967, ' yes': -8.931317}
{' No': -0.060565986, ' Yes': -2.8623521, 'No': -6.510598, 'Yes': -9.16425, ' Male': -11.309847}
{' Yes': -0.48614368, ' No': -0.96042126, 'Yes': -6.7836747, 'No': -7.4055023, ' ': -8.724556}
{' No': -0.004978311, ' Yes': -5.4080944, 'No': -7.8184457, ' no': -10.538185, '\n': -10.904765}
{' Yes': -0.5027801, ' No': -0.9315921, 'Yes': -7.674166, ' Done': -8.404681, 'No': -8.674705}
{' No': -0.034977205, ' Yes': -3.4208605, 'No': -6.8666916, ' The': -8.608118, ' Bike': -8.877468}
{' No': -0.16246969, ' Yes': -1.9028128, 'No': -7.607662, 'Yes': -8.841751, ' The': -9.7439165}
{' No': -0.0022354834, 'No': -6.6146884, ' Yes': -7.163948, ' ': -10.322358, '\n': -10.395357}
{' No': -0.002265949, ' Yes': -6.5772414, 'No': -7.1188755, ' ': -11.115931, ' no': -11.158714}
{' Yes': -0.0045253113, ' No': -5.6428647, 'Yes': -7.190911, ' yes': -9.143551, ' The': -10.170439}
{' No': -0.34311655, ' Yes': -1.2410964, 'No': -7.925815, ' The': -7.9624, 'Yes': -8.220531}
{' No': -0.20750698, ' Yes': -1.6850747, 'No': -6.8189263, ' Moon': -8.167787, 'Yes': -8.273439}
{' Yes': -0.16043861, ' No': -1.920742, 'Yes': -6.820194, 'No': -8.438131, ' yes': -8.5315075}
{' No': -0.14006212, ' Yes': -2.102184, ' Pain': -5.353765, 'No': -5.745408, 'Yes': -8.247453}
