{' Yes': -0.0030951896, 'Yes': -5.8984904, ' No': -8.919969, ' yes': -9.2945795, ' A': -9.588872}
{' Yes': -0.009614543, ' yes': -5.2678657, 'Yes': -5.687918, ' ': -7.7936373, ' No': -8.220109}
{' Yes': -0.03338218, 'Yes': -3.93539, ' yes': -5.0743823, '\n': -5.875276, ' ': -6.394472}
{' Yes': -0.035883393, 'Yes': -3.9357915, ' No': -4.8063626, ' yes': -5.918144, '\n': -5.982519}
{' Yes': -0.03989331, 'Yes': -3.896682, ' No': -4.694209, ' yes': -5.0727625, '\n': -6.7175126}
{' Yes': -0.038404524, 'Yes': -3.8404937, ' No': -4.597294, ' yes': -5.7717643, '\n': -6.7480216}
{' Yes': -0.14765131, '\n': -2.7600055, 'Yes': -3.0898697, ' yes': -4.562267, ' ': -4.828261}
{' Yes': -0.34560955, '\n': -2.17708, ' No': -2.2652795, 'Yes': -3.2286012, 'No': -4.366865}
{' Yes': -0.16195191, '\n': -2.668639, 'Yes': -3.0491054, ' yes': -4.4131207, ' ': -4.959202}
{' Yes': -0.23666067, '\n': -2.731423, ' No': -2.785975, 'Yes': -3.0370605, 'No': -4.56673}
{' Yes': -0.007702474, 'Yes': -5.3953824, ' yes': -6.7264357, ' No': -7.110373, ' ': -7.6905975}
{' Yes': -0.0075565255, 'Yes': -5.359035, ' yes': -6.680049, '\n': -7.2676406, ' ': -7.7217226}
{' Yes': -0.012091153, 'Yes': -4.865635, ' yes': -6.2683144, ' No': -6.7926884, '\n': -7.7559986}
{' Yes': -0.011102293, 'Yes': -4.820127, ' No': -6.5675135, ' yes': -7.4400587, '\n': -7.727662}
{' Yes': -0.9126426, ' No': -1.1170781, '\n': -2.3689473, 'No': -2.4593136, 'Yes': -2.9279509}
{' No': -0.66464776, '\n': -1.5259091, 'No': -1.9639107, ' Yes': -2.3871608, 'Yes': -4.141441}
{' No': -0.8797482, ' Yes': -1.2570122, '\n': -1.9902675, 'No': -2.656699, 'Yes': -3.4930208}
{' No': -0.59723884, ' Yes': -1.6018566, 'No': -2.1612074, '\n': -2.5283873, 'Yes': -3.8756351}
{' Yes': -0.110525206, ' yes': -2.4185545, 'Yes': -4.4995537, '\n': -6.214895, ' ': -6.775255}
{' Yes': -0.08228057, ' yes': -2.7852054, 'Yes': -4.3950534, '\n': -5.9900503, ' ': -6.588512}
{' Yes': -0.07737178, ' yes': -2.8532984, 'Yes': -4.3078938, '\n': -6.8358765, 'yes': -6.9230075}
{' Yes': -0.051026914, ' yes': -3.4387145, 'Yes': -4.3226657, '\n': -6.3499393, ' ': -6.891742}
{' Yes': -0.0058006905, 'Yes': -5.930298, '\n': -6.3693466, ' ': -7.3429546, ' yes': -7.366743}
{' Yes': -0.006149308, 'Yes': -5.837408, '\n': -6.257547, ' ': -7.411657, ' yes': -7.4524703}
{' Yes': -0.01217797, '\n': -5.049125, 'Yes': -5.6715903, ' ': -6.81685, ' yes': -7.6995535}
{' Yes': -0.022251679, '\n': -4.4507565, ' No': -5.473059, 'Yes': -5.6583233, ' ': -6.266577}
{' Yes': -0.05810404, '\n': -3.5310519, 'Yes': -4.229153, ' ': -4.905791, ' No': -6.034863}
{' Yes': -0.08089767, '\n': -3.0375016, 'Yes': -4.328632, ' ': -4.644517, ' No': -5.3004565}
{' Yes': -0.17222497, '\n': -2.2115734, 'Yes': -3.887515, ' ': -4.290007, ' Ko': -4.8346586}
{' Yes': -0.3649393, '\n': -1.4722334, ' No': -3.419045, 'Yes': -4.1222215, ' ': -4.162932}
{' Yes': -0.1355022, '\n': -3.1101115, ' No': -3.317734, 'Yes': -4.1155725, ' ': -4.259936}
{' Yes': -0.12503324, '\n': -2.8631864, ' No': -3.7980065, 'Yes': -4.136864, ' ': -4.2169366}
{' Yes': -0.291797, ' Ko': -2.3825333, '\n': -2.4108784, ' ': -3.7773485, 'Yes': -4.007453}
{' Yes': -0.29395565, '\n': -2.326144, ' No': -2.5610282, ' Ko': -3.285151, ' ': -4.048264}
{' Yes': -0.01799898, '\n': -4.9353914, ' ': -5.27254, 'Yes': -5.6857424, ' No': -6.6769514}
{' Yes': -0.012361467, '\n': -5.1343994, ' ': -5.7804217, 'Yes': -5.921774, ' yes': -8.025574}
{' Yes': -0.08880777, '\n': -2.8932757, ' ': -4.4710784, ' Ko': -4.924728, 'Yes': -5.050346}
{' Yes': -0.041290417, '\n': -3.5539951, 'Yes': -5.263912, ' ': -5.303934, ' No': -7.05176}
{' No': -0.54128987, ' Yes': -1.0462642, 'No': -3.9227407, '\n': -3.956184, ' ': -4.431312}
{' No': -0.121106155, 'No': -3.1923263, ' Yes': -3.227546, '\n': -3.8916023, ' ': -4.7656674}
{' No': -0.81373566, ' Yes': -1.0411527, '\n': -2.689834, ' Ko': -2.737209, ' ': -3.8260663}
{' No': -0.18321152, ' Yes': -2.6389248, 'No': -3.4223776, '\n': -3.5099096, ' Ko': -4.0652037}
{' Yes': -0.047871288, '\n': -3.971154, 'Yes': -4.3887696, ' ': -4.7543817, ' yes': -5.2507577}
{' Yes': -0.050254356, '\n': -3.7831948, ' ': -4.482309, 'Yes': -4.538347, ' yes': -5.820123}
{' Yes': -0.08120579, '\n': -3.520329, 'Yes': -3.9415994, ' ': -4.6017017, ' Ko': -4.9293523}
{' Yes': -0.059031807, '\n': -3.751495, 'Yes': -4.0833354, ' ': -4.916684, ' No': -5.4929028}
{' No': -0.012929971, 'No': -4.5266304, ' Generally': -6.965389, ' Ko': -8.215231, ' A': -8.384578}
{' No': -0.015966037, 'No': -4.3287444, '\n': -7.291213, ' Generally': -7.368076, ' A': -8.010606}
{' No': -0.04734814, 'No': -3.681738, ' Ko': -4.064703, ' Generally': -6.8852873, '\n': -6.9912176}
{' No': -0.030094141, 'No': -3.8642159, ' Ko': -5.28824, '\n': -6.376653, ' Generally': -7.672378}
{' No': -0.056961693, 'No': -3.0284905, ' Generally': -6.2127423, ' Ko': -6.681936, ' Yes': -6.9174438}
{' No': -0.057755273, 'No': -2.99186, ' Generally': -6.5812607, ' ': -6.6543837, ' Yes': -6.6870832}
{' No': -0.111899294, 'No': -2.6288404, ' Ko': -3.6782846, ' K': -6.1914496, ' ': -6.2410774}
{' No': -0.10756939, 'No': -2.4957566, ' Ko': -4.4935803, ' Generally': -6.5644374, ' ': -6.5701585}
{' No': -0.05739066, 'No': -3.0747628, '\n': -5.107144, ' ': -6.279105, ' Ko': -7.791}
{' No': -0.070741646, 'No': -2.8914812, '\n': -4.8401694, ' ': -5.774261, ' Yes': -7.400611}
{' No': -0.12011475, 'No': -2.947614, ' Ko': -3.613273, '\n': -4.1874003, ' ': -4.615928}
{' No': -0.11633416, 'No': -2.9680817, ' Ko': -3.793918, '\n': -3.9599888, ' ': -4.631797}
{' No': -0.026689919, 'No': -3.7198334, ' Ko': -7.2321124, ' Generally': -7.6357503, ' A': -7.9140043}
{' No': -0.0335235, 'No': -3.4459667, ' Generally': -8.134053, ' A': -8.201585, ' Yes': -8.567115}
{' No': -0.09893802, 'No': -3.0431995, ' Ko': -3.147768, ' K': -6.841939, ' Generally': -7.146711}
{' No': -0.054159634, 'No': -3.0751822, ' Ko': -5.3182735, ' K': -7.7014313, ' ': -8.158298}
{' No': -0.08019607, 'No': -2.7087855, '\n': -5.594709, ' ': -5.7720385, ' Ko': -6.5780673}
{' No': -0.141875, 'No': -2.1731267, '\n': -4.4627385, ' ': -5.314525, ' Ko': -7.8276696}
{' No': -0.17975593, 'No': -2.701696, ' Ko': -3.0188308, '\n': -3.9963603, ' ': -4.521151}
{' No': -0.22187743, 'No': -2.4704623, ' Ko': -2.765489, '\n': -3.8380487, ' ': -4.629485}
{' No': -0.08363814, 'No': -2.7149704, ' Ko': -5.712234, ' ': -6.072949, ' Generally': -6.140042}
{' No': -0.09840069, 'No': -2.4851804, ' ': -5.887418, ' Yes': -6.271716, '\n': -6.4391546}
{' No': -0.19081864, 'No': -2.4772472, ' Ko': -2.894216, ' Tigers': -4.941359, ' K': -4.99506}
{' No': -0.17271131, 'No': -2.2035627, ' Ko': -3.8516567, ' K': -5.0061893, ' Generally': -5.744987}
{' No': -0.010167095, 'No': -4.838317, '\n': -6.7277436, ' ': -7.1925035, ' A': -8.876756}
{' No': -0.00733074, 'No': -5.100064, '\n': -7.449162, ' ': -7.593218, ' A': -9.620396}
{' No': -0.021882478, ' Ko': -4.808793, 'No': -5.12807, '\n': -5.358537, ' K': -6.714655}
{' No': -0.014238545, 'No': -4.664196, '\n': -5.7528415, ' ': -6.9887447, ' Ko': -8.151843}
{' No': -0.053918477, 'No': -3.10662, '\n': -5.4742575, ' ': -6.317567, ' A': -7.0326843}
{' No': -0.049518544, 'No': -3.17601, '\n': -5.5811024, ' ': -6.3130226, ' A': -7.361576}
{' No': -0.07282221, 'No': -2.8853068, ' Ko': -5.040899, ' ': -5.911621, '\n': -5.923629}
{' No': -0.07997581, 'No': -2.7415645, ' Ko': -5.1935663, '\n': -5.857387, ' ': -6.165348}
{' No': -0.19869128, '\n': -2.3691223, 'No': -2.6349611, ' ': -4.5990396, ' A': -5.6333}
{' No': -0.1727786, '\n': -2.4850135, 'No': -2.7289882, ' ': -4.9027815, ' A': -6.2197886}
{' No': -0.30713454, '\n': -1.7613295, 'No': -3.053863, ' ': -3.722471, ' Ko': -4.259342}
{' No': -0.31447327, '\n': -1.7795135, 'No': -2.667907, ' ': -3.9097126, ' Ko': -4.7959156}
{' No': -0.007284147, 'No': -5.033943, ' ': -7.6362553, ' A': -9.222441, '\n': -9.314801}
{' No': -0.008627713, 'No': -4.8326783, ' ': -7.7809753, '\n': -9.027148, ' A': -10.035791}
{' No': -0.020556454, 'No': -4.396285, ' Ko': -5.006152, ' ': -7.6967645, ' K': -7.8421755}
{' No': -0.01984491, 'No': -4.0122457, ' Ko': -7.2720723, ' ': -7.9342904, '\n': -8.310805}
{' No': -0.15231311, 'No': -2.2173977, '\n': -3.933891, ' ': -4.811685, ' A': -5.879727}
{' No': -0.18739124, 'No': -1.9306848, '\n': -4.111141, ' ': -4.946079, ' A': -6.6230254}
{' No': -0.18867163, 'No': -2.125382, '\n': -3.547434, ' ': -4.412014, ' Tigers': -5.6978087}
{' No': -0.24441124, 'No': -1.7725751, '\n': -3.6272008, ' ': -4.6361184, ' Ko': -4.9628787}
{' No': -0.06294401, 'No': -2.9908137, ' ': -5.6875443, ' A': -5.8605666, '\n': -6.0901003}
{' No': -0.045687117, 'No': -3.2896826, ' ': -5.9980993, '\n': -6.1406407, ' A': -6.2560644}
{' No': -0.08113643, 'No': -2.8935885, ' Ko': -4.9899497, ' ': -5.2065797, '\n': -5.5208535}
{' No': -0.09013555, 'No': -2.6967256, ' Ko': -5.0325675, '\n': -5.612169, ' ': -5.6243644}
{' No': -0.07992409, 'No': -2.6942945, ' A': -5.9245133, ' Ko': -6.46093, ' Generally': -6.713072}
{' No': -0.115125075, 'No': -2.2748084, ' A': -6.273117, '\n': -6.8820066, ' ': -6.9640846}
{' No': -0.16416003, 'No': -2.1552985, ' Ko': -4.001872, '\n': -5.43122, ' K': -5.6942787}
{' No': -0.17911863, 'No': -2.0416007, ' Ko': -3.985067, '\n': -5.2746735, ' ': -6.1843786}
{' No': -0.14449416, 'No': -2.010934, ' ': -8.404357, ' no': -8.962066, '\n': -9.330561}
{' No': -0.13451931, 'No': -2.0776975, ' ': -8.047862, '\n': -8.83561, ' no': -9.876492}
{' No': -0.097958505, 'No': -2.39857, ' Ko': -6.767244, ' ': -7.7645783, ' K': -8.4784565}
{' No': -0.1913502, 'No': -1.7671729, ' Ko': -6.4071655, ' ': -8.133107, ' Not': -8.148435}
{' No': -0.16457993, 'No': -1.9022107, '\n': -7.015543, ' ': -7.084927, ' no': -8.402141}
{' No': -0.12505175, 'No': -2.1634102, '\n': -6.5718994, ' ': -7.0438023, ' Yes': -9.476459}
{' No': -0.21392341, 'No': -1.6702584, '\n': -6.2449503, ' ': -6.6210003, ' K': -8.337821}
{' No': -0.24702014, 'No': -1.5417073, '\n': -6.443862, ' ': -7.112807, ' Yes': -7.38058}
{' No': -0.025374442, 'No': -3.706353, ' ': -8.284633, ' no': -10.04563, '\n': -10.155361}
{' No': -0.040180553, 'No': -3.2438374, ' ': -8.504131, ' Yes': -10.470557, ' A': -10.478078}
{' No': -0.059581615, 'No': -2.8640325, ' Ko': -8.132914, ' ': -8.310744, '\n': -9.650468}
{' No': -0.09024429, 'No': -2.4720154, ' Ko': -7.02132, ' ': -8.060808, ' Generally': -8.96509}
{' No': -0.3469086, 'No': -1.2574272, '\n': -5.7393966, ' Ko': -5.9680266, ' ': -6.4001412}
{' No': -0.4411141, 'No': -1.0462834, '\n': -5.689834, ' ': -6.5672617, ' Ko': -8.983241}
{' No': -0.27391398, 'No': -1.6137062, ' Ko': -3.5737433, ' K': -5.738538, '\n': -6.024759}
{' No': -0.5791919, 'No': -1.0854576, ' Ko': -2.5304267, 'Ko': -4.808683, '\n': -5.814013}
{' No': -0.18656494, 'No': -1.8186336, '\n': -5.811387, ' Ko': -5.999696, ' ': -7.109844}
{' No': -0.17942053, 'No': -1.8489419, '\n': -5.3736725, ' ': -7.1529098, ' Ko': -7.465414}
{' No': -0.21294108, 'No': -1.6853303, ' Ko': -5.604424, '\n': -6.9148073, ' ': -7.596454}
{' No': -0.34519312, 'No': -1.2566903, ' Ko': -6.1393948, ' K': -6.4422255, '\n': -7.1125627}
{' No': -0.0067168684, 'No': -5.6445985, ' ': -6.335023, ' no': -7.0039167, '\n': -8.034296}
{' No': -0.0079318145, 'No': -5.3948183, ' ': -6.055917, ' no': -7.662838, '\n': -7.697973}
{' No': -0.006294092, 'No': -5.6910796, ' ': -7.096715, ' Ko': -7.2581725, '\n': -7.644141}
{' No': -0.007291711, 'No': -5.2467976, ' ': -6.9292827, '\n': -7.62893, ' no': -8.20275}
{' No': -0.096362844, 'No': -2.4407823, '\n': -6.0518084, ' ': -6.78686, ' no': -7.383921}
{' No': -0.094642155, 'No': -2.4861312, '\n': -5.3972297, ' ': -6.384088, ' no': -7.6634245}
{' No': -0.0808936, 'No': -2.6637013, '\n': -5.675313, ' ': -6.362703, ' Ko': -6.5147257}
{' No': -0.113139786, 'No': -2.2676466, '\n': -6.3613124, ' ': -7.019248, ' no': -8.222048}
{' No': -0.20345159, 'No': -2.3167844, '\n': -2.6137414, ' ': -4.9020314, ' A': -6.107733}
{' No': -0.1903691, 'No': -2.2661462, '\n': -2.7851794, ' ': -5.125128, ' A': -7.0600777}
{' No': -0.29090068, '\n': -2.056913, 'No': -2.2755427, ' ': -4.509685, ' Ko': -5.7231555}
{' No': -0.31100297, 'No': -1.8927194, '\n': -2.2723792, ' ': -4.7676115, ' Ko': -6.3943386}
{' No': -0.017071264, 'No': -4.2000375, ' ': -7.133767, '\n': -7.225653, ' no': -8.548981}
{' No': -0.013331582, 'No': -4.439399, ' ': -7.303139, '\n': -7.3788, ' no': -9.461102}
{' No': -0.030856157, 'No': -3.6837971, ' Ko': -5.9957795, '\n': -6.522805, ' ': -7.2287974}
{' No': -0.03802287, 'No': -3.3554516, '\n': -6.7376966, ' ': -7.5524344, ' Ko': -7.955652}
{' No': -0.3285165, 'No': -1.6763654, '\n': -2.587523, ' ': -4.7369113, ' no': -5.4279933}
{' No': -0.3426615, 'No': -1.5538374, '\n': -2.6907775, ' ': -4.804568, ' no': -6.9656053}
{' No': -0.23429905, 'No': -2.0432436, '\n': -2.9099677, ' ': -4.4259996, ' no': -5.287014}
{' No': -0.2652015, 'No': -1.693571, '\n': -3.3140514, ' ': -5.109208, ' no': -5.8459864}
{' No': -0.06077144, 'No': -3.3157609, ' no': -4.424104, '\n': -5.5214553, ' ': -5.7316537}
{' No': -0.052861508, 'No': -3.2930539, ' no': -5.265229, '\n': -5.387023, ' ': -5.6760964}
{' No': -0.06049601, 'No': -3.1590674, ' no': -5.3952026, '\n': -5.618809, ' ': -5.835059}
{' No': -0.08357029, 'No': -2.6850069, '\n': -5.6083827, ' no': -5.672898, ' ': -6.0071754}
{' No': -0.014925717, '\n': -5.069527, 'No': -5.2782655, ' ': -5.9267125, ' A': -7.500569}
{' No': -0.013133534, '\n': -5.1626163, 'No': -5.38482, ' ': -6.089563, ' A': -8.119975}
{' No': -0.056827366, '\n': -3.5168436, ' Ko': -4.51359, 'No': -4.8674884, ' ': -5.2626}
{' No': -0.038735207, '\n': -3.7923152, 'No': -4.6763964, ' ': -5.4039445, ' Ko': -6.749716}
{' No': -0.08225456, 'No': -3.204445, '\n': -3.56316, ' ': -4.867653, ' A': -6.8133855}
{' No': -0.092808574, '\n': -3.1832168, 'No': -3.274575, ' ': -4.8172426, ' A': -7.3020406}
{' No': -0.25580528, '\n': -1.9780592, 'No': -3.24842, ' Ko': -3.594392, ' ': -4.1542087}
{' No': -0.2456821, '\n': -1.909634, 'No': -2.968981, ' ': -4.3223763, ' Ko': -5.7561765}
{' No': -0.072212115, 'No': -3.3638608, '\n': -3.791887, ' ': -4.7765675, ' A': -5.8072963}
{' No': -0.07306019, 'No': -3.3915546, '\n': -3.580514, ' ': -4.9181128, ' A': -6.731714}
{' No': -0.12920867, '\n': -3.053979, 'No': -3.4909468, ' Ko': -3.7741802, ' ': -4.1552916}
{' No': -0.096826985, '\n': -3.2406259, 'No': -3.3865933, ' ': -4.5733457, ' Ko': -4.9285016}
{' No': -0.021614334, 'No': -4.7730274, '\n': -4.9938374, ' ': -5.197239, ' A': -7.9845185}
{' No': -0.01521465, 'No': -5.0427337, '\n': -5.44062, ' ': -5.5320697, ' A': -8.566598}
{' No': -0.111371346, '\n': -2.9866765, ' Ko': -3.8113682, 'No': -4.0764685, ' ': -4.329547}
{' No': -0.06023206, '\n': -3.5061052, 'No': -4.0207996, ' ': -4.8237667, ' Ko': -6.202136}
{' No': -0.039456733, 'No': -3.5688336, '\n': -5.3723, ' ': -5.5072527, ' A': -6.597694}
{' No': -0.04877325, 'No': -3.364676, '\n': -4.8605022, ' ': -5.5368524, ' A': -6.8418264}
{' No': -0.0682028, 'No': -3.6952264, '\n': -3.8946779, ' ': -4.5442104, ' Ko': -4.9981556}
{' No': -0.04492867, 'No': -3.5269327, '\n': -5.1702294, ' ': -5.488238, ' Ko': -5.5355077}
{' No': -0.08023637, 'No': -3.4991894, '\n': -3.6819055, ' ': -4.289137, ' A': -5.3428564}
{' No': -0.053961508, 'No': -3.7276902, '\n': -4.276381, ' ': -4.542544, ' A': -5.9226117}
{' No': -0.14018355, '\n': -3.1126468, 'No': -3.252057, ' Ko': -3.7678614, ' ': -4.19557}
{' No': -0.09556512, 'No': -2.9360075, '\n': -3.7603695, ' ': -4.7173176, ' Ko': -5.756378}
{' Yes': -0.13049921, ' No': -2.2469409, ' Generally': -5.1920247, ' A': -5.296252, 'Yes': -5.6998563}
{' Yes': -0.5034743, ' No': -0.9799757, ' A': -4.795298, 'No': -5.338334, ' Generally': -5.817353}
{' No': -0.14625697, ' Yes': -2.842718, ' Tigers': -2.8432078, 'No': -4.280803, ' Generally': -5.737939}
{' No': -0.027884355, 'No': -4.4294763, ' Tigers': -4.7942986, ' Yes': -5.0462084, ' Generally': -8.511667}
{' Yes': -0.25587788, ' No': -1.6627213, 'No': -4.261071, 'Yes': -4.309396, ' Generally': -5.7134542}
{' No': -0.13432369, ' Yes': -2.65766, 'No': -3.064404, ' A': -5.8623543, ' Generally': -5.968931}
{' No': -0.30867964, ' Yes': -1.9091378, 'No': -2.5704193, ' Tigers': -3.6980648, 'Yes': -5.44059}
{' No': -0.12180287, 'No': -3.052486, ' Yes': -3.1186478, ' Tigers': -4.3210044, ' Generally': -5.5246954}
{' Yes': -0.61483526, ' No': -0.90932417, 'No': -3.6091647, 'Yes': -4.2530894, '\n': -5.038566}
{' No': -0.0816745, ' Yes': -3.2330186, 'No': -3.4883611, '\n': -5.6809974, ' ': -6.2136436}
{' No': -0.24768536, ' Yes': -2.5424697, 'No': -2.6870127, '\n': -3.2262447, ' ': -4.211245}
{' No': -0.26227543, ' Yes': -1.9036251, 'No': -3.3903785, '\n': -3.9818664, ' Tigers': -4.091123}
{' Yes': -0.42753926, ' No': -1.1381698, 'No': -4.5738425, ' A': -5.1052103, 'Yes': -5.2907}
{' Yes': -0.630874, ' No': -0.8089898, 'No': -4.5899687, ' A': -5.0133753, 'Yes': -5.5718126}
{' No': -0.14473584, 'No': -2.5016065, ' Yes': -3.709181, ' Tigers': -3.7624326, ' Generally': -6.276756}
{' No': -0.093506195, 'No': -3.167235, ' Tigers': -3.6645355, ' Yes': -3.9882832, ' Generally': -7.19013}
{' No': -0.6359877, ' Yes': -1.0296339, 'No': -2.80311, 'Yes': -4.2722926, ' A': -4.333322}
{' No': -0.17543145, 'No': -2.6865473, ' Yes': -2.798175, ' A': -4.201316, '\n': -5.2015123}
{' No': -0.58480966, ' Yes': -1.6077758, 'No': -2.5881, ' Tigers': -2.6387553, '\n': -3.2041945}
{' No': -0.24553467, ' Yes': -2.588947, 'No': -2.6330278, ' Tigers': -3.2726302, '\n': -4.6574826}
{' Yes': -0.22530712, ' No': -1.901899, 'Yes': -3.999887, 'No': -4.278198, ' A': -4.8792434}
{' No': -0.41727358, ' Yes': -1.3087188, 'No': -3.384757, ' A': -3.8862505, 'Yes': -5.3709993}
{' No': -0.49774954, ' Yes': -1.4724182, 'No': -2.5253832, ' Tigers': -3.1357708, 'Yes': -4.632613}
{' No': -0.55418867, ' Yes': -1.1396245, ' Tigers': -3.150441, 'No': -3.3737173, 'Yes': -5.0128508}
{' Yes': -0.16855453, ' No': -1.9197905, 'Yes': -5.541647, 'No': -6.6100965, ' ': -6.76154}
{' Yes': -0.20120588, ' No': -1.7448363, 'Yes': -5.8552313, ' A': -6.167136, 'No': -6.899284}
{' No': -0.05847738, ' Yes': -3.3116093, '\n': -4.8665295, 'No': -4.9188137, ' ': -5.991773}
{' No': -0.009155472, 'No': -5.3141727, ' Yes': -6.4941335, '\n': -6.626169, ' Tigers': -7.237549}
{' No': -0.07415624, 'No': -2.9127674, '\n': -5.127207, ' ': -5.449467, ' Yes': -5.492247}
{' No': -0.039913468, 'No': -3.425003, ' A': -6.1492276, ' ': -6.5017357, ' Yes': -6.540678}
{' No': -0.08139442, 'No': -2.8215523, '\n': -4.706579, ' ': -5.355438, ' Tigers': -5.6597476}
{' No': -0.056264963, 'No': -2.9802666, ' ': -6.627083, '\n': -6.807947, ' Tigers': -7.360023}
{' No': -0.24327521, '\n': -2.3629498, 'No': -3.0644364, ' Yes': -3.0971072, ' ': -4.0004525}
{' No': -0.14132075, '\n': -3.1983638, 'No': -3.2306495, ' Yes': -3.5301757, ' ': -4.530454}
{' No': -0.6035386, '\n': -1.0181656, 'No': -3.112156, ' ': -3.3647156, ' Tigers': -4.8371224}
{' No': -0.22665653, '\n': -2.0018222, 'No': -3.0337567, ' ': -4.37517, ' Tigers': -5.4608316}
{' No': -0.08188769, ' Yes': -2.7251008, 'No': -4.621154, ' ': -6.281956, ' A': -7.4739485}
{' No': -0.011529822, 'No': -5.0695, ' Yes': -5.7486877, ' A': -6.602254, ' ': -7.5447598}
{' No': -0.026837645, 'No': -3.8823423, ' Tigers': -6.440207, '\n': -6.4453936, ' ': -6.578559}
{' No': -0.015376787, 'No': -4.2667975, ' Tigers': -7.8082933, ' Yes': -7.8942995, ' ': -8.236833}
{' No': -0.26139253, 'No': -1.8550376, '\n': -3.3715074, ' ': -3.8812892, ' A': -4.685976}
{' No': -0.22905825, 'No': -2.0099173, ' A': -3.9741373, '\n': -4.02946, ' Yes': -4.181542}
{' No': -0.32043535, 'No': -1.9554299, '\n': -2.4504251, ' ': -3.7189555, ' Tigers': -4.5159006}
{' No': -0.21181262, 'No': -1.9024235, '\n': -3.6645503, ' ': -4.4451976, ' Tigers': -6.434257}
{' Yes': -0.43995515, ' No': -1.1506714, 'No': -4.5064034, 'Yes': -4.663731, ' ': -4.835072}
{' No': -0.15093863, ' Yes': -2.2697072, 'No': -3.854565, ' A': -4.7165093, ' ': -5.9111743}
{' No': -0.127649, 'No': -3.037969, ' Yes': -3.5394683, ' ': -4.1589456, '\n': -4.53818}
{' No': -0.05279691, 'No': -3.3958466, ' Tigers': -5.262809, ' Yes': -5.4249105, ' ': -5.584486}
{' No': -0.6059097, ' Yes': -0.98194546, 'No': -2.978142, ' A': -4.4386406, 'Yes': -4.5490627}
{' No': -0.27143097, ' Yes': -1.892889, 'No': -2.7952516, ' A': -4.089803, 'Yes': -5.3710804}
{' No': -0.26432785, 'No': -2.130968, ' Yes': -2.8870714, ' Tigers': -3.3499255, 'Yes': -5.573854}
{' No': -0.16268562, 'No': -2.1229079, ' Yes': -4.2715445, ' Tigers': -5.0177155, '\n': -6.046846}
{' No': -0.16469757, 'No': -1.974245, ' Yes': -4.456745, 'Yes': -7.285984, ' ': -7.830869}
{' No': -0.107899845, 'No': -2.392745, ' Yes': -4.610667, 'Yes': -7.5054865, ' ': -8.223943}
{' No': -0.23470567, 'No': -1.8982207, ' Yes': -2.9683347, 'Yes': -5.684519, ' Tigers': -6.339414}
{' No': -0.21525936, 'No': -2.1355438, ' Yes': -2.7230358, 'Yes': -5.555528, ' Tigers': -5.64232}
{' Yes': -0.31143728, ' No': -1.7123983, 'Yes': -3.0336945, 'No': -3.3427405, ' ': -6.320527}
{' No': -0.29932347, ' Yes': -1.7784342, 'No': -2.541032, 'Yes': -4.801378, ' ': -6.5850363}
{' No': -0.3138206, 'No': -1.7264658, ' Yes': -2.6287332, 'Yes': -4.9045053, '\n': -5.5133996}
{' No': -0.41196746, ' Yes': -1.6708748, 'No': -2.0600617, 'Yes': -4.2235518, '\n': -5.9984827}
{' No': -0.33916706, ' Yes': -1.3214687, 'No': -4.0921535, 'Yes': -5.75984, ' ': -7.5225906}
{' No': -0.10988534, ' Yes': -2.4276078, 'No': -4.245902, 'Yes': -6.922642, ' ': -8.244286}
{' No': -0.14217152, 'No': -2.4199712, ' Yes': -3.2341745, 'Yes': -6.4576864, ' Tigers': -6.7445083}
{' No': -0.095358826, 'No': -2.7259169, ' Yes': -3.798884, ' Tigers': -6.746753, 'Yes': -7.098291}
{' No': -0.36355582, 'No': -1.2227172, ' ': -5.914564, ' Yes': -6.3300395, '\n': -6.370916}
{' No': -0.34645346, 'No': -1.2580326, ' A': -6.0927587, '\n': -6.155435, ' ': -6.3376803}
{' No': -0.5297157, 'No': -1.4247067, ' Tigers': -2.7519257, ' Yes': -2.8902047, 'Yes': -4.5423374}
{' No': -0.52952766, 'No': -1.4326038, ' Tigers': -2.2271214, ' Yes': -3.4812028, 'T': -4.7033405}
{' No': -0.22248994, 'No': -1.7687182, ' Yes': -3.8154676, 'Yes': -6.334636, '\n': -6.6296973}
{' No': -0.19251044, 'No': -1.7843874, ' Yes': -5.557161, '\n': -6.616098, ' ': -7.254089}
{' No': -0.30610627, 'No': -1.489593, ' Yes': -3.8790088, ' Tigers': -4.5716796, 'Yes': -6.0391707}
{' No': -0.23949358, 'No': -1.6096909, ' Yes': -5.241134, ' Tigers': -5.87569, ' Ko': -6.500269}
{' Yes': -0.08884933, ' No': -2.733018, ' yes': -4.363511, 'Yes': -5.7051687, ' ': -5.8165793}
{' Yes': -0.361046, ' No': -1.2445068, ' yes': -5.224217, ' ': -5.608513, ' A': -6.223421}
{' No': -0.45544824, ' Yes': -1.0397416, ' ': -5.409157, ' yes': -6.1568007, 'No': -6.220615}
{' No': -0.27423012, ' Yes': -1.4575834, 'No': -6.1248994, ' ': -6.2609453, '\n': -7.1854296}
{' No': -0.088100016, 'No': -2.7698722, ' Yes': -4.1914954, ' ': -5.934318, '\n': -6.4426994}
{' No': -0.063495405, 'No': -3.0225425, ' Yes': -5.1025176, ' ': -5.957086, '\n': -6.2953544}
