{' Yes': -0.2106354, ' No': -1.6864445, 'Yes': -5.9270716, 'No': -6.5995607, '\n': -7.8603544}
{' Yes': -0.041282155, ' No': -3.519027, 'Yes': -4.645416, 'No': -7.4625998, ' The': -8.059642}
{' No': -0.13877048, ' Yes': -2.1154225, 'No': -4.9109926, 'Yes': -7.175921, ' The': -7.8082094}
{' No': -0.0081676515, 'No': -4.8851795, ' Yes': -7.779173, ' ': -9.815767, ' "': -10.012758}
{' No': -0.013555407, 'No': -4.3151984, ' The': -10.270157, ' ': -10.740595, '\n': -11.561608}
{' Yes': -0.06892931, ' No': -2.7990642, 'Yes': -5.438934, 'No': -7.401954, ' The': -7.734777}
{' Yes': -0.020737352, ' No': -4.034577, 'Yes': -6.0029354, ' The': -9.00018, ' yes': -9.303533}
{' Yes': -0.015988447, ' No': -4.3467546, 'Yes': -6.0552254, ' The': -8.00681, 'No': -9.216832}
{' Yes': -0.017802132, ' No': -4.1836553, 'Yes': -6.238465, ' The': -8.655252, 'No': -9.163348}
{' No': -0.0115698585, 'No': -4.680053, ' Yes': -6.1781096, ' The': -10.041787, ' ': -10.29755}
{' No': -0.22339739, ' Yes': -1.6407882, 'No': -5.2829447, 'Yes': -7.3311167, ' The': -8.486396}
{' Yes': -0.09092836, ' No': -2.4752648, 'Yes': -6.1544485, 'No': -7.691287, ' The': -9.625283}
{' No': -0.047053777, ' Yes': -3.6496155, 'No': -3.9558425, ' Not': -8.101693, 'Yes': -8.261914}
{' No': -0.02011234, ' Yes': -4.3283377, 'No': -5.074954, ' Not': -8.530124, ' The': -8.925466}
{' Yes': -0.18256427, ' No': -1.8158289, 'Yes': -6.2973824, ' The': -6.719063, 'No': -7.024883}
{' Yes': -0.0069746296, 'Yes': -5.6882186, ' No': -5.7044463, ' The': -9.131396, ' yes': -9.750169}
{' Yes': -0.6084099, ' No': -0.8071595, 'No': -5.1994305, 'Yes': -5.8701916, ' The': -7.049991}
{' Yes': -0.025121741, ' No': -3.8244495, 'Yes': -5.967275, ' The': -8.889652, 'No': -8.908244}
{' Yes': -0.00608556, 'Yes': -5.5399313, ' No': -6.2497263, ' The': -9.385949, ' yes': -9.817241}
{' Yes': -0.0025619485, 'Yes': -6.06847, ' No': -9.091026, ' yes': -9.460091, ' The': -10.558336}
{' No': -0.036987815, ' Yes': -3.3908255, 'No': -6.0203934, 'Yes': -9.573322, ' The': -9.753689}
{' Yes': -0.003664793, 'Yes': -6.0982847, ' No': -6.7813783, '\n': -9.322678, ' yes': -9.388854}
{' Yes': -0.0038618117, 'Yes': -5.6356635, ' No': -8.991813, ' The': -9.580473, ' yes': -9.7659}
{' Yes': -0.1800133, ' No': -1.8260549, 'Yes': -6.191848, 'No': -6.819003, ' The': -8.316611}
{' No': -0.3735552, ' Yes': -1.211648, 'No': -4.4852858, 'Yes': -6.3307047, ' The': -7.7643957}
{' No': -0.07817227, ' Yes': -2.7465167, 'No': -4.6023707, ' The': -8.054818, 'Yes': -8.106114}
{' No': -0.009610994, 'No': -4.91843, ' Yes': -6.229688, ' The': -8.882047, '\n': -9.970941}
{' Yes': -0.001557027, 'Yes': -6.7263246, ' yes': -8.978857, ' The': -9.148781, ' No': -9.478453}
{' Yes': -0.007658745, ' No': -5.327271, 'Yes': -6.0139985, ' The': -8.6656475, ' yes': -9.75835}
{' Yes': -0.0034009432, 'Yes': -5.720707, ' yes': -9.914861, '\n': -10.853902, ' No': -10.97756}
{' Yes': -0.0033916733, 'Yes': -5.7376685, ' No': -9.269026, ' yes': -9.92008, ' The': -12.015026}
{' Yes': -0.0033043565, 'Yes': -5.798971, ' No': -8.999868, ' The': -9.4821, ' yes': -10.035185}
{' Yes': -0.0068821386, 'Yes': -5.6464005, ' No': -5.801052, ' The': -8.513048, ' yes': -9.966242}
{' No': -0.07757704, ' Yes': -2.6756966, 'No': -5.302306, ' Not': -7.8982954, 'Yes': -8.586587}
{' Yes': -0.5485092, ' No': -0.86818844, 'No': -6.585897, 'Yes': -7.301883, ' The': -8.774705}
{' Yes': -0.024088116, ' No': -4.032158, 'Yes': -5.213232, ' The': -8.437731, 'No': -8.567594}
{' Yes': -0.046960194, ' No': -3.2610025, 'Yes': -5.039523, 'No': -7.4002123, ' The': -8.555568}
{' No': -0.014689612, 'No': -4.3820486, ' Yes': -6.330142, ' The': -9.311587, ' Not': -9.648107}
{' No': -0.019037211, 'No': -3.9931507, ' The': -8.497337, '\n': -9.392698, ' ': -10.001949}
{' Yes': -0.05332557, ' No': -3.0157087, 'Yes': -6.0752006, 'No': -8.445366, ' The': -8.710332}
{' No': -0.005297103, 'No': -5.2606907, ' Yes': -10.670637, ' ': -10.702896, '\n': -10.931843}
{' Yes': -0.05399284, ' No': -3.0372825, 'Yes': -5.6803894, 'No': -7.6690693, ' The': -7.794785}
{' Yes': -0.0732005, ' No': -2.7033408, 'Yes': -5.963106, 'No': -7.5090733, ' The': -8.26328}
{' Yes': -0.2817713, ' No': -1.4299952, 'Yes': -5.859146, 'No': -6.361902, ' The': -6.726799}
{' Yes': -0.0058159768, ' No': -5.8343487, 'Yes': -5.948, ' yes': -9.500311, ' The': -9.592171}
{' Yes': -0.001333722, 'Yes': -6.7536583, ' yes': -9.325098, '\n': -10.211466, ' The': -11.453586}
{' Yes': -0.005627744, 'Yes': -5.883921, ' No': -5.9068346, ' yes': -9.926427, 'No': -10.829011}
{' No': -0.029745305, ' Yes': -4.0703316, 'No': -4.462168, '\n': -8.36446, ' ': -8.814852}
{' No': -0.5682584, ' Yes': -0.8520224, 'No': -5.4720855, 'Yes': -6.5896797, ' The': -6.8958282}
{' No': -0.35288125, ' Yes': -1.2482499, 'No': -4.879185, 'Yes': -6.575244, ' The': -7.3673215}
{' Yes': -0.1825871, ' No': -1.8206182, 'Yes': -5.7900333, 'No': -6.5742397, ' The': -7.944647}
{' Yes': -0.37174892, ' No': -1.1827726, 'No': -6.2794347, 'Yes': -6.4136605, ' The': -8.000696}
{' Yes': -0.010772729, ' No': -4.828623, 'Yes': -6.001014, ' The': -9.307036, ' yes': -9.724404}
{' Yes': -0.096505746, ' No': -2.486486, 'Yes': -5.0363746, 'No': -6.488776, '\n': -7.7126837}
{' Yes': -0.0049341624, 'Yes': -5.776251, ' No': -6.349619, ' yes': -10.515347, ' The': -10.809317}
{' Yes': -0.041991968, ' No': -3.2688289, 'Yes': -5.9947333, 'No': -8.43568, ' The': -8.63083}
{' Yes': -0.049996845, ' No': -3.1308036, 'Yes': -5.4369845, 'No': -7.5084987, ' yes': -9.498464}
{' No': -0.32965654, ' Yes': -1.2968502, 'No': -5.127998, 'Yes': -7.030601, ' The': -7.8350883}
{' No': -0.013448593, 'No': -4.7121673, ' Yes': -5.5212035, ' The': -8.287436, ' ': -10.356318}
{' No': -0.3059374, ' Yes': -1.3993115, 'No': -4.457497, ' The': -6.2661343, 'Yes': -6.5512853}
{' No': -0.02096759, 'No': -4.3861675, ' Yes': -4.831938, ' The': -9.18541, ' Not': -9.714529}
{' Yes': -0.0065957224, 'Yes': -5.685573, ' No': -5.8476005, ' yes': -9.131867, ' The': -9.243262}
{' Yes': -0.003195522, 'Yes': -5.8606095, ' No': -8.465975, ' yes': -9.574283, ' The': -10.53051}
{' Yes': -0.0046772854, 'Yes': -5.6171837, ' No': -7.2003136, ' The': -9.133022, ' yes': -9.638903}
{' Yes': -0.004454539, 'Yes': -5.528134, ' No': -7.920969, ' yes': -9.933371, ' The': -10.351042}
{' Yes': -0.0027118912, 'Yes': -6.2042384, ' No': -7.5355887, ' yes': -9.550485, ' The': -9.986152}
{' Yes': -0.19343787, ' No': -1.7624323, 'Yes': -6.0356812, 'No': -6.7183914, ' The': -8.071796}
{' Yes': -0.010805141, ' No': -5.034605, 'Yes': -5.561281, ' The': -8.823047, ' yes': -9.550938}
{' Yes': -0.020459658, ' No': -4.1678553, 'Yes': -5.435918, 'No': -8.88849, ' The': -9.047711}
{' Yes': -0.0067499317, 'Yes': -5.042461, ' No': -9.194248, ' yes': -9.631629, ' The': -10.073805}
{' Yes': -0.03153971, ' No': -3.6121724, 'Yes': -5.7000747, 'No': -8.472819, ' The': -8.538171}
{' Yes': -0.0055998727, 'Yes': -5.2665763, ' No': -8.159881, ' yes': -9.461341, ' The': -10.772355}
{' Yes': -0.005371289, 'Yes': -5.595077, ' No': -6.529863, ' yes': -9.762163, '\n': -10.033316}
{' No': -0.28120154, ' Yes': -1.4503661, 'No': -4.8754663, 'Yes': -6.6607594, '\n': -7.2320447}
{' No': -0.039572254, ' Yes': -3.3779373, 'No': -5.4579563, ' The': -8.588702, 'Yes': -9.272738}
{' Yes': -0.007559949, 'Yes': -4.917409, '\n': -9.380448, ' yes': -9.47516, ' ': -10.775451}
{' Yes': -0.0041728853, 'Yes': -6.1317415, ' No': -6.338153, ' yes': -9.498668, ' The': -9.586793}
{' Yes': -0.1880959, ' No': -1.8020904, 'Yes': -5.5647283, 'No': -6.334147, ' The': -7.3255143}
{' Yes': -0.04543278, ' No': -3.2184083, 'Yes': -5.6172667, 'No': -7.919809, ' The': -8.308502}
{' Yes': -0.042991776, ' No': -3.3119106, 'Yes': -5.3129115, 'No': -7.866451, ' The': -8.939205}
{' Yes': -0.10230084, ' No': -2.3665278, 'Yes': -6.0184727, 'No': -7.6205826, ' The': -7.9039702}
{' Yes': -0.0046106377, 'Yes': -5.4150453, ' yes': -9.906149, ' The': -10.118116, ' No': -10.400961}
{' Yes': -0.00448196, 'Yes': -5.4544253, ' No': -9.440089, ' yes': -9.827683, ' The': -10.4987955}
{' No': -0.32382858, ' Yes': -1.3263404, 'No': -4.8125863, 'Yes': -6.4160147, '\n': -7.434882}
{' Yes': -0.015568801, ' No': -4.5633726, 'Yes': -5.3870854, ' The': -8.845977, 'No': -9.087453}
{' Yes': -0.004186173, 'Yes': -5.7215505, ' No': -7.2987714, ' The': -8.906552, ' yes': -9.833472}
{' Yes': -0.025150588, ' No': -3.9586868, 'Yes': -5.2655563, 'No': -8.416723, ' The': -8.6676235}
{' Yes': -0.0075066793, 'Yes': -5.1271048, ' No': -6.6954026, ' The': -9.079501, ' yes': -9.391498}
{' Yes': -0.0157244, ' No': -4.5028954, 'Yes': -5.5572667, ' The': -8.03174, 'No': -9.18174}
{' Yes': -0.0047041136, 'Yes': -5.602314, ' No': -7.0059457, ' yes': -9.834312, ' The': -11.079388}
{' Yes': -0.006620861, 'Yes': -5.563299, ' No': -5.9657917, ' The': -9.512587, ' yes': -9.64064}
{' Yes': -0.0022342876, 'Yes': -6.295586, ' No': -8.248814, ' yes': -9.918832, ' The': -9.966773}
{' Yes': -0.0047985595, 'Yes': -5.5493236, ' No': -7.1264415, ' yes': -10.1285305, '\n': -10.747043}
{' Yes': -0.035412226, ' No': -3.5170078, 'Yes': -5.458447, ' The': -7.584116, 'No': -8.677341}
{' No': -0.08283644, ' Yes': -2.8676398, 'No': -3.9046445, 'Yes': -6.9171124, ' The': -7.175261}
{' Yes': -0.0027848694, 'Yes': -5.9668503, ' No': -9.406332, ' yes': -9.624633, ' The': -10.158485}
{' Yes': -0.0036092163, 'Yes': -5.6743703, ' No': -9.183428, ' yes': -10.162922, ' The': -11.493876}
{' Yes': -0.0028716624, 'Yes': -6.0823298, ' No': -7.956182, ' yes': -9.448947, '\n': -9.630958}
{' Yes': -0.0037353267, 'Yes': -5.862803, ' No': -7.4225197, '\n': -8.783846, ' yes': -9.522629}
{' Yes': -0.6964158, ' No': -0.6991758, 'No': -6.061915, 'Yes': -6.5130563, ' The': -7.6596494}
{' No': -0.09081909, ' Yes': -2.5635858, 'No': -4.7419553, 'Yes': -7.825286, ' Not': -8.113852}
{' Yes': -0.03902658, ' No': -3.5289426, 'Yes': -4.8633976, 'No': -7.6443634, '\n': -8.175436}
{' Yes': -0.08299886, ' No': -2.61595, 'Yes': -5.414412, ' The': -6.854128, 'No': -7.318554}
{' Yes': -0.65300536, ' No': -0.7494276, 'No': -5.8437686, 'Yes': -6.3285556, ' The': -6.747585}
{' No': -0.59796923, ' Yes': -0.8109972, 'No': -5.5862384, 'Yes': -6.469145, ' The': -8.834419}
{' Yes': -0.0029006535, 'Yes': -6.045181, ' No': -7.8149214, ' yes': -9.365582, ' The': -11.171911}
{' Yes': -0.004369708, 'Yes': -5.757198, ' No': -6.9252486, ' yes': -9.266462, ' The': -10.175391}
{' Yes': -0.0038558878, 'Yes': -5.7058706, ' No': -7.7614126, ' yes': -9.921544, '\n': -10.962432}
{' Yes': -0.052840203, ' No': -3.0490365, 'Yes': -5.762831, 'No': -7.803582, ' The': -8.534122}
{' Yes': -0.07915298, ' No': -2.634985, 'Yes': -5.7375536, 'No': -7.5869226, '\n': -8.005204}
{' Yes': -0.09312753, ' No': -2.5159676, 'Yes': -5.0541315, 'No': -6.6753035, ' The': -8.479552}
{' Yes': -0.004791791, 'Yes': -5.7009087, ' No': -6.6524544, ' The': -9.81888, ' yes': -10.018787}
{' Yes': -0.011224769, ' No': -4.9282684, 'Yes': -5.6612854, ' The': -8.600222, 'No': -9.436386}
{' Yes': -0.02579845, ' No': -3.8578296, 'Yes': -5.5687976, 'No': -8.441141, ' The': -8.6966305}
{' Yes': -0.06002716, ' No': -2.9101722, 'Yes': -5.8262086, 'No': -7.8798676, ' The': -8.175313}
{' Yes': -0.0032200995, 'Yes': -5.9085083, ' No': -7.9057546, ' yes': -9.561222, ' The': -10.293029}
{' Yes': -0.002361958, 'Yes': -6.211712, ' No': -8.397659, ' yes': -9.459087, ' The': -10.523057}
{' Yes': -0.0035887586, 'Yes': -5.8447256, ' No': -7.818337, ' The': -8.810111, ' yes': -9.620882}
{' Yes': -0.004904871, ' No': -6.0390964, 'Yes': -6.1625752, ' The': -8.18367, ' yes': -9.863999}
{' Yes': -0.0066704843, ' No': -5.555731, 'Yes': -5.9898396, ' The': -9.369693, ' yes': -9.47724}
{' Yes': -0.002385855, 'Yes': -6.0679603, ' yes': -10.179539, '\n': -11.392457, ' ': -12.051205}
{' Yes': -0.093292795, ' No': -2.4312959, 'Yes': -7.348862, '\n': -8.542668, ' ': -9.031428}
{' No': -0.36125737, ' Yes': -1.1996363, 'No': -6.829986, 'Yes': -8.140074, '\n': -8.376917}
{' No': -0.065412685, ' Yes': -2.782915, 'No': -6.8571944, '\n': -9.417419, ' The': -9.458949}
{' Yes': -0.16763557, ' No': -1.8754905, 'Yes': -7.294207, 'No': -8.605616, ' yes': -9.262098}
{' Yes': -0.00086113217, 'Yes': -7.4463353, ' yes': -8.807811, '\n': -9.394712, ' ': -10.772807}
{' Yes': -0.0012475409, ' No': -7.3600693, 'Yes': -7.6621494, ' yes': -9.265501, ' ': -10.833275}
{' Yes': -0.5504429, ' No': -0.86343503, 'No': -7.9003987, 'Yes': -7.9758534, ' ': -8.189673}
{' Yes': -0.00081943546, 'Yes': -7.488936, ' yes': -9.122994, ' No': -9.263738, '\n': -10.663164}
{' Yes': -0.0013722198, 'Yes': -7.2858562, ' No': -7.633736, ' yes': -9.226772, '\n': -9.706772}
{' Yes': -0.08486694, ' No': -2.5175717, 'Yes': -7.631264, ' yes': -9.614921, 'No': -9.699964}
{' Yes': -0.0014129244, ' No': -7.1919527, 'Yes': -7.613866, ' yes': -9.003997, '\n': -10.772481}
{' Yes': -0.06770704, ' No': -2.744896, 'Yes': -7.3613353, '\n': -8.367348, ' yes': -8.904416}
{' Yes': -0.0013746659, ' No': -7.3506103, 'Yes': -7.3702664, ' yes': -9.667314, '\n': -11.239943}
{' Yes': -0.0031914567, ' No': -5.9534593, 'Yes': -7.764808, ' yes': -9.032633, '\n': -10.990203}
{' Yes': -0.00053385564, 'Yes': -8.035125, ' yes': -8.787591, ' No': -10.50105, ' YES': -11.665306}
{' No': -0.20278169, ' Yes': -1.6993369, 'No': -7.830553, '\n': -9.338106, ' ': -9.614588}
{' Yes': -0.018578956, ' No': -4.0453024, ' yes': -7.73684, 'Yes': -7.869946, '\n': -10.570994}
{' Yes': -0.0038485297, ' No': -5.7595816, 'Yes': -7.853549, ' yes': -8.388759, '\n': -10.310521}
{' Yes': -0.0019315822, ' No': -6.883664, 'Yes': -7.5765066, ' yes': -8.312732, '\n': -9.456597}
{' No': -0.09371179, ' Yes': -2.429943, 'No': -6.772937, '\n': -9.429884, 'Yes': -9.619412}
{' Yes': -0.0009573645, ' No': -7.71186, 'Yes': -8.186899, ' yes': -8.984993, '\n': -9.770914}
{' Yes': -0.0025927231, ' No': -6.196261, 'Yes': -7.859858, ' yes': -9.339026, '\n': -9.928562}
{' Yes': -0.00078978814, 'Yes': -7.32369, ' yes': -9.133287, '\n': -11.7668295, ' ': -12.030858}
{' Yes': -0.050519835, ' No': -3.024231, 'Yes': -7.5691733, ' yes': -9.847502, 'No': -10.135321}
{' Yes': -0.029153734, ' No': -3.6139255, 'Yes': -7.146763, '\n': -7.524991, ' yes': -8.604061}
{' Yes': -0.66142094, ' No': -0.73049366, 'No': -7.5364494, 'Yes': -7.650797, '\n': -7.8701644}
{' Yes': -0.016617848, ' No': -4.1512613, 'Yes': -7.803529, ' yes': -8.900811, '\n': -8.9365835}
{' Yes': -0.6107664, ' No': -0.7859583, 'No': -7.571637, 'Yes': -7.929072, '\n': -8.4451685}
{' Yes': -0.002307948, ' No': -6.380197, 'Yes': -8.048779, ' yes': -8.438719, ' The': -10.349026}
{' No': -0.005240418, ' Yes': -5.4920945, 'No': -7.232163, '\n': -8.542862, ' ': -9.016573}
{' Yes': -0.045119207, ' No': -3.1639621, 'Yes': -7.031102, '\n': -7.4115357, ' ': -8.504603}
{' No': -0.057441223, ' Yes': -2.9080384, 'No': -7.0528555, '\n': -8.646096, ' ': -9.093377}
{' Yes': -0.0013171887, ' No': -7.2889485, 'Yes': -7.877484, ' yes': -8.425347, ' ': -11.354934}
{' No': -0.5057348, ' Yes': -0.92619646, 'No': -7.790561, 'Yes': -8.607635, ' yes': -9.087636}
{' Yes': -0.007777498, ' No': -5.1226816, 'Yes': -6.775561, '\n': -8.160403, ' yes': -8.462861}
{' No': -0.0036886618, ' Yes': -5.9163966, 'No': -6.9974055, ' ': -10.394598, '\n': -10.774569}
{' Yes': -0.022676315, ' No': -3.8159194, 'Yes': -8.182508, ' yes': -9.481795, ' ': -10.872337}
{' Yes': -0.00071176566, 'Yes': -7.358091, ' yes': -9.883404, '\n': -11.834321, ' YES': -11.877199}
{' Yes': -0.00094889133, 'Yes': -7.318511, ' yes': -8.89239, ' No': -9.37505, '\n': -10.203713}
{' No': -0.0043616244, ' Yes': -5.858859, 'No': -6.7545176, ' ': -8.947193, '\n': -9.154645}
{' Yes': -0.0010155938, 'Yes': -7.4192357, ' No': -8.224269, ' yes': -9.493215, '\n': -10.107731}
{' Yes': -0.0007239953, 'Yes': -7.4505396, ' No': -9.7167635, ' yes': -9.815824, '\n': -11.579689}
{' Yes': -0.004984121, ' No': -5.44192, 'Yes': -7.5944686, ' yes': -9.747395, '\n': -10.204642}
{' Yes': -0.00219092, ' No': -6.510552, 'Yes': -7.5904584, ' yes': -9.089011, '\n': -10.031362}
{' Yes': -0.17300415, ' No': -1.8451843, 'Yes': -7.847917, 'No': -8.948166, ' yes': -9.103225}
{' No': -0.024434004, ' Yes': -3.7618377, 'No': -7.3290167, '\n': -9.157113, ' ': -9.482816}
{' Yes': -0.026612846, ' No': -3.6868567, 'Yes': -7.548295, '\n': -8.064105, ' yes': -8.471764}
{' Yes': -0.15032868, ' No': -1.976573, 'Yes': -7.4948735, 'No': -8.807585, ' yes': -9.165429}
{' Yes': -0.3871198, ' No': -1.1396967, 'Yes': -7.785906, 'No': -8.513016, '\n': -8.95237}
{' Yes': -0.074321605, ' No': -2.647619, 'Yes': -7.4773254, '\n': -9.565583, ' yes': -9.812573}
{' Yes': -0.0048175463, ' No': -5.610163, 'Yes': -7.2134714, ' yes': -8.419595, '\n': -9.166823}
{' Yes': -0.10681806, ' No': -2.3022237, 'Yes': -7.769331, ' yes': -7.8713403, '\n': -8.396264}
{' No': -0.43046075, ' Yes': -1.0615165, '\n': -6.6513968, 'No': -7.2887917, ' yes': -7.5107026}
{' Yes': -0.5903361, ' No': -0.80989295, 'Yes': -8.255053, 'No': -8.443789, ' yes': -8.507679}
{' Yes': -0.5129924, ' No': -0.91531897, 'No': -8.090978, 'Yes': -8.097552, ' ': -9.308038}
{' No': -0.117596924, ' Yes': -2.2093155, 'No': -7.621306, '\n': -7.993388, ' The': -9.005931}
{' Yes': -0.18691644, ' No': -1.7778094, ' yes': -7.5143046, 'Yes': -7.7565017, ' The': -8.602617}
{' Yes': -0.09030405, ' No': -2.4558246, 'Yes': -8.217209, ' yes': -8.990327, ' The': -9.182688}
{' Yes': -0.009603531, ' No': -4.714035, 'Yes': -7.966813, ' yes': -8.784035, '\n': -10.331457}
{' Yes': -0.05609892, ' No': -2.9244041, 'Yes': -7.8156567, ' yes': -8.724983, '\n': -8.786205}
{' Yes': -0.6186502, ' No': -0.7764299, 'No': -7.9950104, 'Yes': -8.333196, '\n': -8.38465}
{' No': -0.008584123, ' Yes': -4.8671236, 'No': -7.1788864, ' ': -10.154984, '\n': -10.849845}
{' Yes': -0.03050706, ' No': -3.5195744, 'Yes': -8.122775, ' yes': -9.53391, '\n': -10.7091255}
{' Yes': -0.006284856, ' No': -5.168215, 'Yes': -8.078093, ' yes': -9.056135, '\n': -9.485491}
{' Yes': -0.011639868, ' No': -4.5195646, 'Yes': -8.021205, ' yes': -8.27472, '\n': -10.110854}
{' Yes': -0.6542301, ' No': -0.7371426, 'Yes': -7.63681, 'No': -7.6915126, '\n': -7.9488297}
{' Yes': -0.040614925, ' No': -3.2371764, 'Yes': -7.9909186, ' yes': -9.503533, ' ': -9.960607}
{' Yes': -0.34980032, ' No': -1.2242682, ' yes': -7.889007, 'Yes': -8.045204, 'No': -8.810984}
{' Yes': -0.0027573144, ' No': -6.024596, 'Yes': -8.432511, ' yes': -9.435039, '\n': -11.087455}
{' No': -0.47194895, ' Yes': -0.9793627, 'No': -8.131557, 'Yes': -8.8043165, '\n': -9.151651}
{' Yes': -0.0010128492, 'Yes': -7.7806983, ' No': -7.8943768, ' yes': -9.14568, '\n': -9.496767}
{' Yes': -0.010549346, ' No': -4.6714454, 'Yes': -7.7534876, ' yes': -8.109517, '\n': -8.134837}
{' No': -0.12579678, ' Yes': -2.1473498, 'No': -6.906207, '\n': -8.895623, 'Yes': -9.116498}
{' Yes': -0.013372959, ' No': -4.412968, 'Yes': -7.10664, ' yes': -8.700705, '\n': -9.215906}
{' No': -0.06310164, ' Yes': -2.8097825, 'No': -7.31947, '\n': -9.32145, ' ': -9.425414}
{' No': -0.09349586, ' Yes': -2.433416, 'No': -6.729011, ' ': -9.29131, '\n': -9.383145}
{' Yes': -0.24435195, ' No': -1.5361743, 'Yes': -7.142846, 'No': -8.039943, '\n': -8.547177}
{' No': -0.25795412, ' Yes': -1.4867064, 'No': -7.3571663, '\n': -8.276457, 'Yes': -8.835686}
{' No': -0.36005548, ' Yes': -1.1994511, 'No': -7.5812354, 'Yes': -8.865058, ' ': -9.271321}
{' Yes': -0.019010784, ' No': -4.0110073, 'Yes': -7.8765388, '\n': -8.980766, ' yes': -8.99831}
{' Yes': -0.35033196, ' No': -1.2251794, 'Yes': -6.9379263, 'No': -7.8560038, '\n': -8.351684}
{' No': -0.2649898, ' Yes': -1.4613894, 'No': -7.764255, 'Yes': -8.688923, '\n': -8.884018}
{' No': -0.0018729974, 'No': -6.775766, ' Yes': -7.451311, ' ': -9.461769, '\n': -9.996669}
{' No': -0.0015061043, 'No': -6.552552, ' ': -10.441051, ' no': -10.993873, '\n': -11.146308}
{' Yes': -0.5426988, ' No': -0.8757371, 'Yes': -7.52003, 'No': -7.611159, '\n': -7.623183}
{' Yes': -0.21650785, ' No': -1.6397825, 'Yes': -8.36524, ' yes': -8.383002, 'No': -9.641739}
{' Yes': -0.017318305, ' No': -4.1006327, 'Yes': -8.078977, ' yes': -8.654521, ' The': -10.000979}
{' Yes': -0.2335155, ' No': -1.5735499, 'Yes': -7.973795, 'No': -8.596521, ' yes': -8.717958}
{' No': -0.008062854, ' Yes': -4.9712143, 'No': -6.958298, ' ': -9.451027, '\n': -10.209404}
{' No': -0.3270148, ' Yes': -1.2803553, 'No': -7.7203536, '\n': -8.480152, 'Yes': -8.842006}
{' Yes': -0.0074593583, ' No': -4.9814277, 'Yes': -7.7860155, ' yes': -9.38616, '\n': -10.112037}
{' No': -0.012838077, ' Yes': -4.451116, 'No': -7.0212398, ' ': -9.496024, '\n': -9.98774}
{' No': -0.008760889, ' Yes': -4.8184204, 'No': -7.533476, ' ': -9.968193, '\n': -10.773941}
{' No': -0.49784213, ' Yes': -0.93872577, 'No': -8.023198, '\n': -8.545653, ' The': -8.68665}
{' Yes': -0.0018577697, ' No': -6.845384, 'Yes': -7.336998, ' yes': -9.332796, '\n': -10.799145}
{' No': -0.17983885, ' Yes': -1.811669, 'No': -7.1736336, '\n': -8.835394, 'Yes': -9.028654}
{' Yes': -0.054829404, ' No': -2.944104, 'Yes': -7.811745, ' yes': -9.071237, '\n': -9.646521}
{' Yes': -0.012639644, ' No': -4.425035, 'Yes': -7.951051, ' yes': -9.356853, '\n': -9.406121}
{' Yes': -0.0005773893, 'Yes': -8.038953, ' yes': -8.699105, ' No': -9.791003, ' YES': -11.084229}
{' No': -0.0026860728, ' Yes': -6.096512, 'No': -8.029652, ' no': -10.159975, ' ': -10.312687}
{' Yes': -0.0018411076, ' No': -6.937861, 'Yes': -7.6515584, ' yes': -8.417795, '\n': -8.93305}
{' Yes': -0.0017355977, ' No': -6.720237, 'Yes': -7.8743625, ' yes': -9.584575, '\n': -9.700006}
{' No': -0.4411456, ' Yes': -1.0338484, 'No': -7.618998, '\n': -8.664991, 'Yes': -8.775082}
{' No': -0.021635346, ' Yes': -3.9282303, 'No': -6.5677967, '\n': -8.9075985, ' ': -9.528799}
{' No': -0.04190619, ' Yes': -3.2200067, 'No': -7.21606, '\n': -8.983462, ' ': -9.015122}
{' No': -0.003244616, ' Yes': -5.979704, 'No': -7.497408, ' no': -9.874096, '\n': -9.892698}
{' Yes': -0.0007615132, ' yes': -7.935963, 'Yes': -8.309469, ' No': -9.887518, ' YES': -10.377783}
{' Yes': -0.0047142943, ' No': -5.521711, 'Yes': -7.7954545, ' yes': -8.846721, '\n': -9.467057}
{' Yes': -0.00097496517, 'Yes': -7.121803, ' yes': -9.308929, '\n': -10.165743, ' ': -10.863598}
{' Yes': -0.0021040686, ' No': -6.5725303, 'Yes': -7.5363503, ' yes': -8.952325, '\n': -10.67943}
{' Yes': -0.00069291756, 'Yes': -7.5736604, ' yes': -9.508219, ' No': -9.574268, '\n': -11.366835}
{' Yes': -0.029339511, ' No': -3.5702617, 'Yes': -7.561234, ' yes': -9.436862, '\n': -9.688762}
{' No': -0.015460623, ' Yes': -4.219562, 'No': -7.7381487, ' ': -9.381679, '\n': -10.184339}
{' No': -0.1192223, ' Yes': -2.1923099, 'No': -8.004743, '\n': -8.743573, ' ': -9.185271}
{' Yes': -0.05324466, ' No': -2.9836435, 'Yes': -7.1982865, ' yes': -8.694989, '\n': -8.806588}
{' Yes': -0.11714013, ' No': -2.2149699, 'Yes': -7.23735, '\n': -8.453584, ' yes': -8.591904}
{' No': -0.027547317, ' Yes': -3.6924126, 'No': -6.316077, '\n': -8.504801, ' ': -8.989119}
{' No': -0.002588241, 'No': -6.096952, '\n': -9.126301, ' ': -9.40612, ' Yes': -9.663841}
{' Yes': -0.28215352, ' No': -1.4088395, '\n': -7.3381724, 'Yes': -8.240264, ' yes': -8.709567}
{' No': -0.00039330113, 'No': -8.128864, ' ': -10.347816, '\n': -10.356813, ' no': -10.78759}
