{' No': -0.4067778, ' Yes': -1.1102976, 'No': -5.860507, 'Yes': -6.994649, ' Not': -7.4909906}
{' Yes': -0.098983556, ' No': -2.3997686, 'Yes': -5.830678, 'No': -7.669238, ' yes': -10.484765}
{' No': -0.29537332, ' Yes': -1.3854935, 'No': -5.5430326, 'Yes': -7.046857, ' The': -7.908952}
{' Yes': -0.037564553, ' No': -3.401784, 'Yes': -5.7493215, 'No': -8.782529, ' The': -9.756108}
{' Yes': -0.05436635, ' No': -2.9980385, 'Yes': -6.070169, ' The': -7.865684, 'No': -8.567956}
{' Yes': -0.09194755, ' No': -2.4916134, 'Yes': -5.462698, 'No': -7.6968536, ' Unfortunately': -8.767746}
{' No': -0.24242383, ' Yes': -1.5726203, 'No': -5.399196, ' Unfortunately': -7.022683, 'Yes': -7.0294256}
{' No': -0.018743709, 'No': -3.9938793, ' Yes': -9.014067, ' ': -11.226995, 'Yes': -12.88412}
{' No': -0.06721994, ' Yes': -2.858428, 'No': -4.968055, 'Yes': -8.307107, ' The': -8.650441}
{' Yes': -0.0034313854, 'Yes': -5.896386, ' No': -7.5913324, ' The': -9.113117, ' yes': -10.375284}
{' Yes': -0.027996702, ' No': -3.6367629, 'Yes': -7.006319, ' The': -8.476727, 'No': -10.265802}
{' Yes': -0.67149967, ' No': -0.72271967, 'No': -6.346781, 'Yes': -6.9072857, ' The': -7.442461}
{' Yes': -0.0052186083, ' No': -5.5079193, 'Yes': -6.854776, ' The': -10.417901, ' yes': -10.420941}
{' Yes': -0.14369285, ' No': -2.0540438, 'Yes': -5.4869466, 'No': -6.800225, ' The': -8.541766}
{' Yes': -0.1775887, ' No': -1.8384831, 'Yes': -6.056525, 'No': -7.4500394, ' The': -7.801953}
{' Yes': -0.6211904, ' No': -0.798757, 'No': -5.1678176, 'Yes': -5.526279, ' Unfortunately': -6.038133}
{' Yes': -0.26407385, ' No': -1.4813057, 'Yes': -5.882041, 'No': -6.501268, ' The': -8.760634}
{' No': -0.103284046, ' Yes': -2.3639424, 'No': -5.624091, 'Yes': -8.264501, ' The': -9.10986}
{' Yes': -0.48653084, ' No': -0.98433167, 'No': -5.7139435, ' Pound': -5.943814, 'Yes': -6.0423846}
{' No': -0.014893652, 'No': -4.806218, ' Yes': -5.104104, ' Not': -7.9195757, ' Unfortunately': -9.44658}
{' Yes': -0.33823738, ' No': -1.2710587, 'Yes': -5.63924, 'No': -5.997588, ' Not': -8.074241}
{' Yes': -0.008758304, ' No': -5.1380496, 'Yes': -5.913715, ' The': -9.950191, ' ': -10.308677}
{' Yes': -0.002671071, 'Yes': -6.2788963, ' No': -7.274718, ' The': -9.969578, ' yes': -10.395002}
{' Yes': -0.005642909, 'Yes': -5.3936377, ' No': -6.987248, ' yes': -9.684785, ' The': -9.771879}
{' No': -0.028801912, 'No': -3.5843475, ' Yes': -8.137862, ' Not': -8.909433, ' Nope': -9.130484}
{' Yes': -0.0053283814, 'Yes': -5.8727365, ' No': -6.119494, ' The': -8.47475, ' yes': -10.026694}
{' Yes': -0.048156735, ' No': -3.2316508, 'Yes': -5.01062, 'No': -7.8277087, ' The': -8.020798}
{' Yes': -0.049994033, ' No': -3.054793, 'Yes': -6.610073, 'No': -8.971485, ' The': -9.743355}
{' Yes': -0.36999983, ' No': -1.1897992, 'Yes': -6.0913663, 'No': -6.344366, ' The': -7.4246774}
{' No': -0.45422018, ' Yes': -1.030251, 'No': -5.1893353, 'Yes': -6.1481075, ' Not': -8.693245}
{' Yes': -0.089948826, ' No': -2.4861507, 'Yes': -6.157053, 'No': -8.04987, ' The': -8.453325}
{' Yes': -0.29687884, ' No': -1.9576244, ' Still': -2.276268, 'Yes': -4.8436127, 'No': -6.1978593}
{' Yes': -0.52292645, ' No': -0.90775883, 'No': -6.5507545, 'Yes': -6.595604, ' The': -7.5327606}
{' Yes': -0.05328659, ' No': -3.0494487, 'Yes': -5.522855, 'No': -7.7494206, ' Not': -10.476948}
{' Yes': -0.0044413693, 'Yes': -5.8200173, ' No': -6.548779, ' yes': -11.289424, 'No': -11.718118}
{' Yes': -0.0048470725, 'Yes': -5.3913217, ' No': -8.583347, ' Purs': -10.197786, ' yes': -10.839542}
{' Yes': -0.028809765, ' No': -3.64598, 'Yes': -6.2342935, ' The': -8.668972, 'No': -9.502883}
{' No': -0.049532887, ' Yes': -3.1882293, 'No': -5.038226, ' Not': -8.41352, 'Yes': -8.930646}
{' No': -0.1945568, ' Yes': -1.7616345, 'No': -5.5566955, 'Yes': -7.6009746, ' Not': -7.991519}
{' No': -0.471274, ' Yes': -0.9995085, 'No': -5.383618, 'Yes': -6.2980914, ' The': -7.166195}
{' Yes': -0.4491733, ' No': -1.0288148, 'Yes': -6.1336484, 'No': -6.3822827, ' The': -7.8756733}
{' No': -0.009252685, 'No': -4.794178, ' Yes': -7.2779236, ' Unfortunately': -9.368355, ' ': -9.829708}
{' No': -0.008301008, 'No': -4.87883, ' Yes': -7.894022, ' Unfortunately': -8.612673, ' The': -10.042217}
{' No': -0.3993001, 'No': -1.425692, ' Un': -2.821257, ' False': -4.672819, 'Un': -5.157877}
{' No': -0.4219353, ' Yes': -1.0749446, 'No': -6.3228025, 'Yes': -7.0736094, ' The': -8.91249}
{' Yes': -0.02916932, ' No': -3.689356, 'Yes': -5.6903954, 'No': -8.51664, ' The': -9.440149}
{' Yes': -0.0058067455, ' No': -5.718556, 'Yes': -6.103441, ' The': -8.604847, ' yes': -10.395603}
{' Yes': -0.643181, ' No': -0.7574122, 'Yes': -6.0580535, 'No': -6.2191334, ' Not': -8.059586}
{' Yes': -0.20483464, ' No': -1.7367064, 'Yes': -5.0122075, 'No': -6.429325, ' Not': -8.063939}
{' Yes': -0.0031376418, 'Yes': -5.7824492, ' yes': -10.449776, ' ': -11.200794, ' YES': -12.572279}
{' Yes': -0.010678379, ' No': -4.9324136, 'Yes': -5.738414, ' yes': -9.739039, 'No': -10.035156}
{' Yes': -0.020324608, ' No': -4.0025253, 'Yes': -6.43498, ' The': -9.077298, 'No': -9.895742}
{' No': -0.007127574, ' Yes': -5.317875, 'No': -6.1509295, ' ': -10.676768, ' Not': -11.043427}
{' Yes': -0.08322549, ' No': -2.7361777, 'Yes': -4.5632424, '\n': -6.6540756, ' ': -6.8222995}
{' Yes': -0.026330948, ' No': -3.8260171, 'Yes': -5.535412, 'No': -9.108243, ' The': -9.77004}
{' Yes': -0.03171214, ' No': -3.5857894, 'Yes': -5.7691274, 'No': -8.666378, ' The': -9.046425}
{' Yes': -0.013575949, ' No': -4.4220934, 'Yes': -6.6086855, ' The': -10.189036, 'No': -10.38775}
{' Yes': -0.29395565, ' No': -1.4332987, 'Yes': -4.520415, 'No': -5.3339105, ' Not': -8.486129}
{' Yes': -0.0095638735, ' No': -5.0948415, 'Yes': -5.783768, ' The': -9.09284, ' Unfortunately': -9.926548}
{' Yes': -0.019273678, ' No': -4.1025558, 'Yes': -6.0260177, 'No': -9.728973, ' The': -10.439248}
{' Yes': -0.008248722, ' No': -5.108226, 'Yes': -6.1658263, 'No': -10.81671, ' yes': -11.092276}
{' No': -0.1334278, ' Yes': -2.1079667, 'No': -5.8654776, 'Yes': -8.000541, ' The': -8.622327}
{' No': -0.013363174, 'No': -4.9633656, ' Yes': -5.151486, ' The': -8.459907, ' ': -9.166375}
{' No': -0.021925857, 'No': -3.8590038, ' Yes': -7.9016805, ' Not': -9.400557, ' Unfortunately': -9.891363}
{' Yes': -0.020521468, ' No': -4.0582714, 'Yes': -5.9749546, ' The': -8.242292, 'No': -9.449633}
{' No': -0.061849684, ' Yes': -3.2676964, 'No': -3.9108522, 'Yes': -7.007194, ' Not': -7.6259265}
{' Yes': -0.18852776, ' No': -1.7840533, 'Yes': -6.2195373, 'No': -7.252008, ' The': -7.7597327}
{' Yes': -0.0015038374, 'Yes': -6.7660203, ' No': -8.081518, ' The': -10.77513, ' yes': -11.18064}
{' Yes': -0.002674778, 'Yes': -5.9555416, ' No': -9.711808, ' yes': -11.619704, ' ': -12.417508}
{' Yes': -0.008508078, ' No': -4.9875097, 'Yes': -6.565591, ' The': -8.708399, ' yes': -10.369391}
{' Yes': -0.09370504, ' No': -2.4428394, 'Yes': -6.2719636, 'No': -8.031277, ' The': -8.799953}
{' Yes': -0.0060371063, 'Yes': -5.165285, ' No': -8.301081, ' The': -10.570392, ' yes': -11.075993}
{' Yes': -0.003742087, 'Yes': -5.599918, ' yes': -10.806887, '\n': -12.468265, ' ': -12.475831}
{' Yes': -0.0122396955, ' No': -4.759373, 'Yes': -5.6950035, ' Grass': -9.773617, ' The': -10.046914}
{' No': -0.32243085, ' Yes': -1.3101017, 'No': -5.465398, 'Yes': -6.5427213, ' The': -10.097554}
{' Yes': -0.06037153, ' No': -2.8950977, 'Yes': -5.939283, ' The': -8.289325, 'No': -8.29657}
{' Yes': -0.687056, ' No': -0.7064385, 'No': -6.3920035, 'Yes': -6.681624, ' The': -8.142759}
{' No': -0.10907718, ' Yes': -2.392902, 'No': -4.939981, ' Unfortunately': -5.79631, ' Not': -6.773216}
{' No': -0.20987007, ' Yes': -1.6952711, 'No': -5.35434, 'Yes': -7.024918, ' ': -9.902539}
{' No': -0.1767146, ' Yes': -1.8886648, 'No': -5.0195756, 'Yes': -7.0163693, ' Not': -7.04501}
{' Yes': -0.17924283, ' No': -1.8338448, 'Yes': -5.752147, 'No': -7.2684784, ' The': -8.82392}
{' Yes': -0.20889808, ' No': -1.6975034, 'Yes': -5.576615, 'No': -6.6735573, ' The': -8.591091}
{' Yes': -0.053873755, ' No': -3.0180783, 'Yes': -5.868674, ' The': -8.134848, 'No': -8.264212}
{' Yes': -0.46236667, ' No': -1.0023733, 'Yes': -6.383623, 'No': -6.6654744, ' The': -8.957751}
{' Yes': -0.009357365, ' No': -4.9606757, 'Yes': -6.114969, ' The': -10.189594, ' yes': -10.82911}
{' No': -0.18624584, ' Yes': -1.7926873, 'No': -6.016219, 'Yes': -7.59196, ' The': -8.053994}
{' Yes': -0.111990556, ' No': -2.3131566, 'Yes': -5.28015, ' The': -6.7970905, 'No': -7.3690014}
{' Yes': -0.014936366, ' No': -4.3867607, 'Yes': -6.0932364, ' The': -9.855188, 'No': -10.058668}
{' Yes': -0.002339312, 'Yes': -6.6324835, ' No': -7.1550198, ' The': -8.591473, ' yes': -10.705942}
{' Yes': -0.001830302, 'Yes': -6.3439393, ' No': -10.443009, ' The': -10.765016, ' yes': -11.218488}
{' Yes': -0.004451486, ' No': -5.920696, 'Yes': -6.4145546, ' The': -9.389063, ' yes': -10.835849}
{' Yes': -0.009492446, ' Rough': -5.526649, ' No': -5.5999694, 'Yes': -6.371508, ' yes': -11.068178}
{' Yes': -0.3123333, ' No': -1.3921977, 'Yes': -4.644929, 'No': -5.35592, ' Rough': -5.414233}
{' Yes': -0.043366488, ' No': -3.331742, 'Yes': -5.083823, 'No': -7.9710584, ' Not': -9.75937}
{' Yes': -0.22249307, ' No': -1.6374482, 'Yes': -5.572707, 'No': -6.9641695, ' The': -8.845497}
{' Yes': -0.004097293, 'Yes': -5.8910637, ' No': -6.7554455, ' The': -9.436264, ' yes': -9.637621}
{' Yes': -0.042419482, ' No': -3.2549763, 'Yes': -5.940689, 'No': -8.921986, ' The': -9.124182}
{' Yes': -0.04478105, ' No': -3.2137222, 'Yes': -5.8534274, ' The': -7.717203, 'No': -8.957899}
{' Yes': -0.427592, ' No': -1.0670688, 'Yes': -6.018795, 'No': -6.936178, ' The': -7.98892}
{' Yes': -0.0033267236, 'Yes': -5.8158627, ' No': -8.38188, ' The': -9.5713825, ' yes': -10.843369}
{' Yes': -0.00228925, 'Yes': -6.1651025, ' The': -9.13847, ' No': -10.073452, ' yes': -10.925413}
{' Yes': -0.0053472575, ' No': -5.8101244, 'Yes': -6.249614, ' The': -8.09682, ' yes': -10.430583}
{' Yes': -0.0073889825, 'Yes': -5.5732427, ' No': -5.677568, ' The': -9.806573, ' yes': -10.387382}
{' No': -0.14573988, ' Yes': -2.0218327, 'No': -5.961514, 'Yes': -8.024131, ' The': -9.353763}
{' Yes': -0.014808352, ' No': -4.3741736, 'Yes': -6.239356, ' The': -9.957589, 'No': -10.155215}
{' Yes': -0.008198961, ' No': -5.2997103, 'Yes': -5.8082285, ' The': -9.195909, ' yes': -10.473855}
{' Yes': -0.024011984, ' No': -4.045477, 'Yes': -5.133499, ' The': -9.030794, 'No': -9.038898}
{' Yes': -0.28481722, ' No': -1.443028, 'Yes': -4.9549947, 'No': -5.768015, ' ': -7.1241627}
{' Yes': -0.43027413, ' No': -1.0614387, 'Yes': -6.12934, 'No': -6.871196, ' Not': -8.680568}
{' Yes': -0.0011552818, 'Yes': -6.8028307, ' No': -10.877851, ' yes': -10.98532, ' The': -12.587252}
{' Yes': -0.0018763418, 'Yes': -6.374364, ' No': -8.979583, ' yes': -10.475984, ' ': -12.079661}
{' Yes': -0.06844034, ' No': -2.7693374, 'Yes': -5.816703, 'No': -7.9784164, ' The': -9.646898}
{' Yes': -0.038873386, ' No': -3.3588939, 'Yes': -5.829116, 'No': -8.614726, ' The': -9.293225}
{' Yes': -0.008678875, 'Yes': -5.3489723, ' No': -5.569708, 'No': -10.200186, ' yes': -10.966354}
{' Yes': -0.14121641, ' No': -2.0684395, 'Yes': -5.533291, 'No': -6.758114, ' The': -9.233996}
{' Yes': -0.02497017, ' No': -3.9481516, 'Yes': -5.3072615, 'No': -8.252606, ' The': -9.393666}
{' Yes': -0.009211837, 'Yes': -5.3901834, ' No': -5.4163375, 'No': -9.826797, ' The': -9.884095}
{' Yes': -0.043654922, ' No': -3.209922, 'Yes': -6.235683, 'No': -8.78972, ' The': -8.793604}
{' Yes': -0.05102986, ' No': -3.056334, 'Yes': -6.1570377, ' The': -8.376953, 'No': -8.610687}
{' Yes': -0.021085924, ' No': -3.9696636, 'Yes': -6.3447437, ' The': -9.355808, 'No': -9.841076}
{' Yes': -0.04320541, ' No': -3.1881888, 'Yes': -7.005085, 'No': -9.697996, ' The': -10.756073}
{' Yes': -0.0038738996, 'Yes': -5.663177, ' No': -8.42835, ' The': -9.011581, ' yes': -10.578661}
{' Yes': -0.0074595986, 'Yes': -5.458153, ' No': -6.0157866, ' The': -7.693103, ' Heart': -8.790674}
{' Yes': -0.0022197703, 'Yes': -6.283895, ' No': -8.110122, ' The': -10.6414175, ' yes': -11.021568}
{' Yes': -0.0021869778, 'Yes': -6.1363683, ' No': -11.963693, ' The': -12.058005, ' yes': -12.084974}
{' No': -0.03418317, ' Yes': -3.4345105, 'No': -6.8190527, ' ': -9.65635, ' The': -9.656562}
{' Yes': -0.2929222, ' No': -1.3808604, 'Yes': -6.963155, ' The': -7.301245, 'No': -7.9528356}
{' Yes': -0.5981264, ' No': -0.80522823, 'No': -6.6205835, 'Yes': -6.720075, ' Pizza': -8.072894}
{' No': -0.002887442, ' Yes': -6.319143, 'No': -6.8684554, ' ': -10.903811, ' Not': -11.580145}
{' Yes': -0.009297925, ' No': -4.9528785, 'Yes': -6.714444, ' The': -7.8272467, ' Snake': -8.168483}
{' Yes': -0.002637185, 'Yes': -6.814624, ' No': -6.9377623, ' Snake': -8.098624, ' The': -9.182469}
{' Yes': -0.39360052, ' No': -1.808075, ' Laugh': -2.4420302, ' G': -2.8579333, ' ': -4.5026894}
{' Yes': -0.017256873, ' No': -4.1210566, 'Yes': -7.3806553, ' yes': -8.854013, ' ': -10.0456}
{' Yes': -0.2585642, ' No': -1.4833225, 'Yes': -7.662254, 'No': -8.813, ' The': -9.025936}
{' Yes': -0.12227998, ' No': -2.1786897, ' Queen': -7.0083346, 'Yes': -7.5931644, ' The': -8.986771}
{' No': -0.0080343755, ' Yes': -5.0216966, 'No': -6.6469655, '\n': -10.422281, ' The': -10.621448}
{' No': -0.6944818, ' Yes': -0.6953153, 'Yes': -7.4957986, 'No': -7.584109, ' The': -8.000682}
{' Yes': -0.0049972404, ' No': -5.688445, 'Yes': -6.6248617, ' yes': -9.338893, ' The': -9.828834}
{' No': -0.32144096, ' Yes': -1.3162434, ' Plane': -5.2653875, 'No': -7.21561, 'Yes': -7.5959373}
{' Yes': -0.1897636, ' No': -1.7890354, ' Found': -5.5590296, 'Yes': -7.0784254, ' ': -8.36637}
{' No': -0.59779215, ' Yes': -0.8048748, 'No': -7.2654686, ' ': -7.315108, 'Yes': -7.5170817}
{' Yes': -0.007718091, ' Uncle': -5.764462, ' No': -5.786303, 'Yes': -7.271624, ' ': -7.547362}
{' Yes': -0.47723833, ' No': -0.97311074, ' ': -7.892735, 'Yes': -7.922451, 'No': -8.458051}
{' No': -0.021463115, ' Yes': -3.9450011, 'No': -6.6033564, ' The': -8.285243, '\n': -9.431918}
{' Yes': -0.114332356, ' No': -2.2416687, 'Yes': -6.829342, ' Stamp': -8.363916, 'No': -8.694506}
{' Yes': -0.026551088, ' No': -3.716683, 'Yes': -6.9074364, '\n': -8.107544, ' The': -8.4211235}
{' Yes': -0.0014255212, 'Yes': -6.99355, ' yes': -8.6558485, ' No': -8.696583, '\n': -9.648745}
{' No': -0.07251737, ' Yes': -2.6716652, 'No': -7.557842, ' The': -9.538187, ' ': -9.614912}
{' Yes': -0.23430568, ' No': -1.5733407, 'Yes': -7.518677, ' The': -7.578625, 'No': -9.034461}
{' Yes': -0.3172236, ' No': -1.3157396, 'Yes': -6.681329, ' The': -7.148984, 'No': -7.733118}
{' Yes': -0.05823159, ' No': -2.947483, ' The': -6.298443, 'Yes': -6.6098175, ' yes': -8.038218}
{' Yes': -0.16730352, ' No': -1.8761352, 'Yes': -7.4092026, 'No': -9.066784, ' yes': -9.701534}
{' Yes': -0.015959315, ' No': -4.194964, 'Yes': -7.4382496, '\n': -9.825247, ' yes': -9.973303}
{' Yes': -0.087347165, ' No': -2.5243988, 'Yes': -6.218717, ' Drunk': -7.5304503, ' ': -7.562471}
{' No': -0.5493013, ' Yes': -0.87326646, ' Drunk': -6.636207, 'Yes': -6.874176, 'No': -7.0337844}
{' No': -0.1305532, ' Yes': -2.1090057, 'No': -7.7625337, ' The': -8.563242, '\n': -8.994081}
{' No': -0.0029494904, ' Yes': -6.3534527, 'No': -6.909981, '\n': -9.497028, ' ': -9.568378}
{' Yes': -0.0040241587, ' No': -5.714835, 'Yes': -7.5142164, ' yes': -9.6351385, ' The': -10.1335745}
{' Yes': -0.00046110176, 'Yes': -8.032401, ' yes': -9.308217, ' No': -10.388862, ' YES': -12.00177}
{' Yes': -0.014611163, ' No': -4.3079724, 'Yes': -7.505437, '\n': -8.378091, ' yes': -8.867204}
{' No': -0.0029407039, ' Yes': -6.2799006, 'No': -6.985526, ' ': -9.811885, '\n': -10.168683}
{' Yes': -0.00100915, 'Yes': -7.284393, ' No': -9.012072, ' yes': -9.102533, '\n': -10.301264}
{' Yes': -0.0011986044, ' No': -7.512238, 'Yes': -7.6150274, ' yes': -9.484426, ' The': -10.352535}
{' Yes': -0.0021163113, ' No': -6.863267, 'Yes': -6.9895387, ' yes': -9.327922, '\n': -10.976607}
{' Yes': -0.076368876, ' No': -2.6297116, 'Yes': -6.906609, ' ': -8.975932, '\n': -9.044418}
{' Yes': -0.54520285, ' No': -0.869475, 'No': -7.6646543, 'Yes': -7.871376, ' ': -9.496339}
{' No': -0.5909019, ' Yes': -0.80914456, 'No': -8.139733, 'Yes': -8.185386, ' yes': -8.990021}
{' Yes': -0.56558675, ' No': -0.8423793, 'Yes': -7.3384213, 'No': -8.292612, ' ': -8.691389}
{' Yes': -0.0021719828, ' No': -6.734193, 'Yes': -7.0374327, ' yes': -9.988044, ' YES': -11.070863}
{' No': -0.3077977, ' Yes': -1.3328221, 'No': -7.2355924, 'Yes': -8.404889, ' The': -9.625007}
{' No': -0.36418423, ' Yes': -1.194558, ' Ghost': -6.823348, 'No': -7.5868864, ' The': -8.269529}
{' Yes': -0.0055974144, ' No': -5.4117827, 'Yes': -7.573657, ' Shirt': -7.593478, ' yes': -9.912875}
{' Yes': -0.00067567825, 'Yes': -7.6973596, ' No': -8.734325, ' yes': -9.974659, ' ': -12.349241}
{' No': -0.2785795, ' Yes': -1.4180868, 'No': -7.948238, 'Yes': -8.184865, ' Pants': -9.05899}
{' Yes': -0.41649058, ' No': -1.0818043, 'Yes': -7.0823245, ' The': -7.985849, 'No': -8.545269}
{' Yes': -0.039934125, ' No': -3.311092, 'Yes': -6.849809, ' The': -6.933048, '\n': -8.474661}
{' No': -0.01531832, ' Yes': -4.512419, 'No': -5.9068894, ' Board': -6.969427, ' ': -8.371973}
{' Yes': -0.008110145, ' No': -5.150173, 'Yes': -6.380054, ' The': -8.305323, ' yes': -8.601745}
{' Yes': -0.29015723, ' No': -1.3841133, 'Yes': -7.5132785, ' The': -8.419898, '\n': -8.904103}
{' Yes': -0.16338027, ' No': -1.8983254, 'Yes': -7.65246, '\n': -9.207726, ' ': -9.484264}
{' Yes': -0.19674464, ' No': -1.740356, ' The': -6.662626, 'Yes': -6.968082, '\n': -8.166823}
{' Yes': -0.015919587, ' No': -4.2212286, 'Yes': -7.1081047, ' yes': -8.925434, ' ': -9.345631}
{' No': -0.27254215, ' Yes': -1.4423324, 'No': -6.5991087, 'Yes': -8.028018, ' Sn': -8.999602}
{' Yes': -0.022229984, ' No': -3.8559391, 'Yes': -7.460281, ' yes': -9.52521, ' ': -9.526064}
{' Yes': -0.18069303, ' No': -1.8063356, 'Yes': -7.2638993, ' yes': -8.932398, 'No': -9.0571785}
{' No': -0.22048996, ' Yes': -1.624579, 'No': -8.169781, ' The': -8.632586, ' ': -8.885759}
{' Yes': -0.01672161, ' No': -4.150915, ' The': -7.8616066, 'Yes': -8.192457, ' yes': -9.679998}
{' Yes': -0.018992683, ' No': -4.027177, 'Yes': -7.2449956, ' yes': -9.132379, '\n': -9.727562}
{' Yes': -0.17494036, ' Women': -2.3571818, ' No': -2.7715244, 'Yes': -6.732239, ' ': -7.0922394}
{' Yes': -0.044743713, ' No': -3.5486476, ' Spr': -4.71894, 'Yes': -5.433015, ' yes': -7.470001}
{' Yes': -0.03639082, ' No': -3.4145799, 'Yes': -6.8369145, ' yes': -7.281885, '\n': -7.2918167}
{' No': -0.048295032, ' Yes': -3.070851, 'No': -7.5743775, ' ': -9.649078, ' Los': -10.166373}
{' Yes': -0.21095257, ' No': -1.6708544, 'Yes': -7.232118, ' The': -7.7743115, ' Los': -8.523047}
{' Yes': -0.465918, ' No': -0.9892467, 'Yes': -8.322998, 'No': -8.878191, '\n': -9.424204}
{' No': -0.27037415, ' Yes': -1.4447191, 'No': -7.402637, 'Yes': -8.506744, ' The': -9.262235}
{' Yes': -0.0005371935, 'Yes': -7.9506726, ' No': -8.842973, ' yes': -10.745209, ' Shark': -12.084138}
{' Yes': -0.000803209, 'Yes': -7.268099, ' No': -9.953676, ' yes': -10.122128, '\n': -12.189978}
{' No': -0.43777937, ' Yes': -1.0412303, 'No': -7.4711695, 'Yes': -8.056547, '\n': -8.296657}
{' Yes': -0.109160535, ' No': -2.2753403, 'Yes': -7.7868657, ' yes': -9.485507, 'No': -9.732667}
{' No': -0.022081902, ' Yes': -3.8674796, 'No': -7.5568643, ' ': -8.82386, '\n': -9.333073}
{' No': -0.3049195, ' Yes': -1.3418343, 'No': -7.672486, ' ': -8.295949, ' The': -8.367299}
{' No': -0.36232293, ' Yes': -1.193675, 'No': -7.862904, 'Yes': -8.560615, ' ': -9.257188}
{' No': -0.022775093, ' Yes': -3.8766415, 'No': -6.7569113, ' ': -8.740012, '\n': -8.79498}
{' Yes': -0.23853743, ' No': -1.5627028, 'Yes': -6.9688606, ' Sm': -7.4594803, 'No': -8.268014}
{' Yes': -0.122075096, ' No': -2.201291, ' Sm': -6.4340158, 'Yes': -6.978336, ' yes': -8.093852}
{' Yes': -0.4974518, ' No': -0.9462243, ' ': -7.2167435, ' Your': -7.2368126, ' Unfortunately': -7.284426}
{' No': -0.14936687, ' Yes': -1.9907308, 'No': -7.4392967, ' The': -7.5080724, '\n': -8.414928}
{' No': -0.0024239165, 'No': -6.5559053, ' Yes': -7.072345, ' no': -9.858878, ' ': -10.0206175}
{' No': -0.039894797, ' Yes': -3.2668214, 'No': -7.185585, '\n': -9.4522915, ' ': -9.903486}
{' Yes': -0.08678481, ' No': -2.5646403, ' Devil': -5.574501, 'Yes': -7.201861, ' ': -7.662137}
{' Yes': -0.21135598, ' No': -1.6683643, ' The': -7.2504106, 'Yes': -7.922484, ' yes': -8.633803}
{' No': -0.046932958, ' Yes': -3.1022937, 'No': -7.475495, ' The': -8.781371, ' ': -9.608792}
{' Yes': -0.03269435, ' No': -3.469269, 'Yes': -7.4993024, ' yes': -8.383317, ' ': -9.228956}
{' Yes': -0.3312947, ' No': -1.269386, 'Yes': -7.7602267, 'No': -8.731936, ' ': -9.155787}
{' No': -0.2772063, ' Yes': -1.4215353, 'No': -7.9935527, 'Yes': -8.7474575, '\n': -9.073064}
{' No': -0.12795793, ' Yes': -2.1314006, 'No': -7.1113296, ' Worst': -8.929266, 'Yes': -9.167093}
{' No': -0.6077815, ' Yes': -0.7900402, 'No': -7.2378664, 'Yes': -7.8089347, ' The': -9.132673}
{' No': -0.25794262, ' Yes': -1.4851192, 'No': -7.6503625, 'Yes': -8.6441765, ' The': -9.297941}
{' No': -0.09382524, ' Yes': -2.5261276, ' Pound': -5.2777014, 'No': -6.0423055, ' P': -7.035314}
{' No': -0.38504902, ' Yes': -1.1445458, 'No': -7.610186, 'Yes': -8.483022, ' Unfortunately': -8.694175}
{' Yes': -0.08234283, ' No': -2.5574958, 'Yes': -6.9127145, ' Dirty': -8.487613, 'No': -9.314489}
{' Yes': -0.0020147148, ' No': -6.994577, 'Yes': -7.1572075, ' ': -8.899504, ' yes': -9.734768}
{' Yes': -0.0020213425, ' No': -6.755524, 'Yes': -7.36752, ' yes': -9.033465, '\n': -10.259698}
{' Yes': -0.015628435, ' E': -4.8121276, ' erupt': -5.701127, 'Yes': -6.0293784, ' No': -7.4976377}
{' No': -0.14787124, 'rupt': -2.9431946, ' Ru': -4.269539, 'No': -4.336164, ' Yes': -4.656292}
{' Yes': -0.0050382745, ' No': -5.5924263, 'Yes': -7.1209393, '\n': -8.675189, ' The': -8.819162}
{' Yes': -0.0068065217, ' No': -5.1287546, 'Yes': -7.344628, ' yes': -9.257818, ' The': -9.677853}
{' No': -0.3356112, ' Yes': -1.2895601, ' Armor': -4.8092513, 'No': -7.223013, ' The': -7.9852524}
{' Yes': -0.64870715, ' No': -0.7456826, ' The': -6.8529973, 'No': -7.560677, 'Yes': -7.672501}
{' Yes': -0.5935258, ' No': -0.8078089, '\n': -7.9125314, ' Prec': -8.137058, 'Yes': -8.225481}
{' Yes': -0.1554214, ' No': -1.9488498, 'Yes': -7.3863053, '\n': -8.211382, ' ': -8.61037}
{' Yes': -0.49661744, ' No': -1.1384269, ' Still': -2.6917105, 'Yes': -6.8085256, 'No': -7.198707}
{' No': -0.64499766, ' Yes': -0.75159556, ' The': -6.769976, ' Still': -7.485007, '\n': -7.541407}
{' Yes': -0.4464961, ' No': -1.0265665, 'Yes': -6.921395, 'No': -7.1255555, '\n': -9.914479}
{' Yes': -0.014955968, ' No': -4.2638173, 'Yes': -7.273546, ' yes': -9.974472, 'No': -10.86088}
{' Yes': -0.0032725437, 'Yes': -6.564048, ' No': -6.746835, ' Purs': -7.745309, ' Pur': -9.231608}
{' Yes': -0.08123966, ' No': -2.5766122, 'Yes': -7.178518, '\n': -7.7074103, ' The': -7.9255843}
{' No': -0.1716097, ' Yes': -1.8602234, 'No': -7.0658092, ' The': -8.011422, '\n': -8.357417}
{' No': -0.006265421, ' Yes': -5.3570056, 'No': -6.8265834, '\n': -8.907824, ' ': -9.015142}
{' Yes': -0.12375779, ' No': -2.1716988, 'Yes': -6.651435, ' The': -7.781928, ' yes': -8.596709}
