{' No': -0.019491663, ' Yes': -4.188889, 'No': -5.6951966, ' The': -7.8454537, '\n': -8.467041}
{' No': -0.03678342, ' Yes': -3.671841, 'No': -4.598589, ' The': -8.527887, 'Yes': -8.699884}
{' No': -0.025678765, ' Yes': -4.2447414, 'No': -4.614626, ' The': -7.074829, 'Yes': -9.471323}
{' Yes': -0.02219348, ' No': -4.1145244, 'Yes': -5.3819423, ' The': -7.994857, 'No': -8.204093}
{' No': -0.23326416, ' Yes': -1.6410877, 'No': -4.427602, 'Yes': -6.794444, ' The': -7.3529043}
{' No': -0.036161825, 'No': -3.9886134, ' Yes': -4.103567, 'Yes': -8.893993, '\n': -9.169647}
{' No': -0.10349946, ' Yes': -2.4469821, 'No': -4.5422354, 'Yes': -7.7786584, ' Not': -8.1857195}
{' No': -0.6187778, ' Yes': -0.7916599, 'No': -5.4621825, ' The': -6.168586, 'Yes': -6.5218153}
{' No': -0.09839168, ' Yes': -2.5192823, 'No': -4.472369, ' The': -7.3066664, 'Yes': -7.552342}
{' No': -0.04847583, ' Yes': -3.5686898, 'No': -3.99305, 'Yes': -8.060169, '\n': -8.723555}
{' No': -0.04386783, ' Yes': -3.7066483, 'No': -4.027785, 'Yes': -8.284739, ' The': -8.915625}
{' No': -0.012052541, 'No': -4.5489445, ' Yes': -6.839273, ' The': -8.778776, '\n': -9.651}
{' No': -0.023787027, 'No': -4.023405, ' Yes': -5.284939, ' The': -8.274107, ' Not': -9.066921}
{' No': -0.010859071, 'No': -4.674843, ' Yes': -6.715931, ' The': -8.859999, ' Not': -10.483548}
{' No': -0.027823372, 'No': -3.7801828, ' Yes': -5.542653, ' The': -7.7832747, ' "': -9.864355}
{' No': -0.022525849, 'No': -3.9888992, ' Yes': -5.7254024, ' The': -8.330201, ' Not': -9.566994}
{' No': -0.649344, ' Yes': -0.76723725, 'No': -4.7486424, 'Yes': -5.6682763, ' The': -7.041741}
{' No': -0.11444282, ' Yes': -2.2963753, 'No': -4.980932, 'Yes': -7.962463, ' The': -8.674204}
{' No': -0.7015918, ' Yes': -0.70659095, 'No': -4.9359913, 'Yes': -5.8636074, ' The': -7.716455}
{' No': -0.052166663, 'No': -3.4811444, ' Yes': -3.967259, ' "': -8.0577545, ' The': -8.143827}
{' No': -0.022533653, 'No': -3.9524136, ' Yes': -5.9201355, ' The': -8.502766, ' Not': -10.044392}
{' No': -0.026152274, ' Yes': -4.274014, 'No': -4.4810376, ' The': -8.177774, 'Yes': -9.377712}
{' No': -0.04270988, ' Yes': -3.5979066, 'No': -4.274872, 'Yes': -8.446873, ' The': -9.070702}
{' No': -0.018085526, 'No': -4.3365765, ' Yes': -5.445476, ' The': -8.2594795, ' Not': -9.282234}
{' No': -0.02093959, 'No': -4.037495, ' Yes': -5.945423, ' The': -8.355263, ' Not': -9.509377}
{' No': -0.40462843, ' Yes': -1.1155525, 'No': -6.013759, 'Yes': -6.9217486, ' Not': -7.325286}
{' No': -0.05715119, ' Yes': -3.036552, 'No': -4.983703, ' The': -8.044936, 'Yes': -8.384713}
{' No': -0.16073602, ' Yes': -2.0158825, 'No': -4.33008, 'Yes': -6.9791727, ' The': -7.431812}
{' No': -0.100586906, ' Yes': -2.514306, 'No': -4.374907, ' The': -6.8806944, 'Yes': -7.392798}
{' No': -0.033503596, ' Yes': -3.7153308, 'No': -4.8397303, ' The': -8.2183695, 'Yes': -9.2060795}
{' No': -0.020389821, 'No': -4.373453, ' Yes': -4.95516, ' The': -8.511179, '\n': -9.212778}
{' No': -0.01605858, 'No': -4.278586, ' Yes': -6.4326673, '\n': -8.622524, ' The': -9.028608}
{' No': -0.008434802, 'No': -4.8085237, ' Yes': -9.405946, ' The': -10.111229, ' Not': -10.2760315}
{' No': -0.04233951, ' Yes': -3.592762, 'No': -4.3358173, ' The': -7.990174, 'Yes': -8.626976}
{' No': -0.015445491, 'No': -4.355659, ' Yes': -6.1511397, ' The': -8.677842, ' Not': -9.741757}
{' No': -0.025829336, 'No': -4.092136, ' Yes': -4.795303, ' The': -8.406742, '\n': -9.284866}
{' No': -0.03020772, ' Yes': -3.9802198, 'No': -4.571908, ' The': -7.788731, 'Yes': -9.101734}
{' Yes': -0.39178684, ' No': -1.1483252, 'No': -5.883816, 'Yes': -5.9240513, ' The': -7.1498127}
{' No': -0.27521008, ' Yes': -1.4779727, 'No': -4.6887617, 'Yes': -6.538848, ' The': -6.9571466}
{' Yes': -0.6299269, ' No': -0.77451354, 'No': -5.6384068, 'Yes': -6.082548, ' The': -8.012306}
{' No': -0.34791934, ' Yes': -1.2515028, 'No': -5.272281, 'Yes': -6.531934, ' The': -7.339322}
{' No': -0.011131644, 'No': -4.561283, ' Yes': -7.6180305, ' The': -10.391333, '\n': -10.543261}
{' No': -0.026219152, ' Yes': -4.281445, 'No': -4.4679627, ' The': -8.699841, ' Not': -8.713072}
{' No': -0.15777966, ' Yes': -2.0255756, 'No': -4.3746376, 'Yes': -6.8979263, ' The': -8.230322}
{' No': -0.020205028, 'No': -4.0482965, ' Yes': -6.221355, ' The': -8.311674, ' "': -9.30958}
{' No': -0.01589942, 'No': -4.715965, ' Yes': -5.022571, ' The': -9.471858, ' Not': -10.030596}
{' No': -0.020295411, 'No': -4.0366564, ' Yes': -6.1111135, ' The': -9.70489, ' ': -10.038314}
{' No': -0.016561007, 'No': -4.1362166, ' The': -8.551678, '\n': -9.577844, ' Yes': -9.903233}
{' No': -0.014747984, 'No': -4.245186, ' The': -9.036829, '\n': -9.867228, ' ': -10.09967}
{' No': -0.44915566, ' Yes': -1.063074, 'No': -4.4175677, 'Yes': -5.6240973, ' Not': -8.277464}
{' No': -0.016455932, 'No': -4.695499, ' Yes': -4.9822683, ' The': -8.973935, ' Not': -9.4644575}
{' No': -0.013544773, 'No': -4.3260407, ' The': -9.357633, ' Yes': -9.899773, '\n': -10.5404825}
{' No': -0.0145460265, 'No': -4.2495365, '\n': -9.86874, ' The': -10.036783, ' ': -10.513683}
{' No': -0.36347705, ' Yes': -1.2226175, 'No': -4.9119062, 'Yes': -6.556255, ' The': -7.108871}
{' No': -0.016529255, 'No': -4.146446, ' Yes': -7.837488, ' The': -9.379908, ' ': -10.399174}
{' No': -0.027443534, 'No': -4.0398355, ' Yes': -4.739104, ' Not': -8.191967, ' The': -8.323881}
{' No': -0.026479902, 'No': -3.894596, ' Yes': -5.2364616, ' The': -9.088764, '\n': -9.110025}
{' No': -0.19043423, ' Yes': -1.8641899, 'No': -4.2100186, 'Yes': -6.7157426, '\n': -6.956528}
{' No': -0.024198394, 'No': -4.318384, ' Yes': -4.624532, ' The': -8.236643, '\n': -8.439467}
{' No': -0.020293646, 'No': -4.598209, ' Yes': -4.650823, ' The': -8.932504, ' Unfortunately': -9.108987}
{' No': -0.17834693, ' Yes': -1.8660758, 'No': -4.962391, 'Yes': -7.1533318, ' The': -7.569244}
{' No': -0.014616306, ' Yes': -4.8674297, 'No': -5.034998, ' The': -9.096594, ' Not': -9.256037}
{' Yes': -0.019962806, ' No': -4.1982446, 'Yes': -5.525206, ' The': -8.095547, 'No': -8.858866}
{' No': -0.043417595, ' Yes': -3.578322, 'No': -4.3203244, ' The': -7.423651, 'Yes': -8.549828}
{' No': -0.018140452, 'No': -4.4473968, ' Yes': -5.278505, ' The': -7.229188, ' "': -8.967277}
{' No': -0.06257045, ' Yes': -3.1564348, 'No': -4.174515, ' Not': -6.880638, ' The': -6.914171}
{' No': -0.17860486, ' Yes': -1.9048431, 'No': -4.592633, ' The': -6.028347, 'Yes': -6.883179}
{' No': -0.55502635, ' Yes': -0.8907349, 'No': -4.636508, 'Yes': -5.6702104, ' The': -6.5810213}
{' Yes': -0.07764036, ' No': -2.6829088, 'Yes': -5.459892, 'No': -7.1025043, ' The': -7.223207}
{' No': -0.04330026, ' Yes': -3.5988288, 'No': -4.2532077, 'Yes': -8.530444, ' The': -8.531602}
{' No': -0.1152042, ' Yes': -2.336838, 'No': -4.6098804, ' The': -7.0798836, 'Yes': -7.3114376}
{' No': -0.057546083, ' Yes': -3.1140168, 'No': -4.6626577, ' The': -6.6818137, 'Yes': -8.48722}
{' No': -0.04869853, ' Yes': -3.3668687, 'No': -4.4879646, ' The': -6.955511, ' Not': -8.346905}
{' No': -0.01653489, 'No': -4.5164356, ' Yes': -5.273445, ' The': -9.298962, '\n': -9.454658}
{' No': -0.017380347, 'No': -4.374169, ' Yes': -5.577793, ' Not': -7.90951, ' The': -8.146343}
{' No': -0.2662784, ' Yes': -1.5004493, 'No': -4.8464503, 'Yes': -6.3731885, ' The': -7.229848}
{' No': -0.03568145, 'No': -3.9460435, ' Yes': -4.206797, ' The': -7.9477468, 'Yes': -8.580954}
{' No': -0.011897272, 'No': -4.6551237, ' Yes': -6.4149776, ' The': -8.478379, ' Not': -8.531886}
{' No': -0.022148263, ' Yes': -4.487509, 'No': -4.602268, ' The': -8.1791935, ' Not': -9.083633}
{' No': -0.05274187, ' Yes': -3.173599, 'No': -4.7861743, ' The': -7.7071295, ' Not': -8.223603}
{' No': -0.026203914, 'No': -3.998036, ' Yes': -4.982413, ' The': -8.168346, ' Not': -8.635252}
{' No': -0.019598521, 'No': -4.058703, ' Yes': -6.342451, '\n': -9.035604, ' The': -9.22709}
{' No': -0.1479599, ' Yes': -2.127786, 'No': -4.1734705, 'Yes': -6.824287, ' The': -7.0232444}
{' Yes': -0.3972651, ' No': -1.1396224, 'No': -5.5633626, 'Yes': -5.7563, ' The': -7.5881996}
{' No': -0.08276612, ' Yes': -2.6685777, 'No': -4.700196, 'Yes': -8.048658, ' The': -8.29908}
{' No': -0.012789595, 'No': -4.407639, ' Yes': -8.351614, '\n': -9.18507, ' The': -9.543108}
{' No': -0.033389576, 'No': -3.4376445, ' Yes': -8.150416, '\n': -8.519933, ' ': -9.539056}
{' Yes': -0.03314488, ' No': -3.6438186, 'Yes': -5.2778955, ' The': -7.6719995, 'No': -7.959088}
{' Yes': -0.33998176, ' No': -1.2776897, 'Yes': -5.4325056, 'No': -5.49001, ' The': -7.6560674}
{' No': -0.012109917, 'No': -4.6134624, ' Yes': -6.3757515, ' The': -8.570593, '\n': -9.582924}
{' No': -0.013009194, 'No': -4.3879824, ' Yes': -8.419694, ' The': -9.423191, ' ': -9.700488}
{' No': -0.021582725, 'No': -3.8900557, ' Yes': -7.2939987, ' The': -9.508928, '\n': -9.836182}
{' No': -0.18331534, ' Yes': -1.8915901, 'No': -4.2873707, 'Yes': -6.683498, ' The': -7.2873607}
{' No': -0.24721825, ' Yes': -1.598962, 'No': -4.3863077, 'Yes': -6.2469335, '\n': -6.630791}
{' Yes': -0.39647985, ' No': -1.1500388, 'Yes': -5.2574472, 'No': -5.5475607, ' The': -6.825923}
{' No': -0.24701253, ' Yes': -1.5884088, 'No': -4.4031553, 'Yes': -6.5365076, ' Not': -7.716449}
{' Yes': -0.67602694, ' No': -0.7328507, 'No': -5.1064634, 'Yes': -5.835305, ' The': -7.117582}
{' No': -0.013534198, ' Yes': -4.981422, 'No': -5.071319, ' The': -8.557349, 'Yes': -10.615842}
{' No': -0.06444613, ' Yes': -2.9076524, 'No': -4.957892, ' The': -7.909441, 'Yes': -8.5275135}
{' Yes': -0.046347175, ' No': -3.2731519, 'Yes': -5.047812, 'No': -7.457165, ' The': -8.433458}
{' No': -0.2709896, ' Yes': -1.4900429, 'No': -4.601798, 'Yes': -6.676383, ' The': -7.9637704}
{' No': -0.021713616, 'No': -3.8633826, ' The': -8.3347645, ' Yes': -9.446096, '\n': -9.84295}
{' No': -0.0127084, 'No': -4.4155116, ' Yes': -7.9995704, ' The': -9.056219, '\n': -10.620393}
{' No': -0.012138756, 'No': -4.504637, ' Yes': -7.3041, ' Not': -9.248541, ' The': -9.376884}
{' No': -0.027704792, 'No': -3.9454865, ' Yes': -4.871081, ' Not': -9.199361, 'Yes': -9.386855}
{' No': -0.024780374, 'No': -3.9848404, ' Yes': -5.317127, ' The': -7.7637005, '\n': -8.621719}
{' No': -0.026013091, 'No': -3.7922084, ' Yes': -5.94556, ' The': -8.504041, ' Not': -8.764945}
{' No': -0.018003896, 'No': -4.1891994, ' Yes': -6.2183156, '\n': -8.236288, ' The': -9.019829}
{' No': -0.015733846, 'No': -4.408922, ' Yes': -5.785459, ' The': -8.596493, '\n': -10.154933}
{' Yes': -0.017460832, ' No': -4.4214315, 'Yes': -5.3000174, 'No': -9.021322, ' The': -9.421292}
{' No': -0.13923925, ' Yes': -2.1905775, 'No': -4.149712, 'Yes': -6.909207, ' The': -7.4484906}
{' No': -0.29496783, ' Yes': -1.4095842, 'No': -4.6713347, 'Yes': -6.5935097, ' The': -8.326725}
{' No': -0.16719346, ' Yes': -1.9801892, 'No': -4.250781, 'Yes': -6.8403993, ' The': -8.110782}
{' No': -0.010252961, ' Yes': -4.700431, 'No': -7.0050917, '\n': -9.630503, ' The': -9.831853}
{' No': -0.076661065, ' Yes': -2.6248446, 'No': -7.176177, '\n': -8.084721, ' ': -9.142718}
{' Yes': -0.26985368, ' No': -1.4473457, 'Yes': -7.504293, 'No': -8.089676, '\n': -8.498308}
{' No': -0.0036779519, ' Yes': -6.1751895, 'No': -6.5800223, '\n': -9.551109, ' ': -9.622517}
{' No': -0.034690533, ' Yes': -3.4467578, 'No': -6.72041, '\n': -7.5562725, ' The': -8.552879}
{' No': -0.1343481, ' Yes': -2.0866854, 'No': -6.8256683, '\n': -8.837617, 'Yes': -9.017636}
{' No': -0.00589062, ' Yes': -5.6418824, 'No': -6.2177987, '\n': -8.604606, ' ': -9.269768}
{' No': -0.47326317, ' Yes': -0.9824585, 'No': -6.92947, '\n': -7.2323565, 'Yes': -7.772926}
{' Yes': -0.4456059, ' No': -1.0255772, 'Yes': -7.79775, 'No': -8.159595, ' yes': -9.452027}
{' No': -0.0017301039, 'No': -6.509136, ' Yes': -8.900215, ' ': -10.20516, '\n': -10.288599}
{' No': -0.17638007, ' Yes': -1.8291321, 'No': -7.2260184, 'Yes': -8.972958, '\n': -9.240916}
{' No': -0.09100304, ' Yes': -2.4567275, 'No': -6.9695926, '\n': -8.958089, 'Yes': -9.688422}
{' No': -0.055117, ' Yes': -2.9502282, 'No': -6.971468, '\n': -8.995323, ' ': -9.133587}
{' No': -0.054222427, ' Yes': -2.9905455, 'No': -6.2004814, '\n': -8.290155, ' ': -9.550838}
{' No': -0.54677147, ' Yes': -0.87545323, '\n': -6.065823, 'No': -6.9630136, 'Yes': -7.781693}
{' No': -0.24332805, ' Yes': -1.5396193, 'No': -6.9790797, 'Yes': -8.646617, ' The': -8.734677}
{' Yes': -0.3224176, ' No': -1.2931075, 'Yes': -7.6016455, 'No': -8.308726, ' yes': -8.638265}
{' No': -0.04127029, ' Yes': -3.2538211, 'No': -6.7152963, '\n': -8.179702, ' ': -9.102809}
{' No': -0.014618784, ' Yes': -4.3357916, 'No': -6.7640862, '\n': -8.947918, ' ': -10.063724}
{' No': -0.03832388, ' Yes': -3.342172, 'No': -6.232539, '\n': -9.350139, ' ': -9.721789}
{' No': -0.006191231, ' Yes': -5.3462577, 'No': -6.6781006, '\n': -9.671307, ' ': -10.047763}
{' Yes': -0.2422679, ' No': -1.543278, 'Yes': -7.6992016, ' yes': -7.7180977, '\n': -8.715418}
{' No': -0.005147069, 'No': -5.2940736, ' ': -10.076793, '\n': -10.17419, ' no': -11.066734}
{' No': -0.0025493389, 'No': -6.021533, '\n': -10.071063, ' ': -10.354957, ' Yes': -10.926323}
{' No': -0.04753939, ' Yes': -3.0964837, 'No': -6.987643, ' The': -9.393797, '\n': -9.68708}
{' No': -0.002570492, 'No': -6.2180395, ' Yes': -7.7650456, '\n': -9.859059, ' ': -10.262092}
{' Yes': -0.083243564, ' No': -2.5403051, 'Yes': -7.4164343, ' yes': -9.119804, ' The': -9.220147}
{' No': -0.041445658, ' Yes': -3.238713, 'No': -6.7482815, ' The': -9.794305, '\n': -9.826636}
{' No': -0.39474437, ' Yes': -1.123487, 'No': -7.574218, 'Yes': -8.52686, '\n': -9.002526}
{' No': -0.0029523617, ' Yes': -6.330419, 'No': -6.8224444, ' ': -10.63232, '\n': -10.873785}
{' No': -0.38851592, ' Yes': -1.1382278, 'No': -7.2522798, '\n': -8.272984, 'Yes': -8.36521}
{' No': -0.2815908, ' Yes': -1.4142584, 'No': -6.7620745, '\n': -7.671702, 'Yes': -8.035676}
{' Yes': -0.0043172645, ' No': -5.626923, 'Yes': -7.670571, ' yes': -8.879405, '\n': -10.201396}
{' No': -0.0017392406, ' Yes': -7.0817657, 'No': -7.1579986, '\n': -9.817873, ' ': -10.084956}
{' Yes': -0.18257351, ' No': -1.8056165, 'Yes': -7.15056, '\n': -7.434532, 'No': -7.833839}
{' No': -0.0031066102, 'No': -6.011977, ' Yes': -7.7914057, ' ': -9.3233385, '\n': -9.426927}
{' No': -0.09999255, ' Yes': -2.3803709, 'No': -6.838928, '\n': -7.3833785, ' ': -8.032191}
{' No': -0.4304203, ' Yes': -1.0582049, 'No': -6.946486, '\n': -7.6300225, 'Yes': -7.995436}
{' No': -0.0009799729, 'No': -7.1960497, ' Yes': -8.72523, ' ': -9.972415, '\n': -11.673988}
{' No': -0.0022149344, 'No': -6.537876, ' Yes': -7.4027915, '\n': -9.8176365, ' ': -9.824612}
{' Yes': -0.5460887, ' No': -0.86919916, 'No': -7.47474, 'Yes': -7.883979, ' yes': -8.658715}
{' No': -0.011759939, ' Yes': -4.783309, 'No': -5.78945, ' The': -9.342635, ' ': -9.611745}
{' No': -0.0030543555, 'No': -6.046061, ' Yes': -7.873293, ' Not': -8.575245, ' The': -10.350853}
{' No': -0.0022229964, 'No': -6.229549, ' Yes': -8.9389, '\n': -9.942309, ' ': -9.989678}
{' No': -0.021312708, ' Yes': -3.905462, 'No': -7.096853, ' ': -10.607527, '\n': -10.624642}
{' No': -0.005062718, ' Yes': -5.454743, 'No': -7.339697, '\n': -9.914864, ' ': -10.236065}
{' No': -0.051254004, ' Yes': -3.0418868, 'No': -6.647868, '\n': -7.7360334, ' The': -8.616303}
{' No': -0.009602869, ' Yes': -5.0021353, 'No': -5.9982557, ' The': -9.1346, '\n': -9.38648}
{' No': -0.0320806, ' Yes': -3.5295055, 'No': -6.315508, ' ': -8.908979, '\n': -8.987078}
{' No': -0.108372085, ' Yes': -2.2895834, 'No': -7.0173836, '\n': -8.811251, ' ': -9.121584}
{' No': -0.0067453105, ' Yes': -5.223731, 'No': -6.8505616, ' The': -9.470599, ' ': -9.5476465}
{' No': -0.037224606, ' Yes': -3.3546014, 'No': -6.7231903, ' The': -9.136765, ' ': -9.232361}
{' No': -0.41408825, ' Yes': -1.0873137, 'No': -6.8030686, 'Yes': -7.879605, '\n': -8.478827}
{' No': -0.0145120965, ' Yes': -4.357356, 'No': -6.581179, '\n': -9.336702, ' ': -9.688306}
{' No': -0.6310396, ' Yes': -0.7623492, 'No': -7.752179, 'Yes': -8.080287, ' yes': -8.559495}
{' No': -0.10346151, ' Yes': -2.337617, 'No': -6.9562693, '\n': -8.018689, ' ': -8.453435}
{' No': -0.0048141927, 'No': -5.965139, ' Yes': -6.312452, '\n': -8.7937975, ' ': -9.022126}
{' No': -0.002205255, 'No': -6.5730214, ' Yes': -7.418333, '\n': -9.3125725, ' ': -9.957315}
{' Yes': -0.0045377645, ' No': -5.5501194, 'Yes': -7.9087634, ' yes': -8.951898, ' The': -9.233309}
{' Yes': -0.32871935, ' No': -1.277427, 'Yes': -7.8423696, 'No': -8.200913, ' yes': -8.347144}
{' Yes': -0.030161215, ' No': -3.551033, 'Yes': -7.222426, ' yes': -9.157549, '\n': -9.379847}
{' No': -0.016883265, ' Yes': -4.1558948, 'No': -7.161139, '\n': -8.638719, ' ': -9.925103}
{' Yes': -0.19270846, ' No': -1.751182, ' yes': -7.420499, 'Yes': -7.9323626, ' The': -8.449977}
{' Yes': -0.08123159, ' No': -2.5780158, ' yes': -7.130338, 'Yes': -7.6324115, ' The': -7.742776}
{' No': -0.045188926, ' Yes': -3.1559143, 'No': -7.110866, '\n': -7.8084598, ' ': -8.967014}
{' No': -0.011564431, ' Yes': -4.662344, 'No': -6.2945385, '\n': -9.385809, ' ': -9.990015}
{' No': -0.07907331, ' Yes': -2.600268, 'No': -6.6583652, '\n': -8.950472, ' The': -9.320114}
{' No': -0.0072815055, ' Yes': -5.250821, 'No': -6.4651837, '\n': -8.506295, ' ': -9.162049}
{' No': -0.0329353, ' Yes': -3.5086355, 'No': -6.177432, '\n': -8.911596, ' ': -9.532025}
{' No': -0.02610498, ' Yes': -3.708112, 'No': -6.9570227, '\n': -9.323899, ' no': -9.385539}
{' No': -0.0026054522, 'No': -6.359606, ' Yes': -7.363878, ' The': -9.312988, ' ': -9.691424}
{' No': -0.0015852643, 'No': -6.67302, ' Yes': -8.631346, ' ': -9.972988, '\n': -10.406843}
{' No': -0.3335706, ' Yes': -1.26911, 'No': -6.7775936, '\n': -7.3114905, 'Yes': -7.91737}
{' No': -0.05048768, ' Yes': -3.059185, 'No': -6.5256424, '\n': -7.8707957, ' ': -9.108955}
{' No': -0.015273231, ' Yes': -4.273391, 'No': -6.941087, ' ': -9.440513, '\n': -9.684556}
{' No': -0.002209555, 'No': -6.6671834, ' Yes': -7.1260495, ' ': -9.858209, '\n': -10.275349}
{' No': -0.21608415, ' Yes': -1.6445948, 'No': -7.3068314, '\n': -8.730972, 'Yes': -8.935427}
{' No': -0.062317748, ' Yes': -2.8381467, 'No': -6.5615582, '\n': -8.404594, ' ': -9.447429}
{' No': -0.099916935, ' Yes': -2.392916, 'No': -6.184414, ' The': -7.1823444, '\n': -7.931028}
{' No': -0.025907995, ' Yes': -3.7524078, 'No': -6.408539, '\n': -8.56912, ' The': -9.101361}
{' Yes': -0.034315784, ' No': -3.4196877, 'Yes': -7.540793, ' yes': -8.691936, ' The': -9.25396}
{' No': -0.010587656, ' Yes': -4.675327, 'No': -7.0729136, '\n': -8.955337, ' ': -9.314443}
{' No': -0.23256461, ' Yes': -1.5805069, 'No': -6.9817133, '\n': -8.635622, 'Yes': -8.755678}
{' No': -0.13294011, ' Yes': -2.0995176, 'No': -6.4525976, 'Yes': -8.769506, '\n': -9.436093}
{' No': -0.0031862545, ' Yes': -6.4820566, 'No': -6.48597, ' ': -9.684855, '\n': -10.589964}
{' No': -0.024608275, ' Yes': -3.8038914, 'No': -6.384616, ' The': -9.235364, '\n': -9.421077}
{' No': -0.010129159, ' Yes': -4.7222624, 'No': -6.965703, '\n': -9.166266, ' The': -10.064517}
{' No': -0.008661619, ' Yes': -4.922562, 'No': -6.785773, ' The': -9.61697, '\n': -9.750338}
{' No': -0.122423455, ' Yes': -2.1741717, 'No': -6.8636727, '\n': -8.69746, 'Yes': -9.048676}
{' No': -0.006650443, ' Yes': -5.2214365, 'No': -6.988736, '\n': -9.213237, ' The': -9.2587385}
{' Yes': -0.019888807, ' No': -3.971337, 'Yes': -7.7734494, ' yes': -8.656615, '\n': -9.256278}
{' No': -0.015228508, ' Yes': -4.29554, 'No': -6.636717, '\n': -9.915991, ' ': -9.925859}
{' No': -0.010270187, ' Yes': -4.7672205, 'No': -6.5980787, '\n': -8.751216, ' ': -9.009485}
{' No': -0.20012645, ' Yes': -1.7144469, 'No': -7.0087614, 'Yes': -8.957599, '\n': -9.190291}
{' No': -0.35309425, ' Yes': -1.2216647, 'No': -6.7182426, '\n': -7.548235, ' The': -7.782202}
{' No': -0.031232864, ' Yes': -3.5378835, 'No': -6.880424, '\n': -7.844183, ' ': -8.990505}
{' No': -0.01133014, ' Yes': -4.721831, 'No': -6.1940417, '\n': -8.656891, ' ': -9.578426}
{' No': -0.020151507, ' Yes': -3.97884, 'No': -6.8755074, '\n': -9.206593, ' no': -10.215269}
{' No': -0.0044980077, ' Yes': -5.7897625, 'No': -6.802273, '\n': -8.80826, ' ': -9.524124}
{' No': -0.005135808, ' Yes': -5.7899027, 'No': -6.3585196, '\n': -8.792819, ' ': -9.5715475}
{' No': -0.003839853, ' Yes': -5.886322, 'No': -7.105865, '\n': -9.003956, ' ': -10.136612}
{' No': -0.0041592354, 'No': -5.824277, ' Yes': -7.0149145, '\n': -9.166011, ' ': -9.692252}
{' No': -0.044565704, ' Yes': -3.1708987, 'No': -6.679876, '\n': -8.825039, ' ': -9.197174}
{' Yes': -0.13968295, ' No': -2.0524368, 'Yes': -6.8248177, '\n': -8.2052965, 'No': -8.361048}
{' Yes': -0.68911195, ' No': -0.6991846, 'No': -7.7395606, 'Yes': -8.135008, '\n': -9.398639}
{' No': -0.66976225, ' Yes': -0.72009724, 'No': -7.411921, 'Yes': -7.826148, '\n': -8.395826}
{' No': -0.022868333, ' Yes': -3.8905363, 'No': -6.2654977, '\n': -9.184746, ' "': -10.107287}
{' No': -0.004780652, ' Yes': -5.763968, 'No': -6.4978456, ' ': -10.417541, ' The': -10.452504}
{' No': -0.014211519, ' Yes': -4.3432117, 'No': -7.000568, '\n': -9.796878, ' ': -9.860871}
{' No': -0.12971064, ' Yes': -2.1149497, 'No': -7.2219043, 'Yes': -9.194083, ' ': -9.767562}
{' No': -0.007721212, ' Yes': -5.106083, 'No': -6.5374584, '\n': -9.870567, ' The': -10.0214405}
{' No': -0.0023797622, 'No': -6.640086, ' Yes': -6.9860296, '\n': -9.9436035, ' no': -10.048793}
{' No': -0.2798938, ' Yes': -1.4142207, 'No': -8.106504, 'Yes': -8.707587, ' yes': -8.823578}
{' No': -0.29208657, ' Yes': -1.378047, 'No': -7.4800324, '\n': -8.379497, 'Yes': -8.475761}
{' No': -0.5396469, ' Yes': -0.88137895, 'No': -6.854494, '\n': -7.417357, 'Yes': -7.604834}
{' No': -0.02002775, ' Yes': -4.0130334, 'No': -6.6875825, '\n': -8.436558, ' The': -9.149033}
{' No': -0.0119897425, ' Yes': -4.545887, 'No': -6.8919578, '\n': -8.900286, ' ': -9.717647}
{' No': -0.0036469651, ' Yes': -6.1539474, 'No': -6.605913, '\n': -9.642557, ' ': -10.233046}
{' No': -0.006819544, ' Yes': -5.4538846, 'No': -6.1202035, '\n': -8.757218, ' ': -9.389641}
{' No': -0.0010059284, 'No': -7.260458, ' Yes': -8.471069, '\n': -10.243523, ' ': -10.612072}
{' No': -0.01934435, ' Yes': -4.09037, 'No': -6.187095, '\n': -9.163443, ' ': -9.26122}
{' No': -0.0032032365, ' Yes': -6.1791096, 'No': -6.9670925, '\n': -9.715487, ' ': -9.763466}
{' No': -0.025182068, ' Yes': -3.7293541, 'No': -7.363, '\n': -10.018672, ' ': -10.048062}
{' No': -0.019733528, ' Yes': -3.9951837, 'No': -7.109997, ' The': -9.308382, '\n': -9.736172}
{' Yes': -0.32074884, ' No': -1.2970061, 'Yes': -8.083605, ' yes': -8.428664, 'No': -8.605001}
{' No': -0.034555215, ' Yes': -3.4329371, 'No': -6.7525115, '\n': -8.376477, ' ': -9.579204}
{' Yes': -0.14972971, ' No': -1.977212, 'Yes': -8.001442, ' yes': -9.065263, 'No': -9.7997465}
{' No': -0.18590216, ' Yes': -1.7816358, 'No': -7.4985375, '\n': -7.888651, 'Yes': -8.977087}
{' No': -0.0025399579, ' Yes': -6.7144938, 'No': -6.741793, '\n': -9.939023, ' ': -9.970336}
{' No': -0.008580999, ' Yes': -4.892715, 'No': -6.9940047, ' ': -10.15945, '\n': -10.315932}
{' No': -0.11530854, ' Yes': -2.231159, 'No': -6.770044, 'Yes': -9.01291, ' ': -9.335579}
{' No': -0.0034532177, 'No': -6.211737, ' Yes': -7.0683155, '\n': -8.292401, ' ': -8.584159}
{' No': -0.06966638, ' Yes': -2.717703, 'No': -6.895811, '\n': -9.365715, ' ': -9.648472}
{' No': -0.02044682, ' Yes': -4.00262, 'No': -6.34337, '\n': -9.401168, ' ': -9.631689}
