{' No': -0.07183919, ' Yes': -2.7906997, 'No': -4.9420385, 'Yes': -8.206423, '\n': -8.27543}
{' No': -0.10470402, ' Yes': -2.4265728, 'No': -4.667965, ' Not': -7.4783435, 'Yes': -7.6604824}
{' No': -0.27691916, ' Yes': -1.4392136, 'No': -5.6241574, 'Yes': -7.229098, ' The': -8.539644}
{' No': -0.25658146, ' Yes': -1.5271522, 'No': -4.9727507, ' The': -6.8637686, 'Yes': -7.11243}
{' No': -0.30450633, ' Yes': -1.361103, 'No': -5.408678, ' The': -7.38302, 'Yes': -7.3925643}
{' No': -0.010062626, 'No': -4.6531825, ' Yes': -7.9450235, ' ': -10.213105, ' The': -10.357858}
{' No': -0.007908682, 'No': -5.041211, ' Yes': -6.711432, ' The': -9.776118, '\n': -9.865867}
{' No': -0.01608923, 'No': -4.7668424, ' Yes': -4.9322343, ' Not': -9.483611, ' The': -10.104738}
{' No': -0.04743376, ' Yes': -3.504713, 'No': -4.1771655, ' Not': -7.8836646, 'Yes': -8.231597}
{' No': -0.01004565, 'No': -5.02473, ' Yes': -5.758147, ' Not': -9.169864, ' The': -9.408094}
{' No': -0.07117394, ' Yes': -2.7541687, 'No': -5.541299, ' The': -7.206683, 'Yes': -8.742728}
{' No': -0.042427253, ' Yes': -3.591261, 'No': -4.3072567, ' The': -8.644625, 'Yes': -8.720989}
{' No': -0.035948947, ' Yes': -3.8379927, 'No': -4.3215075, 'Yes': -8.792264, ' The': -8.844771}
{' Yes': -0.0548408, ' No': -2.9973512, 'Yes': -5.939417, 'No': -8.150568, ' The': -8.207201}
{' Yes': -0.008085447, ' No': -5.4546776, 'Yes': -5.659155, ' The': -9.084757, ' yes': -9.603685}
{' No': -0.6329257, ' Yes': -0.7682634, 'No': -5.935063, 'Yes': -6.3642063, ' The': -7.8240285}
{' No': -0.004420473, 'No': -5.808568, ' Yes': -6.6302004, ' The': -10.54127, ' Not': -11.126986}
{' No': -0.06823726, ' Yes': -2.8760774, 'No': -4.775724, ' The': -7.7424097, ' Not': -8.347082}
{' Yes': -0.4751065, ' No': -0.99991536, 'No': -5.39219, 'Yes': -5.563245, ' The': -6.6622343}
{' No': -0.021840261, ' Yes': -4.317939, 'No': -4.838294, ' The': -9.176953, ' Not': -9.718633}
{' No': -0.039440118, ' Yes': -3.7858274, 'No': -4.1720085, 'Yes': -8.716993, ' The': -8.793178}
{' No': -0.018030113, 'No': -4.613945, ' Yes': -4.886139, ' The': -8.612098, ' Not': -9.792063}
{' No': -0.012042888, 'No': -5.0971584, ' Yes': -5.206465, ' The': -8.577446, '\n': -9.67399}
{' Yes': -0.05444943, ' No': -2.9941905, 'Yes': -6.284437, ' The': -7.566841, 'No': -8.420696}
{' No': -0.39006907, ' Yes': -1.1564304, 'No': -5.165408, 'Yes': -6.6907687, ' The': -7.057801}
{' Yes': -0.0042260955, 'Yes': -5.546842, ' No': -8.515813, ' yes': -9.906985, '\n': -10.463727}
{' Yes': -0.011831889, ' No': -4.850098, 'Yes': -5.585894, 'No': -9.50802, ' yes': -9.733187}
{' Yes': -0.07493455, ' No': -2.6829476, 'Yes': -5.8529477, ' The': -7.813708, 'No': -7.859658}
{' No': -0.09736808, ' Yes': -2.445299, 'No': -5.3042846, ' The': -7.548909, 'Yes': -7.934017}
{' No': -0.0072432007, 'No': -5.367587, ' Yes': -6.018651, ' Not': -10.175797, ' ': -10.652034}
{' No': -0.004774842, 'No': -5.613946, ' Yes': -6.9954567, ' ': -9.806468, '\n': -9.861018}
{' Yes': -0.30505785, ' No': -1.3655858, 'Yes': -5.462488, 'No': -5.930029, ' The': -7.6177177}
{' No': -0.19164631, ' Yes': -1.8380239, 'No': -4.3556647, 'Yes': -6.683942, ' The': -7.244794}
{' No': -0.012071608, 'No': -4.51721, ' Yes': -7.162651, ' The': -9.04668, '\n': -9.840316}
{' No': -0.015586418, 'No': -4.2055273, ' The': -8.2460165, '\n': -9.325379, ' Yes': -9.779443}
{' No': -0.040625166, ' Yes': -3.435822, 'No': -4.9718785, '\n': -8.393984, 'Yes': -8.623404}
{' No': -0.01311143, ' Yes': -4.800011, 'No': -5.450348, '\n': -8.537927, ' The': -8.76935}
{' Yes': -0.19464862, ' No': -1.7650983, 'Yes': -5.9336867, 'No': -6.5956545, ' The': -6.748193}
{' Yes': -0.38480714, ' No': -1.1561255, 'No': -6.1956983, 'Yes': -6.313899, ' The': -7.5397406}
{' No': -0.21843465, ' Yes': -1.657243, 'No': -5.545177, 'Yes': -7.2437124, ' The': -7.4084725}
{' Yes': -0.3649855, ' No': -1.2004385, 'Yes': -6.07257, 'No': -6.46209, ' The': -7.9068875}
{' Yes': -0.0035948006, ' No': -6.265035, 'Yes': -6.637731, '\n': -8.908915, ' yes': -8.95701}
{' Yes': -0.29646537, ' No': -1.3819242, 'Yes': -5.860035, 'No': -6.1090164, ' The': -8.691372}
{' No': -0.013667005, 'No': -4.848136, ' Yes': -5.244935, '\n': -8.758405, ' The': -8.995023}
{' No': -0.018494371, ' Yes': -4.450768, 'No': -5.088618, ' The': -8.202332, ' ': -9.932087}
{' No': -0.07642685, ' Yes': -2.7691567, 'No': -4.6409426, ' The': -7.9124575, 'Yes': -7.99755}
{' No': -0.24437669, ' Yes': -1.5663713, 'No': -5.0553317, 'Yes': -6.895669, ' The': -7.7953963}
{' No': -0.06441192, ' Yes': -2.8722408, 'No': -5.2372537, ' The': -8.629776, 'Yes': -8.759108}
{' No': -0.029713131, ' Yes': -3.8399563, 'No': -4.9265237, ' The': -8.154541, 'Yes': -9.375191}
{' No': -0.0655308, ' Yes': -3.0439088, 'No': -4.202009, 'Yes': -7.838941, '\n': -8.481419}
{' Yes': -0.047545202, ' No': -3.1552129, 'Yes': -5.7052903, 'No': -8.135573, ' The': -9.475791}
{' No': -0.19510493, ' Yes': -1.7535613, 'No': -5.8096714, 'Yes': -7.7671123, ' The': -7.9398694}
{' No': -0.13579062, ' Yes': -2.1526268, 'No': -4.613856, 'Yes': -7.3872476, ' The': -9.122508}
{' No': -0.008643281, 'No': -5.015218, ' Yes': -6.3356595, ' The': -9.205413, ' ': -10.424245}
{' No': -0.00807295, 'No': -4.949832, ' Yes': -7.287869, ' The': -8.715758, ' ': -10.413377}
{' No': -0.040641617, 'No': -3.7721555, ' Yes': -4.202125, ' Not': -7.082282, ' The': -7.475074}
{' No': -0.017168097, 'No': -4.176298, ' Yes': -6.5359015, ' The': -9.779783, ' ': -9.805927}
{' No': -0.06954394, ' Yes': -2.8311253, 'No': -4.903259, 'Yes': -8.155788, ' The': -8.454952}
{' Yes': -0.13382174, ' No': -2.1112807, 'Yes': -5.9488235, 'No': -7.056511, ' The': -7.9321156}
{' Yes': -0.009185008, ' No': -5.307084, 'Yes': -5.574885, ' The': -8.700522, '\n': -9.533824}
{' Yes': -0.06717895, ' No': -2.8025723, 'Yes': -5.610622, 'No': -7.7726474, ' The': -9.030316}
{' Yes': -0.20165673, ' No': -1.7138638, 'Yes': -6.55637, 'No': -7.2917905, ' The': -8.824055}
{' No': -0.0709156, ' Yes': -2.7662451, 'No': -5.339924, ' The': -8.198063, 'Yes': -8.635616}
{' Yes': -0.033402026, ' No': -3.557461, 'Yes': -5.625065, ' The': -8.250422, 'No': -8.360292}
{' Yes': -0.03754413, ' No': -3.4421022, 'Yes': -5.4717517, 'No': -8.397893, ' The': -8.468234}
{' Yes': -0.3081851, ' No': -1.3781085, 'Yes': -5.0724974, 'No': -5.2472205, ' The': -7.172733}
{' No': -0.13671397, ' Yes': -2.127139, 'No': -4.960828, 'Yes': -7.4762826, ' The': -7.5910993}
{' No': -0.60922045, ' Yes': -0.80918884, 'No': -4.9803486, 'Yes': -5.738567, ' The': -7.8070345}
{' No': -0.40066534, ' Yes': -1.1470395, 'No': -4.6963806, 'Yes': -5.99148, ' The': -7.6577506}
{' No': -0.107086174, ' Yes': -2.4106789, 'No': -4.719742, '\n': -6.6549067, 'Yes': -7.5189013}
{' No': -0.01116136, ' Yes': -5.039041, 'No': -5.457629, ' The': -8.86634, ' Not': -9.143716}
{' Yes': -0.24156606, ' No': -1.6024401, 'Yes': -4.833317, 'No': -5.4580536, '\n': -7.778532}
{' No': -0.57013124, ' Yes': -0.8460807, 'No': -5.876907, 'Yes': -6.684053, ' The': -7.461036}
{' No': -0.1493463, ' Yes': -2.058402, 'No': -4.6819253, ' The': -7.184933, 'Yes': -7.20472}
{' No': -0.28315634, ' Yes': -1.4400568, 'No': -4.9012175, 'Yes': -6.67248, ' The': -7.339267}
{' No': -0.063220814, ' Yes': -2.9323668, 'No': -4.931616, ' The': -8.122148, 'Yes': -8.178224}
{' No': -0.13355052, ' Yes': -2.1277864, 'No': -5.3392944, ' The': -7.6597457, 'Yes': -7.6915092}
{' No': -0.024559652, ' Yes': -4.2568593, 'No': -4.660914, ' The': -8.135572, 'Yes': -9.199558}
{' Yes': -0.16649939, ' No': -1.9195874, 'Yes': -5.3627176, 'No': -6.7157736, ' The': -7.5984454}
{' No': -0.023685772, ' Yes': -4.443653, 'No': -4.5108128, '\n': -8.295942, ' ': -8.756147}
{' Yes': -0.22161582, ' No': -1.6504108, 'Yes': -5.4868, 'No': -6.292447, ' The': -7.6989293}
{' Yes': -0.019099666, ' No': -4.18728, 'Yes': -5.770316, ' The': -7.85472, 'No': -9.293042}
{' No': -0.14404379, ' Yes': -2.1085079, 'No': -4.4843435, 'Yes': -7.1471443, ' The': -7.893812}
{' No': -0.43924615, ' Yes': -1.078433, 'No': -4.4710717, 'Yes': -5.847934, ' The': -7.5413117}
{' No': -0.39052013, ' Yes': -1.1578408, 'No': -5.057745, 'Yes': -6.521284, ' The': -7.2017097}
{' Yes': -0.33775282, ' No': -1.2675778, 'Yes': -5.948917, 'No': -6.187637, ' The': -8.468468}
{' No': -0.021382123, ' Yes': -4.2864194, 'No': -4.9824014, ' The': -8.013958, 'Yes': -9.695652}
{' Yes': -0.37729236, ' No': -1.1747816, 'Yes': -6.0427866, 'No': -6.3763266, ' The': -7.0556808}
{' Yes': -0.5369098, ' No': -0.89450157, 'No': -5.7518272, 'Yes': -5.89333, ' The': -8.205173}
{' Yes': -0.3514507, ' No': -1.2339618, 'Yes': -5.9172063, 'No': -6.766965, ' The': -6.7887483}
{' No': -0.022666376, 'No': -4.0920954, ' Yes': -5.268945, ' The': -8.395083, '\n': -9.171321}
{' Yes': -0.011526987, ' No': -4.707717, 'Yes': -6.1532884, ' The': -8.847462, ' yes': -9.719681}
{' Yes': -0.38766384, ' No': -1.1530772, 'Yes': -5.9437222, 'No': -6.0029664, ' The': -8.092574}
{' Yes': -0.30500004, ' No': -1.3573529, 'Yes': -6.0216684, 'No': -6.299749, ' The': -7.3897243}
{' Yes': -0.10571073, ' No': -2.3486247, 'Yes': -5.720386, 'No': -7.263898, '\n': -7.888295}
{' No': -0.15326315, ' Yes': -1.9842798, 'No': -5.538168, 'Yes': -7.791675, ' The': -9.125209}
{' No': -0.014805206, 'No': -4.561344, ' Yes': -5.514233, ' Not': -9.4929085, ' The': -9.827465}
{' No': -0.54083127, ' Yes': -0.90741605, 'No': -4.778113, 'Yes': -5.6951184, ' The': -6.7293725}
{' No': -0.3922876, ' Yes': -1.1597875, 'No': -4.988773, 'Yes': -6.194995, ' The': -6.4620333}
{' No': -0.049577296, ' Yes': -3.1953614, 'No': -5.1626277, ' The': -7.2807517, ' Not': -7.5208845}
{' No': -0.049633916, ' Yes': -3.1623237, 'No': -5.1886053, 'Yes': -8.646989, ' Not': -9.019418}
{' Yes': -0.09945175, ' No': -2.3914266, 'Yes': -6.0892167, 'No': -7.6039853, ' The': -8.624388}
{' Yes': -0.03404539, ' No': -3.5109437, 'Yes': -5.843095, 'No': -8.481887, ' yes': -8.851872}
{' No': -0.017272942, 'No': -4.63175, ' Yes': -4.9320793, 'Yes': -10.152981, ' The': -10.187567}
{' No': -0.4066742, ' Yes': -1.1211385, 'No': -5.1085687, 'Yes': -6.649582, ' The': -8.142698}
{' Yes': -0.11538567, ' No': -2.2592492, 'Yes': -5.760201, 'No': -7.228878, '\n': -8.116343}
{' Yes': -0.69875586, ' No': -0.7098395, 'No': -5.0049767, 'Yes': -5.6635704, ' The': -7.659151}
{' No': -0.13559988, ' Yes': -2.152781, 'No': -4.6675267, 'Yes': -7.5731072, ' The': -8.201145}
{' No': -0.1786878, ' Yes': -1.8718431, 'No': -4.781839, 'Yes': -7.2765594, ' The': -7.9406238}
{' No': -0.16238864, ' Yes': -1.974534, 'No': -4.6482244, 'Yes': -7.210903, ' The': -7.6091156}
{' No': -0.12657985, ' Yes': -2.195685, 'No': -5.044081, ' The': -7.630411, 'Yes': -7.697492}
{' Yes': -0.32072213, ' No': -1.3070502, 'Yes': -6.2624507, 'No': -6.611167, ' The': -8.189435}
{' No': -0.44786134, ' Yes': -1.0315578, 'No': -5.808289, 'Yes': -7.122557, ' The': -7.5991096}
{' Yes': -0.007429333, ' No': -5.5046024, 'Yes': -5.856384, ' The': -8.359449, ' yes': -9.332191}
{' Yes': -0.1274984, ' No': -2.1601427, 'Yes': -6.124746, ' The': -6.8260317, 'No': -7.1005397}
{' Yes': -0.05745107, ' No': -2.943136, 'Yes': -6.01905, 'No': -8.348127, ' The': -8.720082}
{' Yes': -0.0031130689, 'Yes': -5.8302765, ' No': -9.34654, ' yes': -10.128632, '\n': -10.622583}
{' No': -0.04833682, ' Yes': -3.0911965, 'No': -6.6484056, '\n': -8.422594, ' ': -8.903188}
{' No': -0.045813844, ' Yes': -3.15624, 'No': -6.347804, '\n': -8.521503, ' ': -9.32088}
{' No': -0.005536098, ' Yes': -5.776797, 'No': -6.16581, ' ': -9.197542, '\n': -9.4168}
{' No': -0.012454104, ' Yes': -4.5319433, 'No': -6.509852, '\n': -10.245118, ' ': -10.373517}
{' Yes': -0.007450172, ' No': -5.094402, 'Yes': -7.3234463, ' yes': -8.07457, '\n': -8.316385}
{' Yes': -0.017449126, ' No': -4.0977216, 'Yes': -7.7053323, ' yes': -8.959553, '\n': -9.996967}
{' No': -0.011437269, ' Yes': -4.6111345, 'No': -6.842454, ' ': -8.921115, '\n': -9.148616}
{' Yes': -0.13953677, ' No': -2.046626, 'Yes': -7.523777, ' yes': -8.704363, 'No': -9.141436}
{' Yes': -0.12001341, ' No': -2.189746, 'Yes': -7.2710524, 'No': -9.025756, '\n': -9.04441}
{' No': -0.21419105, ' Yes': -1.6517731, 'No': -7.1757665, 'Yes': -8.826557, '\n': -9.717123}
{' No': -0.11674356, ' Yes': -2.2215865, 'No': -6.6219764, '\n': -8.843788, 'Yes': -9.064394}
{' No': -0.21332267, ' Yes': -1.6587095, 'No': -6.8825994, '\n': -8.276425, 'Yes': -8.665494}
{' Yes': -0.0049527916, ' No': -5.4991007, 'Yes': -7.2643614, ' yes': -9.436463, '\n': -10.281627}
{' Yes': -0.3765935, ' No': -1.1619425, 'Yes': -7.816691, 'No': -8.509685, ' yes': -8.7829485}
{' Yes': -0.027746642, ' No': -3.6275904, 'Yes': -7.7394257, ' yes': -8.534466, '\n': -9.861509}
{' No': -0.008207615, ' Yes': -4.9525547, 'No': -7.068123, '\n': -9.166956, ' ': -9.420855}
{' No': -0.6022403, ' Yes': -0.79606885, 'No': -7.799647, ' yes': -7.8179913, 'Yes': -8.263453}
{' No': -0.025091976, ' Yes': -3.729981, 'No': -7.452215, '\n': -9.390421, ' ': -9.765738}
{' Yes': -0.013431798, ' No': -4.4065285, 'Yes': -7.562237, ' yes': -7.962326, '\n': -8.884893}
{' No': -0.0034023796, ' Yes': -6.403224, 'No': -6.420112, '\n': -10.352823, ' ': -10.374944}
{' Yes': -0.4561833, ' No': -1.0071285, 'Yes': -8.091348, 'No': -8.463913, '\n': -8.723234}
{' Yes': -0.34817156, ' No': -1.2271788, 'Yes': -7.958662, 'No': -8.6358185, '\n': -8.84218}
{' Yes': -0.034729533, ' No': -3.4068131, 'Yes': -7.1496468, ' yes': -9.200836, 'No': -10.135534}
{' No': -0.020924252, ' Yes': -3.9268591, 'No': -6.9970875, ' ': -10.873825, ' The': -10.979731}
{' No': -0.047982592, ' Yes': -3.0987926, 'No': -6.9210825, '\n': -7.769076, ' ': -8.908175}
{' No': -0.15794738, ' Yes': -1.936941, 'No': -6.9993305, '\n': -7.896906, ' The': -8.220878}
{' Yes': -0.03705616, ' No': -3.335432, 'Yes': -7.751838, ' yes': -8.781681, '\n': -9.0860405}
{' No': -0.6339113, ' Yes': -0.7595904, 'No': -7.3395443, 'Yes': -7.9115295, '\n': -8.171139}
{' Yes': -0.14261775, ' No': -2.024797, ' yes': -7.9943323, 'Yes': -8.094346, ' The': -9.179532}
{' No': -0.0023572976, ' Yes': -6.8684025, 'No': -6.932411, '\n': -8.741003, ' ': -9.083888}
{' No': -0.13214187, ' Yes': -2.1167743, 'No': -6.172188, '\n': -7.3142266, ' ': -8.013635}
{' No': -0.0026989211, ' Yes': -6.6476855, 'No': -6.705578, '\n': -9.460884, ' ': -9.654932}
{' Yes': -0.0031018876, ' No': -6.0057793, 'Yes': -7.884114, ' yes': -8.44639, ' ': -11.311582}
{' No': -0.12227344, ' Yes': -2.1678915, 'No': -7.642289, 'Yes': -9.76897, '\n': -9.960315}
{' Yes': -0.5442315, ' No': -0.87398535, 'Yes': -7.2198234, 'No': -7.274944, '\n': -7.5970473}
{' No': -0.0014396667, 'No': -6.8789887, ' Yes': -7.990867, '\n': -10.610038, ' ': -10.614972}
{' No': -0.0341115, ' Yes': -3.4240384, 'No': -7.1515794, ' ': -9.444256, '\n': -10.376898}
{' Yes': -0.0057216175, ' No': -5.4145274, 'Yes': -6.8513536, ' yes': -9.237515, '\n': -10.006341}
{' Yes': -0.0013492389, 'Yes': -7.1242514, ' No': -8.104992, ' yes': -8.6524935, '\n': -10.124904}
{' No': -0.007695626, ' Yes': -5.2154574, 'No': -6.4384108, ' ': -8.371577, '\n': -8.405221}
{' No': -0.087667495, ' Yes': -2.4928322, 'No': -6.952215, '\n': -9.339106, 'Yes': -9.451742}
{' Yes': -0.28222513, ' No': -1.4083085, 'Yes': -7.283846, 'No': -7.978745, ' The': -9.294893}
{' Yes': -0.07635691, ' No': -2.6237295, 'Yes': -7.3006554, '\n': -9.19325, ' yes': -9.459229}
{' Yes': -0.021969846, ' No': -3.8888195, 'Yes': -7.1081743, ' yes': -8.69649, '\n': -8.797145}
{' No': -0.13685653, ' Yes': -2.065024, 'No': -7.254765, '\n': -8.983514, ' ': -9.475634}
{' No': -0.0017650947, 'No': -6.705607, ' Yes': -7.7591176, ' ': -10.029592, '\n': -10.172352}
{' Yes': -0.0022899662, ' No': -6.619729, 'Yes': -7.565839, ' yes': -8.425593, '\n': -8.749257}
{' Yes': -0.28104186, ' No': -1.411989, 'Yes': -7.4852366, 'No': -8.15466, '\n': -8.666544}
{' No': -0.016412307, ' Yes': -4.1879077, 'No': -7.2704635, '\n': -8.42067, ' ': -9.29684}
{' No': -0.6554188, ' Yes': -0.73467493, 'Yes': -7.8484707, 'No': -8.219076, '\n': -8.346897}
{' No': -0.3974451, ' Yes': -1.1217303, 'No': -7.045356, '\n': -7.580016, 'Yes': -7.9553027}
{' No': -0.013952187, ' Yes': -4.3650017, 'No': -7.076478, '\n': -8.885573, ' ': -9.339253}
{' No': -0.22689371, ' Yes': -1.6115315, '\n': -6.752202, 'No': -7.3769403, ' yes': -7.5384345}
{' No': -0.009101757, ' Yes': -4.7877383, 'No': -7.48928, '\n': -9.7287655, ' ': -9.797497}
{' No': -0.27518436, ' Yes': -1.4300247, 'No': -7.151619, 'Yes': -8.695624, ' ': -9.154224}
{' No': -0.008359246, ' Yes': -4.901931, 'No': -7.4418054, '\n': -8.886695, ' The': -9.778144}
{' No': -0.10829337, ' Yes': -2.2918165, 'No': -6.9370165, ' The': -8.471126, 'Yes': -9.308745}
{' No': -0.1382803, ' Yes': -2.0535235, 'No': -7.5757914, ' The': -8.698152, 'Yes': -9.699885}
{' No': -0.05605775, ' Yes': -2.928906, 'No': -7.3089013, '\n': -8.657011, ' ': -9.198168}
{' No': -0.07479175, ' Yes': -2.6507673, 'No': -7.1439633, '\n': -7.973103, ' ': -8.525236}
{' No': -0.05379821, ' Yes': -2.9728484, 'No': -7.1269846, '\n': -8.929761, ' ': -9.000552}
{' No': -0.0016753542, 'No': -7.0593686, ' Yes': -7.2036457, ' ': -10.305365, '\n': -11.071234}
{' No': -0.1750152, ' Yes': -1.8342807, 'No': -7.494335, 'Yes': -9.250296, ' ': -9.488358}
{' Yes': -0.04894707, ' No': -3.0617893, 'Yes': -7.59942, ' yes': -8.7037, '\n': -8.859948}
{' No': -0.3097681, ' Yes': -1.3272108, 'No': -7.642749, '\n': -8.63487, 'Yes': -8.662854}
{' No': -0.040276792, ' Yes': -3.2771444, 'No': -6.789004, '\n': -8.2364855, ' ': -9.217706}
{' Yes': -0.30396515, ' No': -1.3422151, 'Yes': -7.91417, 'No': -8.572494, ' ': -9.372422}
{' No': -0.19821922, ' Yes': -1.7224616, 'No': -7.677282, '\n': -8.4378605, ' ': -8.7597065}
{' Yes': -0.6549363, ' No': -0.7343336, 'No': -8.523853, 'Yes': -8.531612, '\n': -9.027132}
{' No': -0.008606428, ' Yes': -4.8607984, 'No': -7.2411194, '\n': -9.925243, ' ': -10.672195}
{' Yes': -0.009901404, ' No': -4.699427, 'Yes': -7.7501926, ' yes': -8.8362465, '\n': -9.015114}
{' Yes': -0.10866479, ' No': -2.2886117, '\n': -7.555226, 'Yes': -7.624732, ' yes': -8.139302}
{' No': -0.02018234, ' Yes': -3.9920354, 'No': -6.637087, '\n': -9.462332, ' ': -9.543825}
{' No': -0.11615292, ' Yes': -2.2406263, 'No': -5.9359713, '\n': -8.46931, 'Yes': -8.614839}
{' No': -0.0025310528, ' Yes': -6.543794, 'No': -6.9312625, ' ': -10.194277, '\n': -10.219636}
{' No': -0.010340284, ' Yes': -4.8985505, 'No': -6.0126615, '\n': -8.717165, ' ': -8.879711}
{' No': -0.21977781, ' Yes': -1.6335466, 'No': -6.5801406, 'Yes': -8.268476, '\n': -8.486139}
{' No': -0.037482806, ' Yes': -3.3520885, 'No': -6.571977, '\n': -8.789993, ' ': -9.399427}
{' No': -0.06511072, ' Yes': -2.781831, 'No': -7.2014384, '\n': -9.41315, ' ': -9.533252}
{' No': -0.14609651, ' Yes': -2.0095682, '\n': -7.1941004, 'No': -7.2490225, ' The': -9.122445}
{' No': -0.05893008, ' Yes': -2.9037445, 'No': -6.3741136, '\n': -7.9475975, 'Yes': -9.142906}
{' No': -0.002257886, ' Yes': -6.4746904, 'No': -7.42023, '\n': -9.989129, ' ': -10.711253}
{' No': -0.0017464053, 'No': -6.3961606, ' ': -10.166107, '\n': -10.866921, ' no': -11.433949}
{' No': -0.0017966222, 'No': -6.370348, ' ': -10.416347, '\n': -10.793854, ' no': -10.796807}
{' No': -0.019139215, ' Yes': -4.0658536, 'No': -6.6515737, '\n': -8.60142, ' ': -8.631845}
{' No': -0.061128803, ' Yes': -2.8360462, 'No': -7.6710033, '\n': -9.881023, 'Yes': -10.417355}
{' No': -0.2543761, ' Yes': -1.4994093, 'No': -7.184925, ' The': -8.763282, 'Yes': -8.932716}
{' No': -0.026578695, ' Yes': -3.6894186, 'No': -6.9112086, '\n': -9.322687, ' ': -9.549621}
{' No': -0.001718579, 'No': -6.8294463, ' Yes': -7.54329, ' ': -9.716886, '\n': -10.63466}
{' No': -0.0014129244, 'No': -6.92213, ' Yes': -8.157449, '\n': -9.754037, ' ': -9.796485}
{' No': -0.043749254, ' Yes': -3.1840117, 'No': -6.8132415, '\n': -9.042421, ' ': -9.759987}
{' No': -0.0072116815, ' Yes': -5.161278, 'No': -6.6614833, ' ': -9.744535, '\n': -10.0440235}
{' No': -0.002792939, ' Yes': -6.1802306, 'No': -7.3539925, ' ': -10.317777, '\n': -11.33265}
{' No': -0.032014687, ' Yes': -3.4922576, 'No': -7.3571696, '\n': -8.702227, ' The': -9.062199}
{' No': -0.054256722, ' Yes': -2.9767723, 'No': -6.410706, 'Yes': -9.712458, ' The': -9.756107}
{' No': -0.0032775071, ' Yes': -6.322726, 'No': -6.6745725, '\n': -9.0397005, ' ': -10.151512}
{' Yes': -0.036429208, ' No': -3.3553455, 'Yes': -7.5006113, ' yes': -8.835441, '\n': -9.566155}
{' Yes': -0.03780322, ' No': -3.3142734, 'Yes': -7.83838, '\n': -8.90795, ' yes': -9.082538}
{' Yes': -0.0044367583, ' No': -5.6812015, 'Yes': -7.585762, ' yes': -7.7859073, ' ': -10.314166}
{' No': -0.0014645586, ' Yes': -7.017509, 'No': -7.8014574, '\n': -9.923852, ' ': -9.942988}
{' No': -0.058711603, ' Yes': -2.8930564, 'No': -6.95238, '\n': -7.8252444, ' ': -9.1316}
{' Yes': -0.3022908, ' No': -1.3483113, 'Yes': -7.5817666, '\n': -8.233478, 'No': -8.374291}
{' No': -0.0023767743, 'No': -6.764242, ' Yes': -6.8041534, ' ': -9.87533, '\n': -10.21099}
{' No': -0.0034571637, 'No': -6.0798116, ' Yes': -7.0147123, '\n': -8.930233, ' ': -9.627918}
{' No': -0.013983741, ' Yes': -4.405175, 'No': -6.726414, '\n': -8.64965, ' ': -8.697476}
{' No': -0.003062424, ' Yes': -6.1175237, 'No': -7.336005, '\n': -9.469237, ' ': -9.671045}
{' Yes': -0.019308073, ' No': -4.030218, ' yes': -7.4554358, 'Yes': -7.8317595, ' The': -8.985965}
{' No': -0.18373857, ' Yes': -1.7962931, 'No': -6.9862876, '\n': -7.9548664, ' The': -8.658285}
{' Yes': -0.0012027832, 'Yes': -7.0020604, ' yes': -9.024808, ' No': -9.159331, '\n': -10.210988}
{' Yes': -0.11333456, ' No': -2.244253, 'Yes': -7.263557, ' yes': -8.615489, 'No': -8.764449}
{' Yes': -0.018496254, ' No': -4.045752, 'Yes': -7.5211015, ' yes': -8.68284, '\n': -10.175184}
{' No': -0.023736244, ' Yes': -3.7844305, 'No': -7.523522, '\n': -9.483361, ' The': -10.191369}
{' No': -0.009679842, ' Yes': -4.705904, 'No': -7.7268867, ' ': -9.551095, '\n': -10.10294}
{' No': -0.0013913795, ' Yes': -7.259978, 'No': -7.6433206, '\n': -9.303252, ' ': -9.493775}
{' No': -0.5781755, ' Yes': -0.82659245, 'No': -7.452891, 'Yes': -7.8276906, '\n': -8.490799}
{' No': -0.09855393, ' Yes': -2.3861363, 'No': -6.5945177, '\n': -8.551591, 'Yes': -9.075828}
{' No': -0.009092192, ' Yes': -5.021917, 'No': -6.1356406, '\n': -9.045421, ' ': -9.235808}
{' No': -0.0029444105, 'No': -6.026153, ' Yes': -8.470822, '\n': -8.871823, ' ': -9.482131}
{' No': -0.09070697, ' Yes': -2.4661055, '\n': -6.9891024, 'No': -7.5785437, ' ': -8.747109}
{' No': -0.0010840317, ' Yes': -7.593815, 'No': -7.7115035, '\n': -9.721658, ' ': -10.09948}
{' No': -0.6695063, ' Yes': -0.72195274, '\n': -7.303287, 'No': -7.396223, 'Yes': -8.042801}
{' No': -0.108045585, ' Yes': -2.2915475, 'No': -7.1850314, '\n': -8.330895, ' ': -8.98162}
{' No': -0.018592557, ' Yes': -4.037088, 'No': -7.6119013, '\n': -9.628487, ' ': -9.800402}
{' Yes': -0.59477377, ' No': -0.8047252, 'Yes': -8.09784, 'No': -8.199304, '\n': -8.465264}
{' Yes': -0.0064326567, ' No': -5.1674147, ' yes': -8.175757, 'Yes': -8.303344, '\n': -8.964992}
{' No': -0.06360909, ' Yes': -2.801314, 'No': -7.3016043, '\n': -9.479634, ' ': -9.686284}
{' No': -0.0034606932, ' Yes': -6.1139097, 'No': -6.887612, '\n': -9.187824, ' ': -9.264205}
{' No': -0.0036420005, ' Yes': -6.035989, 'No': -6.8322873, '\n': -9.766287, ' ': -9.864838}
