{' Yes': -0.0048690545, 'Yes': -5.7965517, ' No': -6.421077, ' The': -9.055835, ' yes': -10.524884}
{' Yes': -0.0028519358, 'Yes': -6.1129017, ' No': -7.419522, ' yes': -10.96557, ' The': -12.098232}
{' Yes': -0.011197525, ' No': -4.786042, 'Yes': -5.9280424, 'No': -9.880082, ' The': -10.0498705}
{' Yes': -0.0047846637, 'Yes': -5.575066, ' No': -7.1459436, ' The': -9.026502, ' yes': -10.294604}
{' Yes': -0.00232366, 'Yes': -6.1481037, ' No': -9.173984, ' yes': -10.104273, ' The': -10.678982}
{' Yes': -0.0045217182, 'Yes': -5.4296637, ' The': -9.1917925, ' yes': -11.1114855, ' ': -12.560481}
{' Yes': -0.0031589295, 'Yes': -5.825775, ' The': -8.961281, ' No': -10.3290615, ' yes': -10.699086}
{' Yes': -0.004803651, 'Yes': -5.795677, ' No': -6.4744606, ' The': -8.872837, ' yes': -10.661611}
{' Yes': -0.026451934, ' No': -3.8404508, 'Yes': -5.5437512, ' Wind': -7.7976856, 'No': -8.566445}
{' Yes': -0.018618912, ' No': -4.171748, 'Yes': -5.9216533, ' The': -8.681113, 'No': -9.281329}
{' Yes': -0.0018498267, 'Yes': -6.347705, ' No': -10.0946, ' yes': -10.560412, ' The': -11.136112}
{' No': -0.052444078, 'No': -3.1615443, ' Yes': -4.8109813, 'Yes': -8.135884, ' Unfortunately': -9.332479}
{' Yes': -0.023256928, ' No': -3.8978698, 'Yes': -6.0226574, ' The': -9.001158, 'No': -9.259764}
{' No': -0.33497876, ' Yes': -1.2811286, 'No': -5.351126, 'Yes': -6.61302, ' The': -7.4204216}
{' Yes': -0.014928742, ' No': -4.3839107, 'Yes': -6.1284328, ' The': -9.80462, 'No': -10.010682}
{' Yes': -0.0015240738, 'Yes': -6.582756, ' No': -9.462889, ' The': -10.622452, ' yes': -10.774229}
{' Yes': -0.0040243985, ' No': -6.0753613, 'Yes': -6.3856955, ' yes': -11.160259, 'No': -11.690678}
{' Yes': -0.0027705838, 'Yes': -5.905646, ' yes': -10.826854, ' No': -11.359463, ' The': -12.281635}
{' Yes': -0.0014353112, 'Yes': -6.5641947, ' yes': -10.899636, ' ': -12.833424, ' No': -13.830368}
{' Yes': -0.0018454076, 'Yes': -6.3278913, ' The': -10.688293, ' yes': -11.0893345, ' No': -11.830059}
{' Yes': -0.006289894, ' No': -5.386874, 'Yes': -6.462882, ' The': -9.563611, ' yes': -10.544684}
{' Yes': -0.006256904, 'Yes': -5.330046, ' No': -6.762875, ' The': -8.947977, ' yes': -10.048924}
{' Yes': -0.0028136184, 'Yes': -5.922123, ' The': -9.928801, ' yes': -10.275373, ' No': -10.310846}
{' Yes': -0.004488966, ' No': -5.880713, 'Yes': -6.5217347, ' The': -8.744692, ' Skin': -11.145693}
{' Yes': -0.085291445, ' No': -2.5514073, 'Yes': -5.7151394, 'No': -7.806385, ' yes': -10.503576}
{' Yes': -0.00328247, 'Yes': -6.1011, ' No': -7.0230956, ' The': -9.146269, ' yes': -10.649259}
{' Yes': -0.0038644446, 'Yes': -5.5712013, ' yes': -10.9268875, ' The': -11.365182, ' No': -11.701118}
{' Yes': -0.0054011894, 'Yes': -5.245467, ' No': -9.913554, ' yes': -10.577807, ' The': -10.870572}
{' Yes': -0.004692378, 'Yes': -5.384339, ' The': -9.803408, ' yes': -11.157438, ' ': -11.685363}
{' No': -0.053232215, ' Yes': -3.179817, 'No': -4.614576, 'Yes': -8.050703, ' ': -11.734543}
{' Yes': -0.39024845, ' No': -1.1537315, 'Yes': -5.494178, 'No': -5.8354845, ' The': -7.618619}
{' Yes': -0.26724634, ' No': -1.4654484, 'Yes': -6.0923057, 'No': -6.8800216, ' The': -8.600672}
{' Yes': -0.0038289034, 'Yes': -5.8340235, ' No': -7.304101, ' The': -8.662315, ' yes': -10.516625}
{' Yes': -0.010145115, ' No': -5.0618954, 'Yes': -5.6258006, ' The': -9.4389515, 'No': -10.106507}
{' Yes': -0.0049825637, ' No': -5.7653503, 'Yes': -6.3494205, ' The': -9.8645, ' yes': -11.351438}
{' Yes': -0.03075289, ' No': -3.6949468, 'Yes': -5.422322, ' The': -7.2786756, 'No': -8.490137}
{' No': -0.5919718, ' Yes': -0.8164496, 'No': -5.9299555, 'Yes': -6.5126257, ' The': -7.8708434}
{' Yes': -0.0014789435, 'Yes': -6.5590253, ' No': -10.382645, ' yes': -11.314878, ' The': -11.379011}
{' Yes': -0.0025050007, 'Yes': -6.1936, ' No': -7.9712944, ' The': -9.511683, ' yes': -10.573044}
{' Yes': -0.0028369315, 'Yes': -6.1197705, ' No': -7.478968, ' The': -10.256697, ' yes': -10.750397}
{' Yes': -0.031640284, ' No': -3.657678, 'Yes': -5.3132067, 'No': -8.242353, ' The': -9.360271}
{' Yes': -0.16383313, ' No': -1.9305032, 'Yes': -5.7844687, 'No': -6.550088, ' The': -6.5957994}
{' Yes': -0.2691293, ' No': -1.4545445, 'Yes': -6.5018864, 'No': -7.3393116, ' The': -8.569035}
{' Yes': -0.03753386, ' No': -3.3779476, 'Yes': -6.0525236, ' The': -8.732778, 'No': -8.864474}
{' No': -0.010122353, 'No': -4.6310577, ' Yes': -8.104543, ' Not': -11.149119, ' ': -12.289397}
{' Yes': -0.02819318, ' No': -3.7257617, 'Yes': -5.892501, ' The': -7.2818174, 'No': -9.123033}
{' Yes': -0.017953103, ' No': -4.32616, 'Yes': -5.4565153, ' The': -8.859481, 'No': -9.35591}
{' Yes': -0.003167718, 'Yes': -5.8585486, ' No': -8.630745, ' The': -9.978075, ' yes': -10.260716}
{' Yes': -0.024327, ' No': -4.1456647, 'Yes': -4.8435674, 'No': -9.133826, ' yes': -9.658737}
{' Yes': -0.005434632, 'Yes': -5.2235985, ' yes': -11.185548, ' The': -11.607668, ' ': -12.764227}
{' Yes': -0.0020286283, 'Yes': -6.2166524, ' yes': -10.850882, ' ': -12.651282, ' The': -12.713109}
{' Yes': -0.0066807442, 'Yes': -5.0348887, ' No': -9.3452635, ' yes': -10.594232, ' The': -10.788964}
{' Yes': -0.00318458, 'Yes': -5.8377137, ' The': -9.002042, ' No': -9.482018, ' yes': -10.38168}
{' Yes': -0.029768085, ' No': -3.6754587, 'Yes': -5.63961, 'No': -8.397871, ' The': -8.931645}
{' Yes': -0.0018762215, 'Yes': -6.3140726, ' The': -10.479089, ' yes': -10.780969, ' No': -11.774486}
{' Yes': -0.18448153, ' No': -1.8161076, 'Yes': -5.590142, 'No': -6.556317, ' The': -7.605445}
{' Yes': -0.004619499, 'Yes': -5.390484, ' No': -10.899313, ' yes': -11.069059, ' ': -11.50946}
{' Yes': -0.0030239224, 'Yes': -5.8494782, ' No': -9.373486, ' yes': -10.472199, ' The': -10.977167}
{' Yes': -0.002799993, 'Yes': -5.9283786, ' No': -9.534629, ' The': -10.26375, ' yes': -11.297958}
{' No': -0.1583489, 'No': -2.009528, ' Yes': -4.8150983, ' Not': -5.796611, 'Yes': -7.215571}
{' No': -0.017891994, ' Yes': -4.458478, 'No': -5.209113, ' Not': -8.313234, ' The': -8.547345}
{' No': -0.22843839, ' Yes': -1.6192541, 'No': -5.276408, 'Yes': -7.225081, ' The': -8.401204}
{' Yes': -0.0022467724, 'Yes': -6.206794, ' No': -8.495507, '\n': -11.88903, ' ': -11.93608}
{' Yes': -0.18978344, ' No': -1.8185161, ' Beef': -5.434523, ' The': -5.9851303, 'Yes': -6.004547}
{' Yes': -0.09603119, ' No': -2.435772, 'Yes': -5.811163, 'No': -7.710924, ' The': -7.720218}
{' Yes': -0.0020478012, 'Yes': -6.20662, ' yes': -10.870369, ' The': -12.304515, ' No': -12.702343}
{' Yes': -0.0021424724, 'Yes': -6.4150143, ' No': -7.802775, ' The': -9.912067, ' yes': -10.366104}
{' Yes': -0.5145355, ' No': -0.9265134, 'No': -5.829755, 'Yes': -5.900796, ' The': -7.9580507}
{' Yes': -0.01043797, ' No': -4.8311377, 'Yes': -6.104298, ' The': -9.3572235, 'No': -10.344445}
{' Yes': -0.0020256434, 'Yes': -6.255247, ' No': -10.01641, ' The': -10.564293, ' yes': -10.650961}
{' Yes': -0.0022924743, 'Yes': -6.207887, ' No': -8.555219, ' yes': -10.268123, ' The': -10.335146}
{' Yes': -0.0035652493, 'Yes': -5.653969, ' yes': -10.788004, ' The': -11.001265, ' YES': -11.577185}
{' Yes': -0.005821313, 'Yes': -5.1574836, ' yes': -10.4940815, ' ': -11.731284, ' YES': -11.7684145}
{' Yes': -0.004277815, ' No': -5.9432387, 'Yes': -6.431794, ' yes': -11.036763, 'No': -12.018305}
{' Yes': -0.0051253815, ' No': -5.7806354, 'Yes': -6.2896423, ' The': -9.312227, ' ': -10.394226}
{' Yes': -0.0025905117, 'Yes': -6.022243, ' No': -9.697874, ' yes': -9.807688, ' The': -10.556062}
{' Yes': -0.0038073023, 'Yes': -5.7849236, ' The': -7.875976, ' No': -8.326921, ' yes': -9.930309}
{' No': -0.10037883, ' Yes': -2.4054096, 'No': -5.684836, ' The': -6.931547, ' Not': -8.386385}
{' Yes': -0.012643387, ' No': -4.6577067, 'Yes': -5.84805, ' The': -9.531142, 'No': -9.936519}
{' Yes': -0.0015498032, 'Yes': -6.5138826, ' yes': -10.606889, ' The': -10.922341, ' ': -11.571193}
{' Yes': -0.0024740468, 'Yes': -6.0214233, ' yes': -10.380213, ' ': -11.849241, '\n': -12.836452}
{' Yes': -0.3583821, ' No': -1.2413414, 'Yes': -5.0853205, 'No': -5.2267632, ' The': -8.2366905}
{' Yes': -0.005057864, 'Yes': -5.3573356, ' The': -8.625598, ' No': -9.116391, ' yes': -10.725802}
{' Yes': -0.46825504, ' No': -1.0072355, 'No': -6.0776615, 'Yes': -6.2120557, ' Door': -6.2316136}
{' Yes': -0.08457987, ' No': -2.59647, ' Door': -5.747715, 'Yes': -6.029009, 'No': -7.711737}
{' Yes': -0.43787783, ' No': -1.0595914, 'Yes': -5.2609468, 'No': -6.127767, ' The': -7.6703143}
{' Yes': -0.3446831, ' No': -1.2509847, 'Yes': -5.6462574, 'No': -6.5837045, ' The': -8.148273}
{' Yes': -0.5955629, ' No': -0.81196874, 'No': -6.1182346, 'Yes': -6.2566085, ' The': -7.8988833}
{' Yes': -0.026411297, ' No': -3.8751485, 'Yes': -5.403126, ' The': -7.7509212, 'No': -8.706753}
{' Yes': -0.0017471225, 'Yes': -6.420875, ' No': -9.876951, ' yes': -10.536591, ' The': -10.554119}
{' Yes': -0.0045574657, 'Yes': -5.7358537, ' No': -6.726027, ' yes': -9.981764, ' The': -10.088877}
{' Yes': -0.0026940193, 'Yes': -5.9447565, ' No': -10.318253, ' yes': -10.594458, ' The': -11.8813305}
{' Yes': -0.0017933979, 'Yes': -6.3978333, ' No': -9.423882, ' yes': -10.662122, ' The': -11.280123}
{' Yes': -0.0033042363, 'Yes': -5.7589574, ' No': -9.290401, ' yes': -10.846037, ' Most': -11.221289}
{' Yes': -0.005505172, 'Yes': -5.5249124, ' Most': -6.6707354, ' The': -8.932714, ' No': -9.880023}
{' Yes': -0.014896797, ' No': -4.40478, 'Yes': -6.060152, ' The': -9.358807, 'No': -9.591822}
{' Yes': -0.0035046556, 'Yes': -6.310398, ' No': -6.4287686, ' yes': -10.280525, ' ': -11.504527}
{' Yes': -0.16709821, ' No': -1.914323, 'Yes': -5.7090993, ' The': -6.5143476, 'No': -6.804389}
{' Yes': -0.01682477, ' No': -4.398876, 'Yes': -5.4739876, 'No': -9.295469, ' The': -9.879847}
{' Yes': -0.0027628732, 'Yes': -6.5364504, ' No': -6.7878423, ' The': -8.997152, ' yes': -11.119049}
{' Yes': -0.0018547828, 'Yes': -6.351094, ' No': -9.9670315, ' yes': -10.622318, ' The': -10.643057}
{' Yes': -0.007143423, 'Yes': -5.3092937, ' No': -6.1705875, 'No': -10.817549, ' ': -10.90225}
{' Yes': -0.022616383, ' No': -3.9922285, 'Yes': -5.6599455, ' The': -8.537603, 'No': -8.943035}
{' Yes': -0.5843641, ' No': -0.8373891, 'No': -5.1457443, 'Yes': -5.6402054, ' Not': -8.83708}
{' No': -0.61629665, ' Yes': -0.7921695, 'No': -5.4468703, 'Yes': -6.117685, ' The': -7.904607}
{' Yes': -0.003927331, 'Yes': -5.5859394, ' No': -8.869274, ' The': -11.376638, ' yes': -11.43934}
{' Yes': -0.002231479, 'Yes': -6.146199, ' The': -10.220841, ' yes': -10.40528, ' No': -11.564618}
{' Yes': -0.006654943, ' No': -5.6912823, 'Yes': -5.7802677, ' The': -9.744089, ' yes': -9.919107}
{' Yes': -0.002668382, 'Yes': -5.994081, ' No': -9.0292635, ' yes': -10.447438, ' The': -11.379662}
{' Yes': -0.0031980327, ' No': -6.3461604, 'Yes': -6.569886, ' The': -10.965268, ' yes': -11.367831}
{' Yes': -0.003463205, 'Yes': -5.720813, ' No': -9.232667, ' The': -9.874303, ' yes': -10.843953}
{' Yes': -0.005987697, 'Yes': -5.1350236, ' No': -9.676444, ' yes': -11.414916, ' ': -12.640629}
{' Yes': -0.008767501, ' No': -5.028888, 'Yes': -6.1769443, ' The': -10.058171, ' yes': -10.551223}
{' Yes': -0.029682493, ' No': -3.7320995, 'Yes': -5.5666656, ' The': -6.7266603, 'No': -8.854116}
{' Yes': -0.12435036, ' No': -2.2051055, 'Yes': -5.2281137, 'No': -6.847985, ' The': -8.975203}
{' Yes': -0.0035812804, 'Yes': -5.847003, ' No': -7.3724923, ' yes': -10.883674, ' The': -10.995196}
{' Yes': -0.005818555, 'Yes': -5.2708426, ' No': -7.4009943, ' yes': -10.521703, ' ': -11.886992}
{' Yes': -0.003827048, 'Yes': -6.0791574, ' No': -6.54188, ' yes': -10.051218, ' The': -10.435247}
{' Yes': -0.010291443, ' No': -4.852206, 'Yes': -6.1343775, ' The': -8.674132, ' yes': -10.18724}
{' Yes': -0.0029301264, 'Yes': -5.8813343, ' No': -9.699673, ' The': -9.76762, ' yes': -11.433018}
{' Yes': -0.0052949456, 'Yes': -5.309305, ' No': -8.436235, ' The': -9.673878, ' yes': -10.356279}
{' Yes': -0.0020829816, 'Yes': -6.226898, ' No': -10.065674, ' The': -10.568024, ' yes': -10.774059}
{' Yes': -0.0012643117, 'Yes': -6.7660785, ' No': -9.754251, ' The': -10.5621805, ' yes': -10.799661}
{' Yes': -0.0015674131, 'Yes': -6.5484138, ' The': -9.783679, ' yes': -10.027649, ' No': -10.570376}
{' Yes': -0.0033752855, 'Yes': -5.7672796, ' No': -8.667901, ' yes': -9.964641, ' The': -11.790301}
{' Yes': -0.039568655, ' No': -3.3003547, 'Yes': -6.8342195, ' The': -7.874348, '\n': -9.018824}
{' Yes': -0.0013344383, 'Yes': -7.3880982, ' The': -8.378321, ' YES': -8.612969, ' No': -8.759607}
{' No': -0.5307344, ' Yes': -0.89693576, ' Stop': -6.207661, 'No': -7.515397, ' ': -7.6498957}
{' Yes': -0.0039139246, ' No': -5.656472, 'Yes': -8.208981, ' YES': -9.898539, ' Stop': -10.66104}
{' Yes': -0.0037985072, 'Yes': -6.1148667, ' No': -6.7123685, ' ': -8.754092, ' Late': -9.254582}
{' Yes': -0.0025165319, ' No': -6.360171, 'Yes': -7.583058, ' yes': -9.330567, '\n': -9.503143}
{' No': -0.06544794, ' Yes': -2.7947474, 'No': -6.595948, ' The': -7.9070177, '\n': -8.489005}
{' Yes': -0.0009851045, 'Yes': -7.4025025, ' No': -8.119525, ' yes': -10.097532, ' The': -11.069722}
{' Yes': -0.009674367, ' No': -5.418915, ' Wife': -5.7148457, 'Yes': -6.661738, ' ': -8.3339615}
{' Yes': -0.03118121, ' No': -3.5117185, 'Yes': -7.3496933, ' yes': -9.546799, ' The': -9.75072}
{' Yes': -0.003854571, ' No': -5.863584, 'Yes': -7.5763316, '\n': -8.705794, ' yes': -8.8786335}
{' Yes': -0.0023420623, ' No': -6.6138587, 'Yes': -7.515905, ' The': -8.953344, ' yes': -9.089203}
{' Yes': -0.0076271547, ' No': -5.197723, 'Yes': -6.6809096, ' Qu': -7.8821177, ' yes': -8.687938}
{' Yes': -0.00095998903, 'Yes': -7.0807285, ' yes': -9.755708, ' No': -10.497856, ' ': -11.382913}
{' Yes': -0.0008307697, 'Yes': -7.4998403, ' yes': -9.286577, ' No': -9.37321, ' The': -10.024676}
{' No': -0.37652716, ' Yes': -1.1981252, 'No': -5.084368, 'Yes': -5.840371, ' yes': -7.3127313}
{' Yes': -0.0013960944, ' No': -7.4605365, 'Yes': -7.7992415, ' yes': -8.227577, ' ': -9.709938}
{' Yes': -0.13340941, ' No': -2.0952356, 'Yes': -7.131286, ' The': -7.9961276, '\n': -8.185077}
{' Yes': -0.001578339, 'Yes': -6.9957757, ' No': -7.7472177, ' yes': -9.225472, ' The': -9.612612}
{' Yes': -0.0007740395, 'Yes': -7.637531, ' yes': -8.701738, ' The': -10.02704, ' No': -10.395789}
{' Yes': -0.14449209, ' No': -2.0208538, 'Yes': -7.0131636, ' The': -7.31931, 'No': -8.991909}
{' Yes': -0.011253281, ' No': -4.7082877, 'Yes': -6.463601, ' yes': -8.286055, ' The': -8.784535}
{' No': -0.0043525835, 'No': -5.9939036, ' Yes': -6.3397655, ' ': -10.613791, ' The': -10.81459}
{' Yes': -0.017168159, ' No': -4.133074, 'Yes': -7.333683, ' The': -9.358425, '\n': -9.5347}
{' Yes': -0.005668505, ' No': -5.455034, '\n': -7.7369246, 'Yes': -7.8045173, ' The': -8.3096695}
{' Yes': -0.008437386, ' No': -4.858474, 'Yes': -7.6936135, ' yes': -9.677032, ' ': -10.0145445}
{' Yes': -0.00047541337, 'Yes': -8.13134, ' yes': -9.472389, ' No': -9.743145, ' ': -11.313575}
{' Yes': -0.01008388, ' No': -4.680698, 'Yes': -7.7946463, ' yes': -9.011455, ' The': -9.198312}
{' Yes': -0.021771483, ' No': -3.9864643, ' The': -6.4373465, 'Yes': -7.11085, ' yes': -8.838866}
{' Yes': -0.0014981051, 'Yes': -7.1795564, ' No': -8.013997, ' The': -8.7671585, ' yes': -8.885367}
{' Yes': -0.0051801424, 'Yes': -5.697913, ' No': -6.3516936, ' yes': -10.575925, ' ': -11.257969}
{' Yes': -0.054584693, ' No': -2.9592228, 'Yes': -7.3931503, ' The': -8.063805, ' yes': -9.196465}
{' Yes': -0.000623968, 'Yes': -7.821066, ' yes': -9.474727, ' The': -9.690214, ' ': -9.946138}
{' Yes': -0.00093755615, 'Yes': -7.599036, ' No': -7.9963555, ' yes': -9.635041, ' ': -11.163442}
{' Yes': -0.016593369, ' No': -4.2006426, 'Yes': -7.3150263, ' Dirt': -7.6174903, ' The': -8.994029}
{' Yes': -0.051467035, ' No': -3.0250902, 'Yes': -7.1936593, ' The': -8.03085, '\n': -8.7044935}
{' Yes': -0.0013538345, 'Yes': -7.404212, ' The': -7.946653, ' yes': -8.367571, ' No': -9.778765}
{' Yes': -0.14354023, ' No': -2.2403343, ' ': -4.8268123, 'Yes': -5.7145514, ' Te': -5.8262563}
{' False': -0.00073413085, 'False': -7.89417, ' No': -7.949935, ' ': -12.302199, ' false': -12.861642}
{' No': -0.001003899, 'No': -7.193323, ' Yes': -8.844624, ' ': -9.598511, '\n': -11.01996}
{' Yes': -0.012127474, ' Rain': -4.654637, 'Yes': -6.745871, ' No': -7.406611, ' ': -8.488586}
{' Yes': -0.00342959, ' No': -6.2270813, 'Yes': -7.303989, ' Rain': -7.3397636, ' yes': -9.934937}
{' Yes': -0.47374123, ' No': -0.97728693, 'Yes': -7.82712, 'No': -8.496915, ' ': -8.906368}
{' No': -0.056032978, ' Yes': -2.9207177, 'No': -7.6330986, ' ': -10.089171, 'Yes': -10.246958}
{' Yes': -0.016380314, ' No': -4.18635, 'Yes': -7.11062, ' Sure': -9.782264, ' ': -10.093753}
{' Yes': -0.013260247, ' No': -4.4707756, ' The': -7.1452923, 'Yes': -7.4653773, '\n': -9.097239}
{' Yes': -0.004011053, ' No': -5.7001104, 'Yes': -7.8892817, ' The': -9.194074, ' yes': -9.419658}
{' Yes': -0.0046168054, ' No': -5.7965326, 'Yes': -7.294221, ' yes': -7.9161367, '\n': -8.540275}
{' Yes': -0.04057216, ' No': -3.2552955, 'Yes': -7.347483, ' The': -8.605821, ' yes': -8.837462}
{' Yes': -0.013313099, ' No': -4.4117503, ' The': -7.6450033, 'Yes': -7.863662, ' yes': -9.131915}
{' Yes': -0.046367843, ' No': -3.1202872, 'Yes': -7.532907, ' The': -7.937092, ' yes': -9.206568}
{' Yes': -0.17209363, ' No': -1.8506653, 'Yes': -7.7112956, ' yes': -8.948291, ' The': -9.022174}
{' Yes': -0.00097317615, 'Yes': -7.4058285, ' yes': -9.218863, ' ': -9.631487, ' No': -9.744974}
{' Yes': -0.022348648, ' No': -3.8734727, 'Yes': -6.988226, ' The': -8.890751, ' yes': -9.301956}
{' Yes': -0.005300758, ' The': -5.590032, ' yes': -7.628656, 'Yes': -7.6366096, ' No': -8.100785}
{' Yes': -0.002450144, ' No': -6.7646737, 'Yes': -7.6806207, ' The': -7.7500825, ' yes': -8.183902}
{' Yes': -0.5838424, ' No': -0.81783396, 'Yes': -7.859851, 'No': -8.1760025, ' ': -9.2624235}
{' Yes': -0.052377746, ' No': -3.0173683, 'Yes': -6.7923274, ' The': -7.629724, '\n': -8.815472}
{' Yes': -0.002672148, 'Yes': -6.7573256, ' ': -7.6596217, ' No': -7.786855, ' The': -8.076334}
{' Yes': -0.0005818038, 'Yes': -7.6782894, ' yes': -9.665169, ' ': -10.753044, '\n': -11.131475}
{' Yes': -0.001877177, 'Yes': -6.9505196, ' No': -7.5962195, ' The': -8.781761, ' yes': -9.004353}
{' Yes': -0.0006373879, 'Yes': -7.747572, ' yes': -9.473358, ' No': -9.927494, '\n': -10.212229}
{' Yes': -0.0019558237, ' Deer': -7.0082836, 'Yes': -7.2454896, ' No': -8.902489, ' yes': -8.97707}
{' Yes': -0.0007918175, 'Yes': -7.5148163, ' yes': -8.829261, ' The': -10.003347, ' No': -11.108738}
{' Yes': -0.00075083325, 'Yes': -7.688916, ' yes': -8.979995, ' No': -9.477101, ' The': -10.250889}
{' Yes': -0.0027664595, ' No': -6.5337853, 'Yes': -7.460646, ' YES': -8.019183, ' yes': -8.381221}
{' Yes': -0.003217168, ' No': -5.961524, 'Yes': -7.7688303, ' yes': -9.049499, ' The': -10.437133}
{' Yes': -0.021919947, ' No': -3.891192, 'Yes': -7.2430625, '\n': -8.929133, ' yes': -8.980175}
{' Yes': -0.0010019899, 'Yes': -7.574497, ' No': -8.29645, ' yes': -9.218185, ' Less': -9.930443}
{' Yes': -0.0016034695, ' No': -7.32248, 'Yes': -7.367066, ' yes': -9.089307, ' Less': -9.313954}
{' Yes': -0.014808957, ' No': -4.2993417, 'Yes': -7.4778843, ' The': -8.412312, ' YES': -8.982353}
{' Yes': -0.0017708872, 'Yes': -6.8399115, ' No': -7.906624, ' The': -9.188619, ' yes': -9.542536}
{' Yes': -0.0032098726, ' No': -6.0485926, 'Yes': -7.416707, ' The': -9.056554, ' yes': -9.445045}
{' Yes': -0.001194785, 'Yes': -7.019892, ' No': -8.394286, ' yes': -10.458065, ' ': -10.954171}
{' Yes': -0.3249194, ' No': -1.2908732, ' Exit': -6.543616, 'Yes': -8.020596, ' ': -8.519567}
{' Yes': -0.30628395, ' No': -1.3385352, ' Exit': -7.192355, 'Yes': -8.190729, ' ': -8.551344}
{' Yes': -0.051944893, ' No': -3.0761817, ' Lion': -5.595877, 'Yes': -7.4814167, ' yes': -9.688191}
{' Yes': -0.005493904, ' No': -5.3393693, 'Yes': -7.6975465, ' yes': -8.985785, ' The': -9.733075}
{' Yes': -0.04345607, ' No': -3.1901956, 'Yes': -7.4601483, ' ': -7.917947, ' yes': -8.77418}
{' Yes': -0.0038686928, ' No': -5.8397527, 'Yes': -7.339676, ' yes': -8.94043, ' ': -9.477476}
{' Yes': -0.0011145219, 'Yes': -7.1264157, ' The': -9.033434, ' Want': -9.203953, ' yes': -10.265202}
{' Yes': -0.008653322, ' Want': -5.566829, ' No': -5.6148257, 'Yes': -7.2932124, ' The': -8.832845}
{' Yes': -0.0011297984, 'Yes': -7.344323, ' No': -8.25491, ' yes': -9.370559, ' The': -10.021643}
{' Yes': -0.03215908, ' Wind': -3.7252033, ' No': -5.0221663, 'Yes': -7.401376, ' yes': -9.203565}
{' Yes': -0.033154555, ' No': -3.458123, 'Yes': -7.6875424, ' yes': -8.22413, ' The': -8.66718}
{' Yes': -0.0023720542, ' No': -6.612088, 'Yes': -7.486232, ' yes': -8.481868, ' The': -9.268922}
{' No': -0.008982547, ' Yes': -5.368167, 'No': -5.8873353, ' Hate': -7.432284, ' Dis': -7.5980287}
{' No': -0.13261047, ' Yes': -2.1020548, ' The': -7.3013434, 'No': -7.411084, ' ': -8.270411}
{' Yes': -0.47028583, ' No': -0.98370785, 'Yes': -7.847547, '\n': -8.449587, ' The': -8.556835}
{' Yes': -0.015076011, ' No': -4.2571893, 'Yes': -7.6471195, ' yes': -9.064831, '\n': -9.494268}
{' Yes': -0.00081871834, ' No': -7.9985714, 'Yes': -8.140659, ' The': -9.480497, ' yes': -9.70262}
{' Yes': -0.009839643, ' No': -4.658273, 'Yes': -8.375721, ' yes': -10.28115, ' ': -10.665935}
{' Yes': -0.0006839712, 'Yes': -7.616721, ' No': -9.277066, ' yes': -9.756851, ' ': -11.075366}
{' Yes': -0.0002107382, 'Yes': -8.738922, ' yes': -10.24519, ' ': -11.498465, ' YES': -12.839346}
{' Yes': -0.00088851544, 'Yes': -7.353912, ' No': -9.665665, ' ': -9.759327, '\n': -9.909189}
{' Yes': -0.14497939, ' No': -2.0118809, 'Yes': -7.6845646, ' The': -8.355726, '\n': -8.373976}
{' Yes': -0.001489449, 'Yes': -6.9561763, ' yes': -8.558392, ' No': -8.822077, ' The': -9.25661}
{' Yes': -0.0018320928, 'Yes': -6.912991, ' No': -8.105084, ' yes': -8.286696, ' The': -9.273031}
{' Yes': -0.114151016, ' No': -2.293768, ' Skin': -5.1697674, 'Yes': -7.1621246, ' The': -8.939593}
{' Yes': -0.041857835, ' No': -3.2211542, 'Yes': -7.147158, ' Skin': -9.080455, ' yes': -9.586165}
{' Yes': -0.005269898, ' No': -5.5112357, 'Yes': -7.433124, ' The': -8.272915, ' yes': -8.914333}
{' Yes': -0.010689464, ' No': -5.4369645, ' So': -5.738243, 'Yes': -5.996205, ' ': -8.437113}
{' Yes': -0.0012145388, 'Yes': -7.1450133, ' Che': -8.487872, '\n': -9.788184, ' ': -9.88774}
{' Yes': -0.0011713328, 'Yes': -7.2496567, ' The': -8.552004, ' No': -8.853695, ' yes': -9.928392}
{' No': -0.38440204, ' Yes': -1.1464393, 'No': -7.0591, 'Yes': -7.8884435, ' Male': -9.900384}
{' Yes': -0.07490635, ' No': -2.7066317, 'Yes': -5.998943, ' Male': -7.0459294, ' ': -7.636252}
{' Yes': -0.28979415, ' No': -1.3830558, 'Yes': -8.09501, ' yes': -9.113996, ' The': -9.448432}
{' Yes': -0.020561747, ' No': -4.0074043, ' Done': -6.584805, 'Yes': -7.502922, ' yes': -9.161218}
{' Yes': -0.15381515, ' No': -1.9678563, 'Yes': -6.918585, ' Bike': -7.6545296, ' The': -7.661474}
{' Yes': -0.103414126, ' No': -2.3332248, 'Yes': -7.3232837, ' The': -8.546058, ' ': -9.105834}
{' Yes': -0.05691891, ' No': -2.9909058, 'Yes': -6.438108, '\n': -6.8428454, ' Dead': -7.072088}
{' Yes': -0.6026305, ' No': -0.797573, 'Yes': -7.456838, 'No': -7.781111, ' Dead': -7.986959}
{' Yes': -0.0010411908, 'Yes': -7.313696, ' No': -9.323753, ' yes': -9.373835, ' Cave': -9.459945}
{' Yes': -0.0021955203, ' No': -7.1308975, 'Yes': -7.3025284, ' The': -8.025444, ' Cave': -8.690918}
