{' Yes': -0.0011963383, 'Yes': -7.0440254, ' The': -8.79854, ' yes': -9.431768, ' No': -9.676268}
{' Yes': -0.01817493, ' No': -4.150768, 'Yes': -6.191612, ' yes': -9.372619, 'No': -9.83861}
{' Yes': -0.064063236, ' No': -2.8282213, 'Yes': -5.989415, 'No': -8.198504, ' The': -9.65318}
{' Yes': -0.0037145677, 'Yes': -5.6370378, ' yes': -9.796969, ' No': -9.858452, '\n': -11.113226}
{' Yes': -0.0048665395, 'Yes': -5.349156, ' yes': -9.632775, ' No': -11.096942, '\n': -11.810863}
{' Yes': -0.19798267, ' No': -1.7299345, 'Yes': -6.5821548, 'No': -7.427015, ' The': -8.628507}
{' Yes': -0.047429446, ' No': -3.1522572, 'Yes': -5.821241, 'No': -7.8919635, ' The': -9.313178}
{' No': -0.21606773, ' Yes': -1.6949666, 'No': -4.864835, ' The': -6.6154447, 'Yes': -7.083471}
{' Yes': -0.4039773, ' No': -1.1200056, 'Yes': -6.0087996, 'No': -6.2618628, ' The': -6.489849}
{' Yes': -0.13915026, ' No': -2.0789523, 'Yes': -5.690683, 'No': -7.3798122, ' The': -7.6403537}
{' Yes': -0.048325934, ' No': -3.136289, 'Yes': -5.8456087, ' The': -7.6398845, 'No': -8.498969}
{' Yes': -0.00235885, 'Yes': -6.1058455, ' The': -9.942473, ' yes': -9.972764, ' No': -11.1428385}
{' Yes': -0.0046929764, 'Yes': -5.4497476, ' No': -8.487498, ' yes': -9.725335, ' The': -9.861279}
{' Yes': -0.0035603447, 'Yes': -5.6568003, ' yes': -9.988812, ' YES': -12.473374, ' ': -12.60353}
{' Yes': -0.027727645, ' No': -3.767567, 'Yes': -5.6021156, 'No': -8.522095, ' The': -8.544348}
{' Yes': -0.00454477, 'Yes': -5.4164553, ' yes': -10.169559, ' No': -10.840731, '\n': -11.055343}
{' Yes': -0.051622048, ' No': -3.041946, 'Yes': -6.154935, 'No': -8.255342, ' The': -9.25273}
{' Yes': -0.005267081, 'Yes': -5.6535835, ' No': -6.41588, ' yes': -10.028486, ' The': -10.705452}
{' Yes': -0.0041604345, 'Yes': -5.507691, ' No': -10.393305, ' yes': -10.465136, ' The': -11.21024}
{' Yes': -0.0034449021, 'Yes': -5.845232, ' No': -7.7510986, ' yes': -9.586813, ' The': -10.31193}
{' Yes': -0.0050003547, 'Yes': -5.4398355, ' No': -7.7813673, ' yes': -8.979859, ' The': -9.505454}
{' No': -0.6343387, ' Yes': -0.767977, 'No': -6.0139713, ' The': -6.569845, 'Yes': -6.813047}
{' No': -0.09098953, ' Yes': -2.5660336, 'No': -4.71346, 'Yes': -7.7960515, ' The': -8.156663}
{' No': -0.12017914, ' Yes': -2.2468402, 'No': -5.0218763, 'Yes': -7.6603956, ' The': -8.429247}
{' No': -0.018887047, 'No': -4.1411576, ' Yes': -6.057779, ' The': -8.428017, '\n': -9.4269905}
{' Yes': -0.0043480946, 'Yes': -5.5441027, ' No': -8.633069, ' yes': -9.263255, '\n': -9.652783}
{' Yes': -0.0028178028, 'Yes': -5.9890575, ' No': -8.749207, ' yes': -9.463444, '\n': -10.329435}
{' Yes': -0.004953751, 'Yes': -5.4857235, ' No': -7.3644924, ' yes': -9.429511, ' The': -10.345268}
{' Yes': -0.0027509783, 'Yes': -5.984825, ' No': -9.342983, ' yes': -9.434933, ' The': -10.270563}
{' Yes': -0.082210556, ' No': -2.5879707, 'Yes': -5.8195515, 'No': -7.6827273, ' The': -9.074591}
{' Yes': -0.3721679, ' No': -1.1837219, 'Yes': -6.1290092, 'No': -6.400648, '\n': -8.329702}
{' Yes': -0.0045792, 'Yes': -5.68979, ' No': -6.8352175, ' The': -10.1455145, ' yes': -10.39681}
{' Yes': -0.012685881, ' No': -4.7607155, 'Yes': -5.5971966, ' The': -8.8219795, 'No': -9.485305}
{' Yes': -0.36755025, ' No': -1.19109, 'Yes': -6.5255985, 'No': -6.773854, ' The': -7.433121}
{' No': -0.009379326, 'No': -4.97045, ' Yes': -6.1064987, ' The': -9.733643, ' ': -9.928247}
{' Yes': -0.05872001, ' No': -2.9054396, 'Yes': -6.3771, 'No': -8.22928, ' The': -8.502832}
{' Yes': -0.48026648, ' No': -0.99005497, 'No': -5.165853, 'Yes': -5.54907, ' The': -9.269651}
{' Yes': -0.010531515, ' No': -4.91973, 'Yes': -5.869715, ' yes': -9.226219, ' The': -9.426107}
{' Yes': -0.049712975, ' No': -3.094545, 'Yes': -5.940717, 'No': -8.238713, ' The': -8.602998}
{' Yes': -0.12548284, ' No': -2.1671069, 'Yes': -6.1919303, 'No': -7.378559, ' The': -7.956461}
{' Yes': -0.46656343, ' No': -1.013467, 'No': -5.435334, 'Yes': -5.7185583, '\n': -7.10212}
{' Yes': -0.12956129, ' No': -2.130267, 'Yes': -6.264039, 'No': -7.5849304, ' The': -9.093741}
{' Yes': -0.010523504, ' No': -4.767607, 'Yes': -6.379431, ' The': -9.229433, ' yes': -9.620775}
{' Yes': -0.031895425, ' No': -3.5800903, 'Yes': -5.7916703, 'No': -8.488479, ' The': -8.872314}
{' Yes': -0.0033255275, 'Yes': -5.95888, ' No': -7.3906293, ' yes': -9.708199, ' The': -10.172483}
{' Yes': -0.005117893, 'Yes': -5.628044, ' No': -6.6265793, ' The': -9.324535, ' yes': -9.850641}
{' Yes': -0.0028794908, 'Yes': -5.9887, ' No': -8.2319975, ' The': -9.902743, ' yes': -10.075152}
{' No': -0.66766524, ' Yes': -0.73535514, 'No': -5.423095, 'Yes': -6.1891646, ' The': -7.824947}
{' Yes': -0.09535338, ' No': -2.4415905, 'Yes': -5.8568716, 'No': -7.3426566, ' The': -8.909095}
{' Yes': -0.105212115, ' No': -2.3527763, 'Yes': -5.7800393, 'No': -7.319396, ' The': -7.49869}
{' No': -0.06964727, ' Yes': -2.8406928, 'No': -4.9002633, '\n': -7.4587283, ' The': -8.079832}
{' No': -0.2292538, ' Yes': -1.6521149, 'No': -4.591797, 'Yes': -6.6371875, ' The': -6.763412}
{' No': -0.011387532, 'No': -5.0013433, ' Yes': -5.4577374, ' The': -8.555374, ' Not': -10.164301}
{' No': -0.22709894, ' Yes': -1.6405509, 'No': -4.8707833, 'Yes': -6.9764705, ' The': -8.293015}
{' No': -0.67113864, ' Yes': -0.72825795, 'No': -5.604788, 'Yes': -6.4531155, ' The': -7.3662753}
{' Yes': -0.029847607, ' No': -3.745954, 'Yes': -5.2777724, ' The': -8.102193, 'No': -8.929025}
{' No': -0.069819376, ' Yes': -2.8026667, 'No': -5.19942, ' The': -7.5231895, 'Yes': -7.763257}
{' Yes': -0.13246743, ' No': -2.1552582, 'Yes': -5.4959583, ' The': -5.850496, 'No': -7.12618}
{' No': -0.27533662, ' Yes': -1.4414152, 'No': -5.982705, ' The': -7.1128817, 'Yes': -7.427716}
{' Yes': -0.0053703296, 'Yes': -5.8289347, ' No': -6.1506495, '\n': -8.99529, ' yes': -9.443652}
{' Yes': -0.0071982327, 'Yes': -4.9871154, '\n': -9.0826235, ' yes': -9.1730995, ' No': -9.71597}
{' Yes': -0.1128741, ' No': -2.2650557, 'Yes': -6.1182337, 'No': -7.5386014, ' yes': -9.570537}
{' Yes': -0.0017696341, 'Yes': -6.913104, ' No': -7.2979617, ' yes': -10.070505, ' The': -10.227031}
{' Yes': -0.002649078, 'Yes': -5.99221, ' yes': -9.519759, ' No': -10.032186, ' The': -11.265675}
{' Yes': -0.021872124, ' No': -4.0513635, 'Yes': -5.5627346, 'No': -8.759497, ' The': -9.362316}
{' Yes': -0.009169428, ' No': -5.1913114, 'Yes': -5.786441, ' yes': -8.637561, ' The': -8.846846}
{' Yes': -0.047770247, ' No': -3.144093, 'Yes': -5.879563, 'No': -8.192463, ' The': -8.684582}
{' Yes': -0.013159804, ' No': -4.6916323, 'Yes': -5.5974126, 'No': -9.233507, ' yes': -10.0341835}
{' Yes': -0.0048993, 'Yes': -5.827235, ' No': -6.3340826, ' The': -9.720853, ' yes': -10.110322}
{' Yes': -0.00482018, 'Yes': -5.4543, ' No': -7.906873, ' yes': -9.355894, ' The': -10.372141}
{' Yes': -0.0035381543, 'Yes': -5.902712, ' No': -7.294838, ' yes': -9.682674, ' ': -10.97332}
{' Yes': -0.0046756687, 'Yes': -5.5872808, ' No': -7.094147, ' yes': -9.971497, ' The': -11.2252655}
{' Yes': -0.020361897, ' No': -4.411938, 'Yes': -4.868701, 'No': -8.484117, ' yes': -9.913945}
{' Yes': -0.1553783, ' No': -1.9533348, 'Yes': -6.725, 'No': -8.001192, ' The': -8.156965}
{' No': -0.02709758, ' Yes': -3.811672, 'No': -5.4944153, ' The': -8.484456, ' ': -9.460074}
{' No': -0.5772007, ' Yes': -0.8378973, 'No': -5.7310796, 'Yes': -6.5032873, ' The': -7.6411977}
{' No': -0.45259672, ' Yes': -1.0244217, 'No': -5.6396656, 'Yes': -6.868112, ' The': -8.283257}
{' Yes': -0.0034651197, 'Yes': -5.7461004, ' No': -8.694291, ' yes': -9.932979, ' The': -10.565467}
{' Yes': -0.0024979466, 'Yes': -6.1091814, ' No': -9.084724, ' yes': -9.793762, ' The': -9.931617}
{' Yes': -0.005327183, 'Yes': -5.8884254, ' No': -6.021011, ' yes': -9.876871, ' The': -10.6299925}
{' Yes': -0.0031478675, 'Yes': -5.798959, ' The': -10.19555, ' yes': -10.263127, ' No': -10.62715}
{' No': -0.037444808, ' Yes': -3.6678941, 'No': -4.5696025, ' The': -7.5124464, 'Yes': -8.78394}
{' No': -0.08653164, ' Yes': -2.610383, 'No': -4.837941, ' The': -7.674542, 'Yes': -7.8599043}
{' Yes': -0.33535284, ' No': -1.2666655, 'Yes': -6.506066, 'No': -6.7275643, ' The': -8.287677}
{' No': -0.03529206, ' Yes': -3.7212868, 'No': -4.6780763, ' The': -7.3301125, ' Not': -8.727691}
{' Yes': -0.005116936, 'Yes': -5.560691, ' No': -6.764804, ' yes': -10.271163, ' The': -10.756942}
{' Yes': -0.0033839573, 'Yes': -5.791193, ' No': -8.30522, ' yes': -10.14912, ' ': -11.277091}
{' Yes': -0.022309154, ' No': -4.0625005, 'Yes': -5.48021, ' The': -8.15317, 'No': -8.731367}
{' Yes': -0.003602159, 'Yes': -5.6710386, ' No': -9.292182, ' yes': -10.367457, ' The': -11.238361}
{' Yes': -0.47689408, ' No': -0.9854619, 'No': -5.9948974, 'Yes': -6.225812, ' The': -7.339948}
{' Yes': -0.008596147, ' No': -5.4437976, 'Yes': -5.5145698, ' The': -9.50245, ' yes': -9.795975}
{' Yes': -0.02273375, ' No': -3.8612096, 'Yes': -6.6752334, ' yes': -9.776369, 'No': -10.039278}
{' Yes': -0.021838859, ' No': -4.206573, 'Yes': -5.0650573, 'No': -8.414954, ' yes': -9.630753}
{' Yes': -0.123366766, ' No': -2.1850219, 'Yes': -6.0363245, 'No': -7.3385878, ' The': -7.7737436}
{' Yes': -0.045224033, ' No': -3.202338, 'Yes': -5.7653503, 'No': -8.193886, ' The': -9.602116}
{' Yes': -0.008953618, 'Yes': -4.879698, ' No': -6.8229713, ' yes': -9.525064, '\n': -9.812321}
{' Yes': -0.023458393, ' No': -3.973585, 'Yes': -5.546581, 'No': -8.420595, ' The': -9.386644}
{' Yes': -0.013298359, ' No': -4.6939545, 'Yes': -5.6204777, '\n': -9.054575, 'No': -9.106886}
{' Yes': -0.55393404, ' No': -0.86548036, 'No': -5.976482, 'Yes': -6.6812053, ' The': -7.8184614}
{' Yes': -0.0023869919, 'Yes': -6.141007, ' No': -8.942661, ' yes': -9.834401, ' The': -10.523311}
{' Yes': -0.007960953, 'Yes': -5.3168216, ' No': -5.9066195, ' The': -9.011818, ' yes': -9.409722}
{' Yes': -0.0033179321, 'Yes': -5.9204626, ' No': -7.745974, ' yes': -9.28926, ' The': -9.972621}
{' Yes': -0.0045341714, 'Yes': -5.8308105, ' No': -6.6051807, ' yes': -9.289164, ' The': -9.560965}
{' Yes': -0.066467345, ' No': -2.8039472, 'Yes': -5.7834334, 'No': -7.7666283, ' The': -9.001755}
{' Yes': -0.41956118, ' No': -1.0884799, 'Yes': -5.866927, 'No': -5.9288054, ' The': -8.469808}
{' Yes': -0.0019416737, 'Yes': -6.564783, ' No': -7.9096165, ' yes': -9.353746, ' The': -9.742911}
{' Yes': -0.092229806, ' No': -2.4776478, 'Yes': -5.802452, 'No': -7.4608593, ' The': -8.220894}
{' No': -0.4189054, ' Yes': -1.0931494, 'No': -5.420933, 'Yes': -6.635591, ' The': -7.5110908}
{' No': -0.120617226, ' Yes': -2.2216322, 'No': -5.409506, 'Yes': -7.945026, ' Not': -8.82487}
{' Yes': -0.020307576, ' No': -4.082229, 'Yes': -5.999828, ' The': -7.7601733, 'No': -9.285535}
{' No': -0.16128635, ' Yes': -1.9507151, 'No': -5.2127714, ' The': -7.4546247, 'Yes': -7.674168}
{' Yes': -0.0077389325, 'Yes': -5.566527, ' No': -5.648097, '\n': -8.828395, ' yes': -9.460683}
{' Yes': -0.08183025, ' No': -2.6190596, 'Yes': -5.581755, 'No': -7.182845, ' The': -7.366025}
{' No': -0.014976661, 'No': -4.6958885, ' Yes': -5.307398, ' Not': -7.743126, ' The': -8.523769}
{' Yes': -0.013631355, ' No': -4.7947288, 'Yes': -5.3009467, 'No': -9.426387, ' yes': -9.456019}
{' Yes': -0.02198977, ' No': -3.9510934, 'Yes': -6.193559, ' The': -8.779726, ' yes': -9.281903}
{' Yes': -0.013048383, ' No': -4.872364, 'Yes': -5.2925167, ' The': -9.256687, 'No': -9.277761}
{' Yes': -0.072711706, ' No': -2.727964, 'Yes': -5.561516, 'No': -7.5097594, ' The': -8.638635}
{' Yes': -0.031142961, ' No': -3.6083808, 'Yes': -5.8245215, ' The': -8.24812, 'No': -8.792901}
{' Yes': -0.003925359, 'Yes': -5.6583233, '\n': -8.967928, ' yes': -9.017044, ' No': -9.122063}
{' Yes': -0.0027442256, 'Yes': -6.0517893, ' No': -8.181462, ' yes': -9.700364, ' The': -10.752006}
{' Yes': -0.0011997992, ' No': -7.2410583, 'Yes': -8.428324, ' yes': -8.60742, ' The': -10.450539}
{' Yes': -0.0007667621, 'Yes': -8.026058, ' yes': -8.329582, ' No': -8.801101, '\n': -11.111816}
{' Yes': -0.0026406506, ' No': -6.168101, 'Yes': -8.099073, ' yes': -8.650686, '\n': -10.412486}
{' Yes': -0.00045859648, 'Yes': -8.220165, ' No': -9.295391, ' yes': -9.621435, ' ': -11.463485}
{' No': -0.072812214, ' Yes': -2.671409, '\n': -7.899897, 'No': -7.901482, ' ': -8.97123}
{' No': -0.10936657, ' Yes': -2.2783117, 'No': -7.292846, '\n': -8.6853895, ' ': -8.989661}
{' Yes': -0.0058226315, ' No': -5.376746, 'Yes': -7.3573546, ' yes': -7.99744, '\n': -9.241244}
{' No': -0.10327407, ' Yes': -2.3329322, 'No': -7.425278, '\n': -8.202436, ' ': -9.349979}
{' Yes': -0.0018055186, ' No': -6.834426, 'Yes': -7.802865, ' yes': -8.205476, '\n': -10.773185}
{' Yes': -0.008020314, ' No': -4.901502, 'Yes': -7.9679556, ' yes': -8.810606, '\n': -10.393179}
{' No': -0.02158985, ' Yes': -3.8992047, 'No': -7.157263, ' ': -9.146748, '\n': -9.257259}
{' Yes': -0.049525682, ' No': -3.0551293, 'Yes': -7.165067, '\n': -8.661368, ' yes': -8.893867}
{' Yes': -0.0019271622, ' No': -6.633885, 'Yes': -7.802262, ' yes': -8.980789, '\n': -10.136861}
{' Yes': -0.57705754, ' No': -0.826821, 'No': -7.869314, 'Yes': -8.003006, '\n': -9.164606}
{' Yes': -0.050253794, ' No': -3.0384834, ' yes': -7.441681, 'Yes': -8.018217, '\n': -9.761584}
{' Yes': -0.0006949459, 'Yes': -7.831162, ' No': -8.715564, ' yes': -9.3824005, '\n': -10.625517}
{' Yes': -0.033240017, ' No': -3.4541576, 'Yes': -7.379183, '\n': -8.526289, ' yes': -8.8377}
{' Yes': -0.010253082, ' No': -4.666291, 'Yes': -7.415276, ' yes': -9.274953, '\n': -9.732959}
{' Yes': -0.0015481304, 'Yes': -7.0003676, ' No': -7.745105, ' yes': -9.199106, '\n': -9.836343}
{' No': -0.0059874565, ' Yes': -5.3828163, 'No': -6.693983, ' ': -9.549377, '\n': -10.011114}
{' Yes': -0.0016916539, 'Yes': -7.284725, ' No': -7.8730183, '\n': -8.137341, ' yes': -8.835736}
{' No': -0.43449888, ' Yes': -1.0558063, '\n': -6.3394747, 'No': -6.7240205, ' ': -7.440921}
{' Yes': -0.0007006726, 'Yes': -7.4830303, ' yes': -9.317501, '\n': -10.490973, ' ': -11.367506}
{' Yes': -0.0008567187, 'Yes': -7.241732, ' yes': -9.303488, '\n': -10.696962, ' ': -11.043852}
{' Yes': -0.013544591, ' No': -4.3948274, 'Yes': -7.1266007, ' yes': -9.324678, ' The': -9.338058}
{' No': -0.14637364, ' Yes': -2.0048466, 'No': -7.130848, '\n': -8.266421, ' The': -9.055594}
{' Yes': -0.053041816, ' No': -2.9926093, 'Yes': -7.094847, ' yes': -8.229803, '\n': -8.537199}
{' Yes': -0.0009870146, 'Yes': -7.4677763, ' No': -8.364891, ' yes': -9.258693, '\n': -9.658025}
{' No': -0.017972281, ' Yes': -4.1054473, 'No': -7.109441, '\n': -8.326482, ' ': -8.970845}
{' Yes': -0.41345066, ' No': -1.0858979, 'Yes': -7.824723, 'No': -8.405523, '\n': -8.696318}
{' No': -0.0853433, ' Yes': -2.5233448, 'No': -6.748484, ' ': -8.692089, '\n': -8.890145}
{' No': -0.1338892, ' Yes': -2.089404, 'No': -7.207549, '\n': -7.6785, ' ': -8.528217}
{' Yes': -0.0019225046, ' No': -6.894956, 'Yes': -7.4809756, ' yes': -8.537295, '\n': -9.341866}
{' Yes': -0.1412854, ' No': -2.0326445, 'Yes': -8.016413, '\n': -8.853144, ' yes': -9.088061}
{' Yes': -0.009490218, ' No': -4.9156394, 'Yes': -6.36245, ' yes': -8.839689, '\n': -8.856219}
{' Yes': -0.3450542, ' No': -1.2369915, 'Yes': -6.9356337, 'No': -8.21351, '\n': -9.097852}
{' No': -0.26444215, ' Yes': -1.466293, 'No': -7.079431, '\n': -8.373328, 'Yes': -8.567746}
{' No': -0.66040003, ' Yes': -0.7318341, 'No': -7.012442, 'Yes': -7.43295, ' yes': -7.8012514}
{' Yes': -0.0015786967, ' yes': -7.357415, 'Yes': -7.7326674, ' No': -7.8752947, '\n': -9.566922}
{' Yes': -0.0026535015, ' No': -6.317147, 'Yes': -7.6532116, ' yes': -8.308357, '\n': -9.374361}
{' Yes': -0.00049169146, 'Yes': -7.9837904, ' yes': -8.979207, ' YES': -11.528223, '\n': -11.869629}
{' Yes': -0.0004984892, 'Yes': -8.000186, ' yes': -9.217786, ' No': -10.17406, ' YES': -11.611861}
{' Yes': -0.0014892104, ' No': -6.9083834, 'Yes': -8.097468, ' yes': -8.8920145, ' Pen': -11.049672}
{' Yes': -0.0011534909, ' No': -7.4052672, 'Yes': -8.065229, ' yes': -8.616641, '\n': -10.864431}
{' Yes': -0.0006904132, 'Yes': -7.8230987, ' yes': -8.417295, '\n': -10.335954, ' ': -10.735554}
{' Yes': -0.0035339058, ' No': -5.842748, 'Yes': -7.947471, ' yes': -8.864515, '\n': -9.599919}
{' Yes': -0.0005668924, 'Yes': -7.909326, ' yes': -9.119169, ' No': -10.235619, '\n': -10.38854}
{' Yes': -0.000411847, 'Yes': -8.236781, ' yes': -9.286978, ' No': -10.402878, ' The': -11.462128}
{' Yes': -0.0007104543, 'Yes': -7.8265157, ' yes': -8.95451, ' No': -9.247814, '\n': -9.966499}
{' Yes': -0.2107485, ' No': -1.6657007, 'Yes': -7.94746, ' yes': -8.664174, '\n': -8.823586}
{' Yes': -0.664306, ' No': -0.72595537, 'Yes': -7.937922, 'No': -7.9516397, '\n': -8.277692}
{' Yes': -0.07947198, ' No': -2.5861647, 'Yes': -7.478764, ' yes': -8.246809, '\n': -9.041962}
{' Yes': -0.0006999565, 'Yes': -7.9711695, ' yes': -8.437891, ' No': -9.668351, '\n': -10.172827}
{' Yes': -0.0017544666, ' No': -6.7112765, 'Yes': -7.9512153, ' yes': -9.098154, '\n': -10.153754}
{' Yes': -0.03805754, ' No': -3.3170817, 'Yes': -7.20841, ' yes': -9.075783, ' ': -9.510008}
{' Yes': -0.008303111, ' No': -4.8578324, 'Yes': -8.074368, ' yes': -9.135952, '\n': -10.20237}
{' Yes': -0.00080595264, 'Yes': -7.4913588, ' yes': -8.958617, ' No': -9.870901, '\n': -10.175685}
{' Yes': -0.0010322416, ' No': -7.620531, 'Yes': -7.820713, ' yes': -9.273514, '\n': -10.72711}
{' Yes': -0.00054160797, 'Yes': -7.73051, ' yes': -9.655964, '\n': -11.343391, ' No': -11.616502}
{' Yes': -0.0028537286, ' No': -6.1689687, 'Yes': -7.6320457, ' yes': -8.984293, '\n': -9.246042}
{' Yes': -0.10307053, ' No': -2.3444874, 'Yes': -6.793626, '\n': -8.136239, ' yes': -8.445308}
{' No': -0.019855972, ' Yes': -4.007344, 'No': -6.9221187, '\n': -8.248659, ' ': -9.234245}
{' No': -0.01629798, ' Yes': -4.2248282, 'No': -7.0129027, '\n': -7.796037, ' ': -8.755935}
{' Yes': -0.012331055, ' No': -4.5127316, 'Yes': -6.9020643, ' yes': -8.995665, '\n': -9.384977}
{' Yes': -0.0006281441, 'Yes': -7.803297, ' yes': -8.618352, ' ': -11.460483, ' YES': -11.630083}
{' Yes': -0.00401572, ' No': -5.8177586, ' yes': -7.776493, 'Yes': -7.881914, '\n': -8.835306}
{' Yes': -0.0046998626, ' No': -5.6571937, 'Yes': -7.4881988, '\n': -8.240066, ' yes': -8.463447}
{' Yes': -0.321896, ' No': -1.2945884, 'Yes': -7.6190166, 'No': -8.20491, ' yes': -8.834356}
{' Yes': -0.28736958, ' No': -1.3911066, 'Yes': -8.015787, '\n': -8.461605, 'No': -8.760054}
{' No': -0.43056533, ' Yes': -1.0560155, '\n': -7.29442, 'No': -7.4532986, 'Yes': -8.191212}
{' Yes': -0.07906053, ' No': -2.594283, 'Yes': -7.31309, '\n': -8.4290695, ' yes': -8.465185}
{' Yes': -0.0040091975, ' No': -5.773861, 'Yes': -7.240312, ' yes': -9.033108, ' ': -10.641671}
{' Yes': -0.03619124, ' No': -3.3760598, 'Yes': -7.1544104, ' yes': -8.432258, '\n': -8.437083}
{' Yes': -0.16083437, ' No': -1.9133005, 'Yes': -7.795514, '\n': -8.530517, ' yes': -8.660296}
{' Yes': -0.0019454958, ' No': -6.5653725, 'Yes': -7.9525433, ' yes': -9.092905, '\n': -10.371851}
{' Yes': -0.0009221041, 'Yes': -7.282881, ' No': -9.00386, ' yes': -9.770335, '\n': -10.529965}
{' No': -0.5822911, ' Yes': -0.8196816, ' yes': -8.747677, 'No': -8.781801, 'Yes': -8.886261}
{' No': -0.03424676, ' Yes': -3.418915, 'No': -7.383039, '\n': -8.866125, ' ': -9.952238}
{' Yes': -0.0017182213, 'Yes': -7.257419, '\n': -7.7743754, ' yes': -7.926147, ' No': -9.105113}
{' Yes': -0.0018521555, ' No': -6.684735, 'Yes': -7.579506, ' yes': -9.823776, '\n': -11.220864}
{' Yes': -0.01756838, ' No': -4.086925, 'Yes': -8.100094, ' yes': -8.482882, ' ': -9.851701}
{' Yes': -0.014092788, ' No': -4.331744, 'Yes': -7.4023547, ' yes': -9.400794, '\n': -9.465383}
{' Yes': -0.0009079051, 'Yes': -7.323009, ' yes': -8.90719, ' No': -9.667845, '\n': -10.544107}
{' Yes': -0.00105915, 'Yes': -7.3224816, ' yes': -8.81926, '\n': -9.036064, ' No': -9.147704}
{' Yes': -0.03900396, ' No': -3.2812428, 'Yes': -7.9022827, ' yes': -8.847807, '\n': -9.730431}
{' Yes': -0.37610132, ' No': -1.1627225, 'Yes': -8.104267, 'No': -8.286215, '\n': -9.106064}
{' No': -0.19433534, ' Yes': -1.7440199, 'No': -7.1912293, '\n': -7.844144, ' ': -8.215125}
{' Yes': -0.1950314, ' No': -1.7395185, 'Yes': -7.3660593, ' The': -7.6363683, '\n': -8.731981}
{' Yes': -0.17054485, ' No': -1.8653767, ' yes': -6.8632517, 'Yes': -7.6969805, '\n': -8.360318}
{' Yes': -0.13920814, ' No': -2.0525897, 'Yes': -7.3817534, '\n': -7.5736313, ' yes': -8.624516}
{' Yes': -0.0006164532, 'Yes': -7.762356, ' yes': -9.191364, '\n': -10.071924, ' No': -10.964315}
{' Yes': -0.0011493139, 'Yes': -7.3214784, ' No': -8.528077, ' yes': -8.9073305, '\n': -9.056411}
{' Yes': -0.000534095, 'Yes': -7.689766, ' yes': -9.862741, ' YES': -11.517746, ' ': -11.885195}
{' Yes': -0.054708704, ' No': -2.9519253, 'Yes': -7.5336165, '\n': -8.48967, ' yes': -8.996887}
{' Yes': -0.0008549268, 'Yes': -7.19755, ' yes': -9.741278, '\n': -10.524761, ' ': -11.155285}
{' Yes': -0.5693481, ' No': -0.8360165, 'Yes': -8.535734, 'No': -8.546314, '\n': -9.056474}
{' Yes': -0.004043009, ' No': -5.666728, 'Yes': -7.785079, ' yes': -9.366878, '\n': -10.062167}
{' Yes': -0.00048072237, 'Yes': -7.8172774, ' yes': -10.40143, ' No': -10.693949, '\n': -11.339187}
{' Yes': -0.001834599, ' No': -7.098272, 'Yes': -7.1846595, ' yes': -8.531421, '\n': -11.021506}
{' Yes': -0.0025116312, ' No': -6.7108145, 'Yes': -6.945413, ' yes': -8.200999, '\n': -10.831574}
{' No': -0.14395429, ' Yes': -2.0218437, '\n': -7.3369837, 'No': -7.5673165, ' ': -8.558248}
{' No': -0.028708061, ' Yes': -3.5942385, 'No': -7.4432654, '\n': -9.383572, ' no': -9.68284}
{' No': -0.032436345, ' Yes': -3.4926202, 'No': -6.641376, '\n': -9.582941, 'Yes': -10.263604}
{' No': -0.002490122, 'No': -6.533513, ' Yes': -7.0046816, ' ': -9.917726, '\n': -10.306542}
{' Yes': -0.0018233745, ' No': -6.90459, 'Yes': -7.7116466, ' yes': -8.493021, '\n': -9.07053}
{' Yes': -0.0013839774, ' No': -7.2869973, 'Yes': -7.770453, ' yes': -8.730779, '\n': -9.357225}
{' Yes': -0.0014296982, ' No': -7.198399, 'Yes': -7.6686997, ' yes': -8.918016, '\n': -10.10443}
{' Yes': -0.00091733114, 'Yes': -7.7233553, ' No': -8.196881, ' yes': -9.087495, '\n': -9.762126}
{' Yes': -0.011147435, ' No': -4.599484, 'Yes': -7.608931, ' yes': -7.889996, '\n': -9.339914}
{' Yes': -0.06037343, ' No': -2.857355, 'Yes': -7.4823756, ' yes': -8.110998, '\n': -8.848883}
{' Yes': -0.0040173945, ' No': -5.689781, 'Yes': -7.705736, ' yes': -9.43622, ' Empire': -10.331081}
{' Yes': -0.029654004, ' No': -3.563572, 'Yes': -7.5901756, '\n': -9.016012, ' yes': -9.096657}
{' Yes': -0.32125628, ' No': -1.2968214, ' yes': -7.8670454, '\n': -7.985294, 'Yes': -8.212962}
{' No': -0.0039086062, ' Yes': -5.8365993, 'No': -7.097692, ' ': -9.619558, '\n': -9.751116}
{' Yes': -0.0077201338, ' No': -4.939872, 'Yes': -7.9371114, ' yes': -9.201267, '\n': -10.216898}
{' Yes': -0.09519584, ' No': -2.4086475, 'Yes': -7.4461875, ' yes': -9.251709, 'No': -9.379833}
{' Yes': -0.0022758078, ' No': -6.5657997, 'Yes': -7.483867, ' yes': -9.161316, '\n': -9.286318}
{' Yes': -0.278491, ' No': -1.4181947, 'Yes': -7.777207, 'No': -8.79416, ' yes': -8.836508}
{' Yes': -0.10748796, ' No': -2.2942345, 'Yes': -7.9293165, '\n': -8.172582, ' yes': -8.520003}
{' No': -0.5348874, ' Yes': -0.89130026, '\n': -6.25172, 'No': -6.9546776, 'Yes': -7.68651}
