{' Yes': -0.04511578, ' Generally': -3.6469321, ' No': -4.4161234, 'Yes': -5.597255, ' Typically': -7.983192}
{' No': -0.18039379, 'No': -1.972754, ' Generally': -4.9450803, ' It': -5.100496, '\n': -5.6396885}
{' No': -0.25771445, 'No': -1.9645969, ' It': -3.1842737, ' Generally': -4.323064, ' A': -4.549078}
{' No': -0.22088556, 'No': -1.9024708, ' Generally': -4.3240404, '\n': -4.6062803, ' It': -4.8099375}
{' No': -0.8117105, ' It': -1.5215188, 'No': -2.237646, ' Ducks': -2.5268557, ' Generally': -2.8754444}
{' No': -0.29385194, 'No': -1.5967884, '\n': -3.2042255, ' ': -5.2221127, ' A': -6.1521177}
{' No': -0.39074835, 'No': -1.2932887, '\n': -3.5997422, ' A': -4.840036, ' ': -5.287475}
{' No': -0.43865675, 'No': -1.6758659, '\n': -2.1508017, ' Ducks': -3.7588089, ' ': -4.185649}
{' No': -1.2396474, ' Ducks': -1.3074021, '\n': -1.835337, 'No': -2.0380652, ' It': -2.7231164}
{' No': -0.0642464, 'No': -2.8553476, ' ': -6.9411526, '\n': -7.1584673, ' Generally': -7.2102017}
{' No': -0.09653923, 'No': -2.7405095, ' It': -4.2200227, ' A': -5.749409, ' That': -5.777783}
{' No': -0.09062173, 'No': -2.7925906, ' Generally': -4.7207103, ' It': -5.236055, ' Ducks': -5.4636264}
{' No': -0.917073, ' It': -1.3823708, ' Ducks': -1.8909233, ' That': -2.659072, ' Generally': -3.1324396}
{' No': -0.6122662, 'No': -0.9083325, '\n': -3.2255416, ' ': -5.07042, ' no': -5.915399}
{' No': -0.6321662, 'No': -0.84811056, '\n': -3.5031817, ' ': -5.245731, ' no': -6.526123}
{' No': -0.56179804, 'No': -1.0071486, '\n': -3.1219022, ' ': -5.0579705, ' NO': -5.1261415}
{' No': -0.68504053, 'No': -0.8914233, '\n': -2.9494407, ' Ducks': -4.2741995, ' ': -4.802101}
{' No': -0.13546139, 'No': -2.5791166, ' no': -3.8064914, '\n': -4.9100127, ' ': -5.0526557}
{' No': -0.38218075, ' It': -2.5338778, 'No': -2.5743804, ' A': -2.8300223, ' That': -4.1051555}
{' No': -0.37113804, 'No': -2.4299662, ' Ducks': -2.8541198, '\n': -3.2912629, ' It': -3.3192582}
{' No': -1.377574, ' It': -1.6173029, ' Ducks': -1.6358461, ' That': -2.6729956, '\n': -2.984347}
{' No': -0.027870132, 'No': -4.1434646, '\n': -5.0069785, ' ': -5.7894397, ' Generally': -7.282022}
{' No': -0.069736354, 'No': -3.8188453, ' It': -3.8728542, '\n': -5.1768303, ' Generally': -5.2252655}
{' No': -0.08868896, '\n': -3.6598408, 'No': -3.9043229, ' Generally': -4.162261, ' Ducks': -4.829421}
{' No': -0.58189875, ' Ducks': -1.7627954, ' Generally': -2.4555635, ' It': -2.7072992, '\n': -3.3544016}
{' No': -0.13500415, 'No': -2.403469, '\n': -3.7138348, ' ': -5.044616, ' Generally': -6.0906563}
{' No': -0.15270986, 'No': -2.292898, '\n': -4.2800117, ' It': -4.981107, ' ': -5.1380577}
{' No': -0.3208073, '\n': -2.1147585, 'No': -2.5721827, ' Ducks': -3.7108507, ' Generally': -3.7650461}
{' No': -0.39419514, ' Ducks': -2.470512, 'No': -2.4871535, '\n': -2.8246398, ' Generally': -3.1248698}
{' No': -0.12911718, 'No': -2.4949563, '\n': -3.6288137, ' ': -5.09603, ' A': -5.830736}
{' No': -0.13888244, 'No': -2.4658496, '\n': -4.124524, ' It': -4.7797112, ' A': -4.8803163}
{' No': -0.17632498, 'No': -2.8154926, ' Ducks': -3.2654974, '\n': -3.302763, ' ': -4.4897804}
{' No': -0.8674688, ' Ducks': -1.0422715, '\n': -2.8984118, 'No': -3.1772277, ' Generally': -3.3654163}
{' No': -0.028953632, 'No': -3.9056473, '\n': -5.517679, ' ': -5.7062855, ' Generally': -7.541902}
{' No': -0.05482613, 'No': -3.3168252, ' ': -5.4780364, ' It': -5.5084224, '\n': -5.902682}
{' No': -0.07906718, 'No': -3.360218, '\n': -3.741096, ' ': -4.8940086, ' Generally': -5.1972384}
{' No': -0.4593396, ' Ducks': -2.0657296, ' Generally': -2.805142, ' It': -2.8115754, 'No': -3.1825185}
{' No': -0.09610128, 'No': -2.5090117, '\n': -5.2202888, ' ': -5.633094, ' A': -7.140647}
{' No': -0.13949901, 'No': -2.1633368, '\n': -5.3864946, ' ': -5.388557, ' A': -5.6085443}
{' No': -0.10785277, 'No': -2.55743, '\n': -4.3646183, ' ': -4.9070296, ' Ducks': -5.783252}
{' No': -0.20546933, 'No': -2.4385986, ' Ducks': -2.897379, '\n': -3.9883919, ' ': -4.2679725}
{' No': -0.05970929, 'No': -3.3714557, '\n': -4.926557, ' ': -4.9616656, ' A': -5.641825}
{' No': -0.15500763, 'No': -3.138072, ' It': -3.6509373, ' A': -3.848343, ' Generally': -4.584879}
{' No': -0.20047885, ' Ducks': -2.8212023, 'No': -3.1240802, ' Generally': -3.900676, ' ': -4.125417}
{' No': -0.52929115, ' Ducks': -1.683855, ' Generally': -3.145937, 'No': -3.245093, ' It': -3.2868536}
{' Yes': -0.017481457, ' Generally': -4.901873, 'Yes': -5.0866036, ' No': -6.076807, ' It': -7.9339466}
{' Yes': -0.009801423, 'Yes': -4.9106245, ' Generally': -6.44535, ' No': -7.8881373, ' yes': -8.736131}
{' Yes': -0.16882879, ' Generally': -2.6210668, ' No': -2.801874, 'Yes': -5.0347953, ' It': -5.72179}
{' Yes': -0.0743722, ' Generally': -3.1112523, ' No': -4.7090745, 'Yes': -4.8746057, ' It': -6.0126023}
{' Yes': -0.13020152, ' No': -2.8857915, ' Generally': -3.3673232, 'Yes': -4.1190357, 'No': -5.3676186}
{' Yes': -0.033496074, 'Yes': -3.9340487, ' Generally': -5.1859846, ' No': -5.28387, ' A': -7.26966}
{' Yes': -0.20277426, ' No': -2.2028792, ' Generally': -3.5750558, 'Yes': -3.8125741, 'No': -4.1511345}
{' Yes': -0.019253323, 'Yes': -4.293482, ' Generally': -5.8299327, ' No': -6.7976494, ' yes': -8.031293}
{' No': -0.48727602, ' Yes': -1.3019447, 'No': -2.6436138, ' Generally': -4.540674, 'Yes': -4.648905}
{' Yes': -0.14460346, ' No': -2.353792, 'Yes': -3.9027572, 'No': -4.879953, ' Generally': -5.729028}
{' No': -0.38347584, ' Yes': -1.6400999, 'No': -2.3618999, ' Generally': -4.751788, 'Yes': -5.017484}
{' Yes': -0.04332037, 'Yes': -3.857436, ' No': -4.3598943, ' Generally': -5.925307, 'No': -6.752549}
{' Yes': -0.033386804, ' No': -4.1612496, ' Generally': -4.8382516, 'Yes': -5.0853677, ' A': -6.534044}
{' Yes': -0.0129142115, 'Yes': -4.920972, ' No': -5.879058, ' Generally': -6.364219, ' A': -7.6877604}
{' Yes': -0.13409759, ' Generally': -2.9303107, ' No': -3.0496001, ' Frog': -4.8221655, 'Yes': -4.905683}
{' Yes': -0.037347168, ' Generally': -4.1853137, 'Yes': -4.598607, ' No': -4.957034, ' Frog': -6.1925592}
{' No': -0.1473819, 'No': -2.197589, '\n': -5.331341, ' Generally': -5.4131184, ' Yes': -5.4956503}
{' No': -0.20716767, 'No': -2.1672945, ' Yes': -3.1083899, ' Generally': -4.9562807, '\n': -5.0196314}
{' No': -0.17837094, 'No': -2.3823445, ' Yes': -3.4560142, ' Generally': -4.9175186, '\n': -5.120937}
{' Yes': -0.15797028, ' No': -2.727251, 'Yes': -3.3709202, 'No': -4.6448193, ' Generally': -4.8185153}
{' No': -0.5915124, ' Yes': -1.2934548, ' Generally': -2.4547365, 'No': -3.0271566, ' A': -4.3961673}
{' Yes': -0.09156627, ' No': -3.3645878, ' Generally': -3.770771, 'Yes': -4.060133, ' A': -5.590717}
{' Yes': -0.44897178, ' No': -1.545556, ' Generally': -2.7943943, ' Frog': -3.5338507, 'No': -3.688027}
{' Yes': -0.03877864, 'Yes': -3.916073, ' Generally': -5.124253, ' No': -5.3638496, ' Frog': -5.9644675}
{' Yes': -0.007094979, 'Yes': -5.338308, ' yes': -7.188207, ' ': -7.4494414, ' No': -7.927611}
{' Yes': -0.004409696, 'Yes': -5.818782, ' yes': -7.4330726, ' ': -7.8414774, '\n': -8.512354}
{' Yes': -0.007924244, 'Yes': -5.432967, ' No': -6.430918, ' yes': -7.4827123, '\n': -7.762212}
{' Yes': -0.005846195, 'Yes': -5.706278, ' yes': -7.338303, ' Generally': -7.62893, ' No': -7.712246}
{' No': -0.068079524, 'No': -2.8432848, '\n': -5.635855, ' ': -6.2190614, ' A': -7.3298945}
{' No': -0.06936882, 'No': -2.99276, ' Yes': -5.271078, '\n': -5.665264, ' A': -5.776615}
{' No': -0.05910541, 'No': -2.9770303, ' ': -5.980248, '\n': -6.4047017, ' Yes': -6.5932584}
{' Yes': -0.06481, ' No': -3.4998817, 'Yes': -4.3302727, ' Generally': -5.4230537, ' Frog': -5.608986}
{' No': -0.15808693, 'No': -2.3233607, '\n': -3.2799017, ' ': -5.001845, ' A': -6.0855293}
{' No': -0.17020002, 'No': -2.4789462, '\n': -3.0057502, ' Yes': -4.828157, ' ': -4.8439803}
{' No': -0.21770903, 'No': -2.3249478, '\n': -2.4801145, ' ': -4.381987, ' NO': -8.034977}
{' No': -0.84142166, '\n': -1.2223383, ' Yes': -1.8610272, 'No': -2.8720117, ' ': -3.32528}
{' No': -0.058908712, ' Yes': -3.2161734, 'No': -4.230358, ' ': -6.6352096, ' A': -7.597494}
{' No': -0.35796, ' Yes': -1.2388651, 'No': -4.981798, ' ': -6.2560825, 'Yes': -6.4838467}
{' No': -0.031702977, ' Yes': -4.170636, 'No': -4.2535925, ' ': -7.090611, '\n': -8.073361}
{' Yes': -0.07028293, ' No': -2.7794654, 'Yes': -5.5962033, 'No': -7.3014817, ' ': -7.404677}
{' No': -0.31127998, 'No': -1.4096266, '\n': -4.4371114, ' ': -4.9593987, ' A': -6.4472103}
{' No': -0.26183498, 'No': -1.5641935, '\n': -4.502762, ' ': -5.055918, ' A': -6.4744945}
{' No': -0.30683395, 'No': -1.4604023, '\n': -4.0208483, ' ': -4.5507097, ' NO': -6.341852}
{' No': -0.34507713, 'No': -1.7884974, ' Yes': -2.964542, '\n': -3.333667, ' ': -4.0577655}
{' No': -0.4627995, ' Yes': -1.1480755, 'No': -3.7331562, ' A': -4.748654, ' ': -5.0894384}
{' Yes': -0.0688615, ' No': -3.2988703, 'Yes': -4.519402, ' yes': -5.158371, ' ': -5.446336}
{' Yes': -0.15990385, ' No': -2.3107276, 'Yes': -3.9112198, ' yes': -4.6585646, 'No': -5.00677}
{' Yes': -0.033905163, 'Yes': -4.16514, ' yes': -4.5426483, ' ': -6.1533656, '\n': -6.719418}
{' No': -0.5401821, ' Yes': -1.3803712, 'No': -2.3231163, ' A': -3.8846729, 'Yes': -4.3925657}
{' Yes': -0.091076486, 'Yes': -3.262751, ' No': -3.919705, ' yes': -4.7599645, ' A': -4.835254}
{' Yes': -0.4548899, ' No': -1.614308, 'No': -3.004505, 'Yes': -3.1951356, ' Generally': -4.0096354}
{' Yes': -0.22386172, ' No': -2.5197105, 'Yes': -3.1712856, ' yes': -4.0157585, 'No': -4.2842536}
{' No': -0.08485131, 'No': -2.5317812, ' Yes': -6.6748667, ' ': -8.453618, ' no': -9.103553}
{' No': -0.13686432, 'No': -2.2542427, ' Yes': -3.853276, 'Yes': -6.913132, ' ': -7.9641104}
{' No': -0.25463933, 'No': -1.5997472, ' Yes': -3.9805381, ' Generally': -6.3736444, 'Yes': -6.478413}
{' Yes': -0.58746445, ' No': -1.0650054, 'No': -2.753425, 'Yes': -3.5720568, ' Generally': -5.551684}
{' No': -0.13025442, 'No': -2.153747, ' Yes': -5.432073, ' ': -7.6306753, ' Generally': -8.041317}
{' No': -0.43052602, ' Yes': -1.5033772, 'No': -2.198066, 'Yes': -4.4036016, ' Generally': -6.5583944}
{' No': -0.41708305, ' Yes': -1.7598201, 'No': -1.9068846, 'Yes': -4.463229, ' Generally': -5.4997687}
{' Yes': -0.17808428, ' No': -2.5183706, 'Yes': -2.9105842, 'No': -3.8739135, ' Generally': -6.096375}
{' No': -0.032164615, 'No': -4.0003915, ' Yes': -4.368039, ' ': -8.451636, 'Yes': -8.766993}
{' No': -0.17957695, ' Yes': -1.9793758, 'No': -3.7739754, 'Yes': -6.1389995, ' ': -7.593246}
{' Yes': -0.16296472, ' No': -2.1165228, 'Yes': -4.0738707, 'No': -4.754542, ' Generally': -6.0737333}
{' Yes': -0.05613372, ' No': -3.5120492, 'Yes': -3.9751265, 'No': -6.2307854, ' Generally': -6.4897547}
{' No': -0.48009324, 'No': -0.99304235, ' Frog': -5.672395, ' Generally': -6.2860427, ' ': -6.652617}
{' No': -0.5362275, 'No': -0.98007905, ' Yes': -4.5874853, ' FR': -4.5888453, ' Generally': -5.6546946}
{' No': -0.56824076, 'No': -1.1251026, ' Yes': -3.0326626, ' Generally': -4.1795936, ' Frog': -4.197519}
{' Yes': -1.0203987, 'No': -1.3829858, ' No': -1.478252, 'Yes': -2.47932, ' Frog': -3.3767695}
{' No': -0.11372737, 'No': -2.2463071, ' no': -7.647857, ' ': -7.7202783, ' Frog': -8.09865}
{' No': -0.14613536, 'No': -2.395441, ' Yes': -3.4363766, ' FR': -5.38319, ' Frog': -6.357895}
{' Yes': -0.15557402, ' No': -2.6573572, 'Yes': -3.2740185, 'No': -4.1870832, ' Generally': -4.645585}
{' Yes': -0.16892363, ' No': -2.898713, 'Yes': -2.9054003, 'No': -4.086917, ' Frog': -4.604686}
{' Yes': -0.058215473, ' yes': -3.0825763, 'Yes': -5.296256, ' ': -6.093558, ' No': -6.2461815}
{' Yes': -0.07429008, ' yes': -2.7871673, 'Yes': -5.0751805, ' ': -6.3446794, 'yes': -7.305493}
{' Yes': -0.059425235, ' yes': -3.2330854, ' No': -4.4733505, 'Yes': -5.55224, ' ': -6.3925934}
{' Yes': -0.06669332, ' yes': -2.8637972, 'Yes': -5.188588, ' ': -7.2655683, 'yes': -7.449518}
{' No': -0.10259239, 'No': -2.6606445, ' Yes': -4.177618, ' ': -5.7053103, '\n': -5.8597827}
{' Yes': -0.21316524, ' No': -2.0917928, 'Yes': -3.6539648, 'No': -4.414421, ' yes': -4.6259384}
{' No': -0.22715369, 'No': -2.3596647, ' Yes': -2.4315088, '\n': -5.0240703, ' ': -5.178554}
{' Yes': -0.04090461, 'Yes': -3.6230576, ' yes': -4.958925, '\n': -6.1215644, ' ': -6.657361}
{' No': -0.2270168, 'No': -1.9048504, '\n': -3.360203, ' Yes': -4.9778495, ' ': -5.145228}
{' No': -0.71252507, ' Yes': -1.2562567, 'No': -2.405621, '\n': -2.5473545, 'Yes': -3.7406697}
{' No': -0.3177891, 'No': -2.0571995, '\n': -2.1184216, ' ': -4.407568, ' Yes': -4.8986015}
{' Yes': -0.6320343, '\n': -1.4951895, ' No': -1.9730568, 'Yes': -3.2326963, 'No': -3.4837096}
{' Yes': -0.70328605, ' No': -0.7274465, 'No': -4.723473, 'Yes': -5.3416524, ' ': -5.981295}
{' Yes': -0.09641281, ' No': -2.6403487, 'Yes': -4.4462605, ' yes': -5.752773, 'No': -6.128226}
{' No': -0.60779333, ' Yes': -0.8470111, 'No': -4.151916, 'Yes': -5.248719, ' ': -6.4577208}
{' Yes': -0.013459526, 'Yes': -4.6512156, ' yes': -6.060546, ' No': -7.2564573, ' ': -8.355815}
{' No': -0.37081683, 'No': -1.3133655, '\n': -3.7807288, ' ': -4.981153, ' no': -5.0388236}
{' No': -0.29855892, 'No': -1.5265862, '\n': -3.593432, ' ': -5.034082, ' no': -5.5163016}
{' No': -0.41677502, 'No': -1.2761539, '\n': -3.3661566, ' ': -4.6354094, ' no': -4.724411}
{' No': -0.50984186, 'No': -1.6783522, ' Yes': -2.437523, '\n': -2.449669, 'Yes': -4.3137374}
{' Yes': -0.5314134, ' No': -1.4951985, ' yes': -2.1365464, 'Yes': -4.254709, 'No': -4.3422756}
{' Yes': -0.18054415, ' yes': -2.045893, 'Yes': -4.1524315, ' No': -4.869135, '\n': -5.45837}
{' Yes': -0.27141652, ' yes': -1.691615, 'Yes': -3.6980312, ' No': -4.882771, '\n': -4.911527}
{' Yes': -0.20936915, ' yes': -1.8484988, 'Yes': -3.8721118, 'yes': -5.490746, '\n': -5.8475504}
{' Yes': -0.048588395, ' No': -3.303784, 'Yes': -5.7260194, '\n': -5.7268257, ' ': -6.2368646}
{' Yes': -0.0059607737, 'Yes': -5.721571, '\n': -7.2539177, ' yes': -7.299479, ' ': -7.5572486}
{' Yes': -0.21794388, ' No': -1.7503247, '\n': -4.818339, ' Generally': -5.4665265, ' ': -5.785577}
{' Yes': -0.0110949995, 'Yes': -5.8134837, '\n': -5.8808117, ' No': -5.9852195, ' ': -7.030727}
{' No': -0.14289342, 'No': -2.6496816, '\n': -3.3715653, ' Yes': -4.330378, ' ': -4.7321477}
{' Yes': -0.8069406, ' No': -0.823113, '\n': -2.9294817, 'No': -3.6299808, ' ': -4.422276}
{' No': -0.31994405, ' Yes': -2.2597578, '\n': -2.6608386, 'No': -2.7328887, ' ': -4.220268}
{' Yes': -0.23553668, ' No': -2.5016422, '\n': -2.528717, 'Yes': -4.139164, ' ': -4.4663258}
{' No': -0.108657554, 'No': -2.802869, '\n': -3.5676281, ' ': -5.0894732, ' A': -5.4515147}
{' No': -0.33304662, ' Yes': -1.8082091, 'No': -3.0568035, '\n': -3.286118, ' A': -3.986483}
{' No': -0.09927638, 'No': -2.9230847, '\n': -3.567168, ' ': -4.76574, ' Yes': -6.0264854}
{' Yes': -0.44124115, ' No': -1.4624183, '\n': -2.723382, ' ': -4.097464, ' Frog': -4.3869443}
{' No': -0.072552174, ' Yes': -3.3974078, 'No': -3.985531, '\n': -4.8392334, ' ': -4.8745427}
{' Yes': -0.34576207, ' No': -1.3905103, '\n': -3.9930322, ' ': -4.361419, 'Yes': -5.383943}
{' No': -0.15427044, ' Yes': -2.5725996, 'No': -3.453135, '\n': -3.974398, ' ': -4.583809}
{' Yes': -0.07536885, ' No': -3.2451382, '\n': -4.116995, 'Yes': -4.929224, ' ': -5.0152645}
{' No': -0.07506888, 'No': -2.8138764, '\n': -4.974181, ' ': -5.3660173, ' A': -7.908634}
{' No': -0.062075444, 'No': -2.944228, '\n': -5.5201783, ' ': -5.838002, ' A': -8.169342}
{' No': -0.082870565, 'No': -2.929556, '\n': -4.198656, ' ': -4.6583996, ' Yes': -7.5224705}
{' No': -0.15763457, ' Yes': -2.7168312, 'No': -3.2776182, '\n': -3.8298812, ' ': -4.368524}
{' Yes': -0.26956502, ' No': -1.8715432, '\n': -3.7482264, 'Yes': -4.180941, ' ': -4.34179}
{' Yes': -0.072307386, ' No': -3.5122733, '\n': -4.530821, 'Yes': -4.7218018, ' ': -4.883615}
{' Yes': -0.12418629, ' No': -2.7253616, '\n': -4.254653, 'Yes': -4.272967, ' ': -4.5808573}
{' Yes': -0.037898798, 'Yes': -4.264623, ' yes': -4.648187, '\n': -5.527759, ' ': -5.7554464}
{' No': -0.033271626, 'No': -3.4934647, ' Generally': -6.6128645, ' It': -7.9266143, ' ': -8.869248}
{' No': -0.03996651, 'No': -3.4433591, ' Generally': -5.465183, ' It': -6.409967, ' That': -7.7844615}
{' No': -0.040932804, 'No': -3.4096956, ' Generally': -5.4567614, ' It': -6.9899015, ' Not': -7.7169495}
{' No': -0.06943788, 'No': -3.0745664, ' Generally': -4.615668, ' It': -5.2574277, ' That': -6.240514}
{' No': -0.061545435, 'No': -2.848828, ' Generally': -7.0599217, ' ': -8.063548, ' A': -8.7581625}
{' No': -0.06888001, 'No': -2.7399213, ' Generally': -6.8087993, ' ': -8.197009, ' It': -8.582472}
{' No': -0.10743367, 'No': -2.3063853, ' Generally': -7.2474194, ' ': -7.3212647, ' It': -8.44657}
{' No': -0.083322465, 'No': -2.5883768, ' Generally': -6.3722816, ' It': -7.022642, ' ': -7.5066814}
{' No': -0.10352841, 'No': -2.3487408, '\n': -6.5777407, ' ': -7.4098616, ' Generally': -8.216905}
{' No': -0.09437578, 'No': -2.443573, '\n': -6.902527, ' ': -7.506923, ' It': -7.6300573}
{' No': -0.118344195, 'No': -2.2449656, '\n': -6.214049, ' ': -6.389378, ' Generally': -7.608617}
{' No': -0.12318357, 'No': -2.2865078, ' It': -5.566701, '\n': -6.097768, ' That': -6.321307}
{' No': -0.03531139, 'No': -3.3931756, ' Generally': -7.4288483, ' A': -8.908895, ' ': -8.927555}
{' No': -0.032309152, 'No': -3.4907346, ' Generally': -6.9347305, ' ': -9.197138, ' A': -9.312212}
{' No': -0.06502313, 'No': -2.81187, ' Generally': -6.4868236, ' It': -7.890374, ' Frog': -7.9620194}
{' No': -0.058626592, 'No': -2.9974728, ' Generally': -5.5376587, ' It': -6.9286375, ' Frog': -7.3062615}
{' No': -0.13286203, 'No': -2.1537457, '\n': -5.7236686, ' ': -6.4271526, ' It': -7.1481247}
{' No': -0.13024281, 'No': -2.1501098, '\n': -6.309007, ' ': -6.736245, ' Generally': -7.018697}
{' No': -0.14281861, 'No': -2.1925144, '\n': -5.3188744, ' ': -5.5577974, ' It': -5.7125506}
{' No': -0.20923452, 'No': -1.9013617, ' It': -4.9252405, '\n': -4.9670744, ' ': -5.430956}
{' No': -0.08948063, 'No': -2.6016226, ' Generally': -4.956805, ' A': -6.856327, ' ': -7.4041653}
{' No': -0.09581535, 'No': -2.526552, ' Generally': -4.9053435, ' A': -6.8765845, ' ': -7.5540714}
{' No': -0.13243912, 'No': -2.1898675, ' Generally': -5.563516, ' Frog': -5.640914, ' ': -6.4340935}
{' No': -0.11945494, 'No': -2.378099, ' Generally': -5.007152, ' Frog': -5.284375, ' It': -6.628289}
{' No': -0.010048719, 'No': -4.775702, ' ': -7.020449, '\n': -7.7694235, ' A': -9.200997}
{' No': -0.0069252294, 'No': -5.155868, ' ': -7.4427466, '\n': -7.8429656, ' A': -10.018085}
{' No': -0.0155128045, 'No': -4.3406315, '\n': -6.7985845, ' ': -6.8783, ' Generally': -9.533159}
{' No': -0.01163824, 'No': -4.674155, ' ': -6.9630117, '\n': -7.1984706, ' Generally': -8.410428}
{' No': -0.06884119, 'No': -2.7882738, '\n': -5.9233446, ' ': -6.3356543, ' A': -8.186536}
{' No': -0.06092714, 'No': -2.892636, '\n': -6.540438, ' ': -6.6580625, ' A': -7.7135305}
{' No': -0.056284387, 'No': -2.9688647, ' ': -6.173168, '\n': -6.959947, ' NO': -9.110147}
{' No': -0.05005049, 'No': -3.1203592, ' ': -6.3391857, '\n': -6.837274, ' FR': -7.4734817}
{' No': -0.17457499, 'No': -2.1912773, '\n': -3.211625, ' ': -5.09052, ' A': -7.0205784}
{' No': -0.14586802, 'No': -2.378427, '\n': -3.2877805, ' ': -5.425985, ' A': -7.3869433}
{' No': -0.24902184, 'No': -2.1840785, '\n': -2.3673613, ' ': -4.3753953, ' NO': -7.603254}
{' No': -0.2277597, 'No': -2.2769482, '\n': -2.4252312, ' ': -4.599448, ' FR': -7.629236}
{' No': -0.014303541, 'No': -4.3052754, ' ': -7.5129952, '\n': -9.811903, ' A': -9.996311}
{' No': -0.009410011, 'No': -4.7301893, ' ': -7.7449083, '\n': -9.885865, ' no': -10.923859}
{' No': -0.021917267, 'No': -3.8642478, ' ': -7.674719, '\n': -8.850824, ' no': -10.466149}
{' No': -0.016022483, 'No': -4.1731706, ' ': -8.170988, '\n': -9.706447, ' It': -10.512906}
{' No': -0.32393414, 'No': -1.3650166, '\n': -4.497975, ' ': -4.979568, ' A': -6.8946733}
{' No': -0.23082617, 'No': -1.6564394, '\n': -4.8111444, ' ': -5.229449, ' A': -7.3905854}
{' No': -0.30870304, 'No': -1.4253201, '\n': -4.4045506, ' ': -4.705566, ' NO': -6.19906}
{' No': -0.24399205, 'No': -1.6395055, '\n': -4.394165, ' ': -4.9582043, ' Frog': -6.769292}
{' No': -0.052965388, 'No': -3.0688572, ' ': -6.12977, ' A': -7.185546, ' no': -7.2715435}
{' No': -0.043803126, 'No': -3.2689903, ' ': -6.251097, ' A': -7.135219, '\n': -7.3663244}
{' No': -0.09456963, 'No': -2.5335746, ' ': -5.4917903, '\n': -6.2392263, ' no': -6.3225584}
{' No': -0.065891266, 'No': -2.990673, ' ': -5.633324, ' Frog': -6.3657994, ' no': -6.410296}
{' No': -0.14272448, 'No': -2.072599, ' A': -6.1910644, ' no': -6.796754, ' ': -7.0372396}
{' No': -0.13018095, 'No': -2.1513371, ' A': -6.7088685, ' no': -6.861943, ' ': -7.078307}
{' No': -0.19228877, 'No': -1.8852285, ' It': -5.5664587, ' no': -5.7389, ' ': -5.8478594}
{' No': -0.17138024, 'No': -2.007869, ' It': -5.683427, ' Frog': -5.897643, '\n': -5.9613967}
{' No': -0.10199578, 'No': -2.3401456, ' ': -8.228368, ' no': -8.448347, ' NO': -9.622786}
{' No': -0.11760075, 'No': -2.202718, ' ': -8.564925, ' no': -8.918553, 'no': -10.109167}
{' No': -0.25704268, 'No': -1.4889495, ' Generally': -8.0429735, ' ': -8.154396, '\n': -9.371467}
{' No': -0.19160545, 'No': -1.7582558, ' Generally': -7.7419953, ' It': -8.080348, ' ': -8.2608}
{' No': -0.17047317, 'No': -1.8592033, ' ': -7.6596518, '\n': -9.214845, ' It': -9.4110565}
{' No': -0.14513884, 'No': -2.0078363, ' ': -7.9511704, '\n': -9.023083, ' It': -9.680055}
{' No': -0.20835109, 'No': -1.6888655, ' ': -7.1412487, ' It': -7.5938888, ' Generally': -7.7787023}
{' No': -0.18504259, 'No': -1.824052, ' FR': -6.5670686, ' It': -6.6327806, ' Frog': -6.7889433}
{' No': -0.027436916, 'No': -3.622127, ' ': -8.836603, ' no': -9.704491, ' NO': -9.930457}
{' No': -0.034280743, 'No': -3.4028416, ' ': -8.593939, ' no': -9.777702, ' A': -10.155285}
{' No': -0.046122257, 'No': -3.117228, ' ': -8.105057, ' Generally': -8.858356, ' no': -9.537241}
{' No': -0.056269377, 'No': -2.9381566, ' Frog': -7.752135, ' ': -8.103842, ' Generally': -8.156681}
{' No': -0.54670316, 'No': -0.8792455, ' Frog': -6.2761655, '\n': -7.043856, ' ': -7.0621166}
{' No': -0.6295426, 'No': -0.7741386, ' FR': -6.3161592, '\n': -6.6965566, ' ': -7.0364265}
{' No': -0.39348692, 'No': -1.179757, ' It': -5.485236, ' Frog': -5.686607, ' That': -6.099847}
{'No': -0.73985165, ' No': -0.8775412, ' It': -3.5303442, ' Frog': -3.7177165, ' That': -4.0760684}
{' No': -0.17733765, 'No': -1.8739738, ' Frog': -5.1835423, '\n': -6.5188627, ' ': -7.2629175}
{' No': -0.12267705, 'No': -2.20076, ' FR': -6.3046513, '\n': -7.1520996, ' Frog': -7.444285}
{' No': -0.21430269, 'No': -1.696839, ' Generally': -6.0345297, ' Frog': -6.053368, ' It': -6.7685633}
{' No': -0.21504407, 'No': -1.7221813, ' Frog': -5.489897, ' Generally': -6.1773505, ' That': -6.3428226}
{' No': -0.014704188, 'No': -4.8263683, ' no': -5.7591386, ' ': -5.9433403, '\n': -7.6414247}
{' No': -0.022520732, 'No': -4.635575, ' no': -4.7756047, ' ': -5.7974167, '\n': -7.1584196}
{' No': -0.017724533, 'No': -4.6703944, ' no': -5.2698374, ' ': -6.078979, '\n': -7.6221657}
{' No': -0.026481433, 'No': -4.340711, ' no': -4.7050915, ' ': -5.99566, '\n': -6.8047776}
{' No': -0.08439159, 'No': -2.5918815, '\n': -6.065026, ' ': -6.065903, ' no': -7.0809836}
{' No': -0.10776773, 'No': -2.3307233, '\n': -6.3285832, ' ': -6.3340116, ' no': -7.19336}
{' No': -0.11128932, 'No': -2.3414185, '\n': -5.3752813, ' ': -5.7333646, ' no': -7.231893}
