{' Yes': -0.010687537, ' No': -4.721705, 'Yes': -6.4608536, ' Right': -10.454877, 'No': -10.500437}
{' Yes': -0.0022400226, 'Yes': -6.456658, ' No': -8.185936, ' There': -8.739286, ' Sure': -9.822074}
{' Yes': -0.0076279338, 'Yes': -5.563135, ' No': -5.752304, ' yes': -8.60568, ' Sn': -8.731992}
{' Yes': -0.04273308, ' No': -3.9729395, ' Sn': -4.1895494, 'Yes': -5.155452, ' yes': -7.401922}
{' Yes': -0.0051592924, ' Bride': -5.726526, 'Yes': -6.4716105, ' Bridge': -9.477298, ' yes': -9.552599}
{' Yes': -0.008066521, ' Bride': -5.3786755, 'Yes': -6.1418834, ' Bridge': -7.044967, ' yes': -9.19081}
{' Yes': -0.0009100537, 'Yes': -7.0459595, ' yes': -11.2385645, ' No': -11.375061, '\n': -12.462693}
{' Yes': -0.0016421579, 'Yes': -6.555845, ' Throw': -9.697672, ' No': -9.991334, ' yes': -10.304864}
{' Yes': -0.0015650262, 'Yes': -6.6668515, ' Women': -8.842671, ' Yep': -10.20491, ' No': -10.439954}
{' Yes': -0.0012365605, 'Yes': -6.8365808, ' Women': -10.426596, ' YES': -10.458606, ' Yep': -10.613839}
{' Yes': -0.009983337, 'Yes': -5.1294594, ' Ank': -6.770418, ' yes': -7.203261, ' No': -7.2462587}
{' Yes': -0.01794024, ' No': -5.094246, 'Yes': -5.1405377, ' Ank': -6.7794614, ' Kn': -6.852193}
{' Yes': -0.051761955, ' No': -3.037062, 'Yes': -6.6379757, ' Nope': -7.2156105, 'No': -9.197776}
{' Yes': -0.0067781964, ' No': -5.583041, 'Yes': -6.4603014, ' Lo': -7.6674047, ' Los': -7.7873616}
{' Yes': -0.0009978138, 'Yes': -6.9405365, ' No': -11.760408, ' YES': -11.851378, ' yes': -12.104551}
{' Yes': -0.0047643036, ' No': -5.5808697, 'Yes': -7.00155, ' YES': -10.884716, ' yes': -11.303895}
{' Yes': -0.0009226992, 'Yes': -7.1334352, ' Sure': -9.263743, ' yes': -11.479059, ' YES': -12.385954}
{' Yes': -0.0016126054, 'Yes': -6.597845, ' Sure': -8.623407, ' Shark': -10.532428, ' yes': -11.021898}
{' Yes': -0.00181364, 'Yes': -6.46568, ' Lemon': -8.899732, ' No': -10.244544, ' yes': -10.445386}
{' Yes': -0.0023653633, 'Yes': -6.28486, ' Lemon': -7.8255506, ' yes': -10.537102, ' YES': -10.588791}
{' Yes': -0.0061392323, ' No': -5.6109347, 'Yes': -6.358709, ' Tight': -7.4169345, ' Nope': -10.6169405}
{' Yes': -0.18820798, ' No': -1.8038046, ' Nope': -5.609247, 'Yes': -6.8130803, ' Maybe': -7.669468}
{' Yes': -0.0154200075, ' No': -4.5365915, ' Below': -5.9460955, 'Yes': -6.383822, ' ': -9.960068}
{' Yes': -0.008859564, ' Below': -5.160557, 'Yes': -6.193128, ' No': -7.3055873, ' YES': -9.697307}
{' Yes': -0.004874147, ' Sm': -5.7375135, 'Yes': -6.9271493, ' Spell': -7.9613385, ' yes': -9.46084}
{' Yes': -0.0022450425, 'Yes': -6.6055007, ' Sm': -7.736881, ' YES': -9.188791, ' Spell': -9.243652}
{' Yes': -0.16948915, ' Your': -2.0169964, 'Yes': -4.7949066, ' Y': -5.2872243, ' No': -5.8430862}
{' Yes': -0.28813902, ' Your': -1.4882714, 'Yes': -4.797254, ' Y': -5.139828, ' No': -6.1750984}
{' No': -0.22749403, ' Yes': -1.6318308, 'No': -5.0678754, 'Yes': -7.0116067, ' Nope': -7.456801}
{' Yes': -0.23017462, ' Wrong': -2.0878692, ' No': -2.515777, 'Yes': -7.4978323, 'No': -9.145487}
{' Yes': -0.23322496, ' Devil': -1.7288551, ' Dev': -5.204974, ' Devils': -5.288598, 'Yes': -5.4270015}
{' Yes': -0.42911816, ' Devil': -1.1649674, ' Dev': -4.7570014, ' Devils': -4.787205, 'Yes': -5.6255164}
{' Yes': -0.0006806306, 'Yes': -7.37083, ' Sure': -10.394303, ' yes': -11.451186, ' YES': -12.537791}
{' Yes': -0.00068516337, 'Yes': -7.5694523, ' Sure': -8.919481, ' yes': -11.209219, ' YES': -12.270825}
{' Yes': -0.0026264891, 'Yes': -6.8049235, ' No': -6.8580985, ' Major': -7.7858467, ' yes': -10.940865}
{' Yes': -0.0012967177, 'Yes': -6.871913, ' Major': -8.8003, ' No': -9.717845, ' yes': -11.144484}
{' No': -0.493165, ' Yes': -1.0032454, ' Worst': -4.010209, 'No': -6.0052032, 'Yes': -6.966448}
{' Yes': -0.051666167, ' Worst': -3.322912, ' No': -4.480512, 'Yes': -6.1070857, ' Worse': -8.963561}
{' Yes': -0.008434323, ' No': -4.951029, 'Yes': -6.8300323, ' Pound': -9.13397, ' yes': -10.553486}
{' Yes': -0.0009726983, 'Yes': -7.102539, ' No': -9.94461, ' yes': -10.680231, ' Sure': -10.933596}
{' Yes': -0.0066753426, 'Yes': -5.700464, ' Dirty': -5.903499, ' Dirt': -8.70301, ' Yep': -9.563043}
{' Yes': -0.016898846, ' Dirty': -4.6704803, 'Yes': -5.2216907, ' Dirt': -6.8378024, ' YES': -8.705387}
{' Yes': -0.0021924123, 'Yes': -6.234064, ' Sure': -8.879646, ' yes': -10.404093, ' YES': -10.521543}
{' Yes': -0.002737891, 'Yes': -6.007427, ' Sure': -8.9106045, ' yes': -9.96068, ' YES': -10.183841}
{' Yes': -0.0045286026, 'Yes': -5.624618, ' E': -8.070536, ' erupt': -8.8480835, ' YES': -9.110043}
{' Yes': -0.040855873, ' E': -4.210245, 'Yes': -4.5003724, 'rupt': -5.2097726, ' Inter': -5.954412}
{' Yes': -0.0015382211, 'Yes': -6.5123777, ' yes': -10.704516, ' Yep': -11.4016, ' No': -11.693872}
{' Yes': -0.0036306928, 'Yes': -5.675288, ' yes': -9.49491, ' Swamp': -10.527031, ' YES': -10.553781}
{' Yes': -0.047444012, ' Armor': -3.2047734, 'Yes': -5.9736714, ' Armour': -6.1401105, ' No': -8.082429}
{' Yes': -0.030366594, ' Armor': -3.71565, 'Yes': -5.923635, ' No': -6.654414, ' Armour': -6.933839}
{' Yes': -0.0016052624, 'Yes': -6.4899454, ' No': -10.210326, ' yes': -11.33468, ' Absolutely': -11.4736805}
{' Yes': -0.024633937, ' Ex': -4.14321, ' Exactly': -5.1955433, 'Yes': -6.5626583, ' No': -6.860577}
{' Yes': -0.0050152717, ' Still': -5.8160543, 'Yes': -6.5418806, ' YES': -8.756896, ' yes': -8.879072}
{' Yes': -0.008510482, ' Still': -5.1275806, 'Yes': -6.2745547, ' yes': -8.881113, ' YES': -8.9929495}
{' Yes': -0.001756615, 'Yes': -6.457069, ' Hello': -8.860999, ' yes': -11.147857, ' YES': -11.935742}
{' Yes': -0.001175628, 'Yes': -6.77355, ' yes': -11.195858, ' Hello': -11.902695, ' YES': -12.319438}
{' Yes': -0.003524993, 'Yes': -6.01087, ' Sure': -6.9687285, ' YES': -10.328581, ' yes': -10.743458}
{' Yes': -0.008966249, 'Yes': -5.3516674, ' Sure': -5.6221, ' Purs': -8.835292, ' Pur': -9.190353}
{' Yes': -0.0072077787, ' No': -5.494581, 'Yes': -5.980186, ' Actor': -8.524493, ' yes': -8.579554}
{' Yes': -0.009097485, 'Yes': -5.720498, ' Actor': -5.9423933, ' No': -5.980277, ' yes': -8.058184}
{' Yes': -0.0018782527, 'Yes': -6.3751154, ' No': -9.427669, ' Sure': -10.031657, ' yes': -10.766847}
{' Yes': -0.002722708, 'Yes': -6.0560265, ' Sure': -8.890476, ' No': -9.407394, ' yes': -9.583961}
{' No': -0.08459369, ' Yes': -2.6937418, ' Nope': -4.9080358, 'No': -5.2521157, 'Yes': -7.996989}
{' Yes': -0.12188264, ' No': -2.2105534, 'Yes': -5.8678164, ' Nope': -7.04477, 'No': -7.4658895}
{' No': -0.023475291, ' Yes': -3.9034932, 'No': -5.917742, ' Nope': -8.63403, 'Yes': -9.70678}
{' No': -0.034569714, ' Yes': -3.4276378, 'No': -7.1224527, ' Nope': -7.915179, ' False': -8.212104}
{' Yes': -0.0025481428, 'Yes': -6.3907676, ' Watch': -7.4024477, ' yes': -9.855867, ' Sure': -9.911576}
{' Yes': -0.0011912049, 'Yes': -6.9490867, ' No': -9.204543, ' Sure': -10.323596, ' yes': -10.378901}
{' Yes': -0.0020313787, 'Yes': -6.311788, ' Sure': -9.489456, ' No': -9.544823, ' yes': -10.8637905}
{' Yes': -0.004265485, 'Yes': -6.0529046, ' Sure': -6.3430824, ' No': -10.081863, ' yes': -10.914147}
{' Yes': -0.0005744072, 'Yes': -7.53692, ' yes': -11.3759, ' Sure': -12.082337, ' YES': -12.125916}
{' Yes': -0.00096356997, 'Yes': -7.098724, ' yes': -10.415694, ' Sure': -10.873259, ' Yeah': -11.033651}
{' Yes': -0.0007945584, 'Yes': -7.313462, ' Crack': -9.75147, ' yes': -10.658032, ' No': -10.97358}
{' Yes': -0.0010001989, 'Yes': -7.154185, ' No': -9.05144, ' Crack': -10.123017, ' yes': -10.854949}
{' Yes': -0.06534778, ' Ar': -3.4456348, ' Sure': -4.3295135, ' Arg': -4.8008957, 'Yes': -5.446528}
{' Yes': -0.16937928, ' Ar': -2.404355, ' Arg': -3.4337718, ' Argument': -4.4277186, ' Sure': -4.832366}
{' Yes': -0.000718446, 'Yes': -7.2995133, ' yes': -10.891282, ' YES': -11.990027, ' ': -12.643122}
{' Yes': -0.00095318665, 'Yes': -7.0399127, ' yes': -10.565045, ' No': -11.208648, ' YES': -11.293231}
{' Yes': -0.010427372, ' Early': -5.3665843, 'Yes': -5.913835, ' Yeah': -7.5224843, ' Ear': -7.787991}
{' Yes': -0.0043840758, 'Yes': -6.065383, ' Early': -7.334178, ' Yeah': -8.225073, ' Ear': -8.440983}
{' Yes': -0.0018632645, 'Yes': -6.475644, ' No': -8.447618, ' Sure': -10.169471, ' yes': -11.158174}
{' Yes': -0.002175328, 'Yes': -6.278361, ' No': -8.425745, ' yes': -10.884438, ' Sure': -11.005845}
{' Yes': -0.6386632, ' Ocean': -0.9326734, ' No': -2.5906897, 'Yes': -6.5634627, 'No': -7.821114}
{' Ocean': -0.8380495, ' Yes': -1.1154429, ' No': -1.4627482, 'No': -5.9484653, 'Yes': -6.5854187}
{' Yes': -0.00724296, ' No': -5.3210382, 'Yes': -6.286908, ' Sure': -8.196217, ' Maybe': -10.199265}
{' Yes': -0.0040981886, ' No': -6.2751813, 'Yes': -6.339598, ' Sure': -8.580904, ' yes': -9.965555}
{' Yes': -0.001914083, 'Yes': -6.324499, '\n': -10.293955, ' Gross': -10.428597, ' yes': -10.827397}
{' Yes': -0.0015724284, 'Yes': -6.511421, ' yes': -10.686247, '\n': -10.991771, ' YES': -11.26159}
{' Yes': -0.0010645218, 'Yes': -6.9984493, ' Sure': -9.2360935, ' Yep': -10.771608, ' YES': -11.411638}
{' Yes': -0.0010178615, 'Yes': -6.9971604, ' Sure': -9.627135, ' Yep': -11.6541, ' yes': -11.86685}
{' Yes': -0.067551814, ' Guard': -2.877307, 'Yes': -5.6350217, ' Guardian': -6.039069, 'Guard': -7.218836}
{' Yes': -0.06672874, ' Guard': -2.921711, 'Yes': -5.536474, ' Guardian': -6.024106, ' No': -6.815805}
{' Yes': -0.003292338, 'Yes': -5.9364924, ' Sweet': -8.280252, ' Sure': -8.51902, ' yes': -9.829077}
{' Yes': -0.0038089778, 'Yes': -5.7904563, ' Sweet': -8.323475, ' yes': -8.925396, ' Swe': -9.094748}
{' Yes': -0.0047607087, ' Grass': -6.0955386, 'Yes': -6.1565695, ' No': -8.422879, ' yes': -9.757127}
{' Yes': -0.006768414, ' Grass': -5.4590635, 'Yes': -6.2144156, ' No': -8.27781, ' yes': -9.498296}
{' Yes': -0.002576109, 'Yes': -6.047858, ' yes': -9.365058, ' YES': -10.694049, ' Yeah': -10.874477}
{' Yes': -0.0033839573, 'Yes': -5.9726086, ' Beard': -8.179071, ' yes': -8.636206, ' Be': -8.822702}
{' Yes': -0.21811184, ' Girls': -1.7967671, ' No': -4.3182344, 'Yes': -5.0893598, ' G': -5.6273227}
{' Yes': -0.10706024, ' Girls': -2.3891876, 'Yes': -5.629573, ' G': -6.5346694, ' Gr': -6.547545}
{' Yes': -0.0010958484, 'Yes': -6.8937387, ' YES': -10.627656, ' Sure': -10.993074, ' yes': -11.252922}
{' Yes': -0.0024965743, 'Yes': -6.220706, ' Light': -7.938997, ' YES': -9.419881, ' yes': -10.609311}
{' Yes': -0.004036603, ' No': -5.969368, 'Yes': -6.6125736, ' Spoon': -10.452821, ' Nope': -10.828904}
{' Yes': -0.0039322386, ' No': -6.1782465, 'Yes': -6.4440637, ' Spoon': -9.474564, ' Yep': -10.084155}
{' Yes': -0.002285426, 'Yes': -6.2865963, ' Sure': -8.46468, ' Lo': -9.472851, ' No': -9.544958}
{' Yes': -0.0022145747, 'Yes': -6.167152, ' Lo': -10.142668, ' Sure': -10.770327, ' yes': -11.178709}
{' Yes': -0.0017346422, 'Yes': -6.391358, ' yes': -10.9367895, ' Plant': -11.134751, ' YES': -11.624305}
{' Yes': -0.0031908576, 'Yes': -5.7868176, ' yes': -10.2086525, ' YES': -10.592574, ' Plant': -10.891949}
{' Yes': -0.03873484, ' No': -3.3857522, 'Yes': -5.929707, ' Seven': -7.2070384, 'No': -8.375955}
{' Yes': -0.0019487821, 'Yes': -6.424239, ' Seven': -8.73682, ' No': -10.301095, ' yes': -10.336956}
{' Yes': -0.0025136624, 'Yes': -6.044206, ' Sure': -9.477004, ' yes': -10.907805, ' Yeah': -11.650691}
{' Yes': -0.0018322129, 'Yes': -6.364529, ' Sure': -9.900001, ' yes': -11.023352, ' No': -11.637535}
{' Yes': -0.009670875, ' Rough': -4.868514, 'Yes': -6.3689885, ' Sure': -9.92028, ' Yeah': -10.282236}
{' Yes': -0.13698967, ' Rough': -2.0788574, 'Yes': -6.3050475, ' Tough': -7.8582425, ' Yeah': -9.026209}
{' Yes': -0.0057589635, 'Yes': -5.341166, ' Sure': -8.006641, ' Dance': -8.112545, ' YES': -9.17321}
{' Yes': -0.005493664, 'Yes': -5.3982186, ' Sure': -7.7989745, ' Dance': -8.405119, ' YES': -9.243165}
{' Yes': -0.0012823958, 'Yes': -6.755382, ' Salad': -9.714128, ' yes': -10.503295, ' YES': -10.824699}
{' Yes': -0.0009382724, 'Yes': -7.1052623, ' Salad': -10.469549, ' No': -10.631711, ' yes': -10.776096}
{' Yes': -0.029130783, ' Looks': -4.0142417, 'Yes': -4.920934, ' No': -6.509622, ' Lo': -7.3966184}
{' Yes': -0.026260389, ' Looks': -4.210705, 'Yes': -5.1037726, ' No': -5.886413, ' Lo': -6.940546}
{' Yes': -0.22167677, ' Store': -1.9839923, ' Sure': -2.8349695, 'Yes': -6.1391573, 'Store': -8.806857}
{' Yes': -0.037866235, ' Sure': -3.3571124, 'Yes': -6.765966, ' Store': -6.9535346, ' yes': -9.863019}
{' Yes': -0.0015631152, 'Yes': -6.7522283, ' Break': -8.443691, ' Sure': -9.320003, ' yes': -10.24674}
{' Yes': -0.001398243, 'Yes': -6.846966, ' Sure': -8.986588, ' Break': -9.001127, ' yes': -10.570437}
{' Yes': -0.0038890382, 'Yes': -5.926363, ' Parts': -7.2040324, ' Sure': -8.36401, ' No': -9.29905}
{' Yes': -0.0047888565, 'Yes': -5.690313, ' No': -7.2476244, ' Parts': -7.9826627, ' Sure': -8.906718}
{' Yes': -0.009762598, 'Yes': -5.475152, ' Sure': -5.642676, ' Sh': -6.784489, ' Sho': -8.248143}
{' Yes': -0.011634078, 'Yes': -5.332963, ' Sure': -5.5979085, ' Sh': -6.4294443, ' Sho': -7.6332536}
{' Yes': -0.0021477307, 'Yes': -6.19895, ' yes': -10.2048435, ' Sy': -10.424078, ' YES': -11.175317}
{' Yes': -0.002444466, 'Yes': -6.049588, ' yes': -10.1423, ' YES': -11.295862, ' Sy': -11.668307}
{' Yes': -0.0008570753, 'Yes': -7.159388, ' yes': -10.508139, ' YES': -10.772089, ' ': -11.452987}
{' Yes': -0.0011321864, 'Yes': -6.937386, ' yes': -9.915593, ' YES': -10.423195, ' Learn': -10.713794}
{' Yes': -0.14807063, ' No': -1.9995548, 'Yes': -6.9190073, ' Minor': -7.193652, 'No': -7.7429705}
{' Yes': -0.0009704297, 'Yes': -7.090575, ' No': -9.419568, ' yes': -10.581222, ' Sure': -11.525534}
{' Yes': -0.0011478824, 'Yes': -6.7920446, ' Sure': -11.478357, ' yes': -12.044993, ' YES': -12.880826}
{' Yes': -0.0029344254, 'Yes': -6.1900563, ' Where': -7.4295874, ' Sure': -8.458909, ' Yep': -11.406435}
{' Yes': -0.0016652637, 'Yes': -6.4166183, ' yes': -11.168075, ' Arrow': -12.5341215, ' YES': -12.665459}
{' Yes': -0.0045842915, 'Yes': -5.7694917, ' Arrow': -6.6228323, ' yes': -10.125479, ' YES': -10.356606}
{' Yes': -0.0023659621, 'Yes': -6.308417, ' No': -8.108989, ' Sure': -9.323951, ' Chain': -10.205758}
{' Yes': -0.0050030504, 'Yes': -5.8978558, ' Chain': -6.755943, ' No': -7.589459, ' Sure': -8.755908}
{' Yes': -0.00086029776, 'Yes': -7.125477, ' Sure': -10.476736, ' yes': -11.157445, ' No': -12.315422}
{' Yes': -0.0007680734, 'Yes': -7.2247725, ' Sure': -11.043155, ' yes': -11.577743, ' No': -11.970082}
{' Yes': -0.010700792, ' Heart': -4.8141427, 'Yes': -6.113728, ' YES': -9.439417, ' Sure': -10.14397}
{' Yes': -0.055069957, ' Heart': -3.0000296, 'Yes': -5.851502, ' Hearts': -8.666333, ' YES': -8.9561}
{' Yes': -0.0012263537, 'Yes': -6.99518, ' Sure': -8.199198, ' Horse': -11.342456, ' yes': -12.1616}
{' Yes': -0.0018969432, 'Yes': -6.4097395, ' Sure': -8.50786, ' Horse': -11.297554, ' yes': -11.808403}
{' Yes': -0.008231233, ' No': -5.027364, 'Yes': -6.9481688, ' Right': -7.5388803, ' YES': -10.30217}
{' Yes': -0.011750168, ' Right': -4.6919694, 'Yes': -6.5552526, ' No': -7.176476, '\n': -9.159546}
{' Yes': -0.0012013518, 'Yes': -6.8986425, ' Pizza': -9.357917, ' YES': -10.277606, ' No': -10.368573}
{' Yes': -0.0013862452, 'Yes': -6.9927497, ' No': -8.495676, ' Pizza': -8.730641, ' YES': -9.827735}
{' Yes': -0.030800097, ' Snake': -3.816044, 'Yes': -4.9420853, ' Sn': -7.813326, ' YES': -8.479892}
{' Yes': -0.0028273074, 'Yes': -6.0050516, ' Snake': -8.664112, ' YES': -9.259862, ' yes': -10.054648}
{' Yes': -0.079535365, ' Laugh': -2.6362047, 'Yes': -6.461894, ' Yeah': -6.779547, ' L': -7.2424464}
{' Yes': -0.0027967638, 'Yes': -6.4678802, ' Laugh': -6.9870954, ' YES': -9.27137, ' Yeah': -9.281794}
{' Yes': -0.0021102184, 'Yes': -6.874575, ' Queen': -7.127413, ' No': -9.008113, ' yes': -9.561785}
{' Yes': -0.0020593298, 'Yes': -6.9028544, ' No': -7.405223, ' Queen': -8.110126, ' yes': -9.566043}
{' Yes': -0.005246471, ' No': -5.363948, 'Yes': -7.5569124, '\n': -12.068891, ' Sure': -12.097684}
{' Yes': -0.00092234253, 'Yes': -7.237439, ' Sure': -9.271207, '\n': -10.069192, ' YES': -10.376416}
{' Yes': -0.003758361, 'Yes': -5.6680164, ' Plane': -8.505131, ' yes': -10.111643, ' YES': -10.436977}
{' Yes': -0.005687028, ' Plane': -5.7829905, 'Yes': -6.0199823, ' yes': -9.675664, ' YES': -9.952481}
{' Yes': -0.02861967, ' Found': -3.6502225, 'Yes': -6.529455, ' YES': -8.895471, ' yes': -8.952359}
{' Yes': -0.002137936, 'Yes': -6.7998652, ' Found': -7.209207, ' YES': -9.265158, ' yes': -9.588742}
{' Yes': -0.0006795559, 'Yes': -7.820618, ' Uncle': -8.310448, ' yes': -10.7779255, ' YES': -12.049312}
{' Yes': -0.018900592, ' Uncle': -4.1374917, 'Yes': -6.758076, ' No': -6.86751, ' Unc': -8.873072}
{' Yes': -0.0015463396, 'Yes': -6.5606356, ' YES': -10.18196, ' yes': -10.67686, ' Stamp': -10.868085}
{' Yes': -0.0024516995, 'Yes': -6.2388496, ' Stamp': -8.493048, ' YES': -9.454309, ' St': -9.480795}
{' Yes': -0.0022428911, 'Yes': -6.7362995, ' Sleep': -7.1334457, ' yes': -9.126166, ' YES': -9.592028}
{' Yes': -0.0015644291, 'Yes': -6.7242293, ' Sleep': -9.10471, ' yes': -9.134813, ' YES': -9.277187}
{' Yes': -0.03711851, ' No': -3.344833, 'Yes': -6.8482313, 'No': -10.101232, ' Close': -10.262583}
{' Yes': -0.002168998, 'Yes': -6.6833367, ' Close': -7.3398933, ' No': -8.541607, ' YES': -10.248507}
{' Yes': -0.0032948498, 'Yes': -5.9538503, ' Te': -7.536357, ' YES': -9.527394, ' yes': -10.449125}
{' Yes': -0.017267909, ' Te': -4.2791314, 'Yes': -6.0350056, ' No': -8.512893, ' teeth': -8.728813}
{' Yes': -0.0004049883, 'Yes': -7.8890686, ' Sure': -11.021399, '\n': -12.336205, ' YES': -12.586044}
{' Yes': -0.0005038554, 'Yes': -7.756962, ' Sure': -9.919157, '\n': -11.21309, ' YES': -12.452433}
{' Yes': -0.0016300399, 'Yes': -6.519879, ' yes': -9.9021635, ' YES': -9.905083, '\n': -11.102056}
{' Yes': -0.0032777465, 'Yes': -5.9790444, ' Drunk': -8.118312, ' YES': -8.934767, ' yes': -9.05615}
{' No': -0.34807003, ' Yes': -1.2299154, 'No': -6.761871, 'Yes': -7.940458, ' Min': -9.993249}
{' Yes': -0.022840098, ' No': -3.8253338, 'Yes': -7.3166976, '\n': -9.866923, 'No': -10.58129}
{' Yes': -0.00075632246, 'Yes': -7.2611756, ' yes': -10.753509, ' YES': -11.099198, ' Word': -11.600686}
{' Yes': -0.0015284884, 'Yes': -7.0847955, ' World': -8.061311, ' Word': -8.427903, ' yes': -9.457368}
{' Yes': -0.0015632352, 'Yes': -6.9501014, ' No': -8.056188, ' Ch': -8.776581, ' yes': -9.96339}
{' Yes': -0.0007893104, 'Yes': -7.475286, ' No': -8.829375, ' yes': -10.521605, ' YES': -11.178962}
{' Woman': -0.49037397, ' Yes': -0.9572032, 'Woman': -6.573038, ' Women': -7.272457, 'Yes': -7.4453306}
{' Yes': -0.0061599836, ' Woman': -5.2628107, 'Yes': -7.05379, ' YES': -10.122806, ' yes': -10.885787}
{' Yes': -0.0074027926, ' Party': -5.141903, 'Yes': -6.6296496, ' YES': -9.445911, ' yes': -10.154743}
{' Yes': -0.004592312, ' Party': -5.9788446, 'Yes': -6.557754, ' No': -7.8403482, ' Yep': -9.499417}
{' Yes': -0.00090044853, 'Yes': -7.0936413, ' yes': -10.072702, ' YES': -10.9664, ' No': -12.316743}
{' Yes': -0.0007557255, 'Yes': -7.2582474, ' yes': -10.511917, ' YES': -10.91098, 'yes': -13.354327}
{' Yes': -0.0013083551, 'Yes': -6.678753, ' YES': -10.932419, ' yes': -11.228041, ' Shoes': -11.818044}
{' Yes': -0.0013983622, 'Yes': -6.6157837, ' YES': -10.681524, ' Shoes': -11.199843, ' yes': -11.446816}
{' Yes': -0.0010185777, 'Yes': -6.98875, ' Ghost': -10.482262, '\n': -10.660604, ' YES': -11.077515}
{' Yes': -0.00087527203, 'Yes': -7.468473, ' No': -8.764039, ' Ghost': -9.155879, ' yes': -11.163239}
{' Yes': -0.0005161415, 'Yes': -7.7261267, ' Shirt': -10.223535, ' YES': -11.142875, ' yes': -11.525089}
{' Yes': -0.0038447, ' Shirt': -5.849023, 'Yes': -7.0901384, ' YES': -10.303389, ' Sh': -10.716545}
{' Yes': -0.0030138202, 'Yes': -6.16715, ' Pants': -7.3718534, ' No': -8.529655, ' YES': -10.374876}
{' Yes': -0.006482151, 'Yes': -5.5813856, ' Pants': -6.035262, ' No': -8.992059, ' YES': -9.545655}
{' Yes': -0.007837569, ' Board': -5.3517246, 'Yes': -5.9999156, ' yes': -8.028603, ' YES': -9.598285}
{' Yes': -0.011581797, ' Board': -4.9862523, 'Yes': -5.611433, ' yes': -7.665928, ' B': -8.627119}
{' Yes': -0.003476963, 'Yes': -6.2514906, ' Leave': -6.7113104, ' yes': -9.045887, ' YES': -9.224393}
{' Yes': -0.005784802, ' Leave': -5.6461773, 'Yes': -6.453195, ' No': -8.751327, ' yes': -9.011609}
{' Yes': -0.054913655, ' There': -3.1934843, 'Yes': -5.669482, ' The': -5.9524546, ' No': -7.055686}
{' Yes': -0.0043668337, 'Yes': -6.288041, ' There': -6.331771, ' No': -7.5846415, ' YES': -10.256467}
{' Yes': -0.006080341, 'Yes': -5.9159827, ' No': -5.964565, ' yes': -8.131907, ' Sn': -8.145945}
{' Yes': -0.023370469, ' No': -4.4491878, ' Sn': -5.04528, 'Yes': -5.608163, ' yes': -7.4950285}
{' Yes': -0.0020909847, 'Yes': -6.7539334, ' Bride': -7.3133492, ' No': -9.470846, ' YES': -9.6893425}
{' Yes': -0.012427971, ' Bride': -4.8486743, ' Bridge': -6.212619, 'Yes': -6.2912016, ' YES': -8.370061}
{' Yes': -0.00031429582, 'Yes': -8.113877, ' yes': -11.904963, ' YES': -12.568261, '\n': -12.806065}
{' Yes': -0.001001393, 'Yes': -7.403951, ' Throw': -9.007275, ' No': -9.108061, '\n': -9.27457}
{' Yes': -0.0062918128, ' Women': -5.3254576, 'Yes': -6.8907704, ' No': -9.077576, ' YES': -9.29157}
{' Yes': -0.0010898814, 'Yes': -7.2565327, ' Women': -8.271484, ' YES': -9.68671, ' yes': -11.08279}
{' Yes': -0.007470949, 'Yes': -5.3695064, ' Ank': -6.4926124, ' yes': -7.5390816, ' YES': -7.8353667}
{' Yes': -0.03467819, ' No': -4.383283, ' Ank': -4.5494714, 'Yes': -5.2167296, ' yes': -7.147607}
{' Yes': -0.048089493, ' No': -3.1994507, ' Los': -5.8707056, 'Yes': -6.594909, ' Lo': -6.8288484}
{' Yes': -0.0031283747, 'Yes': -6.91502, ' No': -7.0114594, ' Los': -7.1406364, ' Lo': -8.440139}
{' Yes': -0.00065265695, 'Yes': -7.3962917, ' YES': -10.83074, ' yes': -11.754868, ' No': -12.197425}
{' Yes': -0.0027354392, ' No': -6.2579308, 'Yes': -7.247761, ' YES': -9.71496, ' yes': -10.947754}
{' Yes': -0.00094495463, 'Yes': -7.078028, ' Shark': -10.292834, ' Sure': -10.872833, '\n': -10.906178}
{' Yes': -0.00076020096, 'Yes': -7.3308873, ' Sure': -10.222083, ' Shark': -10.533252, '\n': -10.990249}
{' Yes': -0.0014050454, 'Yes': -7.069745, ' Lemon': -7.6868505, ' yes': -10.262296, ' YES': -10.608554}
{' Yes': -0.0027365147, ' Lemon': -6.532357, 'Yes': -6.768697, ' YES': -9.741139, ' yes': -10.065677}
{' Yes': -0.037799627, ' No': -3.3996384, ' Tight': -6.1473594, 'Yes': -6.598491, 'No': -9.630132}
{' Yes': -0.21158154, ' No': -1.8723098, ' Tight': -3.5089254, ' Nope': -5.747304, 'Yes': -6.0734587}
{' No': -0.20449616, ' Yes': -1.7205197, ' Below': -5.5038066, 'No': -6.525762, 'Yes': -8.407632}
{' Yes': -0.0093091745, ' Below': -5.294959, ' No': -5.969537, 'Yes': -6.5684304, '\n': -9.312112}
{' Yes': -0.018990798, ' Sm': -4.178342, ' Spell': -6.3397913, 'Yes': -6.78481, ' YES': -8.444348}
{' Yes': -0.0028955126, 'Yes': -6.6317883, ' Sm': -7.165718, ' Spell': -8.335173, ' YES': -8.340063}
{' Yes': -0.22647269, ' Your': -1.6574342, 'Yes': -5.436284, ' No': -5.9938626, ' Y': -6.21205}
