{' No': -0.032526918, ' Yes': -3.841517, 'No': -4.6175275, '\n': -8.260648, 'Yes': -9.013032}
{' No': -0.0075927414, 'No': -4.997833, ' Yes': -7.424661, '\n': -9.613469, ' The': -9.688864}
{' No': -0.19737047, ' Yes': -1.768692, 'No': -4.9261627, 'Yes': -7.174827, ' The': -8.433212}
{' No': -0.07841463, ' Yes': -2.830955, 'No': -4.18078, 'Yes': -7.578189, ' Not': -8.251237}
{' No': -0.011863735, 'No': -4.605278, ' Yes': -6.441913, ' The': -9.499302, ' Not': -10.006233}
{' No': -0.015217494, ' Yes': -4.7613645, 'No': -5.1262517, ' The': -7.828291, ' Not': -10.01357}
{' No': -0.025984522, 'No': -3.7029595, ' Yes': -7.061306, ' The': -9.952261, ' Not': -10.18877}
{' No': -0.02795153, 'No': -3.9825313, ' Yes': -4.7557516, ' The': -9.468797, 'Yes': -9.476506}
{' Yes': -0.5281232, ' No': -0.9054921, 'No': -5.881348, 'Yes': -6.1710577, ' The': -7.350888}
{' No': -0.343636, ' Yes': -1.2743096, 'No': -4.753823, 'Yes': -6.522238, ' The': -7.229996}
{' No': -0.010424843, 'No': -4.9962664, ' Yes': -5.7839227, ' The': -8.329659, ' Not': -9.144008}
{' No': -0.0045024985, 'No': -5.4820986, ' Yes': -8.427287, ' The': -10.239491, ' Not': -10.561103}
{' No': -0.012249472, 'No': -4.5135922, ' Yes': -7.155973, ' The': -8.427891, '\n': -9.552708}
{' No': -0.04551774, ' Yes': -3.539973, 'No': -4.280152, ' The': -7.1806345, ' Not': -7.885627}
{' No': -0.014457008, 'No': -4.5702543, ' Yes': -5.601526, ' Not': -9.351705, ' The': -9.436799}
{' No': -0.029476088, 'No': -3.8453405, ' Yes': -4.9222355, '\n': -9.26279, ' The': -9.314729}
{' No': -0.011329778, 'No': -4.521559, ' Yes': -8.521009, ' The': -9.495625, '\n': -10.133155}
{' No': -0.0066656237, 'No': -5.097215, ' Yes': -8.074285, ' The': -9.217578, '\n': -10.096461}
{' No': -0.42563167, ' Yes': -1.0794401, 'No': -5.464793, 'Yes': -6.8492155, ' The': -7.0031347}
{' No': -0.026189534, ' Yes': -4.1705413, 'No': -4.6522593, ' The': -7.809774, '\n': -8.840888}
{' Yes': -0.006912087, 'Yes': -5.4995437, ' No': -5.9583716, ' The': -9.7620735, ' yes': -9.777786}
{' Yes': -0.5566993, ' No': -0.8726077, 'No': -5.1705203, 'Yes': -5.7915163, ' The': -8.964429}
{' No': -0.4815201, ' Yes': -0.9800324, 'No': -5.4995313, 'Yes': -6.4658923, ' The': -7.028629}
{' No': -0.042611104, ' Yes': -3.373984, 'No': -5.0283575, ' The': -7.644473, 'Yes': -8.563457}
{' No': -0.007345331, 'No': -5.14172, ' Yes': -6.6190104, ' Not': -9.99096, ' ': -10.580691}
{' No': -0.0062335143, 'No': -5.371397, ' Yes': -6.668918, '\n': -9.128736, ' The': -9.628967}
{' No': -0.62364566, ' Yes': -0.7938289, 'No': -4.9236794, 'Yes': -5.774713, ' The': -6.87429}
{' No': -0.0353761, 'No': -3.811789, ' Yes': -4.444405, ' The': -7.6343307, 'Yes': -8.939676}
{' No': -0.012889153, 'No': -4.469224, ' Yes': -6.86395, ' The': -9.009088, '\n': -9.632913}
{' No': -0.016236307, 'No': -4.1713095, ' The': -8.44853, ' Yes': -8.640806, '\n': -9.0127535}
{' No': -0.0443916, ' Yes': -3.3121758, 'No': -5.1109085, '\n': -8.026487, ' The': -8.214738}
{' No': -0.034094233, ' Yes': -3.600939, 'No': -5.24124, '\n': -7.9005895, ' The': -8.223667}
{' No': -0.019381361, 'No': -4.54942, ' Yes': -4.86362, ' The': -7.478482, '\n': -8.860196}
{' No': -0.016988993, 'No': -4.6223073, ' Yes': -5.036291, ' The': -8.288755, '\n': -9.528391}
{' No': -0.022098597, ' Yes': -4.2222743, 'No': -4.998262, ' The': -8.358496, 'Yes': -9.475979}
{' No': -0.04913037, ' Yes': -3.2040718, 'No': -5.040671, ' The': -8.127872, '\n': -8.583392}
{' Yes': -0.16113012, ' No': -1.9277354, 'Yes': -6.3617063, 'No': -7.4653344, '\n': -7.6644373}
{' No': -0.05099699, ' Yes': -3.198622, 'No': -4.7766285, 'Yes': -8.543039, ' The': -9.324741}
{' No': -0.012593465, 'No': -4.5617, ' Yes': -6.3644247, ' The': -9.139098, '\n': -9.242814}
{' No': -0.00826507, 'No': -4.9873624, ' Yes': -6.907303, ' The': -8.247009, ' ': -10.354207}
{' No': -0.035075482, ' Yes': -3.777257, 'No': -4.5395555, ' The': -8.058364, '\n': -8.733398}
{' No': -0.11897555, ' Yes': -2.2968585, 'No': -4.578692, 'Yes': -7.375264, ' The': -7.6315618}
{' No': -0.039158974, ' Yes': -3.46733, 'No': -4.9965086, ' The': -8.688157, 'Yes': -9.1645155}
{' No': -0.012256653, 'No': -4.7592254, ' Yes': -5.7247996, ' The': -8.473927, ' ': -10.211953}
{' No': -0.025018265, 'No': -3.9429336, ' Yes': -5.303502, '\n': -8.671077, 'Yes': -9.88457}
{' No': -0.5292362, ' Yes': -0.9126762, 'No': -5.031586, 'Yes': -6.1208477, ' Not': -7.8173504}
{' No': -0.017397935, ' Yes': -4.4321795, 'No': -5.3125505, ' The': -8.548333, '\n': -9.428895}
{' No': -0.044216454, ' Yes': -3.4710007, 'No': -4.4432282, 'Yes': -8.496557, ' The': -9.19627}
{' No': -0.008031553, 'No': -4.8749595, ' Yes': -8.590333, ' The': -9.54035, '\n': -10.159768}
{' No': -0.01055874, 'No': -4.628301, ' Yes': -7.971763, ' The': -8.353685, '\n': -10.002804}
{' No': -0.032638002, 'No': -3.517551, ' Yes': -6.32122, ' The': -8.210281, ' Not': -8.60596}
{' No': -0.019298714, 'No': -4.1966953, ' Yes': -5.585624, ' The': -9.0505085, '\n': -9.521082}
{' No': -0.0303889, ' Yes': -4.028413, 'No': -4.460206, ' The': -8.767326, 'Yes': -9.019963}
{' Yes': -0.26007292, ' No': -1.505482, 'Yes': -5.650261, 'No': -6.019895, ' The': -7.5007353}
{' Yes': -0.07507717, ' No': -2.7013264, 'Yes': -5.536928, 'No': -7.594772, ' The': -7.7675557}
{' No': -0.5189285, ' Yes': -0.92593586, 'No': -5.1709456, 'Yes': -6.129352, ' The': -7.6456122}
{' Yes': -0.591966, ' No': -0.81419504, 'No': -6.19891, 'Yes': -6.703109, ' The': -8.326541}
{' No': -0.020472126, ' Yes': -4.3440385, 'No': -4.996796, ' The': -8.692047, '\n': -8.756058}
{' Yes': -0.47007066, ' No': -1.0106801, 'No': -5.2467427, 'Yes': -5.5117517, ' The': -6.79192}
{' Yes': -0.33380857, ' No': -1.2924993, 'Yes': -5.325029, 'No': -5.759496, ' The': -7.317062}
{' No': -0.15609498, ' Yes': -2.1170611, 'No': -3.8468106, 'Yes': -6.625903, ' The': -7.388419}
{' No': -0.045901638, ' Yes': -3.4229825, 'No': -4.502818, ' The': -7.626527, '\n': -8.301349}
{' No': -0.11359081, ' Yes': -2.4198995, 'No': -4.090607, 'Yes': -7.0388684, ' The': -7.979765}
{' No': -0.04879128, ' Yes': -3.421214, 'No': -4.2531924, 'Yes': -8.1608515, ' The': -8.620872}
{' No': -0.033593155, ' Yes': -3.9248414, 'No': -4.4225454, '\n': -7.5947857, ' Not': -8.22356}
{' No': -0.007411561, 'No': -5.074153, ' Yes': -7.0960836, ' The': -9.090902, ' Not': -9.426345}
{' No': -0.0669435, ' Yes': -3.2759697, 'No': -3.6656394, 'Yes': -7.5490294, '\n': -7.824761}
{' No': -0.025901023, ' Yes': -3.9553003, 'No': -5.17336, ' The': -8.360911, ' Not': -8.670815}
{' No': -0.050375775, ' Yes': -3.2718265, 'No': -4.5929837, ' The': -7.4464407, 'Yes': -8.283723}
{' No': -0.13597587, ' Yes': -2.1720169, 'No': -4.4710245, 'Yes': -7.184399, ' The': -7.292138}
{' No': -0.05007148, ' Yes': -3.3158684, 'No': -4.4640956, ' The': -7.7537975, 'Yes': -8.207151}
{' No': -0.04039632, ' Yes': -3.430756, 'No': -5.0216146, ' The': -8.085611, 'Yes': -8.746641}
{' No': -0.020824013, 'No': -4.284475, ' Yes': -5.0807242, ' The': -8.108556, ' Not': -9.169093}
{' No': -0.06472147, ' Yes': -2.9559627, 'No': -4.6344347, 'Yes': -7.7786784, ' The': -8.113236}
{' No': -0.019720158, 'No': -4.367855, ' Yes': -5.0794086, '\n': -8.005619, ' ': -9.00639}
{' No': -0.06010691, ' Yes': -3.101355, 'No': -4.4088273, '\n': -7.8907113, 'Yes': -8.022918}
{' Yes': -0.5713541, ' No': -0.8512651, 'No': -5.5095825, 'Yes': -5.9112854, ' The': -6.729854}
{' No': -0.052511357, ' Yes': -3.3521001, 'No': -4.1773834, ' The': -8.167573, 'Yes': -8.2524805}
{' No': -0.07640568, ' Yes': -3.0163317, 'No': -3.7644532, 'Yes': -7.3722982, ' The': -8.010039}
{' No': -0.019007018, 'No': -4.3216095, ' Yes': -5.2927284, ' The': -8.378305, '\n': -9.120338}
{' No': -0.022731617, ' Yes': -4.3541045, 'No': -4.693464, ' The': -8.536185, '\n': -9.353543}
{' No': -0.011237366, 'No': -4.728751, ' Yes': -6.356913, ' The': -7.838481, '\n': -9.682958}
{' No': -0.032432403, ' Yes': -3.6951828, 'No': -5.076425, ' The': -7.7752447, '\n': -8.724472}
{' No': -0.1338259, ' Yes': -2.1634831, 'No': -4.719052, 'Yes': -7.207062, ' The': -8.366638}
{' No': -0.016864173, ' Yes': -4.521453, 'No': -5.220649, ' The': -8.2732, 'Yes': -9.624541}
{' No': -0.024365112, 'No': -3.774233, ' Yes': -7.2651114, ' The': -8.767117, '\n': -9.099545}
{' Yes': -0.1582593, ' No': -1.9454583, 'Yes': -6.164299, 'No': -7.351338, ' The': -7.716773}
{' No': -0.25891617, ' Yes': -1.5238144, 'No': -4.807761, 'Yes': -6.7757673, ' The': -7.593631}
{' Yes': -0.5863105, ' No': -0.8304417, 'No': -5.695634, 'Yes': -6.1396165, '\n': -6.960221}
{' No': -0.21505669, ' Yes': -1.6924261, 'No': -4.961543, 'Yes': -7.0168195, '\n': -7.260859}
{' No': -0.012124877, 'No': -5.023599, ' Yes': -5.245573, ' The': -9.695052, '\n': -9.920389}
{' No': -0.019297803, 'No': -4.162547, ' Yes': -5.7187967, ' The': -9.309554, ' Not': -9.676066}
{' No': -0.20923409, ' Yes': -1.7706945, 'No': -4.243688, 'Yes': -6.3047867, ' The': -6.681192}
{' No': -0.136018, ' Yes': -2.1872838, 'No': -4.439679, ' The': -6.4774632, 'Yes': -6.92097}
{' No': -0.015880704, 'No': -4.906431, ' Yes': -4.9136024, ' The': -7.6653705, ' Not': -8.26515}
{' No': -0.012731822, 'No': -4.8382473, ' Yes': -5.4033527, ' The': -9.73226, ' Not': -9.923662}
{' Yes': -0.14707287, ' No': -2.019494, 'Yes': -5.9739747, 'No': -6.9657755, ' The': -8.241059}
{' No': -0.5204549, ' Yes': -0.9209065, 'No': -5.2991433, 'Yes': -6.442578, ' The': -8.045244}
{' No': -0.019587275, 'No': -4.36706, ' Yes': -5.030312, 'Yes': -10.099553, ' The': -10.1587305}
{' No': -0.082744375, ' Yes': -2.676292, 'No': -4.654604, 'Yes': -8.041177, ' The': -8.2788725}
{' No': -0.11932505, ' Yes': -2.2695096, 'No': -4.889983, 'Yes': -7.585383, '\n': -7.649509}
{' No': -0.03599634, 'No': -3.4351375, ' Yes': -5.882405, ' The': -8.800284, '\n': -9.769376}
{' No': -0.06324335, ' Yes': -3.035297, 'No': -4.4064345, ' The': -8.05328, 'Yes': -8.268226}
{' No': -0.04883409, ' Yes': -3.3197882, 'No': -4.5462704, ' The': -8.008457, '\n': -8.485846}
{' No': -0.081802376, ' Yes': -2.7397442, 'No': -4.3558064, ' The': -7.6490993, 'Yes': -7.8296123}
{' No': -0.09684387, ' Yes': -2.4856606, 'No': -4.828285, ' The': -7.717864, 'Yes': -7.899344}
{' No': -0.5429719, ' Yes': -0.88282514, 'No': -5.7053924, 'Yes': -6.641679, ' The': -7.6763787}
{' No': -0.1522623, ' Yes': -2.0026784, 'No': -5.339293, ' The': -7.201597, 'Yes': -7.876826}
{' Yes': -0.14734356, ' No': -2.0415313, 'Yes': -5.5392346, 'No': -6.536335, ' The': -6.869429}
{' No': -0.20923498, ' Yes': -1.7413071, 'No': -4.534188, ' The': -6.838145, 'Yes': -6.9145665}
{' Yes': -0.20169853, ' No': -1.7282069, 'Yes': -5.8929057, 'No': -6.753378, ' The': -7.353067}
{' Yes': -0.020808373, ' No': -4.137269, 'Yes': -5.448434, 'No': -8.855332, '\n': -9.689605}
{' No': -0.0457842, ' Yes': -3.1508942, 'No': -6.534931, '\n': -8.226133, ' ': -9.020414}
{' No': -0.013048868, ' Yes': -4.5299153, 'No': -6.336386, '\n': -8.405146, ' ': -9.393169}
{' No': -0.0075949635, ' Yes': -5.231678, 'No': -6.2984805, '\n': -8.798621, ' ': -9.326655}
{' No': -0.002861798, 'No': -6.410191, ' Yes': -6.794907, '\n': -10.343961, ' ': -10.568531}
{' Yes': -0.11089154, ' No': -2.2698042, 'Yes': -7.1549683, '\n': -7.884802, ' yes': -8.380848}
{' Yes': -0.40051925, ' No': -1.1117983, 'Yes': -7.703381, 'No': -8.417759, '\n': -8.77903}
{' No': -0.0022462946, 'No': -6.6651525, ' Yes': -7.1682863, ' ': -9.579228, '\n': -9.734935}
{' No': -0.2366899, ' Yes': -1.5643208, 'No': -7.0654707, 'Yes': -8.4865885, '\n': -8.524396}
{' No': -0.06913745, ' Yes': -2.7333925, 'No': -6.5513544, '\n': -8.852949, ' ': -9.258554}
{' No': -0.019448029, ' Yes': -4.005753, 'No': -6.9880223, '\n': -10.029754, ' ': -10.250112}
{' No': -0.009034994, ' Yes': -5.0256057, 'No': -6.1115813, '\n': -9.201661, ' ': -9.767387}
{' No': -0.08096294, ' Yes': -2.582317, 'No': -6.474248, '\n': -8.156177, ' The': -8.999919}
{' No': -0.566572, ' Yes': -0.84155256, 'No': -7.4323883, 'Yes': -7.812198, '\n': -8.370137}
{' No': -0.023550963, ' Yes': -3.7955444, 'No': -7.439959, '\n': -9.261437, ' ': -10.167136}
{' Yes': -0.104379505, ' No': -2.3203485, 'Yes': -7.936729, ' yes': -8.449155, '\n': -9.354142}
{' No': -0.007659646, ' Yes': -5.00431, 'No': -7.2709327, '\n': -9.331004, ' ': -9.854293}
{' No': -0.10133595, ' Yes': -2.357245, 'No': -6.7641296, '\n': -9.085781, ' yes': -9.125397}
{' No': -0.010218517, ' Yes': -4.65626, 'No': -7.6675534, '\n': -9.313984, ' ': -10.000863}
{' Yes': -0.08909729, ' No': -2.4827454, 'Yes': -7.2249575, '\n': -8.116548, ' yes': -8.340808}
{' No': -0.0031064902, 'No': -6.031408, ' Yes': -7.417186, '\n': -10.197923, ' ': -10.821805}
{' Yes': -0.6725742, ' No': -0.7167484, '\n': -8.136877, 'No': -8.153726, 'Yes': -8.230418}
{' No': -0.18158832, ' Yes': -1.8005381, 'No': -7.607808, '\n': -8.827456, 'Yes': -9.309873}
{' Yes': -0.028784184, ' No': -3.5958428, 'Yes': -7.157087, ' yes': -9.524966, 'No': -10.286959}
{' No': -0.00724434, ' Yes': -5.073256, 'No': -7.0183697, ' The': -11.271002, '\n': -11.281653}
{' No': -0.011006768, ' Yes': -4.6930285, 'No': -6.7615747, '\n': -7.7879934, ' ': -9.256961}
{' No': -0.045980144, ' Yes': -3.155002, 'No': -6.700103, '\n': -7.5236177, ' The': -8.42788}
{' Yes': -0.2579224, ' No': -1.4881661, 'Yes': -7.5292387, '\n': -7.5784273, 'No': -8.327504}
{' No': -0.12549664, ' Yes': -2.156304, 'No': -6.5119824, '\n': -8.0857935, 'Yes': -8.90084}
{' No': -0.6611057, ' Yes': -0.7283569, 'No': -8.411918, 'Yes': -8.478765, ' yes': -8.545003}
{' No': -0.0017575707, 'No': -6.875191, ' Yes': -7.815012, '\n': -8.708439, ' ': -9.257196}
{' No': -0.16001423, ' Yes': -1.929515, 'No': -6.3676057, '\n': -7.6940484, 'Yes': -8.481184}
{' No': -0.005075777, ' Yes': -5.4616394, 'No': -7.380287, '\n': -9.158779, ' no': -10.209175}
{' Yes': -0.0015434738, ' No': -7.0514283, 'Yes': -7.8342266, ' yes': -8.330712, '\n': -11.340745}
{' No': -0.091220066, ' Yes': -2.449834, 'No': -7.3466215, '\n': -9.542441, ' ': -9.922395}
{' No': -0.05797916, ' Yes': -2.9114947, 'No': -6.678666, '\n': -8.023185, ' ': -8.720704}
{' No': -0.0013481642, 'No': -6.8059797, ' Yes': -8.777646, '\n': -10.245072, ' ': -10.537564}
{' No': -0.036323875, ' Yes': -3.3617823, 'No': -7.0709114, ' ': -9.748589, 'Yes': -10.509342}
{' Yes': -0.13415015, ' No': -2.0889308, 'Yes': -6.783297, 'No': -8.229581, '\n': -9.178183}
{' Yes': -0.0028980235, ' No': -6.336995, 'Yes': -7.134719, ' yes': -8.457401, '\n': -9.446608}
{' No': -0.0041964077, ' Yes': -6.1967254, 'No': -6.4104176, '\n': -8.686907, ' ': -8.726013}
{' No': -0.034297336, ' Yes': -3.4415467, 'No': -6.542947, '\n': -9.206107, ' ': -9.727496}
{' No': -0.16460544, ' Yes': -1.8972067, 'No': -6.671619, 'Yes': -8.713693, ' The': -9.08385}
{' No': -0.39784724, ' Yes': -1.1174537, 'No': -7.7540865, 'Yes': -8.126534, '\n': -8.439127}
{' Yes': -0.41360193, ' No': -1.0874491, 'Yes': -7.3069696, '\n': -7.8100023, 'No': -8.215707}
{' No': -0.004937577, ' Yes': -5.589158, 'No': -6.9161677, '\n': -9.428481, ' ': -9.886054}
{' No': -0.001980192, 'No': -6.6934185, ' Yes': -7.4642296, '\n': -9.749647, ' ': -9.78842}
{' Yes': -0.0020889535, ' No': -6.8105927, 'Yes': -7.4678845, ' yes': -8.423851, '\n': -8.885642}
{' No': -0.43217698, ' Yes': -1.0530037, 'No': -7.0618625, '\n': -7.791652, 'Yes': -8.116114}
{' No': -0.013049773, ' Yes': -4.440101, 'No': -7.2438974, '\n': -8.16831, ' ': -9.317292}
{' No': -0.18170448, ' Yes': -1.7993077, 'No': -8.104476, ' The': -8.936, 'Yes': -9.033425}
{' No': -0.08003269, ' Yes': -2.5923789, 'No': -6.7195606, '\n': -7.7124686, ' ': -9.012228}
{' No': -0.0042461506, ' Yes': -5.777979, 'No': -7.0178585, '\n': -8.951717, ' ': -9.882841}
{' No': -0.15214251, ' Yes': -1.9741964, '\n': -7.30054, 'No': -7.4900956, ' yes': -8.232406}
{' No': -0.008048914, ' Yes': -4.9416003, 'No': -7.2946568, ' ': -9.588633, '\n': -9.67536}
{' Yes': -0.52624035, ' No': -0.8965674, 'No': -7.693747, 'Yes': -7.7620077, ' ': -9.285612}
{' No': -0.009806479, ' Yes': -4.7398634, 'No': -7.428569, '\n': -8.383376, ' The': -9.583537}
{' No': -0.045845352, ' Yes': -3.1342316, 'No': -7.149694, ' The': -8.803164, '\n': -8.981581}
{' No': -0.021740537, ' Yes': -3.8843236, 'No': -7.2395744, ' The': -9.028555, ' ': -10.489498}
{' No': -0.12630618, ' Yes': -2.1420531, 'No': -7.364398, '\n': -8.181898, ' ': -8.904418}
{' No': -0.018330267, ' Yes': -4.081446, 'No': -7.1148496, '\n': -8.278311, ' ': -8.945908}
{' No': -0.011406643, ' Yes': -4.557509, 'No': -7.499193, '\n': -9.109617, ' ': -9.547903}
{' No': -0.009347677, ' Yes': -4.779979, 'No': -7.187637, '\n': -9.874148, ' ': -9.995399}
{' No': -0.24705204, ' Yes': -1.52328, 'No': -7.44854, 'Yes': -8.889119, ' ': -9.573969}
{' No': -0.19209571, ' Yes': -1.7498864, 'No': -7.5456967, '\n': -8.773106, 'Yes': -9.087631}
{' No': -0.08344602, ' Yes': -2.5411296, 'No': -7.563126, '\n': -7.628839, ' yes': -9.636905}
{' No': -0.014579047, ' Yes': -4.353612, 'No': -6.789782, '\n': -8.383547, ' ': -9.363943}
{' No': -0.12572682, ' Yes': -2.1440926, 'No': -7.299286, ' ': -9.491336, '\n': -9.5511465}
{' No': -0.028302683, ' Yes': -3.616304, 'No': -7.364381, '\n': -8.933766, ' ': -9.379724}
{' No': -0.18353817, ' Yes': -1.7900481, 'No': -7.8141932, '\n': -9.062862, 'Yes': -9.421901}
{' No': -0.011658923, ' Yes': -4.5351267, 'No': -7.3181353, '\n': -9.097825, ' no': -10.236772}
{' Yes': -0.39221466, ' No': -1.1298608, 'Yes': -7.7715974, '\n': -7.8526025, 'No': -8.373401}
{' Yes': -0.47223535, ' No': -0.98265904, '\n': -7.084986, 'Yes': -7.838895, 'No': -8.06205}
{' No': -0.022954443, ' Yes': -3.858653, 'No': -6.596849, '\n': -9.161546, ' ': -9.57438}
{' No': -0.05171419, ' Yes': -3.0488396, 'No': -5.973781, '\n': -8.563913, 'Yes': -9.431518}
{' No': -0.0013924524, 'No': -6.6821494, '\n': -10.180143, ' Yes': -10.30254, ' ': -10.3260355}
{' No': -0.0032212953, 'No': -5.871792, ' Yes': -8.466036, ' ': -9.463781, '\n': -9.551422}
{' No': -0.10995999, ' Yes': -2.2810051, 'No': -6.497861, '\n': -8.720248, 'Yes': -8.939279}
{' No': -0.030244578, ' Yes': -3.5771365, 'No': -6.631799, '\n': -8.079479, ' ': -9.354124}
{' No': -0.00920889, ' Yes': -4.817663, 'No': -7.0834064, '\n': -9.5475235, ' ': -9.666869}
{' No': -0.12042713, ' Yes': -2.1897268, '\n': -7.334241, 'No': -7.6786923, ' The': -8.84101}
{' No': -0.0057716724, ' Yes': -5.4816546, 'No': -6.691284, '\n': -8.442991, ' ': -10.015061}
{' No': -0.00089782214, 'No': -7.4251666, ' Yes': -8.457801, '\n': -10.214948, ' ': -10.93953}
{' No': -0.0022008922, 'No': -6.1539207, ' ': -10.426295, '\n': -10.948469, ' no': -11.107382}
{' No': -0.0017324927, 'No': -6.4102116, ' ': -10.497265, '\n': -10.550243, ' no': -11.025227}
{' No': -0.008824448, ' Yes': -4.91002, 'No': -6.8430924, '\n': -9.004466, ' ': -9.106894}
{' No': -0.019401962, ' Yes': -3.9840183, 'No': -7.680086, '\n': -10.2896, ' no': -10.339}
{' No': -0.07228983, ' Yes': -2.6798737, 'No': -7.1138453, ' The': -9.051173, '\n': -9.635852}
{' No': -0.0076967073, ' Yes': -5.0616918, 'No': -6.7809987, '\n': -9.327728, ' ': -9.889227}
{' No': -0.0015519508, 'No': -6.7155004, ' Yes': -8.376163, ' ': -9.811009, '\n': -10.462355}
{' No': -0.0013345585, 'No': -6.951577, ' Yes': -8.3591, '\n': -9.611354, ' ': -10.104411}
{' No': -0.11791214, ' Yes': -2.208841, 'No': -6.956353, '\n': -8.584207, 'Yes': -9.435774}
{' No': -0.031444855, ' Yes': -3.5348017, 'No': -6.5535493, '\n': -8.962053, ' ': -9.242886}
{' No': -0.0019460937, ' Yes': -6.892013, 'No': -7.053717, ' ': -10.5826025, '\n': -11.187744}
{' No': -0.010261333, ' Yes': -4.696157, 'No': -7.337663, '\n': -8.374876, ' The': -9.5086155}
{' No': -0.006142891, ' Yes': -5.4865637, 'No': -6.2751336, '\n': -10.579254, ' The': -10.891126}
{' No': -0.0029968987, ' Yes': -6.4381237, 'No': -6.7820034, '\n': -8.775911, ' no': -9.983046}
{' Yes': -0.5396806, ' No': -0.87733275, 'Yes': -7.978363, 'No': -8.096903, '\n': -8.769705}
{' Yes': -0.47645572, ' No': -0.9736538, 'Yes': -7.8765063, '\n': -7.958074, 'No': -8.0708885}
{' No': -0.003293772, ' Yes': -6.0279913, 'No': -7.4445224, ' no': -9.168677, '\n': -9.56607}
{' No': -0.0008353625, 'No': -7.3753176, '\n': -9.5940275, ' Yes': -9.951309, ' ': -10.161603}
{' No': -0.0026866707, ' Yes': -6.5034056, 'No': -7.0755982, '\n': -8.428887, ' ': -9.504582}
{' No': -0.023589164, ' Yes': -3.8176851, 'No': -6.904835, '\n': -8.397471, ' The': -10.576522}
{' No': -0.004925595, ' Yes': -5.628485, 'No': -6.779755, '\n': -9.37904, ' ': -9.784721}
{' No': -0.0041795294, 'No': -6.0781345, ' Yes': -6.459339, '\n': -8.67572, ' ': -9.748959}
{' No': -0.0021430703, 'No': -6.736815, ' Yes': -7.292205, '\n': -9.131936, ' ': -9.431603}
{' No': -0.00207014, ' Yes': -6.773642, 'No': -7.2289734, '\n': -9.418606, ' ': -9.890949}
{' Yes': -0.4237846, ' No': -1.0680585, ' yes': -7.8847547, '\n': -7.9860196, 'Yes': -8.11775}
{' No': -0.027489115, ' Yes': -3.6653385, 'No': -7.014406, '\n': -8.157088, ' Still': -9.318577}
{' Yes': -0.0026663498, ' No': -6.482265, 'Yes': -6.9961653, ' yes': -9.041549, '\n': -9.726048}
{' No': -0.50175214, ' Yes': -0.9333718, 'No': -7.135659, 'Yes': -8.174563, ' yes': -9.443446}
{' Yes': -0.47465053, ' No': -0.976186, 'Yes': -7.6855073, 'No': -8.198652, '\n': -9.041648}
{' No': -0.01226655, ' Yes': -4.472433, 'No': -7.461057, '\n': -9.233997, ' ': -10.267303}
{' No': -0.0023636906, ' Yes': -6.581205, 'No': -7.190136, ' ': -9.130373, '\n': -9.53297}
{' No': -0.0013564618, ' Yes': -7.3812585, 'No': -7.5351167, '\n': -9.225491, ' ': -9.783422}
{' No': -0.5937106, ' Yes': -0.8082758, 'No': -7.363613, 'Yes': -7.685278, '\n': -7.8980827}
{' No': -0.016107524, ' Yes': -4.2573376, 'No': -6.582758, '\n': -8.311253, ' ': -9.253061}
{' No': -0.0078120385, ' Yes': -5.170448, 'No': -6.303302, '\n': -9.003736, ' ': -9.515779}
{' No': -0.002566131, 'No': -6.165618, '\n': -8.723894, ' Yes': -9.074796, ' ': -9.463934}
{' No': -0.004581535, ' Yes': -5.6464763, '\n': -7.6565433, 'No': -7.7745295, ' ': -9.444096}
{' No': -0.009375655, ' Yes': -4.755397, 'No': -7.8988466, '\n': -8.441882, ' ': -9.623879}
{' No': -0.015517404, ' Yes': -4.310996, 'No': -6.614421, '\n': -7.9696684, ' The': -9.130221}
{' No': -0.005424323, ' Yes': -5.482921, 'No': -6.959796, '\n': -8.784734, ' ': -9.487088}
{' No': -0.022509148, ' Yes': -3.8432527, 'No': -7.474522, '\n': -9.453678, ' ': -10.061747}
{' No': -0.18859583, ' Yes': -1.7679608, 'No': -7.4080153, '\n': -8.479743, 'Yes': -9.021228}
{' Yes': -0.055577062, ' No': -2.935231, '\n': -8.059515, 'Yes': -8.199652, ' yes': -8.344404}
{' No': -0.023573298, ' Yes': -3.7966082, 'No': -7.2625546, '\n': -9.696474, ' ': -10.039047}
{' No': -0.0036229752, ' Yes': -6.1418514, 'No': -6.8221536, '\n': -8.457987, ' ': -8.9837265}
{' No': -0.0018306596, 'No': -6.54288, ' Yes': -8.278232, '\n': -10.143878, ' ': -10.211843}
{' No': -0.13889258, ' Yes': -2.0562682, 'No': -6.97417, '\n': -7.752668, 'Yes': -9.075416}
{' No': -0.058935583, ' Yes': -2.88036, 'No': -7.104759, '\n': -9.254982, 'Yes': -9.927488}
{' No': -0.17778839, ' Yes': -1.8224951, 'No': -7.1726456, '\n': -8.57169, 'Yes': -9.253967}
{' No': -0.0126228025, ' Yes': -4.4615974, 'No': -7.1515803, '\n': -9.243443, ' ': -9.805645}
{' No': -0.03286286, ' Yes': -3.5131845, 'No': -6.345376, '\n': -7.5573683, ' ': -8.987561}
{' No': -0.10841938, ' Yes': -2.2901382, 'No': -6.9732585, ' Unfortunately': -9.090044, 'Yes': -9.293858}
{' No': -0.006328402, ' Yes': -5.247179, 'No': -7.2155046, '\n': -8.577682, ' ': -9.54561}
